name,link,review_score,review_count,area,address,coordinates_gps,description
"Hôtel de Bourgtheroulde, Autograph Collection",https://www.booking.com/hotel/fr/de-bourgtheroulde.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",805 expériences vécues,"Centre-ville de Rouen, Rouen","15 Place De La Pucelle, 76000 Rouen, France","1.06119506808218,49.4242125834269,1.11655693191782,49.4601434165731","Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Ce boutique hôtel vous accueille dans le centre historique de Rouen, à côté du Gros-Horloge et à 2 km de la salle omnisports Kindarena. Vous bénéficierez d’un accès gratuit à la piscine intérieure, à la salle de sport et au spa où sont proposés un sauna, un hammam et une gamme de soins.
Toutes les chambres climatisées de l’Hotel de Bourgtheroulde comprennent une connexion Wi-Fi gratuite, une télévision à écran plat et une salle de bains privative. Certains hébergements donnent sur la galerie d’Aumale, la place de la Pucelle ou le temple Saint-Éloi.
Le restaurant L’Aumale sert une cuisine traditionnelle préparée à base de produits régionaux. L’établissement propose également un petit-déjeuner buffet. Vous aurez la possibilité de prendre un verre au bar ou sur la terrasse.
Lors de votre séjour, vous pourrez visiter la ville et ses sites d’intérêt, comme la cathédrale Notre-Dame et la place du Vieux-Marché. Vous séjournerez à 1 km de la gare de Rouen-Rive-Droite. Un parking privé est disponible sur place, sur réservation.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hôtel de Bourgtheroulde, Autograph Collection accueille des clients Booking.com depuis le 9 avr. 2010.
Chaîne hôtelière/marque: Marriott Hotels & Resorts , Autograph Collection"
L'Autel - Balnéo - Sauna - Centre historique,https://www.booking.com/hotel/fr/l-39-autel-rouen.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from=searchresults#hotelTmpl,"8,7",73 expériences vécues,"Centre-ville de Rouen, Rouen","13 rue Dinanderie, 76000 Rouen, France","1.06349573236291,49.4265785834269,1.11886026763709,49.4625094165731","Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'Autel - Balnéo - Sauna - Centre historique ! Connectez-vous pour économiser.
Doté d'une baignoire spa, l'établissement L'Autel - Balnéo - Sauna - Centre historique est situé en plein centre de Rouen. Vous séjournerez à 700 mètres de la cathédrale Notre-Dame de Rouen et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.
L'appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que 2 salles de bains avec une baignoire ou une douche et un jacuzzi. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'un sauna sur place.
L'Autel - Balnéo - Sauna - Centre historique se trouve à 700 mètres de la gare de Rouen Rive Droite et à 3,1 km du palais des sports Kindarena de Rouen. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 84 km.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement L'Autel - Balnéo - Sauna - Centre historique accueille des clients Booking.com depuis le 4 juin 2021."
"Radisson Blu Hotel, Rouen Centre",https://www.booking.com/hotel/fr/radisson-blu-rouen-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9",3 976 expériences vécues,"Centre-ville de Rouen, Rouen","6-8 Rue du Donjon, 76000 Rouen, France","1.06643666128918,49.4284755834269,1.12180333871082,49.4644064165731","Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Radisson Blu Hotel, Rouen Centre ! Connectez-vous pour économiser.
Situé à Rouen, le Radisson Blu Hotel, Rouen Centre propose un restaurant servant des plats locaux de qualité, une salle de sport, un bar et un salon commun. Il propose des chambres familiales et une terrasse. Il propose une réception ouverte 24h/24, un service de navette, un service d'étage et une connexion Wi-Fi gratuite.
Toutes les chambres comprennent une armoire, une télévision et une salle de bains privative.
Le Radisson Blu Hotel, Rouen Centre sert un petit-déjeuner continental ou buffet.
Un centre d'affaires et des journaux sont mis à votre disposition sur place. Un parking privé est disponible moyennant des frais supplémentaires.
La cathédrale Notre-Dame de Rouen se trouve à 700 mètres. L'aéroport le plus proche, celui de Deauville-Normandie, est situé à 68 km.
Veuillez noter que le restaurant Jehanne sera fermé le soir du 24 décembre et le 31 décembre à midi.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Radisson Blu Hotel, Rouen Centre accueille des clients Booking.com depuis le 9 févr. 2021.
Chaîne hôtelière/marque: Radisson Blu"
Mercure Rouen Centre Cathédrale,https://www.booking.com/hotel/fr/mercure-rouen-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",2 263 expériences vécues,"Centre-ville de Rouen, Rouen","7 Rue Croix de Fer, 76000 Rouen, France","1.0674950805655,49.4232074299923,1.12285580959411,49.4591382631385","Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le Mercure Rouen Centre Cathédrale propose des chambres climatisées dotées d'une télévision par satellite, d'une connexion Wi-Fi gratuite et d'une salle de bains privative dans le centre de Rouen, à 160 mètres de la cathédrale Notre-Dame et à 3 km du palais des sports de Rouen.
L'établissement sert un petit-déjeuner complet que vous pourrez déguster dans le confort de votre chambre. Un petit-déjeuner express est également disponible. Vous pourrez par ailleurs prendre un verre au bar de l'hôtel.
Le Mercure Rouen Centre se trouve à seulement quelques pas de la place du Vieux Marché et du Gros-Horloge. La gare de Rouen est située à seulement 1 km. L'établissement met un parking privé souterrain à votre disposition.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Mercure Rouen Centre Cathédrale accueille des clients Booking.com depuis le 29 juin 2008.
Chaîne hôtelière/marque: Mercure"
DOMITYS Les Mosaïques,https://www.booking.com/hotel/fr/domitys-les-mosaiques.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9",122 expériences vécues,Rouen,"64 Rue Saint-Julien, 76100 Rouen, France","1.05560719623177,49.4110491834269,1.11095420376823,49.4469800165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement DOMITYS Les Mosaïques ! Connectez-vous pour économiser.
Situé à Rouen, à 1 km de la gare de Voltaire et à 2 km de la gare de l'Hôtel de ville de Soteville, le DOMITYS Les Mosaïques propose des hébergements avec une connexion Wi-Fi gratuite, un jardin avec une terrasse et l'accès à une piscine intérieure et un sauna. Un parking privé est disponible sur place.
Tous les logements disposent d'une kitchenette entièrement équipée avec machine à café, d'un salon avec télévision à écran plat et d'une salle de bains privative avec articles de toilette gratuits et douche. Un réfrigérateur, un micro-ondes, des plaques de cuisson et une bouilloire sont également fournis.
Cet appart'hôtel sert un petit-déjeuner buffet et continental tous les matins.
Vous pourrez également vous détendre dans le coin salon commun.
Le DOMITYS Les Mosaïques se trouve à 2,8 km de la station de tramway 14-juillet et à 1,7 km de la cathédrale Notre-Dame de Rouen. L'aéroport de Deauville-Normandie, le plus proche, est à 84 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement DOMITYS Les Mosaïques accueille des clients Booking.com depuis le 29 juin 2022."
Best Western Plus Hotel Litteraire Gustave Flaubert,https://www.booking.com/hotel/fr/hotellitterairegustaveflaubert.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",2 166 expériences vécues,"Centre-ville de Rouen, Rouen","33 rue du Vieux Palais / 15 rue de la Pie, 76000 Rouen, France","1.0589216728517,49.4250988141913,1.11428453728472,49.4610296473375","Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Best Western Plus Hotel Litteraire Gustave Flaubert ! Connectez-vous pour économiser.
Situé dans le centre historique de Rouen, à 3 km du Kindarena, le Best Western Plus Hotel Litteraire Gustave Flaubert propose des hébergements à la décoration inspirée par l’œuvre littéraire de Gustave Flaubert. Une connexion Wi-Fi gratuite est accessible dans l’ensemble de l’établissement.
Les chambres élégantes disposent d’une télévision par satellite à écran plat. Chacune est également pourvue d’une salle de bains privative. Certaines possèdent une station d'accueil pour iPod.
Chaque matin, le petit-déjeuner vous sera servi dans la salle dédiée ou dans le confort de votre chambre. Après une journée bien remplie, vous pourrez vous détendre en savourant un verre dans le salon à cocktails de l’hôtel. Par ailleurs, vous trouverez de nombreux restaurants français et internationaux dans les environs.
Vous séjournerez à seulement 10 minutes de marche de la cathédrale Notre-Dame de Rouen et à 800 mètres du musée des Beaux-Arts. Un parking privé est accessible sur réservation et moyennant des frais supplémentaires. Des places de stationnement publiques sont également disponibles autour du BEST WESTERN Hôtel Littéraire Gustave Flaubert.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Best Western Plus Hotel Litteraire Gustave Flaubert accueille des clients Booking.com depuis le 1 juil. 2009.
Chaîne hôtelière/marque: Best Western Plus"
Eco-appart Boulevard de l'Europe,https://www.booking.com/hotel/fr/eco-appart-boulevard-de-l-europe.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",91 expériences vécues,Rouen,"98 Rue d'Elbeuf, 76100 Rouen, France","1.05347397725958,49.4059988272039,1.10881528782242,49.4419296603501","Doté d'une connexion Wi-Fi et d'un parking privé gratuits, l'Eco-appart Boulevard de l'Europe est situé à Rouen, à seulement 800 mètres de la gare de Voltaire. Vous séjournerez à 3,8 km du parc des expositions de Rouen et à 4 km de la cathédrale Notre-Dame de Rouen.
L'appartement comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la ville. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous séjournerez à 1,6 km de la gare de l'hôtel de ville de Soteville et à 2 km de la station de tramway 14-juillet de Rouen. L'aéroport de Deauville-Normandie, le plus proche, est implanté à 81 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Eco-appart Boulevard de l'Europe accueille des clients Booking.com depuis le 23 nov. 2019."
"Rouen historique, appartement 113m2 Duplex",https://www.booking.com/hotel/fr/rouen-historique-appartement-113m2-duplex.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from=searchresults#hotelTmpl,10,2 expériences vécues,"Centre-ville de Rouen, Rouen","19 Rue Damiette, 76000 Rouen, France","1.07036878458377,49.4224954720389,1.12572870985823,49.4584263051851","Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Doté d'une connexion Wi-Fi gratuite, le Rouen historique, appartement 113m2 Duplex est situé au cœur de Rouen, à seulement 200 mètres de la cathédrale Notre-Dame.
Cet appartement comprend 3 chambres, une télévision par satellite à écran plat ainsi qu'une cuisine entièrement équipée avec un lave-vaisselle, un micro-ondes, un lave-linge, un réfrigérateur et un four. Les serviettes et le linge de lit sont fournis.
L'aéroport de Deauville-Normandie, le plus proche, est implanté à 69 km.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
L'établissement Rouen historique, appartement 113m2 Duplex accueille des clients Booking.com depuis le 2 juil. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Rouen centre avec Sauna + Hotspot 4G,https://www.booking.com/hotel/fr/rouen-centre-avec-sauna-hotspot-4g.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from=searchresults#hotelTmpl,10,2 expériences vécues,Rouen,"102 rue de Lessard, 76100 Rouen, France","1.06116217166234,49.4151695834269,1.11651382833766,49.4511004165731","Doté d'une baignoire spa, le Rouen centre avec Sauna + Hotspot 4G est situé à Rouen. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.
Dotée d'un lecteur Blu-ray, la villa dispose d'une cuisine avec un lave-vaisselle, un micro-ondes et un réfrigérateur, d'un salon avec des coins salon et repas, de 3 chambres ainsi que de 2 salles de bains avec une douche et une baignoire. Les serviettes et le linge de lit sont fournis.
Lors de votre séjour, vous pourrez profiter d'installations de spa et de bien-être comprenant un bain à remous et un sauna. Le Rouen centre avec Sauna + Hotspot 4G possède un barbecue et une terrasse.
La cathédrale Notre-Dame de Rouen se trouve à 1,1 km. L'aéroport le plus proche, celui de Beauvais-Tillé, est situé à 86 km.
L'établissement Rouen centre avec Sauna + Hotspot 4G accueille des clients Booking.com depuis le 16 juil. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Novotel Suites Rouen Normandie,https://www.booking.com/hotel/fr/suitehotel-rouen-normandie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apnhx50GwAIB0gIkZDczODNjMjMtODZlZi00OTdiLWI4MjYtNWIxYTA5YTE4MWYy2AIG4AIB&sid=1403b256bd3a93bf7014b172c9b20bea&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=2c8491d2bdf70291&srepoch=1672605878&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",1 450 expériences vécues,Rouen,"10 Quai De Boisguilbert - Îlot Pasteur, 76000 Rouen, France","1.0477448655512,49.4251738053299,1.1031078146551,49.4611046384761","Le Novotel Suites Rouen Normandie est situé sur les rives de la Seine, à 10 minutes du centre-ville de Rouen. Vous bénéficierez gratuitement d’une connexion Wi-Fi. Le stade Kindarena est à seulement 2 km.
Les suites modulables de 30 m² comprennent la climatisation et un salon doté d’une télévision à écran plat avec des chaînes anglaises et américaines. La kitchenette est équipée d'un micro-ondes, d'un mini-réfrigérateur et d'un plateau/bouilloire. La salle de bains privative est pourvue d’une baignoire ou d’une douche.
L’établissement propose des services et des installations disponibles 24h/24 et 7j/7, notamment une Boutique Gourmande servant des collations, un service de bar, une salle de sport en accès libre ainsi qu’un espace affaires avec connexion Internet, webcam, imprimante et fax. Un parking souterrain sécurisé est accessible sur place.
Tous les matins, vous pourrez déguster un petit-déjeuner équilibré Good Morning.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Novotel Suites Rouen Normandie accueille des clients Booking.com depuis le 18 sept. 2007.
Chaîne hôtelière/marque: Novotel Suites"
