name,link,review_score,review_count,area,address,coordinates_gps,description
Sofitel Lyon Bellecour,https://www.booking.com/hotel/fr/sofitel-lyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",1 091 expériences vécues,"2e arr., Lyon","20 Quai Gailleton, 2e arr., 69002 Lyon, France","4.808202112549,45.7364213532322,4.85979345954115,45.7723521863784","Lyon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le Sofitel Lyon Bellecour vous accueille en plein cœur de Lyon, à 4 minutes de marche de la place Bellecour. Cet établissement 5 étoiles dispose d’un espace bien-être et d’une salle de sport. Il vous propose aussi une réception ouverte 24h/24 ainsi qu’un centre d’affaires.
Toutes les chambres et suites du Sofitel Lyon Bellecour sont équipées de la climatisation, d’une télévision par satellite à écran plat et d’un minibar proposant des boissons sans alcool gratuites. Les salles de bains privatives comprennent des peignoirs, un sèche-cheveux et des articles de toilette Balmain. Certaines chambres donnent sur le Rhône.
Offrant une vue sur la ville, le restaurant Les Trois Dômes sert une cuisine raffinée et de saison. Vous pourrez déguster un cocktail au bar Le Melhor tout en admirant la vue panoramique sur la ville.
Vous séjournerez à 14 minutes à pied du Vieux Lyon, à 7 minutes de route du musée des Confluences. L’établissement se trouve à 14 minutes de marche de la gare et de l’arrêt de tramway de Lyon-Perrache.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Sofitel Lyon Bellecour accueille des clients Booking.com depuis le 3 août 2010.
Chaîne hôtelière/marque: Sofitel"
DIFY Roi Lyon - Hotel de Ville,https://www.booking.com/hotel/fr/dify-roi-lyon-de-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from=searchresults#hotelTmpl,"7,5",20 expériences vécues,"1er arr., Lyon","19 rue imbert Colomès, 1er arr., 69001 Lyon, France","4.80794078734419,45.7535086018939,4.85954793808381,45.7894394350401","Lyon - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement DIFY Roi Lyon - Hotel de Ville ! Connectez-vous pour économiser.
Le DIFY Roi Lyon - Hotel de Ville est un établissement 5 étoiles idéalement situé dans le centre de Lyon, à seulement 700 mètres du musée des beaux-arts de Lyon. Cet appartement 5 étoiles se trouve à 2,9 km du théâtre romain de Fourvière.
Cet appartement climatisé comprend 4 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi que 4 salles de bains pourvues d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 1,5 km du musée Miniature et Cinéma et à 1,8 km de la basilique Notre-Dame de Fourvière. L'aéroport le plus proche, celui de Lyon-Saint-Exupéry, est situé à 36 km.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
L'établissement DIFY Roi Lyon - Hotel de Ville accueille des clients Booking.com depuis le 14 janv. 2019."
Boscolo Lyon Hotel & Spa,https://www.booking.com/hotel/fr/boscolo-exedra-lyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",2 348 expériences vécues,"2e arr., Lyon","11 Quai Jules Courmont, 2e arr., 69002 Lyon, France","4.81179034632979,45.7428675834269,4.86338765367021,45.7787984165731","Lyon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Boscolo Lyon Hotel & Spa ! Connectez-vous pour économiser.
Le Boscolo Lyon Hotel & Spa occupe un bâtiment historique de la presqu'île de Lyon, sur les rives du Rhône, à 850 mètres de l'opéra national de Lyon. L'hôtel propose un bar et une réception ouverte 24h/24.
Présentant une décoration luxueuse, toutes les chambres ont une superficie d’au moins 30 m². La salle de bains privative est pourvue d'une douche à l'italienne, d'un bidet et d'articles de toilette gratuits. Certains logements comprennent un coin salon. Plusieurs chambres offrent une vue sur le fleuve.
Un petit-déjeuner buffet ou continental est servi tous les matins. Vous pourrez prendre vos repas au restaurant de l’hôtel, proposant une cuisine italienne.
L'établissement propose un spa et une salle de sport.
L’établissement se trouve à 500 mètres de la place Bellecour et à moins de 1 km de la vieille ville de Lyon. L’aéroport le plus proche, celui de Lyon-Saint-Exupéry, est situé à 30 km. Vous pourrez vous y rendre en empruntant la ligne de métro A puis le tramway Rhônexpress.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Boscolo Lyon Hotel & Spa accueille des clients Booking.com depuis le 2 oct. 2018."
Les Suites de l'Ile Barbe,https://www.booking.com/hotel/fr/appartement-de-charme-sur-une-ile-privee-en-bord-de-saone-a-10mn-du-centre-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from=searchresults#hotelTmpl,"9,3",163 expériences vécues,"9e arr., Lyon","Ile Barbe 9 Impasse Saint-Loup, 9e arr., 69009 Lyon, France","4.80801382217482,45.7800297445329,4.85964553021719,45.8159605776791","Profitez des services haut de gamme de l'établissement Les Suites de l'Ile Barbe
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Suites de l'Ile Barbe ! Connectez-vous pour économiser.
Situé à 7,3 km du théâtre romain de Fourvière, L'établissement Les Suites de l'Ile Barbe propose un jardin, une terrasse et un service d'étage. Une connexion Wi-Fi et un parking privé sont disponibles gratuitement sur place.
Les Suites de l'Ile Barbe disposent d'une télévision à écran plat et d'une salle de bains privative avec articles de toilette gratuits, sèche-cheveux et douche. La cuisine est équipée d'un réfrigérateur, d'un lave-vaisselle, d'un micro-ondes et d'une machine à café.
Un petit-déjeuner continental ou à la carte est servi sur place.
Une aire de jeux pour enfants est disponible sur place.
Vous séjournerez à 7,5 km du musée Miniature et Cinéma et à 7,6 km de la basilique Notre-Dame de Fourvière. L'aéroport de Lyon-Saint-Exupéry, le plus proche, est implanté à 37 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Les Suites de l'Ile Barbe accueille des clients Booking.com depuis le 5 août 2019."
Villa Maïa,https://www.booking.com/hotel/fr/villa-maia-lyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from=searchresults#hotelTmpl,"9,1",251 expériences vécues,"5e arr., Lyon","8 rue Professeur Pierre Marion, 5e arr., 69005 Lyon, France","4.79733744735899,45.7412517275059,4.84893326044727,45.7771825606521","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Villa Maïa
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Villa Maïa ! Connectez-vous pour économiser.
Située sur la colline de Fourvière à Lyon, la Villa Maïa propose une piscine intérieure chauffée, un bain à remous, un hammam et une salle de sport. Elle offre une vue panoramique sur la ville. Depuis la piscine intérieure, vous pourrez admirer la vue sur le jardin dessiné par le paysagiste Louis Benech. Vous bénéficierez d’une connexion Wi-Fi gratuite dans l’ensemble des locaux et d’un service de voiturier. L’établissement se trouve à 5 minutes à pied de l’ancien théâtre de Fourvière et à 10 minutes de marche de la vieille ville.
Toutes les chambres, suites et appartements sont équipés d'une télévision par satellite à écran plat. Un minibar de courtoisie est offert dans chaque chambre. Certains logements disposent d’un coin salon propice à la détente, après une journée chargée. Leur salle de bains privative en marbre de Carrare est pourvue de peignoirs, de chaussons et d’articles de toilette gratuits. Les articles de toilette ont été créés spécialement pour la Villa Maïa avec le parfum des fleurs du jardin.
Chaque matin, vous pourrez prendre un petit-déjeuner buffet ou continental composé de confiture bio, d’œufs provenant de fermes locales, de crêpes, de gaufres, de pancakes et de pain perdu. Des produits sans gluten sont disponibles. Le petit-déjeuner continental pourra également être servi en chambre. Doté d’une réception ouverte 24h/24, l’établissement assure un service d’étage 24h/24 et 7j/7, ainsi qu’un service de concierge. Vous pourrez prendre un verre au bar sur place. De plus, la Villa Maïa est en partenariat avec le restaurant 1 étoile Michelin Têtedoie, installé à 1 minute à pied, et pourra vous y réserver une table.
La basilique Notre-Dame de Fourvière vous attend à 400 mètres de la Villa Maïa et la place des Terreaux est à 1,2 km. L’aéroport le plus proche, celui de Lyon-Saint-Exupéry, est, quant à lui, implanté à 20 km. Une borne de recharge pour les voitures électriques est fournie.
La Villa Maïa a un partenariat avec le restaurant 1 étoile Michelin Têtedoie, installé à 1 minute à pied, et peut vous y réserver une table.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Villa Maïa accueille des clients Booking.com depuis le 27 juin 2017.
Chaîne hôtelière/marque: The Leading Hotels of the World"
"InterContinental Lyon - Hotel Dieu, an IHG Hotel",https://www.booking.com/hotel/fr/intercontinental-hotels-lyon-dieu.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from=searchresults#hotelTmpl,"9,1",1 956 expériences vécues,"2e arr., Lyon","20 Quai Jules Courmont, 2e arr., 69002 Lyon, France","4.81111735613445,45.7406835834269,4.86271264386555,45.7766144165731","Lyon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé à Lyon, à 1,1 km du musée Miniature et Cinéma, l'InterContinental Lyon - Hotel Dieu, an IHG Hotel propose des hébergements avec une salle de sport, un parking privé, un jardin et une terrasse. L'établissement propose un restaurant, un service d'étage, une réception ouverte 24h/24 et une connexion Wi-Fi gratuite. Vous pourrez profiter d’un distributeur automatique de billets, d’un service de concierge et d’un service de change.
Les chambres comportent la climatisation, un bureau, une machine à café, un minibar, un coffre-fort, une télévision à écran plat et une salle de bains privative pourvue d’une douche. Toutes les chambres sont équipées d'une bouilloire. Certaines possèdent un balcon et d'autres offrent une vue sur la ville. Les chambres de l'InterContinental Lyon - Hotel Dieu, an IHG Hotel sont dotées de linge de lit et de serviettes.
Un petit-déjeuner buffet, continental ou américain est servi chaque matin.
Les lieux d’intérêt prisés à proximité incluent le musée des beaux-arts de Lyon, le théâtre romain de Fourvière et la gare de Lyon-Part-Dieu. L’aéroport le plus proche, celui de Lyon-Saint-Exupéry, est situé à 29 km de l’InterContinental Lyon - Hotel Dieu, an IHG Hotel.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement InterContinental Lyon - Hotel Dieu, an IHG Hotel accueille des clients Booking.com depuis le 17 avr. 2019.
Chaîne hôtelière/marque: InterContinental Hotels & Resorts"
Villa Florentine,https://www.booking.com/hotel/fr/villaflorentine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from=searchresults#hotelTmpl,"8,9",622 expériences vécues,"5e arr., Lyon","25 Montée St Barthélémy, 5e arr., 69005 Lyon, France","4.80000827359274,45.7451789713258,4.85160771859571,45.781109804472","Lyon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
La Villa Florentine vous accueille au cœur du Vieux Lyon et offre une vue panoramique sur la ville. Cet ancien couvent propose des hébergements élégants, une réception ouverte 24h/24 et une connexion Wi-Fi gratuite dans l'ensemble des locaux.
Affichant une décoration raffinée, tous les logements de la Villa Florentine sont équipés de la climatisation, d’un minibar ainsi que d’une télévision à écran plat avec les chaînes Canal+ et beIn Sport. Certains comprennent un coin salon. Chaque hébergement possède aussi une salle de bains privative moderne avec une baignoire ou une douche. Certains donnent sur le Vieux Lyon.
Vous pourrez déguster un petit-déjeuner préparé avec des produits frais et locaux dans la salle à manger de la Villa Florentine ou, sur demande, dans votre logement, sur la terrasse avec vue sur la ville ou au bar.
Le restaurant gastronomique de l’établissement, Les Terrasses de Lyon, est doté d’une terrasse et sert une cuisine traditionnelle française ainsi que des spécialités régionales.
Sur place, vous trouverez aussi une salle de sport équipée d’un sauna, d’un hammam, d’une salle de cardiotraining et d’un petit centre de beauté. Vous aurez également accès à une piscine chauffée et un jacuzzi.
Un parking privé est disponible sur place moyennant des frais supplémentaires. La Villa Florentine se trouve à 4,5 km de la gare de Lyon Part-Dieu. La place Bellecour est, quant à elle, située à 1,2 km.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Villa Florentine accueille des clients Booking.com depuis le 24 janv. 2006.
Chaîne hôtelière/marque: Relais & Châteaux"
Hotel Le Royal Lyon - MGallery,https://www.booking.com/hotel/fr/le-royal-lyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",981 expériences vécues,"2e arr., Lyon","20 Place Bellecour, 2e arr., 69002 Lyon, France","4.80727043961323,45.7384687068717,4.85886367942058,45.7743995400179","Lyon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Donnant sur la place Bellecour, dans le centre de Lyon, l’Hotel Le Royal Lyon - MGallery Collection propose des hébergements à seulement 10 minutes de marche du Vieux-Lyon et à 5 km de la Cité Internationale. Cet hôtel 5 étoiles possède un bar-salon et met gratuitement une connexion Wi-Fi à votre disposition.
Les chambres et suites de l’Hôtel Le Royal Lyon sont climatisées et disposent d’une télévision haute définition à écran plat ainsi que d’un minibar disponible moyennant des frais supplémentaires. Leur salle de bains privative est pourvue d’une baignoire ou d’une douche, d’un sèche-cheveux, de peignoirs et de chaussons. Deux bouteilles d'eau minérale vous seront offertes à votre arrivée.
Le petit-déjeuner peut être servi en chambre sur demande ou dans la salle prévue à cet effet. Le restaurant de l'hôtel, l'Institut, propose une cuisine préparée par des chefs du célèbre Institut Paul Bocuse. Vous pourrez également participer à des cours de cuisine gastronomique au-dessus du restaurant.
Situé juste à côté de la station de métro Bellecour, l’Hôtel Le Royal Lyon - MGallery Collection est à 18 minutes de marche du musée des beaux-arts et à 3 km du musée des Confluences. La gare de Lyon-Part-Dieu se trouve à 4 km, et vous pourrez rejoindre celle de Lyon-Perrache en 14 minutes à pied. Un parking public est disponible à proximité.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Hotel Le Royal Lyon - MGallery accueille des clients Booking.com depuis le 10 juil. 2008.
Chaîne hôtelière/marque: MGallery"
"Cour des Loges Lyon, a Radisson Collection Hotel",https://www.booking.com/hotel/fr/courdesloges.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from=searchresults#hotelTmpl,"8,8",1 164 expériences vécues,"5e arr., Lyon","6, rue du Boeuf, 5e arr., 69005 Lyon, France","4.80161585763514,45.7453194966925,4.85321543260992,45.7812503298387","Lyon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Cour des Loges Lyon, a Radisson Collection Hotel ! Connectez-vous pour économiser.
Situé dans le Vieux Lyon, à 4 minutes à pied de la cathédrale Saint-Jean-Baptiste, le Cour des Loges Lyon, a Radisson Collection Hotel propose un hébergement avec une connexion Wi-Fi gratuite dans l’ensemble de ses locaux. L’établissement possède un spa muni d'une piscine intérieure, d'un sauna, d'un hammam et d'un bain à remous. Des massages sont dispensés, sur demande.
Toutes les chambres comprennent la climatisation et une télévision par satellite à écran plat. La salle de bains privative comporte une baignoire ou une douche. Des peignoirs, des chaussons, un sèche-cheveux et des articles de toilette gratuits sont fournis.
Chaque matin, vous pourrez déguster un petit-déjeuner buffet ou opter pour un petit-déjeuner continental dans votre chambre. Le restaurant Les Loges de l’hôtel possède une étoile au guide Michelin, tandis que le bistrot Café-Epicerie sert une cuisine locale traditionnelle. Le restaurant La Petite Loge propose des cours de cuisine, une dégustation de vin et des dîners privés avec le chef.
Le Cour des Loges Lyon, A Radisson Collection Hotel dispose également d'une salle de sport, d'un jardin sur le toit, d'un service de voiturier et d'un service de conciergerie.
Vous séjournerez à moins de 15 minutes de marche de la place Bellecour et de la basilique de Notre-Dame de Fourvière. La gare de Lyon Part-Dieu se trouve à 3 km, tandis que l'aéroport de Lyon Saint Exupéry est accessible en 32 minutes en voiture. Une borne de recharge pour les voitures électriques est disponible sur place.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Cour des Loges Lyon, a Radisson Collection Hotel accueille des clients Booking.com depuis le 1 févr. 2005.
Chaîne hôtelière/marque: Radisson Collection"
DIFY Coeur de Lyon - Part Dieu,https://www.booking.com/hotel/fr/dify-coeur-de-lyon-part-dieu.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuTMyp0GwAIB0gIkZGQyNGNhYzctYjI0Yy00ZTg1LWExYzYtM2ExOWEzYTY5ZGU52AIG4AIB&sid=68bd0464d642c93fcdbffc40395ec4c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=164a43f812030135&srepoch=1672652418&from=searchresults#hotelTmpl,"8,4",43 expériences vécues,Lyon,"248 Cours Lafayette, 69003 Lyon, France","4.83830004621966,45.7456790834269,4.88989995378034,45.7816099165731","Profitez des services haut de gamme de l'établissement DIFY Coeur de Lyon - Part Dieu
Vous pouvez bénéficier d'une réduction Genius dans l'établissement DIFY Coeur de Lyon - Part Dieu ! Connectez-vous pour économiser.
Situé à Lyon, à 3,9 km du musée des Beaux-Arts et à 4,5 km du musée Miniature et Cinéma, Le DIFY Coeur de Lyon - Part Dieu propose des hébergements avec une connexion Wi-Fi gratuite et une télévision. Cet appartement 5 étoiles se trouve à moins de 1 km de la gare de la Part-Dieu.
Cet appartement climatisé comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 5,4 km du théâtre romain de Fourvière et à 5,5 km de la gare de Lyon-Perrache. L'aéroport de Lyon-Saint-Exupéry, le plus proche, est à 24 km.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement DIFY Coeur de Lyon - Part Dieu accueille des clients Booking.com depuis le 20 sept. 2019."
