name,link,review_score,review_count,area,address,coordinates_gps,description
"Hotel des Berges, Restaurant Gastronomique & Spa",https://www.booking.com/hotel/fr/des-berges.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from=searchresults#hotelTmpl,"9,4",56 expériences vécues,Illhaeusern,"4 Rue de Collonges au Mont d'Or, 68970 Illhaeusern, France","7.40546552232844,48.1654489519259,7.45945459672076,48.2013797850721","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Hotel des Berges, Restaurant Gastronomique & Spa
Situé à Illhaeusern, l'Hotel des Berges abrite un bar, un restaurant, une piscine extérieure et un jardin. Il propose également des chambres familiales, une terrasse bien exposée, une piscine intérieure, un service d’étage et une connexion Wi-Fi gratuite dans l’ensemble de ses locaux.
Toutes les chambres comprennent un bureau, une télévision à écran plat et une salle de bains privative. Les logements de l'Hotel des Berges disposent de la climatisation et d'une armoire.
Le restaurant de l’établissement, récompensé de 2 étoiles au guide Michelin, sert une cuisine française.
Lors de votre séjour, vous aurez accès au spa et centre de bien-être sur place, agrémenté d’un jacuzzi et d’un sauna.
L’Hotel des Berges se trouve à 17 km de Colmar et à 13 km de Riquewihr. L’aéroport le plus proche, celui de Strasbourg-Entzheim, est situé à 59 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Hotel des Berges, Restaurant Gastronomique & Spa accueille des clients Booking.com depuis le 12 mai 2017."
Si le coeur vous en dit,https://www.booking.com/hotel/fr/si-le-coeur-vous-en-dit.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from=searchresults#hotelTmpl,"9,8",69 expériences vécues,Châtenois,"14 Rue du Frankenbourg, 67730 Châtenois, France","7.36931855256336,48.2584643834269,7.42340584743664,48.2943952165731","Profitez des services haut de gamme de l'établissement Si le coeur vous en dit
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Si le coeur vous en dit ! Connectez-vous pour économiser.
Situé à Châtenois, à seulement 11 km du château du Haut Koenigsbourg, le Si le coeur vous en dit propose un hébergement avec vue sur la montagne. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé. Cet appartement se trouve à 25 km de la collégiale Saint-Martin et à 26 km de la gare de Colmar.
Doté d'un lecteur Blu-ray, l'appartement comprend une cuisine avec un lave-vaisselle, un micro-ondes et un réfrigérateur, un salon avec des coins salon et repas, 2 chambres ainsi que 2 salles de bains avec un jacuzzi et une douche. Il dispose également d'une télévision par satellite à écran plat, d'un lecteur DVD, d'une station d'accueil pour iPod et d'un lecteur CD.
Lors de votre séjour, vous pourrez profiter d'installations de spa et de bien-être comprenant un bain à remous et un sauna. Un barbecue et une terrasse sont à votre disposition sur place.
Vous séjournerez à 22 km du parc des expositions Colmar Expo et à 25 km de la Maison des Têtes. L'aéroport international de Strasbourg, le plus proche, est à 47 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Si le coeur vous en dit accueille des clients Booking.com depuis le 7 août 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Relais et Châteaux Le Chambard,https://www.booking.com/hotel/fr/le-chambard.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from=searchresults#hotelTmpl,"9,0",319 expériences vécues,Kaysersberg,"9-13 Rue Du General De Gaulle, 68240 Kaysersberg, France","7.23854318553511,48.1206055363394,7.29248508518632,48.1565363694856","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Relais et Châteaux Le Chambard
Situé à Kaysersberg, le Relais et Châteaux Le Chambard vous propose des hébergements confortables et luxueux. Vous bénéficierez d’une atmosphère chaleureuse et conviviale dans cet établissement 5 étoiles à la gestion familiale. Une connexion Wi-Fi est accessible gratuitement dans l’ensemble de l’établissement.
Les chambres sont entièrement équipées. Vous pourrez choisir de séjourner dans une suite pour un séjour encore plus luxueux. Tous les hébergements disposent d’une télévision à écran plat et d’une salle de bains privative pourvue d’une baignoire ou d’une douche.
Vous pourrez savourer des spécialités locales typiques au Bib Gourmand Winstub ou des plats raffinés accompagnés de bons vins à La table d'Olivier Nasti, un restaurant 2 étoiles au guide Michelin et 5 toques Gault & Millau.
Vous trouverez de nombreux sentiers de randonnée et de promenade dans les environs de l’établissement. Le marché de Noël de Kaysersberg se situe à 100 mètres. Un parking privé est disponible gratuitement sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Relais et Châteaux Le Chambard accueille des clients Booking.com depuis le 26 déc. 2008.
Chaîne hôtelière/marque: Relais & Châteaux"
Remparts de Riquewihr Apartments,https://www.booking.com/hotel/fr/remparts-de-riquewihr.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from=searchresults#hotelTmpl,"9,2",86 expériences vécues,Riquewihr,"9 Rue des Cordiers, 68340 Riquewihr, France","7.26957189265458,48.149477807115,7.32354415234359,48.1854086402612","Profitez des services haut de gamme de l'établissement Remparts de Riquewihr Apartments
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Remparts de Riquewihr Apartments ! Connectez-vous pour économiser.
Situés à différentes adresses dans le village historique de Riquewihr, ces appartements indépendants occupent des maisons alsaciennes à colombages du patrimoine national. Certaines disposent d'un jardin d'hiver, d'un balcon ou d'une terrasse et sont construites de manière écologique. Chaque appartement est différent et a sa propre identité. Nous invitons en détail les caractéristiques de chaque appartement au moment de la réservation.
Les appartements disposent d'une cuisine entièrement équipée avec four micro-ondes, lave-vaisselle et bouilloire électrique, ainsi que d'une salle de bains privative. Certaines possèdent des fenêtres oriel avec un jardin d'hiver et un balcon ou une terrasse.
Vous pourrez déguster les célèbres vins alsaciens et découvrir la route des vins alsaciens à proximité.
Un parking public est disponible à proximité de la résidence. La gare de Colmar se trouve à 15 km et la frontière allemande à 30 km. L'aéroport international de Bâle-Mulhouse-Fribourg et la ville de Strasbourg sont accessibles en 1 heure de route.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Remparts de Riquewihr Apartments accueille des clients Booking.com depuis le 27 mars 2012."
Maison Rebleuthof,https://www.booking.com/hotel/fr/maison-rebleuthof.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from=searchresults#hotelTmpl,"9,1",30 expériences vécues,Riquewihr,"7 Cour des Vignerons, 68340 Riquewihr, France","7.26998768603835,48.1493809074363,7.32395984375443,48.1853117405825","Profitez des services haut de gamme de l'établissement Maison Rebleuthof
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison Rebleuthof ! Connectez-vous pour économiser.
La Maison Rebleuthof propose des appartements de luxe indépendants avec une terrasse. Il se situe à Riquewihr, au cœur de la vieille ville, à 200 mètres du marché de Noël de Riquewihr.
Chaque appartement possède un coin salon avec télévision à écran plat haute définition, un lecteur Blu-ray, une chaîne hi-fi et une connexion Wi-Fi gratuite. Leur salle de bains privative est pourvue d'une grande douche, de toilettes, d'un sèche-cheveux, de peignoirs et de serviettes.
Vous préparerez vos repas dans la cuisine équipée d'un lave-vaisselle et d'un four micro-ondes.
Vous profiterez de la salle de sport qui comprend un sauna et un centre de cardio-training. La Maison Rebleuthof est à 15 km de la ville de Colmar et de la route des vins d'Alsace. Un parking privé sur place est disponible moyennant des frais supplémentaires et la location de vélo se fait sur réservation auprès de l'établissement.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Maison Rebleuthof accueille des clients Booking.com depuis le 13 févr. 2014."
Les Balcons De Riquewihr,https://www.booking.com/hotel/fr/les-balcons-de-riquewihr.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",22 expériences vécues,Riquewihr,"2 rue des Remparts, 68340 Riquewihr, France","7.27079114414648,48.1473888138105,7.32476120559106,48.1833196469567","Profitez des services haut de gamme de l'établissement Les Balcons De Riquewihr
Doté d'un barbecue, l'établissement Les Balcons de Riquewihr propose des hébergements à Riquewihr, à 200 mètres de la ville médiévale, de ses boutiques, de ses restautants et du marché de Noël de Riquewihr.
Les logements comprennent un coin repas et un coin salon avec une télévision à écran plat. Une connexion Wi-Fi est disponible gratuitement et l'appartement dispose d'une station d'accueil pour iPod. La cuisine est équipée d'un lave-vaisselle, d'un four et d'un micro-ondes. Un grille-pain et une machine à café sont également fournis. Leur salle de bains privative est pourvue d'une baignoire ou d'une douche et d'articles de toilette gratuits. Le linge de lit est fourni.
L'établissement Les Balcons De Riquewihr possède également une salle de sport et un barbecue. Vous aurez accès à une cour spacieuse et à un parking privé pour voitures et vélos. Vous pourrez réserver un service de navette depuis et vers les aéroports de Strasbourg, de Bale et de Zurich ainsi que les gares de Colmar et de Fribourg. Il est également possible d'organiser la location de voitures et de vélos.
La région est prisée des amateurs de randonnée. L'aéroport de Strasbourg-Entzheim, le plus proche, est implanté à 49 km.
L'établissement Les Balcons De Riquewihr accueille des clients Booking.com depuis le 1 oct. 2015."
Le B Cottage & SPA Privé,https://www.booking.com/hotel/fr/le-b-cottage.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from=searchresults#hotelTmpl,10,5 expériences vécues,Riquewihr,"Lieu dit Kobelsberg, 68340 Riquewihr, France","7.26755694236546,48.1522672231984,7.3215321377438,48.1881980563446","Profitez des services haut de gamme de l'établissement Le B Cottage & SPA Privé
Situé sur les hauteurs de Riquewihr, à seulement 2 minutes à pied du centre-ville, la maison de vacances Le B Cottage dispose d'une terrasse avec barbecue et de 2 jardins. Le marché de Noël de la ville est à 600 mètres. Cet établissement est doté d'un sauna et d'un bain à remous.
Cette maison climatisée comporte une cuisine. Vous pourrez profiter d'une télévision à écran plat.
L'établissement met gratuitement à votre disposition une connexion Wi-Fi et un parking privatif sur place.L'aéroport de Strasbourg-Entzheim, situé à 48 km, est le plus proche.
L'établissement Le B Cottage & SPA Privé accueille des clients Booking.com depuis le 10 août 2015."
Le B. VINTAGE,https://www.booking.com/hotel/fr/le-b-vintage-riquewihr.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from=searchresults#hotelTmpl,"8,0",3 expériences vécues,Riquewihr,"29 rue des Remparts, 68340 Riquewihr, France","7.26824009467401,48.1488272387378,7.32221166974403,48.184758071884","Située à Riquewihr, à 300 mètres du marché de Noël de la ville, la maison de vacances Le B. VINTAGE dispose d'une connexion Wi-Fi gratuite. Cet hébergement comprend un grand balcon donnant sur les environs.
Présentant une décoration rétro et des poutres apparentes, cette maison de vacances comporte un coin salon. La cuisine est équipée d'un lave-vaisselle, d'un four et d'un micro-ondes. Le linge de lit et les serviettes sont fournis au sein de cet hébergement indépendant.
Colmar est à 16 km. L'aéroport international de Strasbourg-Entzheim, le plus proche, est à 50 minutes de route de l'établissement Le B. VINTAGE.
L'établissement Le B. VINTAGE accueille des clients Booking.com depuis le 9 avr. 2017."
L'éclos des vignes - Appartements haut de gamme avec Spa,https://www.booking.com/hotel/fr/gite-les-amandiers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from=searchresults#hotelTmpl,"8,6",136 expériences vécues,Bergheim,"8 Faubourg Saint Pierre, 68750 Bergheim, France","7.32999728131021,48.1885010367625,7.38401065123067,48.2244318699087","Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'éclos des vignes - Appartements haut de gamme avec Spa ! Connectez-vous pour économiser.
Situé à Bergheim, en Alsace, à 14 km de Colmar, le Gîte Les Amandiers dispose d'un barbecue et offre une vue sur le jardin. Fribourg-en-Brisgau se trouve à 43 km. Une connexion Wi-Fi est accessible gratuitement dans l'ensemble de ses locaux.
Les logements comprennent un coin salon et repas. Leur cuisine est équipée d'un four et d'un grille-pain. Vous disposerez également d'un réfrigérateur, d'une machine à café et d'une bouilloire. Leur salle de bains privative est pourvue d'une baignoire ou d'une douche.
Nous avons un Restaurant ouvert les lundis, vendredis et samedis soirs où vous pourrez profiter de Tartes Flambées.
Un panier petit-déjeuner à la carte est disponible sur demande et moyennant des frais supplémentaires.
Vous séjournerez à 38 km de Gérardmer et à 42 km de La Bresse. L'aéroport international de Strasbourg, le plus proche, est à 43 km. Un parking privé est disponible gratuitement sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement L'éclos des vignes - Appartements haut de gamme avec Spa accueille des clients Booking.com depuis le 12 févr. 2016."
Villa Maeva - Logements,https://www.booking.com/hotel/fr/riquewihr-magnifique-appartement-de-120-m2.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArKGyJ0GwAIB0gIkMTJlZjFhZWUtZjc2My00ODNhLWJlMzEtZTJlMTI3NDM3OTUy2AIG4AIB&sid=3045affa10aef7277aab56ba33e5b0ff&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=a8279b1fbe2404cb&srepoch=1672610639&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",68 expériences vécues,Riquewihr,"13 Avenue Jacques Preiss, 68340 Riquewihr, France","7.27395662741536,48.1480385834269,7.32792737258464,48.1839694165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Villa Maeva - Logements ! Connectez-vous pour économiser.
Située au milieu des vignobles alsaciens et des sentiers de randonnée à Riquewihr, la Villa Maeva - Logements propose un hébergement indépendant avec une connexion Wi-Fi gratuite et un coin salon avec une télévision à écran plat.
L'établissement propose 2 appartements dans un bâtiment entièrement rénové datant de la fin du XIXe siècle, avec un parking privé et sécurisé.
Tous les logements comprennent un lave-vaisselle, un four, une machine à café, un micro-ondes et une bouilloire. La cuisine est équipée d'un grille-pain et d'un réfrigérateur.
L'aéroport international de Strasbourg, le plus proche, est implanté à 63 km.
L'établissement Villa Maeva - Logements accueille des clients Booking.com depuis le 22 sept. 2018."
