name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
UNE TERRASSE SUR LA MER 3 pers 2 chambres VUE MER,https://www.booking.com/hotel/fr/une-terrasse-sur-la-mer-cassis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",16 expériences vécues,Cassis,"9 Avenue Maurice Jermini, 13260 Cassis, France",43.21407197,5.53062182,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement UNE TERRASSE SUR LA MER 3 pers 2 chambres VUE MER ! Connectez-vous pour économiser.
Situé à Cassis, à seulement 400 mètres de Bestouan, l'établissement UNE TERRASSE SUR LA MER 3 Chambre 2 Personnes L'EVI MER propose un hébergement en bord de mer avec une terrasse et une connexion Wi-Fi gratuite. Vous pourrez pratiquer diverses activités dans les environs, telles que la randonnée et la plongée avec tuba.
Cet appartement comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la mer. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Un service de location de vélos est assuré sur place.
Vous séjournerez à 1,1 km de la Grande Mer et à 1,6 km de la plage de l'Anse de Corton. L'aéroport le plus proche, celui de Marseille-Provence, est situé à 49 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement UNE TERRASSE SUR LA MER 3 pers 2 chambres VUE MER accueille des clients Booking.com depuis le 23 juin 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
LE REVE BLEU,https://www.booking.com/hotel/fr/le-reve-bleu-cassis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",5 expériences vécues,Cassis,"28 Avenue Jules Ferry, 13260 Cassis, France",43.22062430,5.54076700,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement LE REVE BLEU ! Connectez-vous pour économiser.
Situé à Cassis, à 1,1 km de la Grande Mer et à 1,4 km de Bestouan, l'établissement LE REVE BLEU propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, une piscine extérieure et un jardin. Vous pourrez pratiquer diverses activités dans les environs, telles que le vélo, la randonnée et la plongée avec tuba.
La villa comprend 4 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la piscine.
Lors de votre séjour, vous pourrez profiter d'un barbecue. Un casino est également disponible sur place.
Vous séjournerez à 1,6 km de la plage de l'Anse de Corton et à 19 km du stade Orange Vélodrome. L'aéroport de Marseille-Provence, le plus proche, est implanté à 45 km.
L'établissement LE REVE BLEU accueille des clients Booking.com depuis le 1 déc. 2020."
Le chemin de belle fille,https://www.booking.com/hotel/fr/le-chemin-de-belle-fille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,4",12 expériences vécues,Cassis,"3 Route Pierre Imbert, 13260 Cassis, France",43.21641033,5.55070017,"Offrant une vue sur son jardin, Le chemin de belle fille est situé à Cassis. Il propose une terrasse, un salon commun et une piscine extérieure ouverte en saison. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé.
Certains logements comprennent une cuisine équipée d'un four, d'un lave-vaisselle et d'un micro-ondes.
Un petit-déjeuner continental est servi chaque matin sur place.
Vous séjournerez à proximité de la Grande Mer, de la plage de l'Anse de Corton et de l'Arene. L'aéroport de Marseille-Provence, le plus proche, est implanté à 51 km.
L'établissement Le chemin de belle fille accueille des clients Booking.com depuis le 19 févr. 2022."
Plage & Calanques Cassis,https://www.booking.com/hotel/fr/cote-calanques-cassis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,7",3 expériences vécues,Cassis,"20 Traverse du Soleil, 13260 Cassis, France",43.21200180,5.52763050,"Le Plage & Calanques Cassis est situé à Cassis, à 1,5 km de la Grande Mer et à 1,9 km de la plage de l'Anse de Corton, dans une région propice à la randonnée. Cet hébergement climatisé se trouve à 300 mètres de Bestouan. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
L'appartement comprend 2 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la ville.
Un barbecue est à votre disposition sur place.
Vous séjournerez à 21 km du stade Orange Vélodrome et de la station de métro Rond-Point du Prado. L'aéroport de Marseille-Provence, le plus proche, est implanté à 46 km.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
L'établissement Plage & Calanques Cassis accueille des clients Booking.com depuis le 15 mars 2022."
La douceur de Cassis,https://www.booking.com/hotel/fr/la-douceur-de-cassis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from=searchresults#hotelTmpl,"9,3",111 expériences vécues,Cassis,"16 Avenue du Picouveau, 13260 Cassis, France",43.21500900,5.53095600,"Situé à Cassis, à 500 mètres de Bestouan et à 1,2 km de la Grande Mer, l'établissement La douceur de Cassis propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation et un bar. Vous aurez accès à un balcon.
Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision par câble à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la mer.
Parlant français et anglais, le personnel de la réception ouverte 24h/24 se fera un plaisir de vous fournir des informations pratiques sur la région.
Vous pourrez faire du vélo dans les environs.
Vous séjournerez à 1,7 km de la plage de l'Anse de Corton et à 20 km du stade Orange Vélodrome. L'aéroport de Marseille-Provence, le plus proche, est implanté à 46 km.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement La douceur de Cassis accueille des clients Booking.com depuis le 26 mai 2018."
MISTRAL Gagnant,https://www.booking.com/hotel/fr/mistral-cassis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from=searchresults#hotelTmpl,"8,1",205 expériences vécues,Cassis,"11 Rue Frédéric Mistral, 13260 Cassis, France",43.21537000,5.53719000,"Situé à 5 km du cap Canaille à Cassis, le MISTRAL Gagnant propose des hébergements dotés de la climatisation et d'une connexion Wi-Fi gratuite.
Tous les logements comprennent une cuisine entièrement équipée, parfaite pour préparer vos repas. Un four, une machine à café et une bouilloire sont par ailleurs fournis. Les serviettes et le linge de lit ne sont pas fournis (en supplément).
L’aéroport de Marseille-Provence se trouve à 50 km.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement MISTRAL Gagnant accueille des clients Booking.com depuis le 9 févr. 2018."
Superb bright flat with balcony and sea view in Cassis - Welkeys,https://www.booking.com/hotel/fr/superb-bright-flat-with-balcony-and-sea-view-in-cassis-welkeys.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from=searchresults#hotelTmpl,"8,1",7 expériences vécues,Cassis,"Avenue de l'Amiral Ganteaume Résidence de la Rade, 13260 Cassis, France",43.21495674,5.53579460,"Offrant une vue sur la ville, le Superb bright flat with balcony and sea view in Cassis - Welkeys est un hébergement situé à Cassis, à 500 mètres de la Grande Mer et à 1,1 km de la plage de l'Anse de Corton. Cet hébergement climatisé se trouve à 500 mètres de Bestouan. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la mer.
Vous séjournerez à 20 km du stade Orange Vélodrome et de la station de métro Rond-Point du Prado. L'aéroport le plus proche, celui de Marseille Provence, est situé à 45 km.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
L'établissement Superb bright flat with balcony and sea view in Cassis - Welkeys accueille des clients Booking.com depuis le 14 juil. 2021."
HPC Suites,https://www.booking.com/hotel/fr/hpc-suites.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,2",833 expériences vécues,Cassis,"10 Avenue Augustin Isnard, 13260 Cassis, France",43.21644024,5.54174572,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement HPC Suites ! Connectez-vous pour économiser.
Doté d'une piscine extérieure commune avec terrasse et vue sur la mer, le HPC Suites est situé dans un parc de 4 000 m2 dans le centre de Cassis. Marseille se trouve à 16 km et la plage la plus proche est accessible en 10 minutes à pied. Un parking privé est disponible gratuitement sur place.
L'établissement a été entièrement rénové en 2019. Dotés d'une terrasse, tous les logements comprennent un coin repas et un coin salon avec une télévision à écran plat. La cuisine est équipée d'un four et d'un micro-ondes. Un grille-pain, un réfrigérateur, des plaques de cuisson et une machine à café sont également fournis. Une connexion Wi-Fi est disponible gratuitement dans l'ensemble de l'établissement. Les serviettes et le linge de lit sont fournis.
Un parking privé sécurisé est disponible gratuitement.
Le port se trouve à 8 minutes à pied et vous trouverez de nombreux restaurants et un marché provençal traditionnel dans le quartier.
Vous pourrez jouer au ping-pong sur place. La région est prisée des amateurs de plongée sous-marine et de vélo. Aix-en-Provence se trouve à 35 km du HPC Suites. L'aéroport de Marseille-Provence, le plus proche, est implanté à 36 km.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement HPC Suites accueille des clients Booking.com depuis le 26 août 2016."
Le Duplex,https://www.booking.com/hotel/fr/le-duplex-cassis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from=searchresults#hotelTmpl,"8,2",129 expériences vécues,Cassis,"11 Rue de la Ciotat, 13260 Cassis, France",43.21505477,5.54057326,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Duplex ! Connectez-vous pour économiser.
Situé à Cassis, à 500 mètres de la Grande Mer et à moins de 1 km de la plage de l'Anse de Corton, l'établissement Le Duplex propose un hébergement climatisé avec un balcon et une connexion Wi-Fi gratuite. Doté d'un parking privé, il se trouve à moins de 1 km de Bestouan.
Cet appartement comprend 2 chambres, une télévision par câble à écran plat, un lave-linge et une salle de bains pourvue d'une baignoire. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.
Le Duplex possède un barbecue. Un casino est disponible sur place. Vous pourrez pratiquer la randonnée et la pêche à proximité.
Vous séjournerez à 20 km du stade Orange Vélodrome et de la station de métro Rond-Point du Prado. L'aéroport de Marseille-Provence, le plus proche, est implanté à 45 km.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Le Duplex accueille des clients Booking.com depuis le 6 févr. 2016."
Cassis centre,https://www.booking.com/hotel/fr/cassis-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApWC0p0GwAIB0gIkYWI0YWMxZTctZWVmNC00M2VjLWFhZDMtYTBkMzY0YzdlNzhm2AIG4AIB&sid=becc8e6564ff8a655a78ce8bf3c4a032&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=732c8893edb0069e&srepoch=1672773927&from_beach_sr=1&from=searchresults#hotelTmpl,"8,6",49 expériences vécues,Cassis,"Le figuier noir 7 Avenue Alphonse Daudet, 13260 Cassis, France",43.21737259,5.53635836,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Cassis centre ! Connectez-vous pour économiser.
Situé à Cassis, à seulement 600 mètres de la Grande Mer, le Cassis centre propose un hébergement avec vue sur la ville, une connexion Wi-Fi et un parking privé gratuits. Offrant une vue sur la montagne, il se trouve à 800 mètres de Bestouan et à 1,2 km de la plage de l'Anse de Corton.
Cet appartement comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la mer. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Une aire de jeux pour enfants est à votre disposition sur place. Un casino est disponible sur place et vous pourrez faire de la randonnée à proximité du centre de Cassis.
Vous séjournerez à 19 km du stade Orange Vélodrome et à 20 km de la station de métro Rond-Point du Prado. L'aéroport de Marseille-Provence, le plus proche, est implanté à 48 km.
C'est le quartier préféré des voyageurs visitant Cassis, selon les commentaires clients indépendants.
L'établissement Cassis centre accueille des clients Booking.com depuis le 24 juin 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
