name,link,review_score,review_count,area,address,coordinates_gps,description
Hotel Lutetia,https://www.booking.com/hotel/fr/lutetia-paris12.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",319 expériences vécues,"6e arr., Paris","45 Boulevard Raspail, 6e arr., 75006 Paris, France","2.299885240868,48.8332785834269,2.354590759132,48.8692094165731","Paris - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L’Hotel Lutetia est un établissement de luxe emblématique situé dans le quartier de Saint-Germain-des-Prés. Implanté sur la rive gauche de la Seine, il se trouve à 5 minutes à pied du grand magasin Le Bon Marché et à 2 km du Musée du Louvre.
Véritable lieu d’intérêt parisien, l’hôtel propose 184 chambres, dont 40 suites et 7 suites signature. Tous les hébergements disposent d'une connexion Wi-Fi gratuite, de systèmes multimédia et de salles de bains en marbre. Certaines chambres comprennent un balcon donnant sur la tour Eiffel, tandis que certaines suites sont pourvues d’un toit-terrasse jouissant d’une vue à 360 degrés sur Paris.
Après une journée bien remplie, vous pourrez vous détendre dans le centre holistique de bien-être Akasha doté d’une salle de sport, d’un sauna, d’un hammam et d’une piscine intérieure de 17 mètres baignée de lumière naturelle. Par ailleurs, une large gamme de soins de spa est dispensée moyennant des frais supplémentaires.
Plusieurs types de petits-déjeuners vous seront proposés chaque matin, y compris des formules sans gluten, halal, kasher et végétariennes. Pour le déjeuner et le dîner, vous pourrez vous rendre à la célèbre brasserie Lutetia ou au restaurant Saint-Germain. Vous aurez également accès à deux cours intérieures différentes, où vous aurez la possibilité de prendre un repas léger. L’hôtel dispose aussi d’un élégant salon à cigares et d’un bar de jazz conçu par Jean Michel Willmotte.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hotel Lutetia accueille des clients Booking.com depuis le 5 janv. 2018."
Veeve - Classic Montparnasse,https://www.booking.com/hotel/fr/veeve-classic-montparnasse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from=searchresults#hotelTmpl,"9,0",1 expérience vécue,"15e arr., Paris","15e arr., 75015 Paris, France","2.29265119754531,48.8260345834269,2.34734880245469,48.8619654165731","Profitez des services haut de gamme de l'établissement Veeve - Classic Montparnasse
Le Veeve - Classic Montparnasse propose un hébergement avec connexion Wi-Fi gratuite à Paris, à 1,6 km du musée Rodin, à 1,7 km du jardin du Luxembourg et à 2,7 km du musée d'Orsay. Il se trouve à 3,5 km de la tour Eiffel et à 3,9 km du jardin des Tuileries.
Cet appartement comprend 2 chambres, une télévision par câble, un lave-linge ainsi qu'une salle de bains pourvue d'une baignoire ou d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle.
Vous séjournerez à 3,2 km de la Sainte-Chapelle et à 3,5 km du musée de l'Orangerie. L'aéroport de Paris-Orly, le plus proche, est implanté à 15 km.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
L'établissement Veeve - Classic Montparnasse accueille des clients Booking.com depuis le 6 juil. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Veeve - Pompidou Hideaway,https://www.booking.com/hotel/fr/veeve-pompidou-hideaway.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from=searchresults#hotelTmpl,"8,5",3 expériences vécues,"1er arr., Paris","rue St Denis, 1er arr., 75001 Paris, France","2.32064245622298,48.8420345834269,2.37535754377702,48.8779654165731","Paris - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Le Veeve - Pompidou Hideaway propose un hébergement avec connexion Wi-Fi gratuite à Paris, à 700 mètres du Centre Pompidou, à moins de 1 km de la cathédrale Notre-Dame et à 8 minutes à pied de la Sainte-Chapelle. Vous séjournerez à 3,1 km de l'opéra Garnier et à 3,9 km du musée d'Orsay.
Cet appartement comprend 2 chambres, une télévision par câble, un lave-linge et une salle de bains pourvue d'une baignoire ou d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle.
Vous séjournerez à proximité du musée du Louvre, du jardin du Luxembourg et de l'opéra Bastille. L'aéroport de Paris-Orly, le plus proche, est implanté à 17 km.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
L'établissement Veeve - Pompidou Hideaway accueille des clients Booking.com depuis le 27 avr. 2018."
Veeve - Rooftop Views By the Canal Saint-Martin,https://www.booking.com/hotel/fr/veeve-by-the-canal-saint-martin.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from=searchresults#hotelTmpl,"9,0",2 expériences vécues,"11e arr., Paris","Avenue Parmentier, 11e arr., 75011 Paris, France","2.34563862946602,48.8490345834269,2.40036137053398,48.8849654165731","Profitez des services haut de gamme de l'établissement Veeve - Rooftop Views By the Canal Saint-Martin
Situé à Paris, à 2,1 km du centre Pompidou, à 2,2 km de l'opéra Bastille et à 3,3 km de la Sainte-Chapelle, le Veeve - Rooftop Views By the Canal Saint-Martin propose un hébergement avec un balcon et une connexion Wi-Fi gratuite.
Cet appartement comprend 2 chambres, une cuisine équipée d'un lave-vaisselle et d'un micro-ondes, ainsi qu'une salle de bains pourvue d'une baignoire ou d'une douche, d'un sèche-cheveux et d'un lave-linge. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 3,5 km du musée du Louvre et à 4,4 km de la cathédrale Notre-Dame. L'aéroport de Paris-Orly, le plus proche, est implanté à 21 km.
L'établissement Veeve - Rooftop Views By the Canal Saint-Martin accueille des clients Booking.com depuis le 12 déc. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Veeve - Natural Heights in the 6th,https://www.booking.com/hotel/fr/veeve-natural-heights-in-the-6th.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from=searchresults#hotelTmpl,N/A,N/A,"6e arr., Paris","Quai des Grands Augusutins, 6e arr., 75006 Paris, France","2.31264573512359,48.8360345834269,2.36735426487641,48.8719654165731","Paris - séjournez au cœur de la ville – Voir la carte
Doté d'une connexion Wi-Fi gratuite et offrant une vue sur le jardin, le Veeve - Natural Heights in the 6th est un hébergement situé au cœur de Paris, à moins de 1 km du jardin du Luxembourg et à 7 minutes à pied de la Sainte-Chapelle. Il se trouve à 2,6 km du musée de l'Orangerie et à 2,8 km du musée Rodin.
Cet appartement comprend une chambre, une télévision par câble, une cuisine équipée avec un lave-vaisselle et un micro-ondes, ainsi qu'une salle de bains pourvue d'une baignoire ou d'une douche.
Vous séjournerez à proximité du musée d'Orsay, du musée du Louvre et de la cathédrale Notre-Dame. L'aéroport de Paris-Orly, le plus proche, est implanté à 17 km."
Veeve - Retro Cool on Rue Saint Paul,https://www.booking.com/hotel/fr/veeve-retro-cool-on-rue-saint-paul.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from=searchresults#hotelTmpl,"2,0",2 expériences vécues,"4e arr., Paris","rue Saint Paul, 4e arr., 75004 Paris, France","2.33364628150145,48.8350345834269,2.38835371849855,48.8709654165731","Paris - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Le Veeve - Retro Cool on Rue Saint Paul est un établissement 5 étoiles idéalement situé dans le centre de Paris, à seulement 1,5 km du Centre Pompidou. Cet appartement 5 étoiles se trouve à moins de 1 km de l'opéra Bastille.
Cet appartement de 2 chambres dispose d'un salon avec une télévision, d'une cuisine entièrement équipée avec un réfrigérateur et un four, ainsi que de 2 salles de bains avec une baignoire ou une douche.
Vous séjournerez à proximité de Paris-Gare-de-Lyon, de la cathédrale Notre-Dame et de la Sainte-Chapelle. L'aéroport de Paris-Orly, le plus proche, est implanté à 17 km.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
L'établissement Veeve - Retro Cool on Rue Saint Paul accueille des clients Booking.com depuis le 11 avr. 2019."
Veeve - Muted Beauty in Batignolles,https://www.booking.com/hotel/fr/veeve-muted-beauty-in-batignolles.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from=searchresults#hotelTmpl,"9,0",1 expérience vécue,"17e arr., Paris","rue des Moines, 17e arr., 75017 Paris, France","2.291626592882,48.8710345834269,2.346373407118,48.9069654165731","Dans le 17ème arr. Situé dans le quartier de Paris, à proximité de la salle de concert La Cigale, le Veeve - Muted Beauty in Batignolles dispose d'une connexion Wi-Fi gratuite et d'un lave-linge. L'établissement se trouve à 3,3 km du musée de l'Orangerie et de l'Arc de Triomphe.
Ce logement comprend un coin salon ainsi qu'une cuisine équipée d'un lave-vaisselle, d'un micro-ondes et d'un réfrigérateur.
Vous séjournerez à 2,8 km de l'opéra Garnier et à 3,2 km du Sacré-Cœur. Enfin, l'aéroport de Paris-Orly, le plus proche, est implanté à 18 km du Veeve - Muted Beauty in Batignolles.
L'établissement Veeve - Muted Beauty in Batignolles accueille des clients Booking.com depuis le 31 janv. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
"InterContinental Paris Le Grand, an IHG Hotel",https://www.booking.com/hotel/fr/intercontinental-paris-le-grand.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",1 657 expériences vécues,"9e arr., Paris","2 Rue Scribe, 9e arr., 75009 Paris, France","2.30251739263986,48.8526572982332,2.3572440957978,48.8885881313794","Paris - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'établissement Intercontinental Paris Le Grand se situe à seulement 30 mètres de l'opéra Garnier et de la station de métro Opéra. Il dispose de 2 restaurants et d'un club de bien-être qui vous propose un sauna et des massages.
Les chambres du Le Grand sont équipées d'une télévision par satellite et par câble, ainsi que d'une connexion Internet. Certaines offrent également une vue sur l'opéra.
Chaque matin, un petit-déjeuner continental est servi au restaurant La Verrière, tandis que Le Café de la Paix propose une cuisine traditionnelle de saison.
L'hôtel Le Grand se trouve à moins de 5 minutes à pied du célèbre grand magasin Les Galeries Lafayette, et à seulement 1 km des Champs-Élysées.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement InterContinental Paris Le Grand, an IHG Hotel accueille des clients Booking.com depuis le 27 févr. 2009.
Chaîne hôtelière/marque: InterContinental Hotels & Resorts"
Le Damantin Hôtel & Spa,https://www.booking.com/hotel/fr/le-damantin-amp-spa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from=searchresults#hotelTmpl,"8,8",790 expériences vécues,"8e arr., Paris","1 Rue Bayard, 8e arr., 75008 Paris, France","2.28033169071924,48.8470935834269,2.33505230928076,48.8830244165731","Paris - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans le VIIIème arrondissement de Paris, l'hôtel Le Damantin Hôtel & Spa vous propose une réception ouverte 24h/24 ainsi qu'un accès gratuit au centre de spa et de bien-être pourvu d'une piscine intérieure et d'un sauna. Construit au XIXème siècle, cet établissement se trouve à moins de 1,5 km du musée de l'Orangerie. Vous bénéficierez gratuitement d'une connexion Wi-Fi.
Toutes les chambres disposent d'une télévision par satellite à écran plat et d'un bureau. Leur salle de bains privative comporte une baignoire. Certaines chambres sont également munies d'un balcon.
Un petit-déjeuner à la carte est servi tous les matins sur place.
Le jardin des Tuileries et le théâtre des Mathurins sont à 1,9 km de l'établissement. Vous séjournerez à 31 km de l'aéroport Charles-de-Gaulle.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Le Damantin Hôtel & Spa accueille des clients Booking.com depuis le 10 août 2018."
Veeve - Chic By Bonne-Nouvelle,https://www.booking.com/hotel/fr/veeve-chic-by-bonne-nouvelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aunnx50GwAIB0gIkZGEzYjIwZWYtOTI2Yi00NWFhLThhYzUtYzJiMzQzYzk1MzI42AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=9936937a5281002a&srepoch=1672606725&from=searchresults#hotelTmpl,N/A,N/A,"10e arr., Paris","Rue d’Hauteville, 10e arr., 75010 Paris, France","2.32263644208365,48.8530345834269,2.37736355791635,48.8889654165731","Situé à Paris, en Île-de-France, le Veeve - Chic By Bonne-Nouvelle est un établissement 5 étoiles doté d'une connexion Wi-Fi gratuite. Cet appartement 5 étoiles se trouve à 1,1 km de la station de métro Gare de l'Est.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur ainsi qu'une salle de bains pourvue d'une baignoire ou d'une douche et d'articles de toilette gratuits.
Vous séjournerez à proximité de la station de métro Gare du Nord, de la gare du Nord et de la gare de l'Est. L'aéroport de Paris-Orly, le plus proche, est implanté à 18 km."
