name,link,review_score,review_count,area,address,coordinates_gps,description
Villa la Renaissance,https://www.booking.com/hotel/fr/villa-la-renaissance-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,2",279 expériences vécues,Bayonne,"12 Chemin de Jacquette, 64100 Bayonne, France","-1.49296952537446,43.4643555834269,-1.44335847462554,43.5002864165731","La Villa la Renaissance propose des chambres à Bayonne, à 600 mètres du parc Ansot et à 1,2 km de la cathédrale Sainte-Marie. Il propose un service d'étage et une terrasse. Le siège de Guyenne et Gascogne se trouve à 700 mètres de l'hôtel et le musée Bonnat-Helleu, le musée des beaux-arts de Bayonne, est à 1,1 km.
Les chambres sont équipées d'une bouilloire. Chaque chambre dispose d'un bureau et d'une télévision à écran plat. Certaines possèdent un balcon. Leur salle de bains privative est pourvue d'une douche et d'un sèche-cheveux.
Un petit-déjeuner continental est servi chaque matin.
Vous séjournerez à proximité de l'hôtel de ville de Bayonne, du jardin botanique et de la préfecture des Pyrénées-Atlantiques. L'aéroport de Biarritz-Pays basque, le plus proche, est implanté à 5 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Villa la Renaissance accueille des clients Booking.com depuis le 15 avr. 2021."
ibis budget Bayonne,https://www.booking.com/hotel/fr/ibis-budget-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from=searchresults#hotelTmpl,"7,7",5 167 expériences vécues,Bayonne,"6 avenue du Grand Basque, 64100 Bayonne, France","-1.48198638823459,43.4711172020657,-1.43236978402485,43.5070480352119","Situé à 2 km du centre historique et de la gare de Bayonne, ainsi qu'à 8 km des plages, l'ibis budget Bayonne dispose d'une réception ouverte 24h/24, ainsi que d'une connexion Wi-Fi et d'un parking gratuits.
Les chambres climatisées sont toutes dotées d'une salle d'eau privative. L’établissement accepte les animaux domestiques moyennant des frais supplémentaires de 10 EUR par animal et par nuit.
Le restaurant Courtepaille sert une cuisine traditionnelle et comporte un grill sur la terrasse. Un petit-déjeuner continental, composé de viennoiseries, de jus de fruits, de brioche, de gâteau, de yaourts, de compote, de fromage et de boissons chaudes, peut être servi dans la salle prévue à cet effet ou sur la terrasse.
L'ibis budget Bayonne se trouve à 500 mètres de l'autoroute A63 et à 7 km de l'aéroport de Biarritz-Anglet-Bayonne. Le musée basque est accessible à 2 km.
L'établissement ibis budget Bayonne accueille des clients Booking.com depuis le 17 juil. 2013.
Chaîne hôtelière/marque: ibis Budget"
Hotel Restaurant Les Genets,https://www.booking.com/hotel/fr/restaurant-les-genets.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from=searchresults#hotelTmpl,"7,6",1 139 expériences vécues,Bayonne,"Rond Point de Maignon, Avenue Du 8 Mai 1945, 64100 Bayonne, France","-1.52064222352068,43.446983548113,-1.47104543192823,43.4829143812592","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Restaurant Les Genets ! Connectez-vous pour économiser.
Situé à 1,5 km de l'autoroute A63, en dehors de Bayonne, l'Hotel Restaurant Les Genets dispose de chambres insonorisées et d'un restaurant servant des spécialités locales.
Les chambres de l'Hotel Restaurant Les Genets sont équipées de la climatisation, d'une télévision à écran LCD et d'une connexion Wi-Fi gratuite. Elles sont décorées dans des tons neutres et avec du mobilier en bois élégant.
Un petit-déjeuner buffet est servi chaque matin dans la salle à manger de l'établissement.
Un parking gratuit est à votre disposition sur place. Le centre d'Anglet se trouve à 3 km. Les plages de Biarritz sont accessibles en seulement 15 minutes en voiture.
L'établissement Hotel Restaurant Les Genets accueille des clients Booking.com depuis le 23 déc. 2006."
Le Petit Nid Douillet de Jéjé,https://www.booking.com/hotel/fr/le-petit-nid-douillet-chez-jeje.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,N/A,N/A,Bayonne,"5 Rue de l'Esté, 64100 Bayonne, France","-1.49305674156218,43.4760938964779,-1.44343604865182,43.5120247296241","Offrant une vue sur la rivière, Le Petit Nid Douillet de Jéjé est un hébergement situé à Bayonne, à 25 km de la gare de Saint-Jean-de-Luz et à 26 km de l'église Saint-Jean-Baptiste. Il est situé à 15 km de la gare de Biarritz-La Négresse et dispose d'une connexion Wi-Fi gratuite ainsi que d'un distributeur automatique de billets.
Cet appartement comprend une chambre, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 39 km de la gare d'Hendaye et de la FICOBA. L'aéroport de Biarritz, le plus proche, est implanté à 12 km.
L'établissement Le Petit Nid Douillet de Jéjé accueille des clients Booking.com depuis le 13 nov. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
jeu de paume,https://www.booking.com/hotel/fr/jeu-de-paume-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from=searchresults#hotelTmpl,"8,9",71 expériences vécues,Bayonne,"1 Rue du Jeu de Paume, 64100 Bayonne, France","-1.49661051635456,43.4718822834269,-1.44699328364544,43.5078131165731","L'établissement Jeu de paume est situé à Bayonne, à 11 km de la gare de Biarritz-La Négresse, à 21 km de la gare de Saint-Jean-de-Luz et à 22 km de l'église Saint-Jean-Baptiste. Cet appartement se trouve à 47 km de Pasaiako portua.
Cet appartement comprend une chambre, une télévision par câble à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un four et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 35 km de la gare d'Hendaye et de la FICOBA. L'aéroport de Biarritz, le plus proche, est implanté à 4 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement jeu de paume accueille des clients Booking.com depuis le 26 avr. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hotel Cote Basque,https://www.booking.com/hotel/fr/cote-basque.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from=searchresults#hotelTmpl,"7,8",3 507 expériences vécues,Bayonne,"2 rue Maubec, 64100 Bayonne, France","-1.49441231374238,43.4782176482312,-1.44478987570311,43.5141484813774","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Cote Basque ! Connectez-vous pour économiser.
L'Hotel Cote Basque est situé au cœur de la ville historique de Bayonne, en face du pont Saint-Esprit. Il propose une connexion Wi-Fi gratuite et des chambres avec salle de bains privative.
Les chambres de l'Hotel Cote Basque sont dotées de la télévision par satellite et de la climatisation. Elles sont accessibles par ascenseur. Un sèche-cheveux peut être fourni sur demande.
Chaque matin, l’hôtel sert un petit-déjeuner buffet complet.
L'Hotel Cote Basque se trouve à 100 mètres de la gare de Bayonne, à 5 km de Biarritz et à 30 km de Saint-Sébastien. Un parking public est disponible à proximité moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hotel Cote Basque accueille des clients Booking.com depuis le 14 janv. 2010."
Duplex Typique Centre Bayonne,https://www.booking.com/hotel/fr/duplex-typique-centre-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from=searchresults#hotelTmpl,"9,2",20 expériences vécues,Bayonne,"3 rue Pannecau, 64100 Bayonne, France","-1.49870063537223,43.4719285834269,-1.44908336462777,43.5078594165731","Situé à Bayonne, à 12 km de la gare de Biarritz-La Négresse et à 22 km de la gare de Saint-Jean-de-Luz, le Duplex Typique Centre Bayonne propose des hébergements avec une connexion Wi-Fi gratuite et une télévision à écran plat. Cet appartement se trouve à 36 km de FICOBA et à 48 km de Pasaiako portua.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous pourrez pratiquer la randonnée, la plongée sous-marine et la plongée avec tuba dans les environs. De plus, l'appartement dispose de diverses installations de sports nautiques.
Le Duplex Typique Centre Bayonne se trouve à 22 km de l'église Saint-Jean-Baptiste et à 36 km de la gare d'Hendaye. L'aéroport de Biarritz-Pays basque, le plus proche, est implanté à 5 km.
L'établissement Duplex Typique Centre Bayonne accueille des clients Booking.com depuis le 14 janv. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel Le Bayonne,https://www.booking.com/hotel/fr/le-bayonne-ha-tel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from=searchresults#hotelTmpl,"7,8",2 633 expériences vécues,Bayonne,"1 Avenue Jean Rostand , 64100 Bayonne, France","-1.50017716249084,43.4670607824165,-1.45056389013672,43.5029916155627","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Bayonne ! Connectez-vous pour économiser.
Installé dans le centre-ville de Bayonne, en Aquitaine, l'Hôtel Le Bayonne vous propose une piscine extérieure chauffée ouverte en saison ainsi qu'un hammam.
Ses chambres disposent d'une connexion gratuite à Internet par fibre optique et d'une télévision par satellite à écran plat. Elles comprennent également la climatisation, un bureau et un téléphone.
Le restaurant de l'hôtel vous fera déguster une cuisine traditionnelle, et vous pourrez savourer des boissons au bar. Tous les matins, vous pourrez démarrer votre journée avec un petit-déjeuner dans la salle à manger ou le confort de votre chambre.
La gare de Bayonne se trouve à 3 km, et un parking privé est disponible sur place moyennant des frais supplémentaires. L'Hôtel Le Bayonne est situé à 7,6 km de Biarritz et à 5,5 km de l'aéroport de Biarritz Pays Basque
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hôtel Le Bayonne accueille des clients Booking.com depuis le 16 avr. 2012."
CENTRE VILLE DE BAYONNE - Appartement 2 pièces,https://www.booking.com/hotel/fr/centre-ville-de-bayonne-appartement-2-pieces.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from=searchresults#hotelTmpl,"9,0",1 expérience vécue,Bayonne,"14 Rue des Tonneliers, 64100 Bayonne, France","-1.49829452631264,43.4721499834269,-1.44867707368736,43.5080808165731","Le CENTRE VILLE DE BAYONNE - Appartement 2 pièces propose un hébergement avec connexion Wi-Fi gratuite à Bayonne, à 12 km de la gare de Biarritz-La Négresse, à 22 km de la gare de Saint-Jean-de-Luz et de l'église Saint-Jean-Baptiste. Vous séjournerez à 47 km de Pasaiako portua.
Cet appartement comprend une chambre, une télévision à écran plat ainsi qu'une cuisine entièrement équipée avec un micro-ondes, un réfrigérateur et un lave-linge.
Vous séjournerez à 35 km de la gare d'Hendaye et à 36 km de FICOBA. L'aéroport de Biarritz-Pays basque, le plus proche, est implanté à 7 km.
L'établissement CENTRE VILLE DE BAYONNE - Appartement 2 pièces accueille des clients Booking.com depuis le 16 juil. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Temporesidence Cathedrale,https://www.booking.com/hotel/fr/temporesidence-cathedrale.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Atfgy50GwAIB0gIkMzY1M2Y4ZmMtMTBlOS00YjM1LWE3MTQtZjQ0YWE1NjlmNDdi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=876868f1793701e1&srepoch=1672671332&from=searchresults#hotelTmpl,"7,9",2 138 expériences vécues,Bayonne,"9 rue Sabaterie, 64100 Bayonne, France","-1.50293297517991,43.471576511126,-1.45331599365973,43.5075073442722","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Temporesidence Cathedrale ! Connectez-vous pour économiser.
Situé à Bayonne, le Temporesidence Cathedrale est à seulement 2,5 km de la gare et à 6 km de Biarritz. Il propose des appartements et des studios spacieux avec une kitchenette entièrement équipée.
Tous les appartements et les studios insonorisés sont dotés une télévision par câble à écran LCD et d'un coin salon séparé. Chacun est pourvu d'un four micro-ondes, d'un réfrigérateur et de plaques de cuisson pour vous permettre de préparer vos repas, que vous pourrez ensuite déguster dans le coin repas. Les hébergements bénéficient d'une connexion Wi-Fi gratuite.
Tous les logements du Temporesidence Cathedrale sont desservis par un ascenseur. La résidence dispose également d'une blanchisserie et d'une bagagerie. Vous apprécierez le parking public à proximité.
Les activités locales comprennent la randonnée à pied. La ville compte de nombreux sites touristiques, tels que le château de Bayonne, le Musée basque et l'église Saint-André.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Temporesidence Cathedrale accueille des clients Booking.com depuis le 8 juin 2011."
