namecity,name,link,review_score,review_count,area,address,coordinates_gps,description
Mont Saint Michel,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",3 565 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France","-1.53776914256384,48.5962811130198,-1.48332088810633,48.632211946166","Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de nombreuses places de parking gratuites.
Les chambres du Mercure Mont Saint Michel sont dotées de la climatisation, d'un plateau/bouilloire et d'une télévision par satellite/câble à écran plat.
Le restaurant Le Pré Salé, célèbre dans la région, prépare de délicieux fruits de mer ainsi que des spécialités régionales. Le bar Le Normandy sert des boissons dans un cadre convivial et décontracté.
Le Mercure Mont Saint Michel vous accueille à 6,5 km de Pontorson et à 52 km de Saint-Malo.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Mercure Mont Saint Michel accueille des clients Booking.com depuis le 7 juil. 2009.
Chaîne hôtelière/marque: Mercure"
Mont Saint Michel,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,8",3 097 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France","-1.53762208153347,48.5996218550758,-1.48317022393605,48.635552688222","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Relais Saint Michel ! Connectez-vous pour économiser.
Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. Les chambres de cet hôtel (à l'exception de la chambre lits jumeaux Saint-Michel avec vue intérieure) possèdent toutes une terrasse privée et certaines vous offrent une vue panoramique sur le Mont-Saint-Michel.
Insonorisées, confortables et spacieuses, les chambres sont dotées d'équipements modernes, dont un minibar et une connexion Wi-Fi gratuite. Leurs salles de bains sont privatives.
Le restaurant de l'hôtel vous servira une cuisine traditionnelle. Lors de votre séjour, vous pourrez prendre un verre ou un repas sur la terrasse qui offre une vue sur le Mont-Saint-Michel.
Un service de navette gratuit s'arrête en face de l'établissement et relie le célèbre Mont-Saint-Michel en seulement 10 minutes. Des gilets de sécurité vous seront proposés si vous souhaitez faire une promenade la nuit. Par ailleurs, si vous arrivez en voiture, vous pourrez profiter d'un espace de stationnement surveillé moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Le Relais Saint Michel accueille des clients Booking.com depuis le 1 déc. 2005."
Mont Saint Michel,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,0",2 039 expériences vécues,Le Mont-Saint-Michel,"Grande Rue, 50170 Le Mont-Saint-Michel, France","-1.53777502133808,48.6171199006609,-1.48330428049602,48.6530507338071","Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Mère Poulard ! Connectez-vous pour économiser.
Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. Décorées dans un style classique, ses chambres donnent sur la baie, l'abbaye ou la cité médiévale.
Toutes les chambres de l'hôtel La Mère Poulard sont équipées d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. Leur salle de bains privative comporte une baignoire.
Au prestigieux restaurant de l'hôtel La Mère Poulard, vous pourrez savourer des plats traditionnels dont sa fameuse omelette connue dans le monde entier. Vous pourrez tranquillement prendre un verre au piano-bar qui surplombe la baie du Mont-Saint-Michel.
L'hôtel possède un magasin spécialisé dans les produits gastronomiques régionaux. La réception est ouverte 24h/24.
Vous pourrez choisir parmi de nombreuses activités dont les randonnées pédestres, les balades à vélo ou bien la visite du Mont-Saint-Michel. Avranches se trouve à 23 minutes de route et Saint-Malo à 45 minutes de La Mère Poulard.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement La Mère Poulard accueille des clients Booking.com depuis le 30 mars 2010."
Mont Saint Michel,Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,1",2 933 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France","-1.53814339058278,48.5989161328681,-1.48369229419352,48.6348469660143","L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. La connexion Wi-Fi est gratuite dans l'ensemble des locaux. Le restaurant sur place sert une cuisine française classique et offre une vue panoramique sur le Mont-Saint-Michel.
Spacieuses et joliment décorées, les chambres sont dotées d'une télévision. Certaines chambres doubles donnent sur la rivière Couesnon.
Vous pourrez prendre un verre au bar de l'hôtel ou sur la terrasse.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Hotel De La Digue accueille des clients Booking.com depuis le 4 oct. 2010."
Mont Saint Michel,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,3",2 490 expériences vécues,Le Mont-Saint-Michel,"Grande Rue, 50170 Le Mont-Saint-Michel, France","-1.53761423137484,48.6173840090681,-1.48314320537748,48.6533148422143","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Terrasses Poulard ! Connectez-vous pour économiser.
Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue.
Décorées dans un style moderne, les chambres sont accessibles par des escaliers. Certaines présentent de grandes fenêtres donnant sur la baie. Toutes sont dotées d'une télévision et d'une salle de bains privative.
Le petit-déjeuner est servi au restaurant de l'Auberge de la Mère Poulard, à 2 minutes à pied. Spécialisé dans la cuisine française et régionale, le restaurant est aussi ouvert pour le déjeuner et le dîner. Vous pourrez également prendre vos repas, des boissons et des collations au restaurant La Confiance sur place.
L'établissement Les Terrasses Poulard comporte un bar, ainsi qu'une réception ouverte 24h/24 avec une bagagerie.
La région constitue un cadre idéal pour diverses activités telles que la pêche, le vélo et la randonnée à pied.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Les Terrasses Poulard accueille des clients Booking.com depuis le 23 déc. 2005."
Mont Saint Michel,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,0",1 581 expériences vécues,Le Mont-Saint-Michel,"Grande Rue , 50170 Le Mont-Saint-Michel, France","-1.537131797379,48.618057567874,-1.48266004412795,48.6539884010202","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Mouton Blanc ! Connectez-vous pour économiser.
Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante.
Les chambres sont réparties dans 3 bâtiments dont un offre des vues sur le Mont-Saint-Michel et un autre comporte des chambres de style médiéval.
Le restaurant du Mouton Blanc vous servira une cuisine locale traditionnelle dans la salle à manger ou sur la terrasse. Vous dégusterez aussi un petit-déjeuner chaque matin.
Enfin lors de votre séjour au Mouton Blanc Hotel, vous pourrez bénéficier de services personnalisés sur demande pour des visites, des loisirs et d'autres activités.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Le Mouton Blanc accueille des clients Booking.com depuis le 21 déc. 2009."
Mont Saint Michel,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,9",2 432 expériences vécues,Le Mont-Saint-Michel,"Route du Mont Saint Michel, 50170 Le Mont-Saint-Michel, France","-1.53793471039279,48.5974159971103,-1.48348523198621,48.6333468302565","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Gabriel ! Connectez-vous pour économiser.
L’Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. Il propose une connexion Wi-Fi gratuite ainsi que des chambres avec salle de bains privative.
Accessibles par des escaliers, les chambres spacieuses de l'hôtel comprennent la télévision par satellite. Chaque hébergement dispose d’une salle de bains pourvue d’une douche.
Un petit-déjeuner buffet est disponible tous les matins. La Rôtisserie sert des spécialités normandes et bretonnes.
L’Hotel Gabriel est situé à 6 minutes en voiture de l’autoroute E401. Vous séjournerez également à 7,3 km de la gare TGV de Pontorson qui dessert Paris.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hotel Gabriel accueille des clients Booking.com depuis le 12 janv. 2010."
Mont Saint Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,9",814 expériences vécues,Le Mont-Saint-Michel,"Grande Rue, 50170 Le Mont-Saint-Michel, France","-1.53711820547634,48.6177225621183,-1.48264681394047,48.6536533952645","L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. Elle allie le charme d'époque des poutres apparentes à des éléments de confort moderne comme une télévision et une connexion Wi-Fi gratuite.
Les chambres de l'Auberge Saint Pierre disposent d'une salle de bains privative avec une baignoire ou une douche. Certaines offrent une vue sur la mer.
L'établissement sert un petit-déjeuner buffet tous les matins. Vous pourrez prendre vos repas au restaurant authentique présent sur place qui sert une cuisine normande traditionnelle et des plats de poisson.
Installé dans la rue principale menant à l'abbaye, cet hôtel constitue un pied-à-terre idéal pour visiter le mont Saint-Michel. Certaines chambres se trouvent dans 2 bâtiments séparés accessibles par de nombreuses marches.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Auberge Saint Pierre accueille des clients Booking.com depuis le 12 déc. 2007."
Mont Saint Michel,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,0",1 293 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France","-1.5373285546326,48.5949724181334,-1.48288171148068,48.6309032512796","Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial.
Cet établissement vous propose des chambres paisibles et confortables entourées de jardins fleuris.
Après une journée de découverte du Mont-Saint-Michel, vous pourrez déguster une délicieuse cuisine régionale dans le cadre pittoresque d'une ancienne ferme.
Le personnel serviable sera heureux de vous recommander un grand nombre de sites d'intérêt et les visites à faire dans la région.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Le Saint Aubert accueille des clients Booking.com depuis le 9 oct. 2009."
Mont Saint Michel,Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AouNx50GwAIB0gIkYzEzMTgxMzctZjk3MC00ZTdiLWE3N2YtODBhMzdlNzUwNTFh2AIG4AIB&sid=98e02cfb30a8401aefb3ff0023cf536e&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=ac427ccf587a021c&srepoch=1672595120&from=searchresults#hotelTmpl,"7,9",959 expériences vécues,Le Mont-Saint-Michel,"La Caserne, 50170 Le Mont-Saint-Michel, France","-1.53813098690421,48.5982972879393,-1.48368055799096,48.6342281210855","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Relais Du Roy ! Connectez-vous pour économiser.
Le Relais Du Roy est un hôtel 3 étoiles situé au bord du Couesnon, à seulement 1,5 km du Mont Saint-Michel et à 50 mètres de la navette gratuite.
Décorées dans un style classique, toutes les chambres comprennent une télévision par satellite à écran plat, un téléphone et un plateau de bienvenue. Elles comprennent également une salle de bains privative pourvue d’une baignoire ou d’une douche, d’articles de toilettes gratuits et d’un sèche-cheveux. Certaines chambres possèdent un balcon.
Un petit-déjeuner buffet est servi tous les matins.
Une épicerie se trouve à moins de 3 minutes à pied. La ville de Pontorson est quant à elle accessible à 7 km. Un espace de stationnement privé est disponible moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Le Relais Du Roy accueille des clients Booking.com depuis le 20 mai 2006."
