name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
WHITE HOUSE DHAVERNAS,https://www.booking.com/hotel/fr/white-house-dhavernas.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from=searchresults#hotelTmpl,"8,6",262 expériences vécues,Amiens,"103 Rue Dhavernas, 80000 Amiens, France",49.88146960,2.29987140,"Situé à Amiens, dans les Hauts-de-France, à proximité de la gare ferroviaire d'Amiens et du musée de Berny, le White House Dhavernas propose un hébergement avec une connexion Wi-Fi et un parking privé gratuits.
Revêtus de parquet, les logements comprennent un coin repas, une cuisine entièrement équipée avec un lave-vaisselle, une télévision par câble à écran plat, ainsi qu’une salle de bains privative avec une douche et un sèche-cheveux. Un four, un micro-ondes, un réfrigérateur et une bouilloire sont également à votre disposition.
Vous pourrez prendre un petit-déjeuner continental ou à la carte sur place.
Le White House Dhavernas possède une terrasse.
Vous séjournerez à 2,2 km du parc des jardins flottants et à 3,6 km du Zénith d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est à 64 km du White House Dhavernas. L'établissement propose un service de navette aéroport gratuit.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement WHITE HOUSE DHAVERNAS accueille des clients Booking.com depuis le 8 févr. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Cottage des Hortillonnages,https://www.booking.com/hotel/fr/le-cottage-des-hortillons.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,3",23 expériences vécues,Amiens,"7 BIS Chemin du Malaquis, 80136 Amiens, France",49.89755206,2.31635948,"Doté d'un barbecue et offrant une vue sur le jardin, l'établissement Le Cottage des Hortillonnages est situé à Amiens, à 1,5 km de la gare et à 5,1 km du Zénith. Offrant une vue sur le lac, il dispose d'un jardin, d'une terrasse et d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Cet appartement climatisé comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité du parc des jardins flottants, du musée Berny et du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 66 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Le Cottage des Hortillonnages accueille des clients Booking.com depuis le 2 févr. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
L’ÉMERAUDE AMIENS,https://www.booking.com/hotel/fr/emeraude-amiens.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from=searchresults#hotelTmpl,"9,7",46 expériences vécues,Amiens,"12 Rue de la Croix Rompue, 80090 Amiens, France",49.87000632,2.30806847,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement L’ÉMERAUDE AMIENS ! Connectez-vous pour économiser.
Situé à 2,6 km de la gare d'Amiens et à 5 km du Zénith d'Amiens, L'ÉMERAUDE AMIENS propose une connexion Wi-Fi gratuite et un court de tennis. Vous pourrez pratiquer diverses activités dans les environs, telles que la randonnée, la pêche et le ping-pong.
Cette maison de vacances comprend une chambre, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine équipée comporte un four et un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Cette maison de vacances sert un petit-déjeuner continental.
Lors de votre séjour à L'ÉMERAUDE AMIENS, vous pourrez profiter d'installations de spa et de bien-être comprenant une salle de sport, un sauna et un bain à remous, ainsi que de massages. Vous pourrez jouer au squash sur place ou faire du vélo dans les environs.
Vous séjournerez à 3,4 km du parc des jardins flottants et du musée Berny. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 63 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement L’ÉMERAUDE AMIENS accueille des clients Booking.com depuis le 14 juin 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
L'amiénoise proche zenith stade cathédrale,https://www.booking.com/hotel/fr/maison-de-ville-amiens.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from=searchresults#hotelTmpl,"9,1",38 expériences vécues,Amiens,"43 Rue de l'Amiral Perrée, 80000 Amiens, France",49.88759260,2.28119700,"Situé à Amiens, à 1,8 km du Zénith et à 2,2 km de la gare, l'établissement L'amiénoise proche zenith stade cathédrale propose des hébergements avec une connexion Wi-Fi gratuite et une télévision à écran plat. Cette maison de vacances se trouve à 2 km de l'université de Picardie Jules Verne et à 2,9 km du tribunal de grande instance d'Amiens.
Cette maison de vacances comprend 3 chambres ainsi qu'une cuisine équipée d'un réfrigérateur, d'un four et d'une machine à café. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 2,1 km du musée Berny et à 2,9 km du parc des jardins flottants. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 63 km.
L'établissement L'amiénoise proche zenith stade cathédrale accueille des clients Booking.com depuis le 9 juin 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
"Holiday Inn Express Amiens, an IHG Hotel",https://www.booking.com/hotel/fr/express-by-holiday-inn.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",2 527 expériences vécues,Amiens,"10 Boulevard Alsace Lorraine, 80000 Amiens, France",49.89167620,2.30775386,"Rénové en avril 2015, le Holiday Inn Express Amiens comprend des chambres confortables avec une connexion Wi-Fi gratuite. Vous séjournerez dans le centre d’Amiens, à seulement 50 mètres de la gare et à 10 minutes à pied de la cathédrale.
Desservis par un ascenseur, tous les hébergements incluent la climatisation, un coffre-fort, une machine à expresso et une télévision haute définition par satellite à écran plat.
Chaque matin, le Holiday Inn Express Amiens sert gratuitement un petit-déjeuner buffet. Vous trouverez de nombreux restaurants dans les environs.
Cet établissement non-fumeurs propose un bar, une salle de sport ainsi que des services de repassage et de blanchisserie. Situé dans les environs, un parking public souterrain est accessible aux voitures d’une hauteur maximale de 1,80 mètre.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Holiday Inn Express Amiens, an IHG Hotel accueille des clients Booking.com depuis le 4 août 2007.
Chaîne hôtelière/marque: Holiday Inn Express"
LES PERLES AMIENOISES✩BLACK PEARL☆HYPER CENTRE☆,https://www.booking.com/hotel/fr/les-perles-amienoisesblack-pearlhyper-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from=searchresults#hotelTmpl,"9,3",17 expériences vécues,Amiens,"23 Rue Lamartine, 80000 Amiens, France",49.89256250,2.30528440,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement LES PERLES AMIENOISES✩BLACK PEARL☆HYPER CENTRE☆ ! Connectez-vous pour économiser.
L'établissement LES PERLES AMIENOISES est situé à 3,8 km du Zénith d'Amiens, à 800 mètres du parc des jardins flottants et à 400 mètres du musée Berny.Le ✩BLACK PEARL☆HYPER CENTRE☆ propose un hébergement à Amiens. Il est situé à 400 mètres de la gare d'Amiens et dispose d'une réception ouverte 24h/24.
Doté d'une connexion Wi-Fi gratuite, cet appartement 1 chambre dispose d'une télévision à écran plat et d'une cuisine avec un réfrigérateur et un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 500 mètres du tribunal de grande instance d'Amiens et à 5,1 km de l'université de Picardie Jules Verne. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 66 km.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement LES PERLES AMIENOISES✩BLACK PEARL☆HYPER CENTRE☆ accueille des clients Booking.com depuis le 4 déc. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Les Augustins,https://www.booking.com/hotel/fr/les-augustins-amiens.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from=searchresults#hotelTmpl,"7,9",895 expériences vécues,Amiens,"8 Rue des Augustins, 80000 Amiens, France",49.89422900,2.30577800,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Augustins ! Connectez-vous pour économiser.
Situé à Amiens, à moins de 700 mètres de la gare et à 3,5 km du Zénith, l'établissement Les Augustins propose des hébergements avec une connexion Wi-Fi gratuite et un coin salon.
Tous les logements comprennent une cuisine entièrement équipée avec une table à manger, une télévision par câble à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Un réfrigérateur, un four, un micro-ondes, une machine à café et une bouilloire sont également fournis.
Vous séjournerez à proximité du parc des jardins flottants, du musée Berny et du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 65 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Les Augustins accueille des clients Booking.com depuis le 2 déc. 2018."
LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆,https://www.booking.com/hotel/fr/les-perles-amienoises-white-pearl-hyper-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from=searchresults#hotelTmpl,"9,6",8 expériences vécues,Amiens,"23 Rue Lamartine, 80000 Amiens, France",49.89256250,2.30528440,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆ ! Connectez-vous pour économiser.
L'établissement LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆ est situé à Amiens, à 400 mètres de la gare, à 3,8 km du Zénith et à 800 mètres du parc des jardins flottants. Cet appartement se trouve à 5,1 km de l'université de Picardie Jules Verne et à 8 km du club de golf d'Amiens.
Cet appartement comprend une chambre, une télévision à écran plat ainsi qu'une cuisine entièrement équipée avec un micro-ondes et un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 400 mètres du musée Berny et à 500 mètres du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 66 km.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
L'établissement LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆ accueille des clients Booking.com depuis le 18 nov. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hotel Le Prieuré et La Résidence,https://www.booking.com/hotel/fr/le-prieure-amiens.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from=searchresults#hotelTmpl,"8,3",1 163 expériences vécues,Amiens,"17 Rue Porion, 80000 Amiens, France",49.89444519,2.30094239,"L'Hotel Le Prieuré et La Résidence est situé dans le centre-ville d'Amiens, au pied de la cathédrale. Il propose une connexion Wi-Fi gratuite et des chambres décorées de manière personnalisée avec un mobilier d'époque.
Les chambres du Prieuré et La Résidence comprennent une salle de bains privative munie d'une baignoire ou d'une douche. Elles comportent également une télévision et un sèche-cheveux.
Un petit-déjeuner buffet est servi tous les matins dans la salle à manger du Prieuré ornée de lustres en cristal. Vous pourrez vous détendre sur la terrasse et dans la cour de l'établissement.
L'Hotel Le Prieuré et La Résidence se trouve à seulement 900 mètres de la gare SNCF d'Amiens. L'aéroport d'Amiens-Glisy est à 15 minutes en voiture.
C'est le quartier préféré des voyageurs visitant Amiens, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Hotel Le Prieuré et La Résidence accueille des clients Booking.com depuis le 17 nov. 2010."
Au Coeur d'Amiens,https://www.booking.com/hotel/fr/maison-au-coeur-de-la-ville-amiens1.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AtWl0Z0GwAIB0gIkOTY0ODc4ZjktMjUyYy00MWNjLTgyZDEtZTQ5OTkxOThiODgw2AIG4AIB&sid=507addc170856d19ab4da5f9135b8beb&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=20547170fe12029a&srepoch=1672762082&from=searchresults#hotelTmpl,"9,1",40 expériences vécues,Amiens,"15 Boulevard du Cange, 80000 Amiens, France",49.89615530,2.30636810,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Au Coeur d'Amiens ! Connectez-vous pour économiser.
Situé à Amiens, à seulement 1 km de la gare, l'établissement Au Coeur d'Amiens propose un service de prêt de vélos, un jardin et une réception ouverte 24h/24. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble des locaux et d'un parking privé sur place.
Cette maison de vacances comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la ville. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Un barbecue est à votre disposition sur place.
Vous séjournerez à proximité du parc des jardins flottants, du musée Berny et du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 65 km.
L'établissement Au Coeur d'Amiens accueille des clients Booking.com depuis le 18 janv. 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
