name,link,review_score,review_count,area,address,coordinates_gps,description
Grand Hôtel Des Thermes,https://www.booking.com/hotel/fr/desthermessaintmalo.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from=searchresults#hotelTmpl,"8,1",506 expériences vécues,"Sillon, Saint-Malo","100 bd hebert, Sillon, 35400 Saint-Malo, France","-2.02659308267528,48.6398724640533,-1.97209776090688,48.6758032971995","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Grand Hôtel Des Thermes
Situé en bord de mer, le Grand Hôtel Des Thermes est un établissement de style Belle Époque doté d'un spa et d'une piscine intérieure. Il propose des chambres à la décoration raffinée, certaines munies d'un balcon et offrant une vue sur la mer.
Toutes les chambres disposent d'un minibar et d'une connexion Internet. Certaines comprennent un salon et offrent une vue sur la ville.
Le restaurant de l'établissement, le Cap Horn, sert une cuisine gastronomique et offre une vue sur la mer. Vous pourrez déguster des cocktails ou une viennoiserie dans l'après-midi au bar La Passerelle. Un petit-déjeuner continental est proposé tous les matins.
Le Grand Hôtel Des Thermes possède également une salle de sport et une piscine Aquatonic. Une navette vous permettra d'accéder à un centre de thalassothérapie. La réception de l'hôtel est ouverte 24h/24.
L'établissement se trouve à 1,5 km de la gare de Saint-Malo, et un parking privé est disponible sur place. Des bornes de recharge pour véhicules électriques sont par ailleurs à votre disposition.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Grand Hôtel Des Thermes accueille des clients Booking.com depuis le 24 avr. 2005."
Résidence Premium Le Bénétin- Saint Malo,https://www.booking.com/hotel/fr/la-maison-du-benetin.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from=searchresults#hotelTmpl,"9,0",175 expériences vécues,"Rotheneuf, Saint-Malo","4 Chemin des Rochers Sculptés, Rotheneuf, 35400 Saint-Malo, France","-1.99498430486904,48.6681240054116,-1.94045841844024,48.7040548385578","Profitez des services haut de gamme de l'établissement Résidence Premium Le Bénétin- Saint Malo
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Résidence Premium Le Bénétin- Saint Malo ! Connectez-vous pour économiser.
La Résidence Premium Le Bénétin- Saint Malo propose une chambre et des appartements indépendants avec connexion Wi-Fi gratuite, présentant un décor moderne, à 300 mètres de la plage du Val et à 7 km du centre de Saint-Malo.
Desservi par un ascenseur, l'hébergement est revêtu de parquet. Il comprend une télévision à écran plat dans le salon et dans la chambre. La salle de bains est pourvue d'articles de toilette gratuits, d'un sèche-cheveux, d'une baignoire ou d'une douche. Certains appartements offrent une vue panoramique sur la mer.
Les appartements de la Résidence Premium Le Bénétin- Saint Malo comportent une cuisine équipée d'une cuisinière, d'un four, d'un lave-vaisselle, d’un réfrigérateur, d'un micro-ondes et d'ustensiles de cuisine. Vous disposerez également d'une machine à café Nespresso.
L’établissement possède un restaurant, Le Benetin, qui offre une vue sur la mer et sert une cuisine raffinée.
Par ailleurs, vous profiterez d'un service de concierge et d’un parking gratuit. L’établissement est à 5 km du quai de Saint-Malo et à 7 km de la cathédrale de Saint-Malo. Les rochers sculptés sont à 120 mètres.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Résidence Premium Le Bénétin- Saint Malo accueille des clients Booking.com depuis le 12 mai 2014."
LES AMARRES - Maison familiale 3 chambres - Jardin et place de parking,https://www.booking.com/hotel/fr/les-amarres-maison-familiale-3-chambres-jardin-et-place-de-parking.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from=searchresults#hotelTmpl,"9,2",21 expériences vécues,Saint-Malo,"10 avenue des cottages, 35400 Saint-Malo, France","-2.02244587347301,48.6297174834269,-1.96796152652699,48.6656483165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement LES AMARRES - Maison familiale 3 chambres - Jardin et place de parking ! Connectez-vous pour économiser.
Situé à moins de 1,9 km de la plage de Rochebonne et à 2,5 km de celle d'Eventail, l'établissement LES AMARRES - Maison familiale 3 chambres - Jardin et place de parking dispose d'une connexion Wi-Fi gratuite et d'une terrasse. Situé à 1,4 km de la plage du Sillon, il possède un jardin et un parking privé gratuit.
Cette maison de vacances comprend 3 chambres, une cuisine avec réfrigérateur et four, ainsi que 2 salles de bains avec douche, articles de toilette gratuits et lave-linge. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 2,3 km du palais du Grand Large et à 2,4 km du casino Barrière de Saint-Malo. L'aéroport de Jersey, le plus proche, est implanté à 73 km.
L'établissement LES AMARRES - Maison familiale 3 chambres - Jardin et place de parking accueille des clients Booking.com depuis le 18 févr. 2022."
La Maison des Armateurs,https://www.booking.com/hotel/fr/la-maison-des-armateurs.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from=searchresults#hotelTmpl,"8,5",1 208 expériences vécues,"Intra muros, Saint-Malo","6, Grand Rue, Intra muros, 35400 Saint-Malo, France","-2.05187628426165,48.6312397845694,-1.99739029250531,48.6671706177156","Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans le centre historique de Saint-Malo, l’établissement La Maison des Armateurs vous accueille à 5 minutes à pied de la cathédrale et à 120 mètres du port de plaisance. Cet hôtel 4 étoiles propose une connexion Wi-Fi gratuite, un bar sur place et des journaux quotidiens.
Ses chambres disposent d'un minibar et d'une télévision par satellite à écran plat. Climatisées, elles comprennent également une armoire. Leur salle de bains privative est pourvue d'articles de toilette gratuits.
Un petit-déjeuner continental ou américain vous sera servi tous les matins dans la salle prévue à cet effet. Vous pourrez aussi le déguster dans le confort de votre chambre.
L'hôtel possède une réception ouverte 24h/24 avec une bagagerie. Un service de navette depuis et vers le Mont-Saint-Michel est disponible moyennant des frais supplémentaires. Vous séjournerez à 13 km de l'aéroport de Pleurtuit et à 800 mètres de la gare de Saint-Malo.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement La Maison des Armateurs accueille des clients Booking.com depuis le 14 févr. 2012."
Residence Reine Marine,https://www.booking.com/hotel/fr/residence-reine-marine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from=searchresults#hotelTmpl,"8,3",943 expériences vécues,Saint-Malo,"65/67 Avenue John Fitzgerald Kennedy, 35400 Saint-Malo, France","-2.01079561536525,48.6511696142115,-1.95628807718541,48.6871004473577","Située sur la plage la résidence vous offre un panorama exceptionnel sur la baie de saint-malo. Cette résidence 4 étoiles propose 67 appartements de grand confort pouvant accueillir de 2 à 6 personnes, entièrement équipés et décorés avec raffinement.
Piscine couverte et chauffée, hammam, parking gratuit, accès direct à la plage, à quelques minutes du centre de thalasso & Spa des Thermes Marins, du golf, du Mont Saint Michel et de toutes activités nautiques à proximité.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Residence Reine Marine accueille des clients Booking.com depuis le 25 juin 2008."
Apartment Le 1727,https://www.booking.com/hotel/fr/apartment-le-1725-1727.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from=searchresults#hotelTmpl,"9,7",32 expériences vécues,"Intra muros, Saint-Malo","1 Rue d'Asfeld, Intra muros, 35400 Saint-Malo, France","-2.05149270084982,48.6288425834269,-1.99700929915018,48.6647734165731","Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé à seulement 5 minutes à pied de la plage, l'Apartment Le 1725 - Le 1727 propose un hébergement à Saint-Malo, dans un bâtiment historique construit en 1727. Vous séjournerez à 600 mètres du casino de la ville et à 800 mètres de l'Espace Duguay Trouin.
Cet appartement se compose de 3 chambres indépendantes, dont une suite avec une douche et une autre suite munie d'une baignoire.
Des bars, des restaurants et des magasins se trouvent à proximité de l'appartement.
De nombreuses activités sont possibles dans les environs, comme les sports nautiques, la randonnée et le vélo. Vous séjournerez à 8 minutes de route de la gare de Saint-Malo et à 8 km de l'aéroport de Dinard-Bretagne. Un parking public est disponible à quelques pas.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
L'établissement Apartment Le 1727 accueille des clients Booking.com depuis le 25 juin 2018."
Oceania Saint Malo,https://www.booking.com/hotel/fr/oceaniasaintmalo.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",1 805 expériences vécues,"Sillon, Saint-Malo","Chaussée du sillon, Sillon, 35400 Saint-Malo, France","-2.0456763956912,48.6337914693277,-1.99118764659091,48.6697223024739","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Oceania Saint Malo ! Connectez-vous pour économiser.
Donnant sur la mer, l'Oceania Saint Malo se situe sur la Chaussée du Sillon, en face de la plage du même nom et à 450 mètres du port de plaisance de Saint-Malo. Il propose des chambres luxueuses et un accès gratuit au spa et à la piscine.
Les logements disposent de la climatisation et de parquet. Ils sont également dotés d'une télévision à écran plat, d'une connexion Wi-Fi gratuite et d'une salle de bains spacieuse.
Vous profiterez d'une terrasse offrant une vue panoramique sur la mer. Le jacuzzi à ciel ouvert vous attend sur la terrasse. La salle de sport est dotée d'équipements ultramodernes. Des massages sont dispensés moyennant des frais supplémentaires.
Le bar-salon de l'Oceania Saint Malo sert différents cocktails ou boissons et accueille des réceptions privées. Il prépare un menu pour le dîner. Tous les matins, vous pourrez déguster un petit-déjeuner sur place.
L'Oceania se trouve à 1,5 km de la gare de Saint-Malo et à 7 km de l'aéroport Dinard Bretagne. Un parking est disponible sur place. Le personnel de la réception parle français, anglais, espagnol et allemand.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Oceania Saint Malo accueille des clients Booking.com depuis le 14 déc. 2005."
Hôtel Le Nouveau Monde,https://www.booking.com/hotel/fr/ha-tel-le-nouveau-monde.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",700 expériences vécues,"Sillon, Saint-Malo","64, Chaussée du Sillon, Sillon, 35400 Saint-Malo, France","-2.03867673115306,48.635458854676,-1.98418618007131,48.6713896878221","L'Hôtel Le Nouveau Monde est situé en bord de mer, à 5 minutes à pied du centre historique de Saint-Malo et à 950 mètres du port de plaisance. Il possède un restaurant offrant une vue sur la mer ainsi qu'un spa doté d'une piscine intérieure et d'un hammam, et où des soins de beauté vous seront dispensés.
Décorées dans un style contemporain, les chambres spacieuses donnent sur la ville ou la mer. Toutes insonorisées, elles sont équipées d'une connexion Wi-Fi gratuite et d'une télévision par satellite.
Le petit-déjeuner servi chaque matin dans le restaurant peut également être dégusté dans votre chambre. Le restaurant vous invite à savourer une cuisine internationale, tandis que vous pourrez admirer la vue sur la baie de Saint-Malo en dégustant une boisson au bar.
Le Mont-Saint-Michel se trouve à 55 km de l'Hôtel Le Nouveau Monde. Enfin, des ferrys pour Portsmouth et Weymouth partent du port de Saint-Malo, à 2,5 km.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Hôtel Le Nouveau Monde accueille des clients Booking.com depuis le 27 mars 2012."
LE TIMONIER by Cocoonr,https://www.booking.com/hotel/fr/le-timonier.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from=searchresults#hotelTmpl,"9,0",17 expériences vécues,"La Cité, Saint-Malo","8 Rue Duport Dutertre, 35400 Saint-Malo, France","-2.04805922665305,48.6168535834269,-1.99358877334695,48.6527844165731","Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la mer, l'établissement LE TIMONIER by Cocoonr est situé au cœur de Saint-Malo, à seulement 300 mètres de la plage des Bas-Sablons et à 1,1 km de celle des Fours à Chaux. Cet appartement se trouve à 2,3 km de la plage de Mole et à 2,5 km de celle d'Eventail.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 1,5 km de la plage du Rosais et à 2,2 km de celle de Bon Secours. L'aéroport de Jersey, le plus proche, est implanté à 71 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement LE TIMONIER by Cocoonr accueille des clients Booking.com depuis le 14 nov. 2018."
L'AccrocheCoeur,https://www.booking.com/hotel/fr/l-39-accrochecoeur.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AsmVx50GwAIB0gIkNGQxOTQyMDctOGFkMy00MmU5LThiYjItMTY2YmEwYjllZmI32AIG4AIB&sid=eb9ed6bc826f3f698df4e473ab6680e1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=0ff47eeb4f2002f7&srepoch=1672596201&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,3",386 expériences vécues,"Intra muros, Saint-Malo","9 Rue Thevenard, Intra muros, 35400 Saint-Malo, France","-2.05430741878795,48.6301715834269,-1.99982258121205,48.6661024165731","Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Idéalement situé dans le centre de Saint-Malo, L'AccrocheCoeur propose un petit-déjeuner continental et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Cette maison d'hôtes 4 étoiles propose un salon commun et un service de concierge. Cet établissement non-fumeurs se trouve à 200 mètres de la plage de Bon Secours.
Les chambres de cette maison d'hôtes comprennent un bureau. Leur salle de bains privative est pourvue d'une douche et d'articles de toilette gratuits. Toutes les chambres sont équipées d'une machine à café et d'un iPad.
Vous séjournerez à proximité des plages de Mole, d'Eventail et de Grand Bé. L'aéroport de Jersey, le plus proche, est implanté à 71 km.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement L'AccrocheCoeur accueille des clients Booking.com depuis le 21 juin 2021."
