name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Résidence Saint Vincent,https://www.booking.com/hotel/fr/residence-saint-vincent.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",155 expériences vécues,Collioure,"9 rue saint vincent, 66190 Collioure, France",42.52730095,3.08423268,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Résidence Saint Vincent ! Connectez-vous pour économiser.
Située à 80 mètres de la plage de Boramar à Collioure, la Résidence Saint Vincent propose des hébergements climatisés avec connexion Wi-Fi gratuite.
Tous les logements disposent d'une cuisine équipée, d'un salon avec un canapé-lit et une télévision à écran plat ainsi que d'une salle de bains privative avec des articles de toilette gratuits et une douche. Un réfrigérateur, un micro-ondes, des plaques de cuisson et une machine à café sont également fournis.
Vous pourrez pratiquer la randonnée et la pêche à proximité.
Vous séjournerez à proximité des plages du Nord, de Saint-Vincent et du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 41 km.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Résidence Saint Vincent accueille des clients Booking.com depuis le 1 juin 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Les Roches Brunes,https://www.booking.com/hotel/fr/les-roches-brunes-collioure.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1",594 expériences vécues,Collioure,"Route de Port-Vendres, 66190 Collioure, France",42.52534777,3.09032446,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Roches Brunes ! Connectez-vous pour économiser.
Situé à Collioure, à 70 mètres de la plage de Balette, l'établissement Les Roches Brunes propose un jardin, un parking privé gratuit, une terrasse et un restaurant. Doté d'un bar, cet hôtel 4 étoiles propose des chambres climatisées avec salle de bains privative. Vous pourrez profiter d'une vue sur la mer.
Les chambres sont équipées d'une télévision à écran plat. Chaque chambre est équipée d'un coffre-fort, tandis que certaines possèdent un balcon.
Un petit-déjeuner buffet et continental est servi tous les matins sur place.
Vous séjournerez à proximité des plages de Boutigue, de Saint-Vincent et du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est à 42 km.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Les Roches Brunes accueille des clients Booking.com depuis le 15 janv. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
La Frégate,https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from=searchresults#hotelTmpl,"8,2",1 130 expériences vécues,Collioure,"24 Boulevard Camille Pelletan, 66190 Collioure, France",42.52638625,3.08325659,"Situé à Collioure, l'établissement La Frégate dispose d'un salon commun, d'une terrasse, d'un restaurant et d'un bar. L'établissement se trouve à moins de 1 km de la plage de la Balette, à 1 minute à pied du château royal de Collioure et à 33 km du stade Gilbert Brutus. Cet établissement non-fumeurs se trouve à 200 mètres de la plage de Boramar.
L’hôtel sert un petit-déjeuner continental.
Durant votre séjour à La Frégate, vous pourrez pratiquer des activités variées à Collioure et dans ses environs, comme la randonnée.
Les lieux d’intérêt prisés à proximité incluent les plages Nord, de Port d’Avall et du Boutigue. L’aéroport de Perpignan-Rivesaltes, le plus proche, est situé à 42 km de l’établissement La Frégate.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement La Frégate accueille des clients Booking.com depuis le 22 févr. 2010.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Mas des Citronniers,https://www.booking.com/hotel/fr/lesmasdescitronniers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from=searchresults#hotelTmpl,"8,0",1 110 expériences vécues,Collioure,"22 Avenue de La Republique, 66190 Collioure, France",42.52538159,3.08256391,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Mas des Citronniers ! Connectez-vous pour économiser.
Situé dans le centre de Collioure, à seulement 250 mètres de la plage, le Mas des Citronniers propose des chambres climatisées dans un bâtiment traditionnel catalan. Une connexion Wi-Fi est fournie gratuitement dans tout l'établissement.
Les chambres de l'hôtel Le Mas des Citronniers sont décorées dans des tons vifs. Chacune est pourvue d'une télévision à écran plat, d'un bureau, d'un petit réfrigérateur et d'une salle de bains privative. Certaines comprennent une terrasse avec vue sur le jardin.
Un petit-déjeuner buffet est servi chaque matin dans la salle de l'hôtel prévue à cet effet. Vous aurez également la possibilité d'apprécier un petit-déjeuner complet servi en chambre sur demande. Veuillez noter que le petit-déjeuner est en supplément.
La réception de l'hôtel Le Mas des Citronniers est ouverte 24h/24. Vous disposerez de journaux gratuits.
La gare de Collioure est implantée à 550 mètres de l'établissement, tandis que le château royal est à 300 mètres.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Le Mas des Citronniers accueille des clients Booking.com depuis le 29 juin 2005."
Bel appartement pour 4 personnes - 4SAP22,https://www.booking.com/hotel/fr/residence-saphir-4sa711.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from=searchresults#hotelTmpl,"7,7",21 expériences vécues,Collioure,"residence Saphir Route Imperiale 1b, 66190 Collioure, France",42.52434874,3.09014887,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Bel appartement pour 4 personnes - 4SAP22 ! Connectez-vous pour économiser.
Offrant une vue sur la mer, le Bel appartement pour 4 personnes - 4SAP22 propose un hébergement avec un balcon et une machine à café, à environ 500 mètres de la plage de Boutigue. Situé à 200 mètres de la plage de Balette, il dispose d'une terrasse et d'un parking privé gratuit.
Cet appartement comprend 2 chambres, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un réfrigérateur et d'un lave-vaisselle.
Vous séjournerez à 700 mètres de la plage de Port Avall et à 1,1 km du château royal de Collioure. L'aéroport le plus proche est celui L'aéroport de Perpignan-Rivesaltes, à 44 km du Bel appartement pour 4 personnes - 4SAP22.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
L'établissement Bel appartement pour 4 personnes - 4SAP22 accueille des clients Booking.com depuis le 7 févr. 2018."
Les Suites de Collioure,https://www.booking.com/hotel/fr/les-suites-de-collioure.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",230 expériences vécues,Collioure,"16 avenue du Général de Gaulle, 66190 Collioure, France",42.52439000,3.08272600,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Suites de Collioure ! Connectez-vous pour économiser.
Situé à Collioure, à 200 mètres de la plage de Port Avall et à 400 mètres de celle de Boramar, l'établissement Les Suites de Collioure propose une vue sur la ville et une connexion Wi-Fi gratuite.
Les logements comprennent la climatisation, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Un réfrigérateur, un four, un lave-vaisselle, une machine à café et une bouilloire sont également fournis.
Vous séjournerez à proximité des plages de Boutigue, de Balette et du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 42 km.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Les Suites de Collioure accueille des clients Booking.com depuis le 6 août 2020."
Résidence du Soleil,https://www.booking.com/hotel/fr/residence-du-soleil-collioure.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,8",412 expériences vécues,Collioure,"B 7 Rue du Soleil, 66190 Collioure, France",42.52311754,3.08542530,"Situé dans le centre-ville de Collioure, à 400 mètres du château royal et à 100 mètres de la plage, cet appartement dispose d'une terrasse et d'un jardin. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
La cuisine est équipée d'un four et d'un micro-ondes. Il dispose également d'une télévision à écran plat. La Résidence du Soleil comporte également un barbecue.
La région est prisée des amateurs de plongée sous-marine et avec tuba. Vous aurez la possibilité de pratiquer différentes activités dans les environs, telles que le vélo et la pêche. L'aéroport de Perpignan-Rivesaltes est implanté à 30 km.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Résidence du Soleil accueille des clients Booking.com depuis le 8 mai 2017."
Hotel Méditerranée,https://www.booking.com/hotel/fr/mediterranee-collioure.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",849 expériences vécues,Collioure,"Avenue Aristide Maillol, 66190 Collioure, France",42.52708254,3.08026291,"Doté d'un jardin de style méditerranéen et d'une terrasse, l'Hotel Méditerranée se trouve à Collioure, à 5 minutes de marche de la plage la plus proche. Une connexion Wi-Fi gratuite et un parking privé sont mis à votre disposition sur place.
Toutes les chambres sont climatisées et pourvues d'un balcon et d'une télévision par satellite à écran plat. Elles possèdent également un réfrigérateur, un téléphone et un coffre-fort. Chaque chambre dispose d'une salle de bains avec une baignoire ou une douche.
Un petit-déjeuner buffet est servi tous les matins, et vous pourrez le déguster sur la terrasse par beau temps.
L'établissement propose une bagagerie.
Argèles-sur-Mer se situe à 7,3 km et la frontière espagnole est à 26 km. L'aéroport de Perpignan-Rivesaltes est le plus proche, à 38 km.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Hotel Méditerranée accueille des clients Booking.com depuis le 10 déc. 2009."
Appartement de charme à 50m de la plage de sable,https://www.booking.com/hotel/fr/appartement-de-charme-a-50m-de-la-plage-de-sable.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from=searchresults#hotelTmpl,"8,6",41 expériences vécues,Collioure,"4 Rue Nungesser et Coli, 66190 Collioure, France",42.52388210,3.08440230,"L'Appartement de charme à 50m de la plage de sable est situé à Collioure, à 100 mètres de la plage de Port Avall et à 300 mètres de celle de Boutigue, dans une région propice à la pêche. Offrant une vue sur la ville et la mer, cet appartement dispose également d'une connexion Wi-Fi gratuite.
Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous séjournerez à proximité des plages de Balette, de Boramar et du château royal de Collioure. L'aéroport de Perpignan-Rivesaltes, le plus proche, est implanté à 42 km.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Appartement de charme à 50m de la plage de sable accueille des clients Booking.com depuis le 22 août 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Madeloc Hôtel & Spa,https://www.booking.com/hotel/fr/madeloc.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvW40p0GwAIB0gIkYjY0Y2RhYjgtODFkZi00NmVkLWI4ZWMtNDViZWNlZGU3ZTJl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7853964098f400e3&srepoch=1672780930&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",711 expériences vécues,Collioure,"24 Rue Romain Rolland, 66190 Collioure, France",42.52876467,3.07865426,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Madeloc Hôtel & Spa ! Connectez-vous pour économiser.
Situé à 500 mètres du centre-ville de Collioure et à 10 minutes à pied de la plage, l'hôtel Madeloc propose une piscine extérieure chauffée ouverte toute l'année, un solarium sur le toit, un jacuzzi et un hammam. Des soins de beauté et des massages sont dispensés sur demande.
Présentant des tons neutres rehaussés d'une couleur vive, les chambres climatisées de l'établissement comprennent une télévision à écran LCD et un minibar. Certaines sont dotées d'une terrasse ou d'un balcon. Les chambres sont aménagées à l'un des trois étages de l'hôtel et sont uniquement accessibles par des escaliers. L'une d’elles est adaptée aux personnes à mobilité réduite.
Chaque matin, l’établissement sert un petit-déjeuner buffet. Vous pourrez déguster ce repas dans le confort de votre chambre. Par ailleurs, le Madeloc est équipé d'une connexion Wi-Fi gratuite dans l'ensemble de son enceinte.
Cet hôtel possède en outre une boutique de souvenirs vendant des produits locaux, des produits de spa et des bijoux.
L'établissement est implanté à seulement 200 mètres de la gare de Collioure et à 5 minutes de la D914. Il se trouve également à 6,5 km d'Argelès-sur-Mer et à 25,5 km de la frontière espagnole. Sur demande et moyennant des frais supplémentaires, un parking privé est disponible sur place.
C'est le quartier préféré des voyageurs visitant Collioure, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Le Madeloc Hôtel & Spa accueille des clients Booking.com depuis le 20 avr. 2009."
