name,link,review_score,review_count,area,address,coordinates_gps,description
LE MIRAGE - Annecy Centre - Appartement de luxe - V-RENT,https://www.booking.com/hotel/fr/le-mirage-annecy.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",60 expériences vécues,"Centre-ville d'Annecy, Annecy","24 Avenue de Chambéry, 74000 Annecy, France","6.09172737752202,45.8807074834269,6.14345262247798,45.9166383165731","Annecy - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement LE MIRAGE - Annecy Centre - Appartement de luxe - V-RENT ! Connectez-vous pour économiser.
Idéalement situé au cœur d'Annecy, le MIRAGE - Annecy Centre - Appartement de luxe - V-RENT offre une vue sur la ville et dispose d'une terrasse. Vous pourrez pratiquer diverses activités dans les environs, telles que la pêche et la randonnée.
Doté d'un lecteur Blu-ray, l'appartement comprend une cuisine avec un réfrigérateur, un four et un lave-vaisselle, un salon avec des coins salon et repas, 3 chambres ainsi que 2 salles de bains avec une douche et une baignoire. Il dispose également d'une télévision par satellite à écran plat, d'une console de jeux, d'un lecteur DVD, d'un lecteur CD et d'une station d'accueil pour iPod.
Un service de location de vélos est assuré sur place.
Rochexpo et le lac du Bourget se trouvent à 35 km. L'aéroport le plus proche, celui de Chambéry-Savoie, est situé à 41 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
L'établissement LE MIRAGE - Annecy Centre - Appartement de luxe - V-RENT accueille des clients Booking.com depuis le 24 juil. 2019."
le panorama du lac,https://www.booking.com/hotel/fr/le-panorama-du-lac.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from=searchresults#hotelTmpl,"7,7",89 expériences vécues,Annecy,"appartement 407 Avenue du Tresum 15, 74000 Annecy, France","6.10457343772597,45.8766792596442,6.15629493059327,45.9126100927904","Profitez des services haut de gamme de l'établissement le panorama du lac
Vous pouvez bénéficier d'une réduction Genius dans l'établissement le panorama du lac ! Connectez-vous pour économiser.
Offrant une vue sur la montagne, le panorama du lac propose un hébergement avec un balcon et une bouilloire, à environ 36 km de Rochexpo. Vous pourrez pratiquer diverses activités dans les environs, telles que la randonnée, le ski et la pêche.
Cet appartement climatisé comprend 2 chambres, un salon, une cuisine entièrement équipée avec un four et une machine à café ainsi qu'une salle de bains avec un bidet et une douche. Vous profiterez d'un parking privé et d'une connexion Wi-Fi gratuite.
Vous pourrez faire du vélo dans les environs.
Vous séjournerez à 37 km du lac du Bourget et à 42 km du stade de Genève. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 42 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement le panorama du lac accueille des clients Booking.com depuis le 29 juil. 2020."
Panoramique 180 lac et montagne et Nid Secret spa romantique,https://www.booking.com/hotel/fr/panoramique-180-deg-lac-et-montagne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from=searchresults#hotelTmpl,"8,6",47 expériences vécues,Annecy,"15 Chemin du Jouly, 74940 Annecy, France","6.11340821971213,45.9006917834269,6.16515209087787,45.9366226165731","Profitez des services haut de gamme de l'établissement Panoramique 180 lac et montagne et Nid Secret spa romantique
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Panoramique 180 lac et montagne et Nid Secret spa romantique ! Connectez-vous pour économiser.
Situé à 31 km de Rochexpo, le Panoramique 180 lac et montagne et Nid Secret spa romantique propose un spa et centre de bien-être, une terrasse et une réception ouverte 24h/24. La connexion Wi-Fi est gratuite.
Offrant une vue sur le lac ou le jardin, tous les logements comprennent une cuisine, une télévision à écran plat, un lecteur DVD, une armoire, un lave-linge ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Tous les logements sont climatisés et comprennent un coin salon et/ou repas.
Lors de votre séjour, vous pourrez profiter d'un jacuzzi.
La région est prisée pour pratiquer la randonnée et la pêche. Le Panoramique 180 lac et montagne et Nid Secret spa romantique assure un service de location de vélos.
Vous séjournerez à 37 km du stade de Genève et à 38 km du lac du Bourget. L'aéroport international de Genève, le plus proche, est implanté à 41 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Panoramique 180 lac et montagne et Nid Secret spa romantique accueille des clients Booking.com depuis le 15 sept. 2018."
La Perle du Semnoz,https://www.booking.com/hotel/fr/la-perle-du-semnoz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,5",44 expériences vécues,Annecy,"34 Faubourg des Balmettes, 74000 Annecy, France","6.09684576516461,45.8730033834269,6.14856383483539,45.9089342165731","Profitez des services haut de gamme de l'établissement La Perle du Semnoz
Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Perle du Semnoz ! Connectez-vous pour économiser.
Doté d'une baignoire spa, l'établissement La Perle du Semnoz est situé à Annecy. Cet appartement 5 étoiles se trouve à 36 km de Rochexpo.
Doté d'un balcon avec vue sur la montagne, cet appartement comprend une chambre, un salon, une télévision par satellite à écran plat, une cuisine équipée ainsi qu'une salle de bains avec douche et bain à remous. Les serviettes et le linge de lit sont fournis.
Le personnel de la réception ouverte 24h/24 parle anglais, français et portugais.
Cet appartement 5 étoiles possède un sauna, un bain à remous et un spa. Vous pourrez profiter d'une terrasse sur place et pratiquer la randonnée et le ski à proximité.
Vous séjournerez à 36 km du lac du Bourget et à 41 km du stade de Genève. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 42 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement La Perle du Semnoz accueille des clients Booking.com depuis le 16 sept. 2021."
Les suites sainte claire,https://www.booking.com/hotel/fr/les-suites-sainte-claire.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from=searchresults#hotelTmpl,"9,4",255 expériences vécues,"Centre-ville d'Annecy, Annecy","16 Rue Sainte-Claire, 74000 Annecy, France","6.09885193046917,45.8805305839069,6.1505770106353,45.9164614170531","Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé à Annecy, l'établissement Les suites sainte claire propose des hébergements dotés d'une connexion Wi-Fi gratuite et d'une télévision à écran plat.
Certains logements disposent d'un bain à remous et d'une cuisine équipée d'un lave-vaisselle, d'un four et d'un micro-ondes.
Sur place, vous trouverez un restaurant servant une cuisine italienne.
L'établissement Les suites sainte claire assure un service de location de vélos.
Vous séjournerez à 2 minutes à pied du château d'Annecy et à 200 mètres du palais de l'Isle. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 35 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Les suites sainte claire accueille des clients Booking.com depuis le 16 janv. 2017."
Appartement d'Exception - Annecy Centre Historique,https://www.booking.com/hotel/fr/appartement-d-39-exception-annecy-centre-historique.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from=searchresults#hotelTmpl,"9,3",35 expériences vécues,"Centre-ville d'Annecy, Annecy","12 Rue du Paquier, 74000 Annecy, France","6.10057837833301,45.8830053499779,6.15230576399495,45.9189361831241","Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Appartement d'Exception - Annecy Centre Historique ! Connectez-vous pour économiser.
Situé au cœur d'Annecy, à environ 36 km de Rochexpo, l'Appartement d'Exception - Annecy Centre Historique propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'une machine à café et un lave-vaisselle. Doté d'un parking privé gratuit, cet appartement 5 étoiles se trouve à 36 km du lac du Bourget.
L'appartement comprend 3 chambres, une cuisine équipée d'un réfrigérateur et d'un four, un lave-linge ainsi que 3 salles de bains pourvues d'articles de toilette gratuits et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 41 km du stade de Genève et à 45 km du jet d'eau. L'aéroport de Chambéry-Savoie, le plus proche, est à 42 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
L'établissement Appartement d'Exception - Annecy Centre Historique accueille des clients Booking.com depuis le 4 mai 2016."
Les Bains - Duplex 4 étoiles en plein centre - sauna,https://www.booking.com/hotel/fr/les-bains-duplex-4-en-plein-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from=searchresults#hotelTmpl,"8,0",1 expérience vécue,"Centre-ville d'Annecy, Annecy","4 Passage des Bains, 74000 Annecy, France","6.09750597736595,45.8815665834269,6.14923202263405,45.9174974165731","Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé en plein centre d'Annecy, à environ 35 km de Rochexpo, l'établissement Les Bains - Duplex 4 étoiles en plein centre - sauna propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'une bouilloire électrique et un réfrigérateur. Offrant une vue sur la rivière et la ville, il se trouve à 36 km du lac du Bourget.
Cet appartement comprend une chambre, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 41 km du stade de Genève et à 44 km du jet d'eau. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 45 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
L'établissement Les Bains - Duplex 4 étoiles en plein centre - sauna accueille des clients Booking.com depuis le 15 sept. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Les Loges Annecy Vieille Ville,https://www.booking.com/hotel/fr/les-loges-annecy-vieille-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from=searchresults#hotelTmpl,"8,4",380 expériences vécues,"Centre-ville d'Annecy, Annecy","35 rue Sainte Claire, 74000 Annecy, France","6.09779520341267,45.8800605823538,6.14951984575877,45.9159914155","Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Loges Annecy Vieille Ville ! Connectez-vous pour économiser.
L’établissement Les Loges Annecy Vieille Ville propose des appartements indépendants 5 étoiles au cœur du quartier historique d’Annecy, à seulement 200 mètres du lac et à proximité des commerces, des restaurants et des bars. Vous bénéficierez d’une connexion Wi-Fi gratuite.
Les appartements comprennent un bain turc, une cave à vin, une cheminée, une machine à café Nespresso et un plateau de bienvenue agrémenté de produits locaux. Vous pourrez vous détendre dans le lit électrique André Renault tout en utilisant la tablette que vous aurez connectée à la chaîne hi-fi Bose si vous le souhaitez. La salle de bains privative est pourvue d’un peignoir et de chaussons.
L'établissement propose une large gamme de services, notamment un service de billetterie, un bureau d'excursions, des paniers-repas et un concierge. Entièrement non-fumeur, l’hébergement dispose d'équipements pour les personnes à mobilité réduite et d'un ascenseur. Un petit-déjeuner continental est servi chaque matin sur place.
Vous séjournerez à 200 mètres du château d’Annecy et à 100 mètres du musée-château. Le Palais de l'Île, l'église Saint-François et la gare d'Annecy se trouvent tous dans un rayon de 300 m. L’aéroport de Genève, le plus proche, est implanté à 49 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Les Loges Annecy Vieille Ville accueille des clients Booking.com depuis le 12 févr. 2014."
Le Clos Des Sens,https://www.booking.com/hotel/fr/le-clos-des-sens.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=af864061b763011e&srepoch=1672650581&from=searchresults#hotelTmpl,"8,0",37 expériences vécues,Annecy,"13, Rue Jean Mermoz, 74940 Annecy, France","6.11859179978689,45.9000152167102,6.1703350400416,45.9359460498564","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Le Clos Des Sens
Situé au cœur d'Annecy-le-Vieux, l'établissement Le Clos Des Sens vous accueille dans un cadre raffiné et élégant, idéal pour un séjour de luxe à proximité du lac d'Annecy.
Confortables et spacieuses, les chambres sont agrémentées d'une décoration moderne et sophistiquée. Le mélange de matériaux riches et de boiseries crée une atmosphère agréable. Vous trouverez également une cheminée moderne et une baignoire spa.
L'établissement possède un restaurant gastronomique proposant des plats délicats ainsi qu'une cuisine contemporaine et créative. Le déjeuner et le dîner sont servis dans la salle à manger ou le jardin.
L'hôtel bénéficie d'un accès facile au lac d'Annecy et vers le massif des Aravis, où vous pourrez pratiquer un large choix d'activités de loisirs et sportives, notamment des sports nautiques et la randonnée.
L'établissement Le Clos Des Sens accueille des clients Booking.com depuis le 9 juin 2009."
L'Isle - Lofts & Lakes - Sauna en vieille ville,https://www.booking.com/hotel/fr/isle-lofts-amp-lakes-sauna-en-vieille-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ari-yp0GwAIB0gIkM2QzMjhhMzItOTFiYS00NzYyLTgyYzItMDhkMjliYjBlOGQ42AIG4AIB&sid=bdac0a0852c2fdc64dfa52a767d88c6f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=af864061b763011e&srepoch=1672650582&from=searchresults#hotelTmpl,"8,0",1 expérience vécue,"Centre-ville d'Annecy, Annecy","3 Rue de l'Île, 74000 Annecy, France","6.10029346802156,45.8805131834269,6.15201853197844,45.9164440165731","Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans un quartier central d'Annecy, à environ 37 km de Rochexpo, L'Isle - Lofts & Lakes - Sauna en vieille ville propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'une bouilloire électrique et un lave-vaisselle. Offrant une vue sur la ville, il se trouve à 38 km du lac du Bourget et à 43 km du stade de Genève.
L'appartement comprend 2 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision par câble à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la rivière.
Cet appartement 5 étoiles possède un sauna et une terrasse.
Vous séjournerez à 46 km du jet d'eau et de la gare de Cornavin. L'aéroport d'Annecy-Haute-Savoie-Mont-Blanc, le plus proche, est à 9 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
L'établissement L'Isle - Lofts & Lakes - Sauna en vieille ville accueille des clients Booking.com depuis le 23 sept. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
