name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Ibis Styles Toulouse Centre Canal du Midi,https://www.booking.com/hotel/fr/kyriad-toulouse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",2 209 expériences vécues,"Toulouse Est, Toulouse","5 boulevard de la gare, 31500 Toulouse, France",43.60147090,1.45706829,"L'ibis Styles Toulouse Centre Canal du Midi est situé au centre de Toulouse, au bord du Canal du Midi et à côté de la salle de concerts la Halle aux Grains, à seulement 1 km de la place du Capitole et à 3,5 km du stade toulousain. La connexion Wi-Fi est gratuite.
Les chambres climatisées de l’ibis Styles Toulouse Centre Canal du Midi disposent chacune d'une salle de bains privative. Une télévision à écran plat est également présente dans chaque chambre. Les hébergements sont desservis par un ascenseur.
L’établissement sert un petit-déjeuner buffet continental chaque matin. L'ibis Styles Toulouse Centre Canal du Midi propose une réception ouverte 24h/24 et des journaux gratuits. Le parking privé entraîne des frais supplémentaires.
L'hôtel se trouve à 10 minutes à pied de la gare de Toulouse-Matabiau et à 4 km du parc des expositions. L'aéroport de Toulouse-Blagnac est implanté à 15 minutes en voiture. La station de métro François Verdier est accessible, quant à elle, à 5 minutes à pied. Un parking souterrain sécurisé est disponible moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Ibis Styles Toulouse Centre Canal du Midi accueille des clients Booking.com depuis le 8 avr. 2013.
Chaîne hôtelière/marque: ibis Styles"
Odalys City Toulouse Centre Compans Caffarelli,https://www.booking.com/hotel/fr/odalys-city-centre-compans-caffarelli.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",3 510 expériences vécues,"Centre de Toulouse, Toulouse","39 Rue du Béarnais, 31000 Toulouse, France",43.60907890,1.42748350,"Toulouse - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Odalys City Toulouse Centre Compans Caffarelli ! Connectez-vous pour économiser.
Situé à 1,8 km du Zénith de Toulouse, l'Odalys City Centre Compans Caffarelli propose un salon commun, un jardin et une réception ouverte 24h/24.
Les logements climatisés comprennent une télévision par satellite à écran plat, une cuisine entièrement équipée avec un coin repas et une salle de bains privative pourvue d'un sèche-cheveux. Un lave-vaisselle, un micro-ondes, un réfrigérateur et une bouilloire sont également fournis.
Cet appart'hôtel sert un petit-déjeuner buffet ou continental.
L'Odalys City Centre Compans Caffarelli possède une terrasse.
Vous séjournerez à proximité du jardin japonais Pierre Baudis, de la place du Capitole et du Pont Neuf. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 5 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement Odalys City Toulouse Centre Compans Caffarelli accueille des clients Booking.com depuis le 15 sept. 2021.
Chaîne hôtelière/marque: Odalys City/Campus"
Hotel Ours Blanc - Place Victor Hugo,https://www.booking.com/hotel/fr/ours-blanc-25-place-victor-hugo.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from=searchresults#hotelTmpl,"6,9",2 519 expériences vécues,"Centre de Toulouse, Toulouse","25 Place Victor Hugo, 31000 Toulouse, France",43.60701882,1.44618474,"Toulouse - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé en plein cœur de Toulouse, l'Hotel Ours Blanc - Place Victor Hugo est situé à côté de la place Victor Hugo, à 4 km du stade.
Toutes les chambres sont insonorisées. Elles sont munis d'une connexion Wi-Fi gratuite, de la climatisation et d'une télévision.
Un petit-déjeuner buffet est servi sur place. Des journaux gratuits sont à votre disposition dans la salle à manger.
L'Hotel Ours Blanc se trouve à 200 mètres des stations de métro Jeanne d'Arc et Capitole. Vous séjournerez à proximité du canal du Midi, de la place du Capitole et du marché Victor Hugo.
C'est le quartier préféré des voyageurs visitant Toulouse, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Hotel Ours Blanc - Place Victor Hugo accueille des clients Booking.com depuis le 15 janv. 2010."
Zenitude Hôtel-Résidences Toulouse Métropole,https://www.booking.com/hotel/fr/appart-city-toulouse-hippodrome.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from=searchresults#hotelTmpl,"7,2",2 624 expériences vécues,"Toulouse Rive Gauche, Toulouse","1, Allée Antoine Osete, 31100 Toulouse, France",43.59149221,1.40322983,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Zenitude Hôtel-Résidences Toulouse Métropole ! Connectez-vous pour économiser.
Situé à Toulouse, en face de l’hippodrome, près des jardins du Barry, le Zenitude Hôtel-Résidences Toulouse Métropole dispose d’une piscine extérieure. Le Stadium de Toulouse est accessible à 4 km.
Les studios et les appartements sont décorés avec simplicité. Ils comprennent une télévision par satellite à écran plat, une kitchenette entièrement équipée et un coin salon. Le linge de lit et les serviettes de toilette sont inclus. Les lits seront faits à l’arrivée. Un service de ménage quotidien peut être assuré moyennant des frais supplémentaires.
Chaque matin, le Zenitude Hôtel-Résidences Toulouse Métropole sert un petit-déjeuner buffet.
Deux places de stationnement sont fournies, l'une gratuite et l'autre, sur demande préalable, moyennant des frais supplémentaires. Le Zenitude Hôtel-Résidences Toulouse Métropole se trouve à 8 minutes en voiture de l’aéroport de Toulouse-Blagnac. Vous rejoindrez la station de métro Les Arènes, qui donne accès à toute la ville de Toulouse, en 15 minutes.
Des formules de plats à emporter composées d'un plat chaud, d'une boisson et d'un dessert sont disponibles. Vous pourrez choisir parmi une large sélection de plats et vous détendre autour d'un délicieux repas.
L'établissement Zenitude Hôtel-Résidences Toulouse Métropole accueille des clients Booking.com depuis le 4 sept. 2009."
"Crowne Plaza Toulouse, an IHG Hotel",https://www.booking.com/hotel/fr/crowne-plaza-toulouse-toulouse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from=searchresults#hotelTmpl,"8,0",2 069 expériences vécues,"Centre de Toulouse, Toulouse","7 Place du Capitole, 31000 Toulouse, France",43.60373649,1.44275352,"Toulouse - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L’hôtel 4 étoiles Crowne Plaza Toulouse vous accueille dans le centre-ville de Toulouse, à 80 mètres du théâtre du Capitole. Cet établissement propose une salle de sport et une cour intérieure agrémentée de fontaines et de sculptures. Le stade de Toulouse est à 3 km.
Cette chambre insonorisée comprend une télévision à écran plat. Plusieurs chambres de style classique offrent une vue sur la place du Capitole. Les salles de bains en marbre sont pourvues d’articles de toilette de luxe.
Un petit-déjeuner américain est servi tous les matins sur place. Vous pourrez également déguster des cocktails au bar Plaza. Vous pourrez discuter autour de tapas fraîchement préparées au bar-restaurant O TLS.
Le Crowne Plaza Toulouse dispose d’une connexion Internet par câble.
Cet hôtel se trouve à 200 mètres de la station de métro Capitole. L’aéroport de Toulouse-Blagnac est accessible en 25 minutes en voiture.
De nombreux lieux d’intérêt touristiques sont accessibles à pied depuis l'hôtel : Basilique Saint-Sernin, couvent des Jacobins, musée des Augustins, Garonne.
C'est le quartier préféré des voyageurs visitant Toulouse, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Crowne Plaza Toulouse, an IHG Hotel accueille des clients Booking.com depuis le 10 déc. 2007.
Chaîne hôtelière/marque: Crowne Plaza Hotels & Resorts"
Confort Appartement 110 m² CleanNcosy Toulouse Hypercentre,https://www.booking.com/hotel/fr/confort-appartement-110-m2-cleanncosy-toulouse-hypercentre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from=searchresults#hotelTmpl,"9,0",46 expériences vécues,"Centre de Toulouse, Toulouse","18 Place Etienne Esquirol, 31000 Toulouse, France",43.60060440,1.44535990,"Toulouse - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans un quartier central de Toulouse, à proximité des stations de métro Esquirol et Carmes, le Confort Appartement 110 m2 CleanNcosy Toulouse Hypercentre propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'un lave-vaisselle et une machine à café. Il propose un parking privé gratuit et une réception ouverte 24h/24.
Cet appartement comprend 3 chambres, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un four et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité du Pont Neuf, de la station de métro Jean-Jaures et de la station Capitole. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 8 km.
C'est le quartier préféré des voyageurs visitant Toulouse, selon les commentaires clients indépendants.
L'établissement Confort Appartement 110 m² CleanNcosy Toulouse Hypercentre accueille des clients Booking.com depuis le 15 juin 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
LA CARTOUCHERIE,https://www.booking.com/hotel/fr/la-cartoucherie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",14 expériences vécues,"Toulouse Rive Gauche, Toulouse","1 Rue André Savés, 31300 Toulouse, France",43.60172150,1.40808790,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement LA CARTOUCHERIE ! Connectez-vous pour économiser.
Situé à Toulouse, à 600 mètres du Zénith, l'établissement LA CARTOUCHERIE propose un bar, une connexion Wi-Fi gratuite, un salon commun et un bureau d'excursions. Vous profiterez d'un balcon et d'un barbecue.
L'appartement comprend 2 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision par câble à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la ville.
Un petit-déjeuner continental est servi chaque matin.
Vous pourrez profiter d'un jacuzzi. Une terrasse bien exposée est à votre disposition sur place.
Vous séjournerez à 3,1 km de l'amphithéâtre Purpan-Ancely et à 4,9 km du stade de Toulouse. L'aéroport le plus proche, celui de Toulouse-Blagnac, est situé à 4 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
L'établissement LA CARTOUCHERIE accueille des clients Booking.com depuis le 10 févr. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Charming and luxury flat in St-Cyprien district in Toulouse - Welkeys,https://www.booking.com/hotel/fr/charming-and-luxury-flat-in-st-cyprien-district-in-toulouse-welkeys.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from=searchresults#hotelTmpl,"8,7",17 expériences vécues,"Saint-Cyprien, Toulouse","25 rue de la République, 31300 Toulouse, France",43.59874200,1.43512590,"Le Charming and luxury flat in St-Cyprien district in Toulouse - Welkeys est situé sur la rive gauche de Toulouse, à 2,3 km du Zénith, à 2,9 km du stade de Toulouse et à 5,2 km de l'amphithéâtre Purpan-Ancely. Offrant une vue sur la ville et la rivière, cet appartement dispose également d'une connexion Wi-Fi gratuite.
Cet appartement comprend 2 chambres, une télévision par satellite, un lave-linge et 2 salles de bains pourvues d'une douche. Sa cuisine est équipée d'un four et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité de la station de métro Saint-Cyprien République, du Pont Neuf et de la station de métro Carmes. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 7 km.
L'établissement Charming and luxury flat in St-Cyprien district in Toulouse - Welkeys accueille des clients Booking.com depuis le 18 mai 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Botanique * Hypercentre * Netflix,https://www.booking.com/hotel/fr/le-botanique-hypercentre-netflix.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",8 expériences vécues,"Centre de Toulouse, Toulouse","13 Rue Saint-Hilaire, 31000 Toulouse, France",43.61342464,1.44255393,"Toulouse - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Idéalement situé dans le centre de Toulouse, l'établissement Le Botanique * Hypercentre * Netflix possède une terrasse. Vous séjournerez à 4,5 km du Zénith de Toulouse et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.
Offrant une vue sur le jardin, cet appartement comprend une terrasse, une chambre, un salon, une télévision à écran plat, une cuisine équipée avec un réfrigérateur et un micro-ondes, ainsi qu'une salle de bains pourvue d'une baignoire ou d'une douche. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité de la station de métro Compans Caffarelli. Métro Jeanne d'Arc et Toulouse-Matabiau. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 6 km.
L'établissement Le Botanique * Hypercentre * Netflix accueille des clients Booking.com depuis le 25 oct. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Jules de Toulouse,https://www.booking.com/hotel/fr/le-jules-de-toulouse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AuzF1J0GwAIB0gIkMzBhZTE5NmMtMjk1Ny00YzY2LTgzZDEtOGM2ZmZiYWIxOWNl2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=11f730bb6fd30012&srepoch=1672815352&from=searchresults#hotelTmpl,"8,7",45 expériences vécues,"Centre de Toulouse, Toulouse","8 Place Saint Julien, 31000 Toulouse, France",43.60889390,1.43726240,"Toulouse - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Jules de Toulouse ! Connectez-vous pour économiser.
Doté d'une terrasse et d'une réception ouverte 24h/24, l'établissement Le Jules de Toulouse bénéficie d'un emplacement privilégié dans le quartier du Capitole de Toulouse, à 4 km du Zénith et à 4,7 km du Stadium de Toulouse. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble des locaux et d'un parking privé sur place.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une baignoire et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité de la station de métro Compans Caffarelli, du jardin japonais Pierre Baudis et de la station de métro Jeanne d'Arc. L'aéroport de Toulouse-Blagnac, le plus proche, est implanté à 7 km.
C'est le quartier préféré des voyageurs visitant Toulouse, selon les commentaires clients indépendants.
L'établissement Le Jules de Toulouse accueille des clients Booking.com depuis le 29 avr. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
