name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Villa la Renaissance,https://www.booking.com/hotel/fr/villa-la-renaissance-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,2",279 expériences vécues,Bayonne,"12 Chemin de Jacquette, 64100 Bayonne, France",43.48232100,-1.46816400,"La Villa la Renaissance propose des chambres à Bayonne, à 600 mètres du parc Ansot et à 1,2 km de la cathédrale Sainte-Marie. Il propose un service d'étage et une terrasse. Le siège de Guyenne et Gascogne se trouve à 700 mètres de l'hôtel et le musée Bonnat-Helleu, le musée des beaux-arts de Bayonne, est à 1,1 km.
Les chambres sont équipées d'une bouilloire. Chaque chambre dispose d'un bureau et d'une télévision à écran plat. Certaines possèdent un balcon. Leur salle de bains privative est pourvue d'une douche et d'un sèche-cheveux.
Un petit-déjeuner continental est servi chaque matin.
Vous séjournerez à proximité de l'hôtel de ville de Bayonne, du jardin botanique et de la préfecture des Pyrénées-Atlantiques. L'aéroport de Biarritz-Pays basque, le plus proche, est implanté à 5 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Villa la Renaissance accueille des clients Booking.com depuis le 15 avr. 2021."
Hotel Cote Basque,https://www.booking.com/hotel/fr/cote-basque.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from=searchresults#hotelTmpl,"7,8",3 507 expériences vécues,Bayonne,"2 rue Maubec, 64100 Bayonne, France",43.49618306,-1.46960109,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Cote Basque ! Connectez-vous pour économiser.
L'Hotel Cote Basque est situé au cœur de la ville historique de Bayonne, en face du pont Saint-Esprit. Il propose une connexion Wi-Fi gratuite et des chambres avec salle de bains privative.
Les chambres de l'Hotel Cote Basque sont dotées de la télévision par satellite et de la climatisation. Elles sont accessibles par ascenseur. Un sèche-cheveux peut être fourni sur demande.
Chaque matin, l’hôtel sert un petit-déjeuner buffet complet.
L'Hotel Cote Basque se trouve à 100 mètres de la gare de Bayonne, à 5 km de Biarritz et à 30 km de Saint-Sébastien. Un parking public est disponible à proximité moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hotel Cote Basque accueille des clients Booking.com depuis le 14 janv. 2010."
Parc 709 Bayonne,https://www.booking.com/hotel/fr/parc-709-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from=searchresults#hotelTmpl,"9,2",114 expériences vécues,Bayonne,"6 Boulevard du BAB, 64100 Bayonne, France",43.49560600,-1.48131700,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Parc 709 Bayonne ! Connectez-vous pour économiser.
Offrant une vue sur la rivière, le Parc 709 Bayonne propose des hébergements avec un balcon et une machine à café, à environ 12 km de la gare de Biarritz-La Négresse. Cet appartement 4 étoiles se trouve à 22 km de la gare de Saint-Jean-de-Luz.
Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision par câble à écran plat, une cuisine entièrement équipée et une terrasse avec vue sur la ville. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi dans l'ensemble des locaux.
Vous séjournerez à 22 km de l'église Saint-Jean-Baptiste et à 35 km de la gare d'Hendaye. L'aéroport de Biarritz, le plus proche, est implanté à 6 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Parc 709 Bayonne accueille des clients Booking.com depuis le 10 août 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Maison d'hôtes City Break MIRADOUR,https://www.booking.com/hotel/fr/city-break-miradour.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",411 expériences vécues,Bayonne,"9 Rue des Faures, 64100 Bayonne, France",43.48951300,-1.47907800,"La Maison d'hôtes City Break MIRADOUR est située à Bayonne, à 12 km de la gare de Biarritz-La Négresse et à 22 km de la gare de Saint-Jean-de-Luz. Une connexion Wi-Fi est accessible gratuitement dans l'ensemble de ses locaux.
Les chambres comprennent un coin salon avec une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'articles de toilette gratuits, d'un sèche-cheveux et d'une douche. Vous disposerez d'un réfrigérateur, d'une bouilloire et d'une machine à café.
Un petit-déjeuner continental est servi tous les matins sur place.
Vous pourrez jouer aux fléchettes sur place ou faire du vélo ou de la randonnée dans les environs.
La Maison d'hôtes City Break MIRADOUR se trouve à 23 km de l'église Saint-Jean-Baptiste et à 36 km de la gare d'Hendaye. L'aéroport le plus proche, celui de Biarritz-Pays basque, est situé à 5 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Maison d'hôtes City Break MIRADOUR accueille des clients Booking.com depuis le 10 juin 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel Villa KOEGUI Bayonne,https://www.booking.com/hotel/fr/villa-koegui-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",1 378 expériences vécues,Bayonne,"7 Rue Frédéric Bastiat, 64100 Bayonne, France",43.49237100,-1.47258800,"Doté d’un bar, d’un restaurant, d’une terrasse, d’un salon commun et d’une salle de sport, l’Hôtel Villa KOEGUI Bayonne propose des hébergements à Bayonne. Il assure un service d’étage, et sa réception est ouverte 24h/24. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l’établissement.
Toutes les chambres sont climatisées et disposent d’une télévision par satellite à écran plat, d’un bureau, d’une armoire, d’une bouilloire, d’une salle de bains privative ainsi que d’un sèche-cheveux.
Un petit-déjeuner buffet et américain est servi tous les matins sur place.
Un sauna est également à votre disposition. Vous aurez la possibilité de pratiquer différentes activités à Bayonne et dans les environs, telles que le vélo et la randonnée.
L’Hôtel Villa KOEGUI Bayonne se trouve à proximité de sites d’intérêt tels que la cathédrale Sainte-Marie, le parc Ansot et le musée des beaux-arts Bonnat-Helleu. L'aéroport le plus proche, celui de Biarritz-Pays basque, est situé à 7 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel Villa KOEGUI Bayonne accueille des clients Booking.com depuis le 4 juil. 2019."
Beautiful flat with a view on the Nive river in Bayonne - Welkeys,https://www.booking.com/hotel/fr/beautiful-flat-with-a-view-on-the-nive-river-in-bayonne-welkeys.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from=searchresults#hotelTmpl,"7,0",1 expérience vécue,Bayonne,"16 Quai Augustin Chaho, 64100 Bayonne, France",43.48949160,-1.47405250,"Le Beautiful flat with a view on the Nive in Bayonne - Welkeys propose un hébergement à Bayonne, à 12 km de la gare de Biarritz-La Négresse, à 22 km de la gare Saint-Jean-de-Luz et de l'église Saint-Jean-Baptiste. Il offre une vue sur la ville et propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
L'appartement comprend 2 chambres, une cuisine avec un réfrigérateur et un four ainsi que 2 salles de bains pourvues d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 36 km de la gare d'Hendaye et de FICOBA. L'aéroport le plus proche, celui de Biarritz-Pays basque, est situé à 5 km.
L'établissement Beautiful flat with a view on the Nive river in Bayonne - Welkeys accueille des clients Booking.com depuis le 12 juil. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hotel Loreak,https://www.booking.com/hotel/fr/comfort-bayonne-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",1 066 expériences vécues,Bayonne,"1 chemin de Hayet, 64100 Bayonne, France",43.49349109,-1.45263344,"Installé à 2 km du centre-ville de Bayonne, l’Hotel Loreak propose des hébergements avec une salle de bains privative, une connexion Wi-Fi gratuite et une télévision à écran plat.
Rénovées en mai 2020, les chambres de l’hôtel sont également climatisées et équipées d'un bureau. Elles sont toutes desservies par un ascenseur, et leur salle de bains privative est pourvue d’un sèche-cheveux.
Le restaurant sert une cuisine régionale sous forme de buffet et des menus fixes sont également disponibles. Vous pourrez aussi vous détendre en savourant une boisson dans le salon.
Un parking gratuit est à votre disposition sur place. Les plages de Biarritz et d’Anglet se trouvent à seulement 8 km de l’Hotel Loreak. L’établissement est situé à proximité de la sortie sur l’autoroute A63.
L'établissement Hotel Loreak accueille des clients Booking.com depuis le 1 août 2005."
Boutique Hôtel Un Appart en Ville,https://www.booking.com/hotel/fr/un-appart-en-ville-bayonne1.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",341 expériences vécues,Bayonne,"12 Place Pasteur, 64100 Bayonne, France",43.49092250,-1.47744120,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Boutique Hôtel Un Appart en Ville ! Connectez-vous pour économiser.
Situé à Bayonne, à 12 km de la gare de Biarritz-La Négresse, le Boutique Hôtel Un Appart en Ville propose des hébergements climatisés avec connexion Wi-Fi gratuite et accès à une terrasse.
Tous les logements comprennent une cuisine entièrement équipée avec une table à manger, une télévision par satellite à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Un réfrigérateur, un lave-vaisselle, un micro-ondes, une machine à café et une bouilloire sont également disponibles.
Un petit-déjeuner continental est servi chaque matin.
Un service de location de vélos est assuré sur place, tandis que la région est prisée des amateurs de randonnée.
Vous séjournerez à 22 km de la gare de Saint-Jean-de-Luz et de l'église Saint-Jean-Baptiste. L'aéroport de Biarritz, le plus proche, est implanté à 5 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Boutique Hôtel Un Appart en Ville accueille des clients Booking.com depuis le 15 mars 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Charming flat in a calm street at the historic heart of Bayonne - Welkeys,https://www.booking.com/hotel/fr/charming-flat-in-a-calm-street-at-the-historic-heart-of-bayonne-welkeys.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from=searchresults#hotelTmpl,"9,2",6 expériences vécues,Bayonne,"28 rue Passemillon, 64100 Bayonne, France",43.48883870,-1.47702800,"Le Charming flat in a calm street at the historic heart of Bayonne - Welkeys propose un hébergement avec connexion Wi-Fi gratuite à Bayonne, à 11 km de la gare de Biarritz-La Négresse, à 21 km de la gare Saint-Jean-de-Luz et de l'église Saint-Jean-Baptiste. Vous séjournerez à 47 km de Pasaiako portua.
Cet appartement comprend une chambre, un salon, une télévision, une cuisine équipée avec un coin repas ainsi qu'une salle de bains pourvue d'une douche et d'un lave-linge. Les serviettes et le linge de lit sont fournis.
Le Charming flat in a calm street at the historic heart of Bayonne - Welkeys se trouve à 35 km de la gare d'Hendaye et de la FICOBA. L'aéroport de Biarritz-Pays basque, le plus proche, est implanté à 4 km.
L'établissement Charming flat in a calm street at the historic heart of Bayonne - Welkeys accueille des clients Booking.com depuis le 5 févr. 2020."
Hostel 20 Bayonne,https://www.booking.com/hotel/fr/hostel-20-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoTX1J0GwAIB0gIkNThlOWI2M2UtNjQ3Yy00ZjZhLTlkN2UtMjhhOGI4N2Y1MzRh2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6f6c3508c17c0101&srepoch=1672817553&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,8",941 expériences vécues,Bayonne,"8 Rue Sainte-Catherine, 64100 Bayonne, France",43.49535000,-1.46875300,"Situé à Bayonne, l'Hostel 20 Bayonne propose un salon commun, une terrasse, un bar et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Vous séjournerez à 15 km de la gare de Biarritz-La Négresse, à 25 km de la gare de Saint-Jean-de-Luz et à 26 km de l'église Saint-Jean-Baptiste. Vous pourrez profiter d'animations en soirée et d'une cuisine commune.
Le linge de lit est fourni.
Un petit-déjeuner continental est servi tous les matins sur place.
Le personnel de la réception ouverte 24h/24 parle français, anglais et espagnol.
L'Hostel 20 Bayonne se trouve à 39 km de la gare d'Hendaye et de la FICOBA. L'aéroport de Biarritz-Pays basque, le plus proche, est implanté à 5 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hostel 20 Bayonne accueille des clients Booking.com depuis le 9 mars 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
