name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Médié Lounge - Médié Old - by Beds76,https://www.booking.com/hotel/fr/medie-lounge.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from=searchresults#hotelTmpl,"8,9",38 expériences vécues,"Centre-ville de Rouen, Rouen","19 Rue des Faulx, 76000 Rouen, France",49.44167550,1.10066210,"Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans le centre de Rouen, à 600 mètres de la cathédrale Notre-Dame et à 1,3 km de la gare de Rouen Rive Droite, le Médié Lounge - Médié Old - by Beds76 propose des hébergements avec connexion Wi-Fi et parking privé gratuits.
Offrant une vue sur la ville, les logements comprennent un coin salon, un lave-linge, une cuisine entièrement équipée avec un réfrigérateur ainsi qu'une salle de bains privative pourvue d'articles de toilette gratuits et d'un sèche-cheveux. Un four, un micro-ondes, des plaques de cuisson, une machine à café et une bouilloire sont également fournis.
Vous séjournerez à 3,4 km de la gare de Voltaire et à 4 km du palais des sports Kindarena. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 83 km.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Médié Lounge - Médié Old - by Beds76 accueille des clients Booking.com depuis le 2 juil. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
L'Autel - Balnéo - Centre historique,https://www.booking.com/hotel/fr/l-39-autel-rouen.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from=searchresults#hotelTmpl,"8,7",73 expériences vécues,"Centre-ville de Rouen, Rouen","13 rue Dinanderie, 76000 Rouen, France",49.44454400,1.09117800,"Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'Autel - Balnéo - Centre historique ! Connectez-vous pour économiser.
Doté d'une baignoire spa, l'établissement L'Autel - Balnéo - Sauna - Centre historique est situé en plein centre de Rouen. Vous séjournerez à 700 mètres de la cathédrale Notre-Dame de Rouen et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.
L'appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que 2 salles de bains avec une baignoire ou une douche et un jacuzzi. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'un sauna sur place.
L'Autel - Balnéo - Sauna - Centre historique se trouve à 700 mètres de la gare de Rouen Rive Droite et à 3,1 km du palais des sports Kindarena de Rouen. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 84 km.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement L'Autel - Balnéo - Centre historique accueille des clients Booking.com depuis le 4 juin 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
"Radisson Blu Hotel, Rouen Centre",https://www.booking.com/hotel/fr/radisson-blu-rouen-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9",3 997 expériences vécues,"Centre-ville de Rouen, Rouen","6-8 Rue du Donjon, 76000 Rouen, France",49.44644100,1.09412000,"Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Radisson Blu Hotel, Rouen Centre ! Connectez-vous pour économiser.
Situé à Rouen, le Radisson Blu Hotel, Rouen Centre propose un restaurant servant des plats locaux de qualité, une salle de sport, un bar et un salon commun. Il propose des chambres familiales et une terrasse. Il propose une réception ouverte 24h/24, un service de navette, un service d'étage et une connexion Wi-Fi gratuite.
Toutes les chambres comprennent une armoire, une télévision et une salle de bains privative.
Le Radisson Blu Hotel, Rouen Centre sert un petit-déjeuner continental ou buffet.
Un centre d'affaires et des journaux sont mis à votre disposition sur place. Un parking privé est disponible moyennant des frais supplémentaires.
La cathédrale Notre-Dame de Rouen se trouve à 700 mètres. L'aéroport le plus proche, celui de Deauville-Normandie, est situé à 68 km.
Veuillez noter que le restaurant Jehanne sera fermé le soir du 24 décembre et le 31 décembre à midi.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Radisson Blu Hotel, Rouen Centre accueille des clients Booking.com depuis le 9 févr. 2021.
Chaîne hôtelière/marque: Radisson Blu"
Magnifique Appartement Neuf,https://www.booking.com/hotel/fr/magnifique-t3-neuf-coeur-du-vieux-rouen.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",38 expériences vécues,"Centre-ville de Rouen, Rouen","24 Rue Anatole France, 3ème et dernier étage, 76000 Rouen, France",49.44157649,1.08395490,"Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Magnifique Appartement Neuf ! Connectez-vous pour économiser.
Doté d'une connexion Wi-Fi gratuite, le Magnifique Appartement Neuf est situé dans le centre de Rouen, à moins de 1 km de la cathédrale Notre-Dame et à 1,5 km de la gare de Rouen Rive Droite. Occupant un bâtiment datant de 1960, il se trouve à 2,5 km du palais des sports Kindarena de Rouen et à 3,5 km de la gare de Voltaire.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Le personnel de la réception parle français et anglais.
Vous séjournerez à 4,5 km de la gare de l'hôtel de ville de Soteville et à 5,3 km de la station de tramway 14-juillet de Rouen. L'aéroport de Deauville-Normandie, le plus proche, est à 85 km.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement Magnifique Appartement Neuf accueille des clients Booking.com depuis le 13 oct. 2021."
Mercure Rouen Centre Cathédrale,https://www.booking.com/hotel/fr/mercure-rouen-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",2 268 expériences vécues,"Centre-ville de Rouen, Rouen","7 Rue Croix de Fer, 76000 Rouen, France",49.44117285,1.09517545,"Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le Mercure Rouen Centre Cathédrale propose des chambres climatisées dotées d'une télévision par satellite, d'une connexion Wi-Fi gratuite et d'une salle de bains privative dans le centre de Rouen, à 160 mètres de la cathédrale Notre-Dame et à 3 km du palais des sports de Rouen.
L'établissement sert un petit-déjeuner complet que vous pourrez déguster dans le confort de votre chambre. Un petit-déjeuner express est également disponible. Vous pourrez par ailleurs prendre un verre au bar de l'hôtel.
Le Mercure Rouen Centre se trouve à seulement quelques pas de la place du Vieux Marché et du Gros-Horloge. La gare de Rouen est située à seulement 1 km. L'établissement met un parking privé souterrain à votre disposition.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Mercure Rouen Centre Cathédrale accueille des clients Booking.com depuis le 29 juin 2008.
Chaîne hôtelière/marque: Mercure"
DOMITYS Les Mosaïques,https://www.booking.com/hotel/fr/domitys-les-mosaiques.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9",126 expériences vécues,Rouen,"64 Rue Saint-Julien, 76100 Rouen, France",49.42901460,1.08328070,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement DOMITYS Les Mosaïques ! Connectez-vous pour économiser.
Situé à Rouen, à 1 km de la gare de Voltaire et à 2 km de la gare de l'Hôtel de ville de Soteville, le DOMITYS Les Mosaïques propose des hébergements avec une connexion Wi-Fi gratuite, un jardin avec une terrasse et l'accès à une piscine intérieure et un sauna. Un parking privé est disponible sur place.
Tous les logements disposent d'une kitchenette entièrement équipée avec machine à café, d'un salon avec télévision à écran plat et d'une salle de bains privative avec articles de toilette gratuits et douche. Un réfrigérateur, un micro-ondes, des plaques de cuisson et une bouilloire sont également fournis.
Cet appart'hôtel sert un petit-déjeuner buffet et continental tous les matins.
Vous pourrez également vous détendre dans le coin salon commun.
Le DOMITYS Les Mosaïques se trouve à 2,8 km de la station de tramway 14-juillet et à 1,7 km de la cathédrale Notre-Dame de Rouen. L'aéroport de Deauville-Normandie, le plus proche, est à 84 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement DOMITYS Les Mosaïques accueille des clients Booking.com depuis le 29 juin 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Maison hypercentre Rouen tout confort,https://www.booking.com/hotel/fr/maison-hypercentre-rouen-tout-confort.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from=searchresults#hotelTmpl,"8,6",152 expériences vécues,"Centre-ville de Rouen, Rouen","20 Rue Dinanderie, 76000 Rouen, France",49.44465180,1.09132620,"Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison hypercentre Rouen tout confort ! Connectez-vous pour économiser.
Située dans le centre de Rouen, à seulement 700 mètres de la cathédrale Notre-Dame, la Maison hypercentre Rouen tout confort offre une vue sur la ville et propose une connexion Wi-Fi gratuite.
Cet appartement comprend 2 chambres, une télévision par satellite à écran plat, une cuisine équipée d'un lave-vaisselle et d'un micro-ondes ainsi qu'une salle de bains pourvue d'une douche.
Enfin, l'aéroport de Deauville-Normandie, le plus proche, est implanté à 68 km de la Maison hypercentre Rouen tout confort.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Maison hypercentre Rouen tout confort accueille des clients Booking.com depuis le 27 avr. 2019."
Le Vieux Carré,https://www.booking.com/hotel/fr/le-vieux-carre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from=searchresults#hotelTmpl,"8,1",1 109 expériences vécues,"Centre-ville de Rouen, Rouen","34 rue Ganterie, 76000 Rouen, France",49.44332714,1.09457396,"Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'hôtel Le Vieux Carré est situé dans le centre de Rouen, dans une zone piétonne, à seulement 850 mètres de la gare de Rouen-Rive-Droite. Il dispose de chambres avec salle de bains privative ainsi que d'une cour intérieure fleurie et arborée.
Le restaurant du Vieux Carré sert tous les jours un petit-déjeuner continental et le déjeuner. Dans l'après-midi, il se transforme en salon de thé servant des pâtisseries gastronomiques. Vous pourrez prendre vos repas en plein air, dans la cour.
Chaque chambre du Vieux Carré est équipée d'une télévision et d'un téléphone. Leur salles de bains privatives sont pourvues d'une baignoire. De plus, une connexion Wi-Fi est mise gratuitement à votre disposition dans l'ensemble de l'établissement.
La salon commun est agrémenté de poutres apparentes et d'un mobilier en bois. Vous apprécierez de vous détendre dans les fauteuils au coin du feu.
Le Vieux Carré se trouve à 400 mètres de la cathédrale Notre-Dame et à 450 mètres du musée des Beaux-Arts de Rouen. Vous trouverez un parking public à proximité.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Le Vieux Carré accueille des clients Booking.com depuis le 11 févr. 2011."
Hotel De Quebec,https://www.booking.com/hotel/fr/alive-hotel-de-quebec.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from=searchresults#hotelTmpl,"8,2",1 862 expériences vécues,"Centre-ville de Rouen, Rouen","18-24 Rue De Quebec, 76000 Rouen, France",49.43783419,1.09725282,"Rouen - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel De Quebec ! Connectez-vous pour économiser.
L'Alive Hôtel de Québec vous accueille dans un quartier paisible au cœur de Rouen. Situé à 3 km de la salle omnisports Kindarena et à 5 minutes de marche de la vieille ville et de la cathédrale de Rouen, l'établissement fournit une connexion Wi-Fi gratuite.
Durant votre séjour, vous pourrez commencer la journée avec un petit-déjeuner buffet. Moyennant des frais supplémentaires, vous aurez aussi la possibilité de déguster le petit-déjeuner dans le confort de votre chambre.
L'hôtel met à votre disposition un salon commun pour vos moments de détente. De plus, son emplacement proche de la vieille ville vous permettra de découvrir ses rues étroites, ses antiquaires et ses jolies églises.
L'Alive Hôtel de Québec se trouve à 20 minutes de marche de la gare de Rouen Rive Droite et à 800 mètres de l'arrêt de tramway Théâtre des Arts.
C'est le quartier préféré des voyageurs visitant Rouen, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hotel De Quebec accueille des clients Booking.com depuis le 8 août 2005."
"Holiday Inn Express - Rouen Centre - Rive Gauche, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-rouen-centre-rive-gauche.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Ar-X0Z0GwAIB0gIkNTNkYjk1ZGItYTVkZS00NDJiLThmYTgtNWUxNzZmNDI3NmQ12AIG4AIB&sid=5c68f7ceb87f9502034fbc10b044bb03&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=591b6de5b729006c&srepoch=1672760267&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",2 480 expériences vécues,Rouen,"103 Avenue Jean Rondeaux, 76100 Rouen, France",49.42998800,1.07239800,"L'Holiday Inn Express - Rouen Centre - Rive Gauche, an IHG Hotel est un établissement 3 étoiles situé à Rouen, à 1,7 km de la station de métro Voltaire et à 3,1 km de celle d’Hôtel de Ville-Sotteville. Chaque hébergement de cet hôtel 3 étoiles offre une vue sur la ville et donne accès à un salon commun ainsi qu’à un bar. Vous bénéficierez gratuitement d’une connexion Wi-Fi. Un parking privé est disponible moyennant des frais supplémentaires.
Les chambres comprennent la climatisation, un bureau, une bouilloire, un coffre-fort, une télévision à écran plat et une salle de bains privative pourvue d’une douche. Les serviettes de toilette et le linge de lit sont fournis.
Un petit-déjeuner buffet, continental ou sans gluten est servi tous les matins.
Parlant français et anglais, le personnel de la réception ouverte 24h/24 se fera un plaisir de vous fournir des informations pratiques sur la région.
Le Palais des Sports et la cathédrale Notre-Dame de Rouen se trouvent à 3,2 km. L’aéroport de Deauville-Normandie, le plus proche, se trouve à 84 km de l’établissement.
L'établissement Holiday Inn Express - Rouen Centre - Rive Gauche, an IHG Hotel accueille des clients Booking.com depuis le 19 mars 2019.
Chaîne hôtelière/marque: Holiday Inn Express"
