name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
"Annecy Lake, Luxury top floor apartment by LocationlacAnnecy, LLA Selections",https://www.booking.com/hotel/fr/annecy-lake-luxury-top-floor-apartment.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769212&from=searchresults#hotelTmpl,"9,0",11 expériences vécues,"Centre-ville d'Annecy, Annecy","du Trésum, 12, 74000 Annecy, France",45.89580750,6.12945220,"Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Annecy Lake, Luxury top floor apartment by LocationlacAnnecy, LLA Selections ! Connectez-vous pour économiser.
Situé dans un quartier central d'Annecy, à environ 36 km de Rochexpo, du lac d'Annecy, le Luxury top floor apartment by LocationlacAnnecy, LLA Selections propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'une machine à café et un réfrigérateur. Doté d'un parking privé gratuit, il se trouve à 37 km du lac du Bourget et à 42 km du stade de Genève.
L'appartement comprend 2 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision, une cuisine entièrement équipée et une terrasse avec vue sur la montagne.
Vous séjournerez à 45 km du jet d'eau et à 46 km de la gare de Cornavin. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 42 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
L'établissement Annecy Lake, Luxury top floor apartment by LocationlacAnnecy, LLA Selections accueille des clients Booking.com depuis le 27 mai 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
LE MIRAGE - Annecy Centre - Appartement de luxe - V-RENT,https://www.booking.com/hotel/fr/le-mirage-annecy.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769212&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",60 expériences vécues,"Centre-ville d'Annecy, Annecy","24 Avenue de Chambéry, 74000 Annecy, France",45.89867290,6.11759000,"Annecy - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement LE MIRAGE - Annecy Centre - Appartement de luxe - V-RENT ! Connectez-vous pour économiser.
Idéalement situé au cœur d'Annecy, le MIRAGE - Annecy Centre - Appartement de luxe - V-RENT offre une vue sur la ville et dispose d'une terrasse. Vous pourrez pratiquer diverses activités dans les environs, telles que la pêche et la randonnée.
Doté d'un lecteur Blu-ray, l'appartement comprend une cuisine avec un réfrigérateur, un four et un lave-vaisselle, un salon avec des coins salon et repas, 3 chambres ainsi que 2 salles de bains avec une douche et une baignoire. Il dispose également d'une télévision par satellite à écran plat, d'une console de jeux, d'un lecteur DVD, d'un lecteur CD et d'une station d'accueil pour iPod.
Un service de location de vélos est assuré sur place.
Rochexpo et le lac du Bourget se trouvent à 35 km. L'aéroport le plus proche, celui de Chambéry-Savoie, est situé à 41 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.
L'établissement LE MIRAGE - Annecy Centre - Appartement de luxe - V-RENT accueille des clients Booking.com depuis le 24 juil. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Ace Hotel Annecy,https://www.booking.com/hotel/fr/ace-annecy.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769212&from=searchresults#hotelTmpl,"8,0",3 642 expériences vécues,Annecy,"8 Boulevard du Semnoz - Zone d'activités de Periaz Seynod, 74600 Annecy, France",45.88008995,6.09713048,"Doté d'une réception ouverte 24h/24, l'Ace Hotel Annecy est situé à Seynod, à moins de 5 km du lac d'Annecy et du centre-ville d'Annecy. L'établissement propose une connexion Wi-Fi gratuite dans les chambres et les parties communes.
Chaque chambre est climatisée et dispose d'une télévision par satellite, d'un bureau et d'une armoire. La salle de bains privative est pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits.
L'Ace Hotel Annecy met à votre disposition des distributeurs automatiques ainsi qu'une salle à manger où le petit-déjeuner vous sera servi chaque matin. L'hôtel se situe dans un quartier commerçant et vous trouverez plusieurs restaurants à moins de 300 mètres.
L'établissement propose également un salon commun. Sur place ou dans les environs, vous pourrez pratiquer de nombreuses activités telles que le ski, le golf et la randonnée à vélo. Le parcours de golf du lac d'Annecy est accessible en 25 minutes de route.
Un parking gratuit est disponible sur place. L'établissement se trouve à 3,4 km de la gare d'Annecy et à 100 mètres du transport en commun qui vous amènera au centre-ville d'Annecy du lundi au samedi.
L'établissement Ace Hotel Annecy accueille des clients Booking.com depuis le 21 nov. 2014."
Majord'Home Spa 5* - La Source Cœur Vieille Ville,https://www.booking.com/hotel/fr/majord-home-spa-5-la-source-coeur-vieille-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769213&from=searchresults#hotelTmpl,"8,0",34 expériences vécues,"Centre-ville d'Annecy, Annecy","14 Rue Perrière, 74000 Annecy, France",45.89806600,6.12729220,"Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Doté d'un jacuzzi, le Majord'Home Spa 5* - La Source Cœur Vieille Ville est situé en plein cœur d'Annecy. Vous bénéficierez d'une connexion Wi-Fi gratuite et d'une terrasse.
Cet appartement comprend une chambre, une cuisine équipée d'un réfrigérateur et d'un four, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Un petit-déjeuner continental ou à la carte est servi sur place.
Le Majord'Home Spa 5* - La Source Cœur Vieille Ville se trouve à 37 km de Rochexpo et à 38 km du lac du Bourget. L'aéroport de Chambéry-Savoie, le plus proche, est à 43 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Majord'Home Spa 5* - La Source Cœur Vieille Ville accueille des clients Booking.com depuis le 18 juil. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Les Ilots - Joseph Blanc Apt 2 ch au bord du Lac wifi & balcon,https://www.booking.com/hotel/fr/les-ilots-joseph-blanc-apt-2-ch-au-bord-du-lac-wifi-climatisation.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769213&from=searchresults#hotelTmpl,"9,0",6 expériences vécues,"Centre-ville d'Annecy, Annecy","3 Rue Joseph Blanc, 74000 Annecy, France",45.90007460,6.12763790,"Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé en plein cœur d'Annecy, à environ 37 km de Rochexpo, l'établissement Les Ilots - Joseph Blanc Apt 2 ch au bord du Lac wifi & balcon propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'une bouilloire électrique et un réfrigérateur. Cet appartement dispose d'un balcon.
Cet appartement comprend 2 chambres, une télévision, un lave-linge et 2 salles de bains pourvues d'une douche. Sa cuisine est équipée d'un lave-vaisselle et d'un micro-ondes. Les serviettes et le linge de lit sont fournis.
Un casino est également disponible sur place.
Vous séjournerez à 38 km du lac du Bourget et à 43 km du stade de Genève. L'aéroport international de Genève, le plus proche, est à 45 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
L'établissement Les Ilots - Joseph Blanc Apt 2 ch au bord du Lac wifi & balcon accueille des clients Booking.com depuis le 10 janv. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Cosy au bord du lac avec terrasse privée,https://www.booking.com/hotel/fr/annecy-au-bord-du-lac-avec-terrasse-privee.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769213&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7",27 expériences vécues,Annecy,"3b Rue du Pré d Avril, 74940 Annecy, France",45.90729200,6.14716420,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Cosy au bord du lac avec terrasse privée ! Connectez-vous pour économiser.
L’appartement Cosy au bord du lac avec terrasse privée est situé à Annecy, à 2,1 km du palais de l'Île et à 3,3 km du château d'Annecy. Vous séjournerez dans une région très appréciée des randonneurs. Cet hébergement bénéficie d’une terrasse donnant sur un jardin.
Le logement comprend une chambre, un salon, une télévision à écran plat, une cuisine équipée avec coin repas ainsi qu’une salle de bains avec une douche et un lave-linge.
La terrasse sur place est idéale pour se détendre.
L’appartement Cosy au bord du lac avec terrasse privée se trouve à 1,8 km du centre culturel de Bonlieu et à 2 km de l'église de Saint-François. L’aéroport d’Annecy Mont-Blanc, le plus proche, est situé à 7 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Cosy au bord du lac avec terrasse privée accueille des clients Booking.com depuis le 2 sept. 2019."
APPALACHES Annecy Rent Lodge,https://www.booking.com/hotel/fr/appalaches-by-annecy-rent-lodge.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769213&from=searchresults#hotelTmpl,"9,1",7 expériences vécues,"Centre-ville d'Annecy, Annecy","4 Rue Saint-Maurice, 74000 Annecy, France",45.89907460,6.12814620,"Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement APPALACHES Annecy Rent Lodge ! Connectez-vous pour économiser.
Bénéficiant d'un emplacement privilégié dans un quartier central d'Annecy, l'APPALACHES Annecy Rent Lodge offre une vue sur la ville et possède un casino. Vous séjournerez à 37 km de Rochexpo et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.
Cet appartement climatisé comprend 4 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi que 3 salles de bains pourvues d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 37 km du lac du Bourget et à 42 km du stade de Genève. L'aéroport de Chambéry-Savoie, le plus proche, est implanté à 43 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
L'établissement APPALACHES Annecy Rent Lodge accueille des clients Booking.com depuis le 22 juil. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel des Alpes,https://www.booking.com/hotel/fr/hotel-des-alpes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769213&from=searchresults#hotelTmpl,"8,4",1 965 expériences vécues,"Centre-ville d'Annecy, Annecy","12 Rue De La Poste, 74000 Annecy, France",45.90163038,6.12292528,"Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'Hôtel des Alpes propose un hébergement 2 étoiles à 10 minutes à pied du lac d'Annecy et à 100 mètres de la gare. La vieille ville, les boutiques et les restaurants sont accessibles à pied.
Tous les logements de l'hôtel sont équipés d'une télévision par satellite à écran plat et d'un bureau. Leur salle de bains privative possède un sèche-cheveux et des articles de toilette gratuits. L'hôtel ne possède pas d'ascenseur mais son personnel se fera un plaisir de vous aider avec vos bagages si vous le souhaitez.
Un petit-déjeuner continental est servi tous les matins. Vous pourrez aussi profiter d'un bar.
L'aéroport de Chambéry-Savoie, le plus proche, est à 48 km. Un parking public est à proximité. Il est accessible gratuitement de 19h00 à 8h00 et moyennant des frais supplémentaires pendant le reste de la journée.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Hôtel des Alpes accueille des clients Booking.com depuis le 1 août 2005."
Panoramique 180 lac et montagne et Nid Secret spa romantique,https://www.booking.com/hotel/fr/panoramique-180-deg-lac-et-montagne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769213&from=searchresults#hotelTmpl,"8,6",47 expériences vécues,Annecy,"15 Chemin du Jouly, 74940 Annecy, France",45.91865720,6.13928016,"Profitez des services haut de gamme de l'établissement Panoramique 180 lac et montagne et Nid Secret spa romantique
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Panoramique 180 lac et montagne et Nid Secret spa romantique ! Connectez-vous pour économiser.
Situé à 31 km de Rochexpo, le Panoramique 180 lac et montagne et Nid Secret spa romantique propose un spa et centre de bien-être, une terrasse et une réception ouverte 24h/24. La connexion Wi-Fi est gratuite.
Offrant une vue sur le lac ou le jardin, tous les logements comprennent une cuisine, une télévision à écran plat, un lecteur DVD, une armoire, un lave-linge ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Tous les logements sont climatisés et comprennent un coin salon et/ou repas.
Lors de votre séjour, vous pourrez profiter d'un jacuzzi.
La région est prisée pour pratiquer la randonnée et la pêche. Le Panoramique 180 lac et montagne et Nid Secret spa romantique assure un service de location de vélos.
Vous séjournerez à 37 km du stade de Genève et à 38 km du lac du Bourget. L'aéroport international de Genève, le plus proche, est implanté à 41 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Panoramique 180 lac et montagne et Nid Secret spa romantique accueille des clients Booking.com depuis le 15 sept. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
L'Eau Vive - sauna et jacuzzi en centre piéton,https://www.booking.com/hotel/fr/eau-vive-certifie-5-lofts-amp-lakes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqzd0Z0GwAIB0gIkNmNhNGE2ZWEtYWQ4Zi00ODQ2LWE0ZjgtMDcxZTI1ZmIzM2Fk2AIG4AIB&sid=87a5308b8c25e92bdb6d910db5f808d2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=287e7f5ddc4f0163&srepoch=1672769213&from=searchresults#hotelTmpl,"9,7",3 expériences vécues,"Centre-ville d'Annecy, Annecy","23 Rue Jean-Jacques Rousseau, 74000 Annecy, France",45.89904350,6.12450710,"Annecy - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Doté d'une baignoire spa et offrant une vue sur la ville, L'Eau Vive - sauna et jacuzzi en centre piéton est situé dans le centre d'Annecy. Il offre une vue sur la rivière et possède un balcon.
Cet appartement climatisé comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi que 2 salles de bains avec une douche et un bain à remous. Les serviettes et le linge de lit sont fournis.
Pendant votre séjour, vous pourrez profiter d'installations de spa et de bien-être comprenant un sauna et un bain à remous.
Rochexpo se trouve à 35 km, tandis que le lac du Bourget est à 36 km. L'aéroport de Chambéry-Savoie, le plus proche, est à 41 km.
C'est le quartier préféré des voyageurs visitant Annecy, selon les commentaires clients indépendants.
L'établissement L'Eau Vive - sauna et jacuzzi en centre piéton accueille des clients Booking.com depuis le 19 sept. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
