name,link,review_score,review_count,area,address,coordinates_gps,description
Hôtel Barrière Lille,https://www.booking.com/hotel/fr/barriere-lille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from=searchresults#hotelTmpl,"8,6",1 082 expériences vécues,"Centre de Lille, Lille","777 bis Pont De Flandres, Centre de Lille, 59777 Lille, France","3.04854402750895,50.6195751186578,3.10530175953939,50.655505951804","Lille - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Établissement 5 étoiles, l'Hôtel Barrière Lille vous accueille à Lille, à 400 mètres de la gare de Lille-Europe, à 15 minutes de route du stade Pierre Mauroy et à 9 minutes à pied du Lille Grand Palais. Il vous propose 3 restaurants, un casino, un théâtre ainsi qu'un centre d'affaires. De plus, vous bénéficierez de l'accès gratuit au spa avec un sauna et une salle de sport.
Toutes les chambres comprennent un dressing et de grandes fenêtres les baignant de lumière naturelle et offrant une vue sur la ville. Elles disposent d'une connexion Wi-Fi gratuite et d'une télévision à écran plat avec les bouquets beIN Sports et Canal+.
Un petit-déjeuner buffet est servi tous les matins au restaurant La Terrasse du Parc ou dans le confort de votre chambre. Le chef du restaurant Les Hauts de Lille vous fera déguster une cuisine française novatrice. Vous pourrez également savourer un cocktail au bar de l'hôtel, l'Escal'777.
Un parking privé est disponible moyennant des frais supplémentaires, et un service de voiturier est assuré. Vous séjournerez à 200 mètres du centre commercial Euralille, à 20 minutes de marche du complexe Nouveau Siècle et à 10 minutes à pied du Zénith Arena. Des vélos sont disponibles à la location sur place pour vous permettre de découvrir la ville, située à 1,5 km. L'Hôtel Barrière Lille est accessible en 5 minutes en voiture depuis les autoroutes A22 et E17.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Hôtel Barrière Lille accueille des clients Booking.com depuis le 13 avr. 2010."
"L'Hermitage Gantois, Autograph Collection",https://www.booking.com/hotel/fr/hermitagegantois.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",743 expériences vécues,"Centre de Lille, Lille","224 rue Pierre Mauroy, Centre de Lille, 59000 Lille, France","3.03994334204669,50.6132124934923,3.0966933919621,50.6491433266385","Lille - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Doté d'un spa sur place, l'établissement 5 étoiles L'Hermitage Gantois, Autograph Collection est installé dans un élégant bâtiment datant du XVème siècle, au cœur de Lille, à 5 minutes à pied de la Grand'Place. Vous rejoindrez la gare de Lille-Flandres et le centre de congrès Lille Grand Palais à 800 mètres.
Toutes les chambres comprennent la climatisation, une connexion Wi-Fi gratuite, une télévision par satellite, un minibar et une salle de bains privative.
L'Hermitage Gantois, Autograph Collection propose un petit-déjeuner buffet tous les jours, que vous pourrez prendre dans votre chambre sur demande. L'établissement comporte une brasserie servant une cuisine régionale dans une ambiance décontractée, un piano-bar et un restaurant gastronomique qui prépare des plats de saison.
Sur place, vous bénéficierez d'une bibliothèque et d'un spa. Accessible gratuitement pour certaines chambres, le Spa by Hermitage Gantois compte une piscine intérieure et un hammam. Vous trouverez aussi 7 salles de réunion de 20 à 200 m².
Vous séjournerez à 250 mètres de la station de métro Mairie de Lille, à 10 minutes à pied de la vieille ville de Lille et à 500 mètres du musée des Beaux-Arts. Enfin, vous rejoindrez la gare de Lille-Europe à 1,2 km de l'établissement L'Hermitage Gantois, Autograph Collection.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement L'Hermitage Gantois, Autograph Collection accueille des clients Booking.com depuis le 12 août 2009.
Chaîne hôtelière/marque: Autograph Collection"
Clarance Hotel Lille,https://www.booking.com/hotel/fr/clarance-lille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from=searchresults#hotelTmpl,"8,2",294 expériences vécues,"Vieux-Lille, Lille","32 rue de la Barre, Vieux-Lille, 59000 Lille, France","3.02859726630709,50.6208464834269,3.0853565336929,50.6567773165731","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Clarance Hotel Lille
Doté d'un bar et d'une connexion Wi-Fi gratuite dans l'ensemble des locaux, le Clarance Hotel Lille propose des hébergements à Lille, à 400 mètres du grand magasin Printemps, à 500 mètres du centre de conventions Nouveau Siècle et à 1,7 km du complexe Lille Grand Palais. Vous disposerez d'un parking privé sur place.
Toutes les chambres comprennent une télévision par satellite à écran plat, une bouilloire et une machine à café. Leur salle de bains privative est pourvue de peignoirs et d'articles de toilette gratuits.
De plus, le Clarance Hotel Lille possède une réception ouverte 24h/24 et des salles de réunion.
Sur place, vous profiterez aussi d'un service de location de vélos. Vous séjournerez à 500 mètres de la Grand'Place et du quartier du Vieux-Lille. L'aéroport de Lille-Lesquin, le plus proche, est quant à lui accessible à 8 km du Clarance Hotel Lille.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Clarance Hotel Lille accueille des clients Booking.com depuis le 5 mars 2015."
Welkeys - Vauban Apartment,https://www.booking.com/hotel/fr/welkeys-vauban.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from=searchresults#hotelTmpl,"7,0",4 expériences vécues,"Vauban, Lille","59 boulevard Vauban, Vauban, 59800 Lille, France","3.01878605569361,50.6147355834269,3.07553794430639,50.6506664165731","Le Welkeys - Vauban Apartment est installé à Lille, à seulement 600 mètres du zoo et à 800 mètres de la célèbre braderie de la ville. Il vous accueille également à 1 km du grand magasin Printemps et à environ la même distance de la maison Coilliot.
Cet appartement comporte une télévision à écran plat, un coin salon et une salle de bains munie d'une baignoire. Sa cuisine est pourvue d'un four et d'un lave-vaisselle.
Les lieux d'intérêt les plus prisés à proximité du Welkeys - Vauban Apartment incluent la Grand'Place, le quartier du Vieux-Lille et l'Opéra de Lille. Enfin, vous rejoindrez l'aéroport de Lille à 8 km.
L'établissement Welkeys - Vauban Apartment accueille des clients Booking.com depuis le 5 juin 2018."
Lille Centre - Beautiful apartment with character,https://www.booking.com/hotel/fr/lille-centre-superbe-apt-cozy-et-equipe.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from=searchresults#hotelTmpl,"9,0",2 expériences vécues,"Centre de Lille, Lille","123 Rue Jacquemars Giélée, Centre de Lille, 59800 Lille, France","3.02389311233137,50.6172921834269,3.08064808766863,50.6532230165731","Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans le centre de Lille, à moins de 1 km du zoo et à 11 minutes à pied du grand magasin Printemps, le Lille Centre - Beautiful apartment with character propose une connexion Wi-Fi gratuite. Cet appartement se trouve à 1,2 km de l'opéra de Lille et à 1 km de la Grand-Place.
Cet appartement comprend une chambre, un lave-linge ainsi qu'une cuisine équipée d'un réfrigérateur et d'un four. Sa salle de bains est pourvue d'un sèche-cheveux et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Le personnel de la réception ouverte 24h/24 parle français et anglais.
Le Lille Centre - Beautiful apartment with character se trouve à proximité de lieux d'intérêt tels que la maison Coilliot, l'Hospice Gantois et la gare de Lille-Flandres. L'aéroport de Lille, le plus proche, est à 10 km.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
L'établissement Lille Centre - Beautiful apartment with character accueille des clients Booking.com depuis le 12 oct. 2022."
Best Western Premier Why Hotel,https://www.booking.com/hotel/fr/why.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from=searchresults#hotelTmpl,"8,4",1 553 expériences vécues,"Centre de Lille, Lille","7 bis Square Morisson, Centre de Lille, 59000 Lille, France","3.03324129431805,50.6163428766014,3.08999512345233,50.6522737097476","Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Doté d’un bar, d’une terrasse meublée, d’une connexion Wi-Fi gratuite et d’une réception ouverte 24h/24, l’hôtel design Best Western Premier Why Hotel se situe au cœur de Lille, à 200 mètres de la Grand Place et à 400 mètres du centre de conventions du Nouveau Siècle.
Affichant une décoration élégante et contemporaine, les chambres sont revêtues de parquet. Elles comprennent également un bureau, une station d’accueil pour iPod, une télévision par câble à écran plat, un minibar gratuit et une machine à café.
Un petit-déjeuner buffet est servi tous les matins dans le salon commun ou dans le confort de votre chambre. Lors de votre séjour, vous pourrez profiter d’un ascenseur, de journaux gratuits et d’une blanchisserie. Des chambres adaptées aux personnes à mobilité réduite sont également disponibles.
La station de métro Rihour (ligne 1) est à 200 mètres, tandis que la gare Lille-Europe est à 1 km. Un parking privé payant est disponible à proximité, sous réserve de disponibilité.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Best Western Premier Why Hotel accueille des clients Booking.com depuis le 13 sept. 2012.
Chaîne hôtelière/marque: Best Western Premier"
Boa Hotel - BW Signature Collection - Lille Centre Gares,https://www.booking.com/hotel/fr/up.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from=searchresults#hotelTmpl,"8,7",1 236 expériences vécues,"Centre de Lille, Lille","17 Place Des Reignaux, Centre de Lille, 59000 Lille, France","3.03993291461411,50.6193777881451,3.0966904083496,50.6553086212913","Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le Boa Hotel - BW Signature Collection - Lille Centre Gares est un hôtel design situé dans le centre de Lille, à seulement 250 mètres de la gare ferroviaire de Lille-Flandres et à 650 mètres de la gare ferroviaire de Lille-Europe. Il vous propose des chambres élégantes dotées d'une grande télévision à écran LCD et d'une connexion Wi-Fi gratuite.
Les chambres insonorisées comprennent un lit queen-size et un bureau. Leur salle de bains privative est pourvue de peignoirs et d'articles de toilette L'Occitane. Toutes les chambres du Boa Hotel - BW Signature Collection - Lille Centre Gares sont desservies par un ascenseur.
Le Boa Hotel - BW Signature Collection - Lille Centre Gares sert un petit-déjeuner buffet tous les matins. Vous pourrez également prendre un verre au bar de l'hôtel tout en lisant les journaux à disposition.
Vous séjournerez à 450 mètres du centre de conventions Nouveau Siècle et à 2 km de Lille Grand Palais. L'opéra est à 350 mètres et la citadelle de Lille à 20 minutes de marche. Le Boa Hotel - BW Signature Collection - Lille Centre Gares se trouve à 18 minutes en voiture du stade Pierre-Mauroy. Des places de stationnement publiques sont disponibles à proximité.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Boa Hotel - BW Signature Collection - Lille Centre Gares accueille des clients Booking.com depuis le 7 mai 2010.
Chaîne hôtelière/marque: BW Signature Collection by Best Western"
OKKO Hotels Lille Centre,https://www.booking.com/hotel/fr/okko-hotels-lille-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",1 685 expériences vécues,"Centre de Lille, Lille","13 Rue d'Amiens, Centre de Lille, 59800 Lille, France","3.03585222687211,50.6161085834269,3.09260577312789,50.6520394165731","Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé à Lille, l’OKKO Hotels Lille Centre est doté d'une salle de sport, d'un salon commun, d'une terrasse et d'un restaurant. Cet hôtel 4 étoiles dispose d’une réception ouverte 24h/24, d’un service d’étage et d’une connexion Wi-Fi gratuite. L'établissement se trouve à 400 mètres du centre-ville et à 600 mètres de l'Hospice Gantois.
Les chambres climatisées de l’hôtel comprennent un bureau, une machine à café, un coffre-fort, une télévision à écran plat et une salle de bains privative pourvue d’une douche. Chaque logement de l’OKKO Hotels Lille Centre est doté de linge de lit et de serviettes de toilette.
Le matin, vous pourrez prendre un petit-déjeuner continental ou végétarien sur place.
Cet établissement 4 étoiles possède un sauna.
Vous pourrez profiter du centre d’affaires ou d’un moment de détente au bar.
À proximité de l'OKKO Hotels Lille Centre, vous trouverez des lieux d’intérêt tels que la gare Lille Flandres, le grand magasin Printemps et la Grand Place. L’aéroport Lille-Lesquin, le plus proche, est situé à 9 km de l’hôtel.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement OKKO Hotels Lille Centre accueille des clients Booking.com depuis le 1 avr. 2021.
Chaîne hôtelière/marque: Okko Hotels"
Hotel L'Arbre Voyageur - BW Premier Collection - LILLE,https://www.booking.com/hotel/fr/l-arbre-voyageur-bw-premier-collection-lille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from=searchresults#hotelTmpl,"8,8",1 641 expériences vécues,"Vieux-Lille, Lille","45 Boulevard Carnot, Vieux-Lille, 59800 Lille, France","3.03904790628784,50.6217738834269,3.09580829371222,50.6577047165731","Situé dans le quartier du Vieux Lille, à respectivement 5 et 10 minutes de marche des gares de Lille-Flandres et Lille-Europe, l'Hotel L'Arbre Voyageur - BW Premier Collection - LILLE possède une cour, un bar, 2 restaurants et des salles de réunion. Il offre une vue sur la ville.
Décorées de manière individuelle, toutes les chambres disposent d'un plateau de bienvenue et d'une télévision à écran plat avec des chaînes internationales. Leur salle de bains privative est pourvue d'une baignoire ou d'une douche à l'italienne. Certains logements comprennent un coin salon.
La réception de l'établissement est ouverte 24h/24, et vous trouverez une supérette sur place. Un service d'étage est également assuré. Vous pourrez vous détendre au bar de l'hôtel et prendre vos repas dans l'un de ses deux restaurants, le Jane ou Ma Reine. Un petit-déjeuner buffet est servi tous les matins moyennant des frais supplémentaires.
L'Hotel L'Arbre Voyageur BW - Lille est à 200 mètres de l'Opéra de Lille et à 1,5 km du complexe Lille Grand Palais L'aéroport de Lille-Lesquin est, quant à lui, situé à 8 km.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hotel L'Arbre Voyageur - BW Premier Collection - LILLE accueille des clients Booking.com depuis le 21 oct. 2016.
Chaîne hôtelière/marque: BW Premier Collection"
Hotel Carlton,https://www.booking.com/hotel/fr/carlton.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvT4x50GwAIB0gIkNjAyZDdjNmEtNzIyZC00Njk3LTkyNTYtZThkMWQwOTgyMDNk2AIG4AIB&sid=476ca467e7457cee3b228c9e8b7f454d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=785397c08a140084&srepoch=1672608913&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",1 854 expériences vécues,"Centre de Lille, Lille","3 rue Pierre Mauroy, Centre de Lille, 59000 Lille, France","3.03694397013302,50.6187526191976,3.0937007089365,50.6546834523438","Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Carlton ! Connectez-vous pour économiser.
Situé en plein cœur de Lille, à 5 minutes de marche des gares de Lille-Europe et Lille-Flandres, l’Hotel Carlton offre une vue imprenable sur l’Opéra et le beffroi.
Chaque chambre climatisée est décorée dans un style élégant et feutré, alliant raffinement et confort. Toutes les salles de bains privatives sont pourvues de produits de soins au parfum unique « Carlton Lille ». Les logements comprennent également une connexion Wi-Fi, une télévision écran plat, des peignoirs, une Cuvée « Carlton », un coffre-fort, un minibar garni de boissons fraîches, un plateau de courtoisie avec machine Nespresso, du thé Dammann, de l’eau minérale ainsi qu’une sélection de chocolats « Carlton Lille ».
L’hôtel vous propose les délices du Carlton : des plats conçus exclusivement avec des produits locaux par notre traiteur, spécialisé dans la cuisine traditionnelle avec une touche de gastronomie.
Chaque matin, vous pourrez déguster un petit-déjeuner buffet incluant des fruits frais et des produits locaux. La salle de petit-déjeuner offre une vue imprenable sur la place du Théâtre.
En journée, vous pourrez prendre un verre au bar Saint James ou profiter d'un moment inoubliable au nouveau bar The View, ouvert à partir de 17h00. Du cocktail sur-mesure au généreux plateau à partager, venez profiter d'un moment intimiste et inoubliable face à l'Opéra et à la Vieille Bourse.
L’hôtel possède un espace détente doté d’une salle de sport et d’un sauna privé. À l’espace bien-être, des massages sont dispensés sur réservation.
La cathédrale Notre-Dame-de-la-Treille et le centre commercial Euralille vous attendent à quelques pas de l’Hotel Carlton. Le Zénith de Lille se trouve à 15 minutes à pied. L’hôtel est accessible depuis l’autoroute A22, qui permet de rejoindre directement la Belgique, et depuis l’autoroute A1, qui relie Lille et Paris. Un parking privé sécurisé est accessible 24h/24, moyennant un supplément de 30 EUR par nuit.
Réservez une de nos offres duo pour un week-end inoubliable :
- offre Lille Confidentiel / à partir de 285 €* : votre nuit + 2 cocktails signature + 2 petits déjeuners gastronomiques + accès à l'espace bien-être
- offre Lille Evasion / à partir de 200 €* : votre nuit + 2 Citypass + 2 bières signatures + 2 petits déjeuners gastronomiques + accès à l'espace bien-être.
*Cette offre est valable uniquement sur le site Carlton Lille, sous réserve de disponibilité. Cette offre n’est pas cumulable avec d’autres offres spéciales. Le prix indicatif peut varier selon les dates de séjour.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Hotel Carlton accueille des clients Booking.com depuis le 17 janv. 2001."
