name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Renaissance Aix-en-Provence Hotel,https://www.booking.com/hotel/fr/renaissance-aix-en-provence.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",1 379 expériences vécues,Aix-en-Provence,"256 Avenue Pérouse, 13100 Aix-en-Provence, France",43.52624048,5.43820493,"Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Renaissance Aix-en-Provence Hotel
Situé à moins de 10 minutes à pied du centre d'Aix-en-Provence, le Renaissance Aix-en-Provence Hotel propose une réception ouverte 24h/24, des journaux et une connexion Wi-Fi gratuite. Vous bénéficierez d'un accès gratuit au spa doté d'une piscine intérieure chauffée, d'un hammam, d'une salle de sport et de 2 cabines de soins.
Offrant toutes une vue sur le jardin ou la ville, les chambres spacieuses comprennent une salle de bains privative pourvue d'une baignoire ou d'une douche.
Vous pourrez déguster un petit-déjeuner buffet, américain ou continental. Vous disposerez aussi d'un bistro et d'un bar sur place.
Vous séjournerez à 200 mètres du Grand Théâtre. Par ailleurs, vous aurez la possibilité de jouer au bowling à 1 km et au golf à 3 km ou de pratiquer l'équitation à 1,9 km. Enfin, l’aéroport Marseille-Provence est accessible à 25 minutes en voiture du Renaissance Aix-en-Provence Hotel.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Renaissance Aix-en-Provence Hotel accueille des clients Booking.com depuis le 12 juil. 2013.
Chaîne hôtelière/marque: Renaissance Hotels & Resorts"
Hôtel Cézanne Boutique-Hôtel,https://www.booking.com/hotel/fr/cezanne-aix-en-provence.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from=searchresults#hotelTmpl,"8,1",1 644 expériences vécues,Aix-en-Provence,"40 Avenue Victor Hugo, 13100 Aix-en-Provence, France",43.52356201,5.44593707,"L’Hôtel Cézanne Boutique-Hôtel, situé dans le centre d’Aix-en-Provence, propose 55 chambres. L’établissement possède également une terrasse et un salon.
Les chambres climatisées de l'Hotel Cézanne disposent d'une connexion Wi-Fi gratuite. Toutes les chambres sont munies d'une télévision par satellite avec plus de 50 chaînes. Certaines offrent une vue sur la ville.
L’Hôtel Cézanne comporte une terrasse avec un bar en plein air, où vous pourrez savourer votre apéritif. Une salle de réunion est également à votre disposition.
Le petit-déjeuner est servi jusqu'à 11h00. Il se compose de plats salés maison, de viennoiseries, de crêpes, de brioche, de plateaux de charcuterie artisanale, de confiture des Hautes-Alpes et d'une sélection de produits sans gluten. Un bar à jus de fruits frais est également disponible. Vous pourrez prendre votre petit-déjeuner au bar en plein air par beau temps.
L’établissement se trouve à 200 mètres du cours Mirabeau et à 300 mètres d’une gare routière avec des liaisons vers l’aéroport et la gare TGV. La gare TGV d’Aix-en-Provence est implantée à 12 km.
Un parking privé est accessible sur place, moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hôtel Cézanne Boutique-Hôtel accueille des clients Booking.com depuis le 14 mars 2006."
Séjours & Affaires Aix-en-Provence Mirabeau,https://www.booking.com/hotel/fr/residence-mirabeau.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from=searchresults#hotelTmpl,"8,0",1 255 expériences vécues,Aix-en-Provence,"615 Avenue Wolfgang Amadeus Mozart, 13100 Aix-en-Provence, France",43.52524078,5.44126600,"Cette résidence Séjours & Affaires est située à Aix-en-Provence, à proximité du cours Mirabeau. Elle propose des studios meublés et une connexion Wi-Fi gratuite.
Tous les studios du Séjours & Affaires Aix-en-Provence Mirabeau sont insonorisés et disposent d'une kitchenette complète équipée d'un réfrigérateur, d'un four micro-ondes, de plaques de cuisson et de vaisselle. Ils sont tous desservis par un ascenseur.
Les studios comprennent un canapé-lit, et le ménage, qui inclut le changement du linge, est effectué une fois par semaine.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Séjours & Affaires Aix-en-Provence Mirabeau accueille des clients Booking.com depuis le 7 juil. 2006.
Chaîne hôtelière/marque: Séjours & Affaires Apparthotel"
Les Suites du Cours & Spa,https://www.booking.com/hotel/fr/les-suites-du-cours.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from=searchresults#hotelTmpl,"9,1",389 expériences vécues,"Centre historique d'Aix-en-Provence, Aix-en-Provence","37 Cours Mirabeau, 13100 Aix-en-Provence, France",43.52697234,5.44928754,"Aix-en-Provence - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Suites du Cours & Spa ! Connectez-vous pour économiser.
Installé sur le cours Mirabeau d'Aix-en-Provence, à 600 mètres de la cathédrale Saint-Sauveur, l'établissement Les Suites du Cours & Spa inclut un spa et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.
Tous les logements possèdent la climatisation, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'articles de toilette gratuits, d'un sèche-cheveux et d'une baignoire ou d'une douche. Vous trouverez une cuisine munie d'un lave-vaisselle, d'un four, d'un grille-pain, d'un réfrigérateur, de plaques de cuisson, d'une machine à café et d'une bouilloire. Certains logements sont dotés d'un coin salon et/ou repas. Le linge de lit est fourni.
L'établissement Les Suites du Cours & Spa est à 100 mètres du greffe du tribunal de commerce d'Aix-en-Provence et à 21 km de l'aéroport Marseille-Provence, le plus proche.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,9 pour un séjour à deux.
L'établissement Les Suites du Cours & Spa accueille des clients Booking.com depuis le 13 mars 2017."
Aparthotel Adagio Aix-en-Provence Centre,https://www.booking.com/hotel/fr/pierre-vacances-city-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 648 expériences vécues,Aix-en-Provence,"3/5, rue des Chartreux, 13100 Aix-en-Provence, France",43.52890621,5.44086903,"L'Aparthotel Adagio Aix-en-Provence Centre se situe dans une rue paisible du centre de la commune d'Aix-en-Provence, à 10 minutes à pied des cafés et des fontaines du cours Mirabeau. La gare ferroviaire d'Aix-en-Provence se trouve à 900 mètres. Vous bénéficierez gracieusement d'une connexion Wi-Fi disponible dans l'ensemble de l'établissement.
Affichant un style contemporain, les appartements et les studios possèdent une télévision à écran LCD. Leur cuisine est équipée de plaques de cuisson. Certains hébergements sont dotés d'une chambre séparée.
Un petit-déjeuner est servi à l'Aparthotel Adagio Aix-en-Provence Centre. L'établissement comporte un parking privé couvert sur place attribué selon disponibilité, des distributeurs automatiques de boissons et/ou collations, une réception ouverte 24h/24, une bagagerie et assure un service de nettoyage à sec.
La place de la Rotonde est à 5 minutes à pied et le musée d'histoire naturelle d'Aix-en-Provence à seulement 850 mètres. L'autoroute A8 se situe à 2,5 km.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Aparthotel Adagio Aix-en-Provence Centre accueille des clients Booking.com depuis le 16 oct. 2009.
Chaîne hôtelière/marque: Adagio Aparthotels"
Hôtel Birdy by Happyculture,https://www.booking.com/hotel/fr/royal-mirabeau.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",1 865 expériences vécues,Aix-en-Provence,"775, Avenue Guillibert-De-La-Lauzière Pichaury Ii, Les Milles, 13591 Aix-en-Provence, France",43.48142972,5.36561430,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Birdy by Happyculture ! Connectez-vous pour économiser.
L’Hôtel Birdy by Happyculture se trouve à 10 minutes de route d’Aix-en-Provence, à proximité d’un parcours de golf de 18 trous. L’établissement dispose d’une piscine extérieure et d’une connexion Wi-Fi gratuite dans l’ensemble de ses locaux.
Ces hébergements sont climatisés et équipés d'une télévision à écran plat. Toutes les chambres comprennent une salle de bains privative. Certaines chambres possèdent un balcon ou une terrasse privée.
Le restaurant de l'hôtel est ouvert du dimanche soir au vendredi midi. Vous pourrez également vous détendre autour d’un verre au bar sur place, ouvert de 10h00 à 22h00. L’établissement propose un petit-déjeuner buffet.
Vous trouverez 3 salles de réunion sur place pour organiser des réunions, des ateliers ou des cocktails. Un jardin et une terrasse sont également à votre disposition.
L’Hôtel Birdy by Happyculture est à 6,7 km de la gare TGV de Marseille et à 17 km de l’aéroport de Marseille Provence. Le parking sur place est gratuit.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour à deux.
L'établissement Hôtel Birdy by Happyculture accueille des clients Booking.com depuis le 31 juil. 2009.
Chaîne hôtelière/marque: HappyCulture"
Cottage Aixois,https://www.booking.com/hotel/fr/mas-de-la-granette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from=searchresults#hotelTmpl,"9,3",20 expériences vécues,Aix-en-Provence,"Chemin de granet, 13090 Aix-en-Provence, France",43.54427239,5.39045528,"Le Cottage Provençal est une maison de vacances dotée d'une piscine extérieure et d'un barbecue, située à Aix-en-Provence, à 5 km du cours Mirabeau. Il se trouve à 5 km de la bibliothèque Cité du Livre.
Ce logement comprend un coin repas ainsi qu'une cuisine équipée d'un four et d'un lave-vaisselle. Il dispose également d'une télévision à écran plat. Chaque maison de vacances dispose également d'un coffre-fort et d'une cave à vin. Le Cottage Provençal comporte également une terrasse bien exposée.
Vous pourrez pratiquer diverses activités dans les environs, telles que le golf, le tennis et le vélo.
L'École de Commerce d'Aix-en-Provence ESGCF et l'institut Sciences Po Aix se trouvent à 5 km du Cottage Provençal. Enfin, l'aéroport de Marseille-Provence, le plus proche, est implanté à 18 km du Cottage Provençal. Un parking privé couvert est disponible pour chaque maison de vacances.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Cottage Aixois accueille des clients Booking.com depuis le 25 juin 2016."
Hôtel Rotonde,https://www.booking.com/hotel/fr/rotonde.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from=searchresults#hotelTmpl,"8,1",1 149 expériences vécues,Aix-en-Provence,"15 avenue Des Belges, 13100 Aix-en-Provence, France",43.52391014,5.44249445,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Rotonde ! Connectez-vous pour économiser.
L'Hôtel Rotonde est situé dans le centre d'Aix-en-Provence, à 5 minutes à pied de la gare SNCF. La connexion Wi-Fi et le parking sur place, accessible sous réserve de disponibilité, sont proposés gratuitement.
Les chambres insonorisées comprennent la climatisation, une télévision par satellite et un minibar. Chacune possède une salle de bains pourvue d’un sèche-cheveux.
L'Hôtel Rotonde sert un petit-déjeuner buffet continental. Vous pourrez prendre un verre au bar ou sur la terrasse ombragée.
Vous séjournerez à 300 mètres du cours Mirabeau et à 30 km de l’aéroport de Marseille-Provence.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Hôtel Rotonde accueille des clients Booking.com depuis le 15 avr. 2010."
Campanile Aix-en-Provence Sud - Pont de l'Arc,https://www.booking.com/hotel/fr/campanile-aix-en-provence-sud.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3",3 129 expériences vécues,Aix-en-Provence,"1 Rue Jean Andreani, 13090 Aix-en-Provence, France",43.51191632,5.43665394,"Installé à Aix-en-Provence, à 3 km du centre historique et du cours Mirabeau, le Campanile Aix-en-Provence Sud - Pont de l’Arc vous propose des hébergements climatisés avec une connexion Wi-Fi gratuite.
Toutes les chambres sont équipées d’une télévision à écran plat. Chaque logement est doté d’un plateau/bouilloire.
L’hôtel sert tous les matins un petit-déjeuner buffet. Le restaurant sur place prépare une cuisine française contemporaine, que vous pourrez savourer sur la terrasse en été. Un buffet composé de plats chauds et froids est également disponible.
L’hôtel possède un ascenseur et un parking privé gratuit sur place. Un bus desservant directement le centre-ville s’arrête en face de l’hôtel.
L’établissement se trouve à 13 km de la gare TGV d’Aix-en-Provence et à 8 km de la salle polyvalente Arena du Pays d’Aix. L’aéroport Marseille-Provence est accessible en 20 minutes de route.
L'établissement Campanile Aix-en-Provence Sud - Pont de l'Arc accueille des clients Booking.com depuis le 23 janv. 2007.
Chaîne hôtelière/marque: Campanile"
T2 classé 3 étoile au centre du quartier historique,https://www.booking.com/hotel/fr/t2-centre-ville-aix-en-provence.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ApKQ0p0GwAIB0gIkMWE4OTAxM2ItMjYwNC00ZDJlLWE1ODEtMjIxNjI1YWNmNmJm2AIG4AIB&sid=f67548b06ceed8bc2d9340569c1ebb6d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=fb878c0f0f7e0267&srepoch=1672775711&from=searchresults#hotelTmpl,"8,7",42 expériences vécues,"Centre historique d'Aix-en-Provence, Aix-en-Provence","1 Rue Matheron, 13100 Aix-en-Provence, France",43.52997889,5.44973644,"Aix-en-Provence - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement T2 classé 3 étoile au centre du quartier historique ! Connectez-vous pour économiser.
Le T2 classé 3 étoile au centre du quartier historique propose un hébergement au 4ème étage d'un immeuble du XVIIe siècle à Aix-en-Provence, à 200 mètres de la mairie et à 400 mètres du cours Mirabeau.
Accessible par des escaliers, cet appartement indépendant comprend une kitchenette équipée d'un four, d'un micro-ondes, d'un lave-vaisselle et d'une machine à café. Le linge de lit et les serviettes de toilette sont fournis.
Vous trouverez un supermarché et un marché fermier à moins de 100 mètres de l'établissement.
Le T2 classé 3 étoile au centre du quartier historique est à 300 mètres de l'institut d'études politiques d'Aix-en-Provence et à 400 mètres du greffe du tribunal de commerce d'Aix-en-Provence. L'aéroport de Marseille Provence est, quant à lui, situé à 21 km.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
L'établissement T2 classé 3 étoile au centre du quartier historique accueille des clients Booking.com depuis le 5 janv. 2016."
