name,link,review_score,review_count,area,address,coordinates_gps,description
Hôtel Cézanne Boutique-Hôtel,https://www.booking.com/hotel/fr/cezanne-aix-en-provence.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from=searchresults#hotelTmpl,"8,1",1 645 expériences vécues,Aix-en-Provence,"40 Avenue Victor Hugo, 13100 Aix-en-Provence, France","5.42111459078524,43.5055965966102,5.47075954375532,43.5415274297564","L’Hôtel Cézanne Boutique-Hôtel, situé dans le centre d’Aix-en-Provence, propose 55 chambres. L’établissement possède également une terrasse et un salon.
Les chambres climatisées de l'Hotel Cézanne disposent d'une connexion Wi-Fi gratuite. Toutes les chambres sont munies d'une télévision par satellite avec plus de 50 chaînes. Certaines offrent une vue sur la ville.
L’Hôtel Cézanne comporte une terrasse avec un bar en plein air, où vous pourrez savourer votre apéritif. Une salle de réunion est également à votre disposition.
Le petit-déjeuner est servi jusqu'à 11h00. Il se compose de plats salés maison, de viennoiseries, de crêpes, de brioche, de plateaux de charcuterie artisanale, de confiture des Hautes-Alpes et d'une sélection de produits sans gluten. Un bar à jus de fruits frais est également disponible. Vous pourrez prendre votre petit-déjeuner au bar en plein air par beau temps.
L’établissement se trouve à 200 mètres du cours Mirabeau et à 300 mètres d’une gare routière avec des liaisons vers l’aéroport et la gare TGV. La gare TGV d’Aix-en-Provence est implantée à 12 km.
Un parking privé est accessible sur place, moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hôtel Cézanne Boutique-Hôtel accueille des clients Booking.com depuis le 14 mars 2006."
Aparthotel Adagio Aix-en-Provence Centre,https://www.booking.com/hotel/fr/pierre-vacances-city-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 645 expériences vécues,Aix-en-Provence,"3/5, rue des Chartreux, 13100 Aix-en-Provence, France","5.41604435761116,43.510940797359,5.46569370906212,43.5468716305052","L'Aparthotel Adagio Aix-en-Provence Centre se situe dans une rue paisible du centre de la commune d'Aix-en-Provence, à 10 minutes à pied des cafés et des fontaines du cours Mirabeau. La gare ferroviaire d'Aix-en-Provence se trouve à 900 mètres. Vous bénéficierez gracieusement d'une connexion Wi-Fi disponible dans l'ensemble de l'établissement.
Affichant un style contemporain, les appartements et les studios possèdent une télévision à écran LCD. Leur cuisine est équipée de plaques de cuisson. Certains hébergements sont dotés d'une chambre séparée.
Un petit-déjeuner est servi à l'Aparthotel Adagio Aix-en-Provence Centre. L'établissement comporte un parking privé couvert sur place attribué selon disponibilité, des distributeurs automatiques de boissons et/ou collations, une réception ouverte 24h/24, une bagagerie et assure un service de nettoyage à sec.
La place de la Rotonde est à 5 minutes à pied et le musée d'histoire naturelle d'Aix-en-Provence à seulement 850 mètres. L'autoroute A8 se situe à 2,5 km.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Aparthotel Adagio Aix-en-Provence Centre accueille des clients Booking.com depuis le 16 oct. 2009.
Chaîne hôtelière/marque: Adagio Aparthotels"
Hôtel Birdy by Happyculture,https://www.booking.com/hotel/fr/royal-mirabeau.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",1 851 expériences vécues,Aix-en-Provence,"775, Avenue Guillibert-De-La-Lauzière Pichaury Ii, Les Milles, 13591 Aix-en-Provence, France","5.34080913557235,43.4634643045004,5.39041945443925,43.4993951376466","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Birdy by Happyculture ! Connectez-vous pour économiser.
L’Hôtel Birdy by Happyculture se trouve à 10 minutes de route d’Aix-en-Provence, à proximité d’un parcours de golf de 18 trous. L’établissement dispose d’une piscine extérieure et d’une connexion Wi-Fi gratuite dans l’ensemble de ses locaux.
Ces hébergements sont climatisés et équipés d'une télévision à écran plat. Toutes les chambres comprennent une salle de bains privative. Certaines chambres possèdent un balcon ou une terrasse privée.
Le restaurant de l'hôtel est ouvert du dimanche soir au vendredi midi. Vous pourrez également vous détendre autour d’un verre au bar sur place, ouvert de 10h00 à 22h00. L’établissement propose un petit-déjeuner buffet.
Vous trouverez 3 salles de réunion sur place pour organiser des réunions, des ateliers ou des cocktails. Un jardin et une terrasse sont également à votre disposition.
L’Hôtel Birdy by Happyculture est à 6,7 km de la gare TGV de Marseille et à 17 km de l’aéroport de Marseille Provence. Le parking sur place est gratuit.
L'établissement Hôtel Birdy by Happyculture accueille des clients Booking.com depuis le 31 juil. 2009.
Chaîne hôtelière/marque: HappyCulture"
Aquabella Hôtel & Spa,https://www.booking.com/hotel/fr/hotel-aquabella.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 494 expériences vécues,"Centre historique d'Aix-en-Provence, Aix-en-Provence","2, Rue des Etuves, 13100 Aix-en-Provence, France","5.4202443971794,43.513298182285,5.46989568923303,43.5492290154312","Aix-en-Provence - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Entouré d'un magnifique jardin, l'Aquabella propose des chambres de style provençal ainsi qu'un accès gratuit au spa. Il est situé dans le centre d'Aix-en-Provence, à quelques pas de la vieille ville.
Les chambres de l'Aquabella sont toutes climatisées et équipées d'une connexion Wi-Fi gratuite ainsi que d'un minibar. Des peignoirs sont également fournis.
Vous pourrez déguster une cuisine méditerranéenne au restaurant de l'hôtel, L'Orangerie. Pendant les mois d'été, La Terrasse de la Tour, le restaurant-gril de l'établissement situé en plein air, sert des grillades et des salades au bord de la piscine extérieure.
Vous pourrez vous détendre au spa Sensoriel de l'Aquabella. Vous aurez accès au sauna, au hammam et au bain à remous. Vous y trouverez également une douche Kneipp et une fontaine de glace.
Vous trouverez un parking public à seulement 50 mètres, accessible moyennant un supplément.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Aquabella Hôtel & Spa accueille des clients Booking.com depuis le 6 oct. 2006."
Hôtel Escaletto,https://www.booking.com/hotel/fr/hotel-escaletto.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from=searchresults#hotelTmpl,"8,2",524 expériences vécues,"Centre historique d'Aix-en-Provence, Aix-en-Provence","74, cours Sextius, 13100 Aix-en-Provence, France","5.41932154639417,43.5120842548026,5.46897183911151,43.5480150879488","Aix-en-Provence - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Établissement 3 étoiles, l’Hôtel Escaletto vous accueille dans le centre-ville d’Aix-en-Provence, à 1 minute à pied des Thermes Sextius et à 550 mètres du cours Mirabeau. Une connexion Wi-Fi est disponible gratuitement.
Aménagées dans un style contemporain, les chambres bénéficient d’une terrasse offrant une vue panoramique sur la ville et la montagne Sainte-Victoire.
Chaque matin, vous pourrez savourer un petit-déjeuner buffet. La connexion Wi-Fi gratuite est accessible dans l’ensemble de l’hôtel.
Doté d’une réception ouverte 24h/24, l’Hôtel Escaletto offre un accès facile à toutes les principales attractions touristiques
d’Aix-en-Provence.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hôtel Escaletto accueille des clients Booking.com depuis le 9 sept. 2009."
Hôtel Rotonde,https://www.booking.com/hotel/fr/rotonde.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from=searchresults#hotelTmpl,"8,1",1 145 expériences vécues,Aix-en-Provence,"15 avenue Des Belges, 13100 Aix-en-Provence, France","5.41767183227239,43.5059447230837,5.46731707172694,43.5418755562299","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Rotonde ! Connectez-vous pour économiser.
L'Hôtel Rotonde est situé dans le centre d'Aix-en-Provence, à 5 minutes à pied de la gare SNCF. La connexion Wi-Fi et le parking sur place, accessible sous réserve de disponibilité, sont proposés gratuitement.
Les chambres insonorisées comprennent la climatisation, une télévision par satellite et un minibar. Chacune possède une salle de bains pourvue d’un sèche-cheveux.
L'Hôtel Rotonde sert un petit-déjeuner buffet continental. Vous pourrez prendre un verre au bar ou sur la terrasse ombragée.
Vous séjournerez à 300 mètres du cours Mirabeau et à 30 km de l’aéroport de Marseille-Provence.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hôtel Rotonde accueille des clients Booking.com depuis le 15 avr. 2010."
T2 classé 3 étoile au centre du quartier historique,https://www.booking.com/hotel/fr/t2-centre-ville-aix-en-provence.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from=searchresults#hotelTmpl,"8,7",42 expériences vécues,"Centre historique d'Aix-en-Provence, Aix-en-Provence","1 Rue Matheron, 13100 Aix-en-Provence, France","5.4249113232521,43.5120134692051,5.47456155769885,43.5479443023513","Aix-en-Provence - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement T2 classé 3 étoile au centre du quartier historique ! Connectez-vous pour économiser.
Le T2 classé 3 étoile au centre du quartier historique propose un hébergement au 4ème étage d'un immeuble du XVIIe siècle à Aix-en-Provence, à 200 mètres de la mairie et à 400 mètres du cours Mirabeau.
Accessible par des escaliers, cet appartement indépendant comprend une kitchenette équipée d'un four, d'un micro-ondes, d'un lave-vaisselle et d'une machine à café. Le linge de lit et les serviettes de toilette sont fournis.
Vous trouverez un supermarché et un marché fermier à moins de 100 mètres de l'établissement.
Le T2 classé 3 étoile au centre du quartier historique est à 300 mètres de l'institut d'études politiques d'Aix-en-Provence et à 400 mètres du greffe du tribunal de commerce d'Aix-en-Provence. L'aéroport de Marseille Provence est, quant à lui, situé à 21 km.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
L'établissement T2 classé 3 étoile au centre du quartier historique accueille des clients Booking.com depuis le 5 janv. 2016."
Hôtel des Augustins,https://www.booking.com/hotel/fr/les-augustins.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from=searchresults#hotelTmpl,"8,1",1 637 expériences vécues,"Centre historique d'Aix-en-Provence, Aix-en-Provence","3 Rue De La Masse, 13100 Aix-en-Provence, France","5.42244762169561,43.5089212196524,5.47209531081477,43.5448520527986","Aix-en-Provence - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel des Augustins ! Connectez-vous pour économiser.
Situé à côté du célèbre cours Mirabeau, au cœur de la vieille ville d'Aix-en-Provence, l'Hôtel Les Augustins se trouve dans les murs d'un couvent datant du XIIe siècle.
L'Hôtel Les Augustins, subtil mélange d'architecture historique et moderne, bénéficie d'un magnifique hall d'entrée.
L'hôtel propose des chambres spacieuses alliant l’architecture traditionnelle aux équipements modernes. Toutes les chambres sont climatisées et équipées d’une télévision et d’un minibar.
Le petit-déjeuner est servi tous les matins dans la salle à manger ou dans le confort de votre chambre. Vous pourrez profiter d’une connexion Wi-Fi gratuite dans l’ensemble des locaux, et d’une réception ouverte 24h/24.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hôtel des Augustins accueille des clients Booking.com depuis le 24 févr. 2010."
Campanile Aix-en-Provence Sud - Pont de l'Arc,https://www.booking.com/hotel/fr/campanile-aix-en-provence-sud.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3",3 122 expériences vécues,Aix-en-Provence,"1 Rue Jean Andreani, 13090 Aix-en-Provence, France","5.41183625571334,43.4939509003857,5.46147162802613,43.5298817335319","Installé à Aix-en-Provence, à 3 km du centre historique et du cours Mirabeau, le Campanile Aix-en-Provence Sud - Pont de l’Arc vous propose des hébergements climatisés avec une connexion Wi-Fi gratuite.
Toutes les chambres sont équipées d’une télévision à écran plat. Chaque logement est doté d’un plateau/bouilloire.
L’hôtel sert tous les matins un petit-déjeuner buffet. Le restaurant sur place prépare une cuisine française contemporaine, que vous pourrez savourer sur la terrasse en été. Un buffet composé de plats chauds et froids est également disponible.
L’hôtel possède un ascenseur et un parking privé gratuit sur place. Un bus desservant directement le centre-ville s’arrête en face de l’hôtel.
L’établissement se trouve à 13 km de la gare TGV d’Aix-en-Provence et à 8 km de la salle polyvalente Arena du Pays d’Aix. L’aéroport Marseille-Provence est accessible en 20 minutes de route.
L'établissement Campanile Aix-en-Provence Sud - Pont de l'Arc accueille des clients Booking.com depuis le 23 janv. 2007.
Chaîne hôtelière/marque: Campanile"
B&B Villa Roumanille,https://www.booking.com/hotel/fr/villa-roumanille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqeNy50GwAIB0gIkMzdhNWZmYmYtMzJhMi00YTUwLWE2NGMtNzg2Y2NiMjA5NTQx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=308554195cec00e9&srepoch=1672660660&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,3",113 expériences vécues,Aix-en-Provence,"690 Avenue Pierre Brossolette, 13090 Aix-en-Provence, France","5.41801497170412,43.4998706975571,5.46765521338499,43.5358015307033","Vous pouvez bénéficier d'une réduction Genius dans l'établissement B&B Villa Roumanille ! Connectez-vous pour économiser.
Située à seulement 1 km du centre d'Aix-en-Provence, le B&B Villa Roumanille est une maison typiquement provençale qui dispose d'un jardin et d'une terrasse. Cassis et ses falaises sont à 30 minutes en voiture.
Toutes les chambres disposent d'une terrasse ou d'un balcon privés avec vue sur le jardin, d'une télévision par câble à écran plat et d'une armoire. Les salles de bains privatives sont équipées d'un sèche-cheveux.
Toutes les chambres sont dotées de la climatisation.
Un petit-déjeuner est servi chaque matin à la Villa Roumanille. Possibilité de table d'hôtes, sur réservation, en été.
La gare TGV d'Aix-en-Provence est à 15 km et la montagne Saint-Victoire est à 30 minutes en voiture. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi dans l'ensemble des locaux.
C'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement B&B Villa Roumanille accueille des clients Booking.com depuis le 30 nov. 2012."
