name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Le petit nid,https://www.booking.com/hotel/fr/le-petit-nid-montgaillard.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1",21 expériences vécues,Montgaillard,"RDC 1 Rue de la Place, 09330 Montgaillard, France",42.93227802,1.63516787,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le petit nid ! Connectez-vous pour économiser.
Offrant une vue sur le jardin, l'hébergement Le petit nid est situé à Montgaillard, à 38 km du col de la Crouzette et à 5 km du château de Foix. Vous bénéficierez d'un accès à une terrasse, d'un bowling et d'une connexion Wi-Fi gratuite.
Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision par câble à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la montagne.
Vous pourrez profiter du jardin ou partir en randonnée dans les environs.
Le petit nid se trouve à 11 km de la rivière souterraine de Labouiche et à 16 km de la grotte de Bedeilhac. L'aéroport de Carcassonne, le plus proche, est implanté à 79 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Le petit nid accueille des clients Booking.com depuis le 11 mars 2022."
Appartement Fontargente,https://www.booking.com/hotel/fr/appartement-fontargente.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from=searchresults#hotelTmpl,"9,1",57 expériences vécues,Ax-les-Thermes,"premier étage 19 Avenue Docteur François Gomma, 09110 Ax-les-Thermes, France",42.71847547,1.84064515,"L'Appartement Fontargente est situé à Ax-les-Thermes, à 24 km de Talc Career of Trimouns, à 25 km des grottes de Lombrives et à 45 km de la fontaine de Fontestorbes. Situé à 48 km du sanctuaire de Meritxell, il met gratuitement à votre disposition une connexion Wi-Fi et un parking privé.
Cet appartement comprend 2 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la montagne.
Vous pourrez faire du ski dans les environs et un local à skis est disponible sur place.
L'aéroport d'Andorre-La Seu d'Urgell, le plus proche, est implanté à 81 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Appartement Fontargente accueille des clients Booking.com depuis le 10 août 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Résidence Néméa Les Balcons d'Ax,https://www.booking.com/hotel/fr/residence-les-balcons-d-ax.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from=searchresults#hotelTmpl,"7,4",71 expériences vécues,Ax-les-Thermes,"Station De Bonascre, 09110 Ax-les-Thermes, France",42.70237131,1.81530745,"La Résidence Néméa Les Balcons d'Ax est située à Bonascre, à 15 minutes en voiture du centre d'Ax-les-Thermes, au pied des remontées mécaniques. Il propose une piscine intérieure chauffée et un sauna.
Chaque appartement et studio de la Résidence Les Balcons D'ax dispose d'un coin repas et d'une kitchenette entièrement équipée.
L'établissement Les Balcons D'ax met gratuitement à votre disposition une connexion Wi-Fi dans les parties communes et un parking.
Vous pourrez explorer la région en raquettes en hiver et découvrir la faune et la flore uniques de la réserve naturelle nationale en été.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement Résidence Néméa Les Balcons d'Ax accueille des clients Booking.com depuis le 8 déc. 2010.
Chaîne hôtelière/marque: Néméa Montagne "
Les gîtes de Beille,https://www.booking.com/hotel/fr/les-gites-de-beille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",118 expériences vécues,Les Cabannes,"25 Quartier la Bexane, 09310 Les Cabannes, France",42.78555710,1.68166541,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les gîtes de Beille ! Connectez-vous pour économiser.
Situé aux Cabannes, en Midi-Pyrénées, à moins de 45 km du col de la Crouzette, l'établissement Les gîtes de Beille propose des hébergements avec une connexion Wi-Fi gratuite, un barbecue, un jardin et un parking privé gratuit.
Tous les logements disposent d'une terrasse avec vue sur la montagne, d'une kitchenette avec un réfrigérateur et un micro-ondes, ainsi que d'une salle de bains privative avec douche. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Vous pourrez jouer au minigolf sur place ou faire de la randonnée dans les environs.
Vous séjournerez à 8,2 km de la grotte de Lombrives et à 14 km de la grotte de Niaux. L'aéroport d'Andorre-La Seu d'Urgell, le plus proche, est implanté à 96 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Les gîtes de Beille accueille des clients Booking.com depuis le 24 janv. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Lagrange Vacances Les Chalets d’Ax,https://www.booking.com/hotel/fr/residence-les-chalets-d-ax.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from=searchresults#hotelTmpl,"7,6",524 expériences vécues,Ax-les-Thermes,"Quartier De Castel Maou - Chemin d'Aouredou -, Route d'Andorre RN 20, 09110 Ax-les-Thermes, France",42.71383156,1.83920681,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Lagrange Vacances Les Chalets d’Ax ! Connectez-vous pour économiser.
Le Lagrange Vacances Les Chalets d'Ax est situé à Ax-Les-Thermes, à 800 mètres du centre-ville et des remontées mécaniques. Il met à votre disposition une connexion Wi-Fi dans les appartements moyennant un supplément ainsi qu'une piscine extérieure chauffée ouverte en saison.
L'établissement propose des studios et des appartements avec balcon ou terrasse privés. Chaque hébergement comprend une cuisine équipée d'un lave-vaisselle et d'un micro-ondes.
Dans les environs, vous aurez la possibilité de pratiquer des activités telles que la randonnée, le vélo et la pêche dans la rivière Ariège. En hiver, durant les vacances et les week-ends, des navettes gratuites circulent entre l'établissement et les remontées mécaniques d'Ax-les-Thermes.
Doté d'un parking privé gratuit, le Lagrange Vacances Les Chalets d'Ax se trouve à 30 minutes de route du parc d'art préhistorique de Tarascon et des grottes de Niaux.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement Lagrange Vacances Les Chalets d’Ax accueille des clients Booking.com depuis le 16 nov. 2010.
Chaîne hôtelière/marque: Lagrange"
Chalet bois au milieu des Pyrénées,https://www.booking.com/hotel/fr/chalet-bois-au-milieu-des-pyrenees.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from=searchresults#hotelTmpl,"9,0",152 expériences vécues,LʼHospitalet-près-lʼAndorre,"3 Las Planos, 09390 LʼHospitalet-près-lʼAndorre, France",42.58990385,1.79836833,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Chalet bois au milieu des Pyrénées ! Connectez-vous pour économiser.
Doté d'une terrasse et d'une cuisine commune, le Chalet bois au milieu des Pyrénées bénéficie d’un emplacement idéal à L'Hospitalet-près-l'Andorre, à 25 km du club de golf Real de Cerdaña et à 30 km du sanctuaire de Meritxell. Ce chalet dispose d'un parking privé gratuit et d'une réception ouverte 24h/24.
Ce chalet de 2 chambres comprend un lave-linge, une télévision par satellite à écran plat, une salle de bains avec une douche ainsi qu’une cuisine équipée avec un micro-ondes et un lave-vaisselle.
Après une journée de randonnée, de ski ou de pêche, vous pourrez vous détendre dans le jardin ou le coin salon commun.
Vous trouverez le musée municipal de Llivia à 28 km et le parcours de golf de Font-Romeu à 38 km du chalet. L'aéroport d'Andorre-La Seu d'Urgell, le plus proche, est situé à 63 km du Chalet bois au milieu des Pyrénées.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Chalet bois au milieu des Pyrénées accueille des clients Booking.com depuis le 28 nov. 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
"The Originals Access, Hôtel Foix (P'tit Dej-Hotel)",https://www.booking.com/hotel/fr/campanilefoix.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from=searchresults#hotelTmpl,"7,9",1 498 expériences vécues,Foix,"Ancienne Rn 20 Lieu dit Le Couloumié - Départementale 919, 09000 Foix, France",42.99211190,1.61583245,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement The Originals Access, Hôtel Foix (P'tit Dej-Hotel) ! Connectez-vous pour économiser.
Situé au sein du parc naturel régional des Pyrénées ariégeoises, à 75 km de Toulouse, l’établissement The Originals Access, Hôtel Foix (P'tit Dej-Hotel) dispose d'une réception automatique ouverte 24h/24.
Décorées dans un style sobre et dotées d’un mobilier en bois, les chambres disposent d’une télévision et d’un téléphone. La salle de bains privative est pourvue d'une baignoire.
Un petit-déjeuner est servi tous les matins. Le restaurant sur place bénéficie d’une terrasse.
La gare de Foix se trouve à 6 minutes en voiture du The Originals Access, Hôtel Foix, et un parking public gratuit se trouve à proximité. Ce logement se trouve à 80 km d’Andorre et de la frontière espagnole.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement The Originals Access, Hôtel Foix (P'tit Dej-Hotel) accueille des clients Booking.com depuis le 18 nov. 2005.
Chaîne hôtelière/marque: The Originals Access"
Apartment Natik,https://www.booking.com/hotel/fr/apartment-natik.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from=searchresults#hotelTmpl,"8,8",19 expériences vécues,Ax-les-Thermes,"6 Rue Pilhes, 09110 Ax-les-Thermes, France",42.71962529,1.83817893,"Offrant une vue sur la montagne, l'Apartment Natik est un hébergement situé à Ax-les-Thermes, à 48 km du sanctuaire de Meritxell et à 24 km de la carrière Talc de Trimouns. Occupant un bâtiment datant de 1900, il se trouve à 25 km des grottes de Lombrives et à 46 km de la fontaine de Fontestorbes.
Doté d'un balcon avec vue sur la ville, cet appartement dispose d'une télévision à écran plat, d'une kitchenette bien équipée avec réfrigérateur, lave-vaisselle et micro-ondes, ainsi que d'une salle de bains avec douche et articles de toilette gratuits.
Un local à skis est disponible sur place. Vous pourrez faire du ski et du vélo dans les environs.
L'aéroport d'Andorre-La Seu d'Urgell, le plus proche, est implanté à 80 km.
L'établissement Apartment Natik accueille des clients Booking.com depuis le 1 avr. 2016.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Auberge des Deux Rivières,https://www.booking.com/hotel/fr/auberge-des-deux-rivia-res-seix.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from=searchresults#hotelTmpl,"8,1",467 expériences vécues,Seix,"Pont De La Taule, 09140 Seix, France",42.83202716,1.19836539,"L'Auberge Des Deux Rivières est située en plein cœur du département de l'Ariège, dans les Pyrénées françaises, au confluent de l'Alet et du Salat.
Ses chambres entièrement équipées comprennent une salle de bains privative pourvue d'articles de toilette gratuits.
Au restaurant, vous dégusterez une cuisine régionale traditionnelle concoctée par les propriétaires Robert et Philip. En juillet et en août, l'établissement sert exclusivement de la paëlla le lundi et du couscous le mardi. La formule demi-pension avec dîner comprend une sélection du menu à la carte choisie par le chef.
Ce petit hôtel de montagne constitue un pied-à-terre idéal pour pratiquer la randonnée à pied ou à vélo et la pêche.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Auberge des Deux Rivières accueille des clients Booking.com depuis le 1 avr. 2008."
Domaine de Garabaud,https://www.booking.com/hotel/fr/domaine-de-garabaud.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqvA1J0GwAIB0gIkZWViZjdiMjUtMWM5ZC00MWE5LWJiY2MtYmNlNTcxMjJhYzUy2AIG4AIB&sid=cef5ec9b2ff2f88f312d97ac6dc2ebbd&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=fb872f5b955401cd&srepoch=1672814647&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",206 expériences vécues,Mazères,"913 Garabaud, 09270 Mazères, France",43.25701228,1.66643500,"Situé à Mazères, à 40 minutes de route de Toulouse, le Domaine de Garabaud est installé dans un magnifique cadre verdoyant, idéal pour accueillir tous vos événements.
L'établissement comprend 24 chambres (50 lits), toutes étant équipées d'une douche, de toilettes et d'une connexion Wi-Fi gratuite.
Le restaurant sur place est uniquement ouvert pour le déjeuner. Des plateaux-repas sont préparés sur réservation préalable.
Installé dans un parc de 3 hectares, le domaine met à votre disposition un restaurant, des salles de réunion, une piscine et un court de tennis pour vous permettre de vous détendre.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Domaine de Garabaud accueille des clients Booking.com depuis le 25 sept. 2009."
