name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
City Residence Access Strasbourg,https://www.booking.com/hotel/fr/city-residence-access-strasbourg-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from=searchresults#hotelTmpl,"6,9",5 007 expériences vécues,Strasbourg,"11 Rue des Magasins, 67000 Strasbourg, France",48.59001400,7.73987000,"Situé à Strasbourg, à moins de 900 mètres du marché de Noël de la ville, le City Residence Access Strasbourg propose des hébergements avec une télévision et une kitchenette.
Les logements comprennent une salle de bains privative entièrement équipée pourvue d'une douche et d'articles de toilette gratuits.
Vous séjournerez à 12 minutes à pied du quartier de la Petite France et à 1 km de la cathédrale de Strasbourg. L'aéroport de Strasbourg-Entzheim se trouve quant à lui à 10 km du City Residence Access Strasbourg.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour à deux.
L'établissement City Residence Access Strasbourg accueille des clients Booking.com depuis le 4 janv. 2018."
City Résidence Strasbourg Centre,https://www.booking.com/hotel/fr/appart-victoria-garden-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from=searchresults#hotelTmpl,"7,0",3 450 expériences vécues,Strasbourg,"1 Rue des Magasins, 67000 Strasbourg, France",48.58906194,7.73879863,"Situé à 1 km de la gare de Strasbourg ainsi qu'à 1,5 km du quartier de La Petite France, l'établissement City Résidence Strasbourg Centre dispose d'une réception ouverte 24h/24 et propose des hébergements indépendants et insonorisés. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble des locaux.
Les suites spacieuses comportent une télévision à écran plat, un coin repas ainsi qu'une kitchenette entièrement équipée. Elles comprennent également une salle de bains privative pourvue d'une douche.
Le City Résidence Strasbourg Centre sert un petit-déjeuner buffet quotidien dans la salle à manger.
Le City Résidence Strasbourg Centre est implanté à 20 minutes de marche de la cathédrale de Strasbourg et à 2 km du parc des expositions de la ville.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour à deux.
L'établissement City Résidence Strasbourg Centre accueille des clients Booking.com depuis le 2 avr. 2007."
Citadines Eurometropole Strasbourg,https://www.booking.com/hotel/fr/citadines-eurometropole-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",4 402 expériences vécues,Strasbourg,"11 Allée de l’Euro, 67205 Strasbourg, France",48.60427412,7.70446112,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Citadines Eurometropole Strasbourg ! Connectez-vous pour économiser.
Situé à Strasbourg, à 3,6 km du Zénith, le Citadines Eurometropole Strasbourg dispose d'un restaurant ainsi que d'un centre de spa et de bien-être avec une piscine intérieure, une salle de sport et un sauna. Cet appart'hôtel met gratuitement à votre disposition une connexion Wi-Fi et un parking privé.
Les logements comprennent la climatisation, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Certains logements comprennent un coin salon et/ou un balcon.
Un petit-déjeuner buffet, à la carte et américain est servi chaque matin.
Le Citadines Eurometropole Strasbourg propose un hébergement 4 étoiles avec un hammam.
Vous pourrez profiter d'une terrasse bien exposée sur place et faire du vélo ou de la randonnée dans les environs.
Vous séjournerez à 5,4 km de l'église Saint-Paul et à 5,8 km de la cathédrale de Strasbourg. L'aéroport international de Strasbourg, le plus proche, est à 13 km.
L'établissement Citadines Eurometropole Strasbourg accueille des clients Booking.com depuis le 26 juil. 2021.
Chaîne hôtelière/marque: Citadines
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
"Holiday Inn Express Strasbourg Centre, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-strasbourg-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from=searchresults#hotelTmpl,"8,0",4 650 expériences vécues,"Neudorf - Port du Rhin, Strasbourg","Rue de la Corderie, 67000 Strasbourg, France",48.57154052,7.74525492,"Le Holiday Inn Express Strasbourg Centre propose des hébergements à seulement 10 minutes de marche du quartier piéton de Strasbourg. Vous pourrez profiter gratuitement d’une connexion Internet et d’un petit-déjeuner buffet continental.
Toutes les chambres disposent d’un bureau, d’un coffre-fort et d’une télévision à écran plat avec des chaînes internationales. Un plateau/bouilloire est également fourni. Les logements comprennent une salle de bains privative pourvue d’une douche, et certains sont dotés d’un canapé-lit.
Le bar de l’hôtel, ouvert de midi à 23h00, propose un menu de quelques plats pour des repas légers.
Un service de blanchisserie et un parking privé sont disponibles sur réservation préalable et moyennant des frais supplémentaires. L'hôtel se trouve à 1,1 km du quartier de la Petite France et à 1,2 km du marché de Noël ainsi que de la cathédrale de Strasbourg. La Route des Vins d’Alsace et le parc à thèmes Europa-Park sont directement accessibles depuis les autoroutes françaises et allemandes passant à proximité.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Holiday Inn Express Strasbourg Centre, an IHG Hotel accueille des clients Booking.com depuis le 20 mai 2014.
Chaîne hôtelière/marque: Holiday Inn Express"
Hotel Strasbourg - Montagne Verte & Restaurant Louisiane,https://www.booking.com/hotel/fr/comforthotelstras.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2",6 356 expériences vécues,Strasbourg,"14, rue des Corroyeurs, 67200 Strasbourg, France",48.57269177,7.72871353,"L’Hotel Strasbourg - Montagne Verte Restaurant Louisiane est installé à proximité de la rivière Ill et à 2 km du centre historique. Sur place, vous disposerez d’un jardin et d’un restaurant avec une terrasse ouverte en été.
Les chambres insonorisées sont équipées d'une télévision par satellite à écran plat et d'un plateau/bouilloire. La salle de bains privative est pourvue d’un sèche-cheveux. L’Hotel Strasbourg - Montagne Verte Restaurant Louisiane propose une connexion Wi-Fi gratuite dans l’ensemble de ses locaux.
Le restaurant La Louisiane sert des spécialités régionales. Vous pourrez prendre un verre au bar en lisant un journal mis à votre disposition. Lors de votre séjour à l’Hotel Strasbourg - Montagne Verte Restaurant Louisiane, vous pourrez savourer un petit-déjeuner buffet chaque matin, de 6h30 à 11h00.
Sur place, vous profiterez gratuitement d’un parking privé.
Vous séjournerez à 15 km du parcours de golf du Golf Club de Strasbourg. L'aéroport international de Strasbourg-Entzheim se situe à seulement 19 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement Hotel Strasbourg - Montagne Verte & Restaurant Louisiane accueille des clients Booking.com depuis le 11 juin 2004."
Cozy Appartement Halles Strasbourg,https://www.booking.com/hotel/fr/cozy-appartement-halles-strasbourg-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,8",6 expériences vécues,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","3 Rue Clément, 67000 Strasbourg, France",48.58678970,7.74349830,"Strasbourg - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Cozy Appartement Halles Strasbourg ! Connectez-vous pour économiser.
Situé dans le quartier de la Petite France, dans le centre-ville de Strasbourg, le Cozy Appartement Halles Strasbourg propose un hébergement doté d’un lave-linge et d’une connexion Wi-Fi gratuite à proximité de la cathédrale de Strasbourg. Cet appartement possède un balcon.
L’appartement comprend 2 chambres, une salle de bains, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse offrant une vue sur la ville. Les serviettes et le linge de lit sont fournis.
L’appartement se trouve à proximité de sites d’intérêt tels que l’église Saint-Paul, le jardin botanique de l’université de Strasbourg et le musée historique de la ville de Strasbourg. L'aéroport international de Strasbourg-Entzheim, le plus proche du Cozy Appartement Halles Strasbourg, est situé à 11 km.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
L'établissement Cozy Appartement Halles Strasbourg accueille des clients Booking.com depuis le 24 nov. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
145m² city center 4 bedrooms view of the Cathedral,https://www.booking.com/hotel/fr/emilie-fritsch-strasbourg-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from=searchresults#hotelTmpl,"8,1",8 expériences vécues,"Bourse-Esplanade, Strasbourg","18 Rue de Zurich, 67000 Strasbourg, France",48.58049570,7.75635540,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement 145m² city center 4 bedrooms view of the Cathedral ! Connectez-vous pour économiser.
Cette chambre offre une vue sur la ville. Le 145m2 city center 4 bedrooms view of the Cathedral propose un hébergement avec un balcon et une bouilloire, à environ 800 mètres de la cathédrale de Strasbourg. Vous séjournerez à 700 mètres du musée d'histoire de Strasbourg. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
L'appartement se compose de 4 chambres climatisées, d'une cuisine avec coin repas et de 2 salles de bains avec douche. Il dispose également d'une télévision.
Vous pourrez profiter d'une terrasse.
Parmi les sites d'intérêt à proximité du 145 m2 city center 4 bedrooms, vous trouverez l'église Saint-Paul, le Jardin botanique de l'Université de Strasbourg et la Petite France. L'aéroport international de Strasbourg, le plus proche, est implanté à 12 km.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
L'établissement 145m² city center 4 bedrooms view of the Cathedral accueille des clients Booking.com depuis le 19 août 2019."
Appart'City Strasbourg Centre,https://www.booking.com/hotel/fr/appart-city-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",3 177 expériences vécues,Strasbourg,"11 rue de Molsheim, 67000 Strasbourg, France",48.57772068,7.73397669,"L’Appart'City Strasbourg Centre bénéficie d’un emplacement idéal dans le centre de Strasbourg, à 10 minutes de marche de la gare. Cet établissement a obtenu le label Clef Verte et propose des studios indépendants offrant une vue sur la ville. Une connexion Internet par fibre optique est disponible.
Décorés dans un style contemporain, les appartements disposent du chauffage, d'une télévision à écran plat et d'une salle de bains privative pourvue d’une douche. Leur kitchenette est équipée d’un lave-vaisselle, d’un réfrigérateur et d’ustensiles de cuisine.
Un petit-déjeuner buffet peut être servi tous les matins sur demande. Le petit-déjeuner se compose de différents pains, notamment sans gluten, de viennoiseries ainsi que de boissons chaudes et froides. De la salade de fruits, des fruits frais, du fromage et des yaourts sont également proposés.
Une bagagerie est disponible moyennant un supplément par valise.
L’Appart'City Strasbourg se trouve à 17 km de l’aéroport de Strasbourg-Entzheim. Un parking privé est disponible sur place, sur réservation préalable et moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Appart'City Strasbourg Centre accueille des clients Booking.com depuis le 13 déc. 2012.
Chaîne hôtelière/marque: Appart'City"
Avenue de La Paix - L'Exclusif,https://www.booking.com/hotel/fr/avenue-de-la-paix.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,2",80 expériences vécues,"Quartier Européen - Orangerie, Strasbourg","2 Avenue de la Paix, 67000 Strasbourg, France",48.58879200,7.75518700,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Avenue de La Paix - L'Exclusif ! Connectez-vous pour économiser.
Situé à Strasbourg, à 500 mètres de l'église Saint-Paul et à 1 km de la cathédrale, L'Avenue de La Paix - L'Exclusif propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, un jardin et une terrasse. Cet appartement 4 étoiles offre une vue sur la ville et se trouve à 1,2 km du jardin botanique de l'Université de Strasbourg.
Doté d'une console de jeux, l'appartement dispose d'une cuisine avec un réfrigérateur, un four et un lave-vaisselle, d'un salon avec des coins salon et repas, de 3 chambres ainsi que d'une salle de bains avec une douche et un jacuzzi. Les serviettes et le linge de lit sont fournis.
Le personnel de la réception ouverte 24h/24 parle français et anglais.
Vous pourrez pratiquer le ski, la pêche et la plongée avec tuba dans les environs. Un point de vente de forfaits de ski est à votre disposition sur place.
Vous séjournerez à proximité du parc des expositions, du Parlement européen et du musée d'histoire de Strasbourg. L'aéroport international de Strasbourg, le plus proche, est à 13 km.
L'établissement Avenue de La Paix - L'Exclusif accueille des clients Booking.com depuis le 27 févr. 2018."
Hôtel Tandem - Boutique Hôtel,https://www.booking.com/hotel/fr/ha-tel-nid-de-cigognes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Apiz0Z0GwAIB0gIkOWQ2ODI4ZjQtNTMxNS00NWMyLWE3YWUtMTNmNDlmMTAzYTli2AIG4AIB&sid=13171cec58831ac9bdb91845d163ab90&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a1aa74d1c61d01a9&srepoch=1672763813&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",2 763 expériences vécues,"Gare de Strasbourg, Strasbourg","2 place de la Gare, 67000 Strasbourg, France",48.58383633,7.73494899,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Tandem - Boutique Hôtel ! Connectez-vous pour économiser.
Ce boutique hôtel respectueux de l’environnement vous accueille en face de la gare TGV de Strasbourg, à seulement 1,7 km du centre-ville et à 5 minutes à pied du quartier pittoresque de la Petite France. Vous rejoindrez le Parlement européen en 10 minutes en tramway, et une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l'établissement.
Les chambres climatisées de l'Hôtel Tandem - Boutique Hôtel comprennent une télévision, un bureau et une salle de bains privative avec douche.
Un petit-déjeuner buffet est servi chaque matin à l'Hôtel Tandem - Boutique Hôtel. Il est composé uniquement de produits faits maison, biologiques et locaux, avec une sélection de mets chauds et froids. Vous pourrez prendre un verre au bar ou vous détendre dans le patio intérieur.
L’établissement propose une sélection de vins entièrement biodynamiques.
Sur place, vous disposerez de plusieurs espaces de travail, d’un salon et d’une bibliothèque.
L'Hôtel Tandem propose également un service de location de vélos et de tandems, ainsi qu'un local à vélos sécurisé sur place. Un parking public est accessible à proximité, moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Strasbourg, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel Tandem - Boutique Hôtel accueille des clients Booking.com depuis le 16 sept. 2011."
