name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
LE JACQUARD Appartement Garage Lyon Centre pour 2 à 8 pers Contact O66I4O9II9,https://www.booking.com/hotel/fr/le-jacquard.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from=searchresults#hotelTmpl,"8,6",7 expériences vécues,"4e arr., Lyon","64 Rue Jacquard, 4e arr., 69004 Lyon, France",45.77636757,4.82343955,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement LE JACQUARD Appartement Garage Lyon Centre pour 2 à 8 pers Contact O66I4O9II9 ! Connectez-vous pour économiser.
LE JACQUARD Appartement Garage Lyon Centre pour 2 à 8 pers Contact O66I4O9II9 propose un appartement acceptant les animaux domestiques à Lyon, à 1,3 km du musée des Beaux-Arts. Cet hébergement bénéficie gratuitement d'un parking privé et d'une connexion Wi-Fi.
Le logement Jacquard comprend des coins salon et repas ainsi qu'une cuisine équipée d'un lave-vaisselle. Il dispose d'une télévision par câble à écran plat et d'une station d'accueil pour iPod.
L'appartement LE JACQUARD Appartement Garage Lyon Centre pour 2 à 8 pers Contact O66I4O9II9 vous accueille à respectivement 1,3 et 1,4 km de la place des Terreaux et de l'opéra national de Lyon. Enfin, cet hébergement se trouve à 21 km de l'aéroport le plus proche, celui de Lyon-Saint Exupéry.
L'établissement LE JACQUARD Appartement Garage Lyon Centre pour 2 à 8 pers Contact O66I4O9II9 accueille des clients Booking.com depuis le 14 nov. 2016."
MEININGER Hotel Lyon Centre Berthelot,https://www.booking.com/hotel/fr/meininger-lyon-centre-berthelot.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",7 909 expériences vécues,"7e arr., Lyon","Rue Professeur Zimmermann 7, 7e arr., 69007 Lyon, France",45.74608300,4.83718700,"Installé à Lyon, le MEININGER Hotel Lyon Centre Berthelot propose un bar, un parking privé, un salon commun et une terrasse. Il vous accueille à 200 mètres du musée de la Résistance et à 3,1 km de la basilique Notre-Dame de Fourvière.
Toutes les chambres disposent d’une télévision par câble à écran plat et d’une salle de bains privative.
Le matin, cet hôtel sert un petit-déjeuner buffet ou continental.
Vous profiterez également d’une réception ouverte 24h/24, d’une cuisine commune et d’un service de billetterie.
Le MEININGER Hotel Lyon Centre Berthelot se trouve à 2,9 km du musée des Beaux-Arts de Lyon, à 2,4 km du musée des Confluences et à 1,3 km de la gare de Lyon-Perrache. L’aéroport de Lyon-Saint-Exupéry, le plus proche, est situé à 26 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement MEININGER Hotel Lyon Centre Berthelot accueille des clients Booking.com depuis le 2 sept. 2019.
Chaîne hôtelière/marque: Meininger Hotels"
La Nuit Saint Georges,https://www.booking.com/hotel/fr/la-nuit-st-georges.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from=searchresults#hotelTmpl,"9,0",185 expériences vécues,"5e arr., Lyon","9 Place Benoit Crépu, 5e arr., 69005 Lyon, France",45.75834100,4.82598830,"Lyon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé au cœur de la vieille ville de Lyon, l'hébergement indépendant La Nuit Saint Georges offre une vue sur l'église Saint-Georges. Classé monument historique, il se trouve à 250 mètres de la cathédrale Saint-Jean et à 15 minutes à pied de la basilique de Fourvière ainsi que du théâtre antique. Vous bénéficierez d'une connexion Wi-Fi gratuite.
L'appartement insonorisé est doté d'une télévision à écran plat, d'un lecteur Blu-ray, d'un coin repas et d'un coin salon. La salle de bains privative est pourvue d'une baignoire, d'un sèche-cheveux et d'articles de toilette gratuits. Vous disposerez aussi d'un lave-linge et d'un sèche-linge.
La cuisine entièrement équipée comprend un four, une plaque de cuisson, un four micro-ondes, une bouilloire électrique, une machine à café et un lave-vaisselle. Vous trouverez des épiceries et des restaurants à quelques minutes de marche. Les ingrédients de base sont fournis dans la cuisine de l'appartement.
Vous rejoindrez la station de métro Vieux-Lyon en 2 minutes de marche tandis que la place Bellecour est à 400 mètres. La gare de Lyon Perrache est à 900 mètres et l'aéroport Saint-Exupéry à 20 km. Par ailleurs, moyennant des frais supplémentaires, vous pourrez stationner au parking Saint-Georges, situé à 30 mètres.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement La Nuit Saint Georges accueille des clients Booking.com depuis le 18 avr. 2014."
"Superbe Appartement Parc Tête d'Or, 92 M2 , Parking",https://www.booking.com/hotel/fr/appart-parc-tete-d-39-or.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",16 expériences vécues,"6e arr., Lyon","47 Rue Duquesne, 6e arr., 69006 Lyon, France",45.77307600,4.84677900,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Superbe Appartement Parc Tête d'Or, 92 M2 , Parking ! Connectez-vous pour économiser.
Ce grand appartement récemment rénové de 92 m2 est idéalement situé pour un séjour à Lyon, que vous visitiez Lyon ou en voyage d'affaires.
Situé à seulement 300 mètres du magnifique parc de la Tête d'Or, à 5 minutes à pied des quais du Rhône et à 10 minutes de l'Opéra de Lyon et à deux pas du quartier des Brotteaux, cet appartement est situé dans l'un des quartiers les plus prisés du 6ème arrondissement de Lyon.
Tout Lyon se trouve à 30 minutes à pied de l'appartement, avec la station de métro Foch à 600 mètres, la gare Part Dieu à 4 stations, et les vélos en libre-service vous permettent de visiter Lyon à votre guise.
Pour vous rendre au centre de conventions de Lyon, il vous suffit de traverser le Parc de la Tête d'Or, une promenade très agréable avant ou après une journée de travail.
De nombreux commerces et restaurants à proximité de l'appartement vous permettront de profiter facilement de votre séjour à Lyon.
D'une superficie de 92 m2, il dispose de deux grandes chambres doubles installées à chaque extrémité de l'appartement, assurant ainsi l'intimité de chaque personne.
Chaque chambre est équipée d'un lit queen size (160X200) avec un matelas à mémoire de forme, garantissant un confort optimal.
La première chambre de 17 m2 dispose d'un espace bureau, d'un grand dressing et d'une télévision.
La deuxième chambre de 15 m2 donne sur une rue calme et dispose également d'un grand dressing.
Vous apprécierez l'équipement haut de gamme du salon, équipé d'une télévision Oled et d'un home cinéma.
Un coin repas relie le salon et la cuisine américaine.
Entièrement équipé, il dispose de tout ce dont vous avez besoin : four, micro-ondes, lave-vaisselle, grille-pain, bouilloire, cafetière, ustensiles de cuisine, tout y est.
Enfin salle de bains et toilettes séparées complètent les équipements de cet appartement.
Que faire autour de l'appartement du Parc pendant votre séjour ?
Une des principales choses que vous voudrez faire est d'aller vous promener dans le Parc de la Tête d'Or, de découvrir sa roseraie, la forêt asiatique et son zoo, de flâner le long du lac.
Vous serez là dans cinq minutes à pied de l'appartement.
À moins que vous ne préfériez d'abord prendre un verre sur l'une des péniches le long des quais du Rhône, à 10 minutes à pied.
Le cœur touristique de Lyon se trouve juste en face du Rhône, sur la Presqu'île. Il suffit de traverser le Pont Morand pour rejoindre l'Opéra et la Place des Terreaux. Musées, théâtres, shopping, la Presqu'île offre une diversité d'activités jour et nuit. Pour une journée de shopping, le grand centre commercial Part Dieu est à trois stations de métro de l'appartement.
Pour ce qui est des restaurants, le quartier des Brotteaux offre de bonnes adresses comme le Gourmet de Sèze ou la Brasserie de l'Est de la Maison Bocuse.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
L'établissement Superbe Appartement Parc Tête d'Or, 92 M2 , Parking accueille des clients Booking.com depuis le 23 févr. 2018."
Hôtel Chromatics,https://www.booking.com/hotel/fr/perrache.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",743 expériences vécues,"2e arr., Lyon","12 rue Marc Antoine Petit, 2e arr., 69002 Lyon, France",45.74468421,4.82580900,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Chromatics ! Connectez-vous pour économiser.
L’Hôtel Chromatics est situé sur la Presqu’île de Lyon, à 6 minutes à pied de la gare et de la station de métro Perrache. Il dispose d'un restaurant sur place, d'une terrasse ombragée et d'un jardin. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l’établissement.
Toutes les chambres sont dotées de la climatisation, d’une salle de bains privative et d’une télévision par satellite à écran plat.
Un petit-déjeuner buffet est servi tous les matins. En soirée, vous pourrez vous détendre avec un verre au bar de l'hôtel ou sur la terrasse.
Situé dans le cœur de la ville, l’hôtel se trouve à 800 mètres de la place Carnot et de l’autoroute E15/A6. La vieille ville et la cathédrale Saint-Jean sont à 2,5 km. L’arrêt de tramway Suchet vous attend à 200 mètres de l’établissement. L’hôtel propose, par ailleurs, un tarif préférentiel pour le parking public situé à 4 minutes à pied.
L'établissement Hôtel Chromatics accueille des clients Booking.com depuis le 13 juin 2003.
Chaîne hôtelière/marque: HappyCulture"
MHL - Maison Hotel Lyon,https://www.booking.com/hotel/fr/mhl-maison-hotel-lyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,5",107 expériences vécues,"6e arr., Lyon","10 avenue du Maréchal de Saxe, 6e arr., 69006 Lyon, France",45.76775247,4.84403533,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement MHL - Maison Hotel Lyon ! Connectez-vous pour économiser.
Installée dans le centre-ville de Lyon, à seulement 600 mètres du Théâtre Tête d'or, la Maison Hôtel propose un hébergement indépendant en duplex. Vous serez à 50 mètres de la station de métro Foch.
Aménagés sur 2 étages, les gîtes comportent un coin salon avec une télévision à écran plat, un lave-linge et une salle de bains. La cuisine est équipée d'un micro-ondes, d'un lave-vaisselle et d'une cuisinière.
La Maison Hôtel se trouve à moins de 200 mètres d'épiceries et de restaurants. Par ailleurs, vous aurez accès à une cour intérieure. Enfin, vous serez à 13 minutes à pied du musée des beaux-arts et à 2 km de la gare de Lyon-Part-Dieu.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement MHL - Maison Hotel Lyon accueille des clients Booking.com depuis le 27 janv. 2014."
Lagrange Aparthotel Lyon Lumière,https://www.booking.com/hotel/fr/lagrange-city-apartha-tel-lyon-lumia-re.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from=searchresults#hotelTmpl,"8,1",4 760 expériences vécues,"3e arr., Lyon","81-85 Cours Albert Thomas, 3e arr., 69003 Lyon, France",45.74645865,4.86893088,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Lagrange Aparthotel Lyon Lumière ! Connectez-vous pour économiser.
Installé à mi-chemin entre les stations de métro Sans Souci et Monplaisir-Lumière, la ligne desservant directement la place Bellecour et la vieille ville de Lyon, le Lagrange Aparthotel Lyon Lumière possède un spa avec un sauna, un hammam et un jacuzzi. Il propose des studios et des appartements avec connexion Wi-Fi gratuite. L’Institut & Musée Lumière se trouve à 200 mètres.
Les logements comprennent une télévision à écran plat. Leur kitchenette est équipée d’un micro-ondes, d’un grille-pain, d’une machine à café, de plaques de cuisson, d’un réfrigérateur et d’une bouilloire. Les serviettes de toilette et le linge de lit sont fournis.
Chaque matin, vous pourrez déguster un petit-déjeuner buffet continental sur place. Cet appart’hôtel comporte une réception avec bagagerie ainsi qu’une blanchisserie, disponible moyennant des frais supplémentaires.
Vous séjournerez à 10 minutes en métro de la gare de Lyon-Part-Dieu. L’aéroport de Lyon-Saint-Exupéry est accessible en 25 minutes en voiture. Le parking de l’établissement est accessible sous réserve de disponibilité et moyennant des frais supplémentaires.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour à deux.
L'établissement Lagrange Aparthotel Lyon Lumière accueille des clients Booking.com depuis le 27 mars 2012.
Chaîne hôtelière/marque: Lagrange City"
MOB HOTEL Lyon Confluence,https://www.booking.com/hotel/fr/mob-lyon-confluence.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",5 985 expériences vécues,"2e arr., Lyon","55 Quai Rambaud, 2e arr., 69002 Lyon, France",45.73461430,4.81598540,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement MOB HOTEL Lyon Confluence ! Connectez-vous pour économiser.
Installé à 2 minutes à pied du musée des Confluences et à 10 minutes de marche d’un centre commercial, le MOB HOTEL Lyon Confluence vous propose un restaurant et une connexion Wi-Fi gratuite dans l’ensemble de ses locaux. L’hôtel dispose d’une terrasse et vous pourrez déguster vos repas dans la cantine bio italienne en libre-service.
Vous pourrez profiter d’un buffet bio avec un choix limité, mais incluant uniquement des produits de qualité.
Les suites disposent d’un coin salon, d’un réfrigérateur, d’une machine à café et de toilettes séparées. Les chambres doubles sont pourvues d’un bureau. Tous les logements sont climatisés et comprennent un coffre-fort ainsi qu’une salle de bains privative.
La réception de l’hôtel est ouverte 24h/24. Des séances de yoga, de gymnastique suédoise et de pilates sont organisées sur place. Le MOB HOTEL Lyon Confluence possède également un magasin éphémère.
Le MOB HOTEL Lyon Confluence se trouve à 5 minutes de marche de l’arrêt de tramway Musée des Confluences et à 1,6 km du stade de Gerland. Vous pourrez rejoindre le centre culturel La Sucrière en 2 minutes à pied. L’aéroport de Lyon-Saint-Exupéry est, quant à lui, situé à 21 km. Une borne de recharge pour les voitures électriques est à votre disposition sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour à deux.
L'établissement MOB HOTEL Lyon Confluence accueille des clients Booking.com depuis le 11 août 2017."
Hôtel Charlemagne,https://www.booking.com/hotel/fr/hotelbestwesterncharlemagne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,8",4 333 expériences vécues,"2e arr., Lyon","23 Cours Charlemagne, 2e arr., 69002 Lyon, France",45.74602253,4.82389390,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Charlemagne ! Connectez-vous pour économiser.
L’Hôtel Charlemagne se trouve dans le centre de Lyon, à 5 minutes de marche de la station de métro et gare TGV de Lyon-Perrache. Les hébergements sont climatisés et dotés d’une connexion Wi-Fi gratuite.
Toutes les chambres disposent d’une télévision par satellite et d’une salle de bains privative. Certaines chambres possèdent également un balcon privé.
Un petit-déjeuner buffet est proposé tous les jours. Le restaurant de l'Hôtel Charlemagne, La Bibliothèque, sert par ailleurs une cuisine régionale. Vous pourrez prendre un verre au bar Le Mélèze, doté d’une terrasse fleurie.
L’hôtel est à 20 minutes de marche de la place Bellecour et à 2 km de la basilique Notre-Dame de Fourvière. L’arrêt de tramway Suchet se trouve à seulement 120 mètres.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour à deux.
L'établissement Hôtel Charlemagne accueille des clients Booking.com depuis le 28 sept. 2006.
Chaîne hôtelière/marque: HappyCulture"
Residhotel Lyon Part Dieu,https://www.booking.com/hotel/fr/residence-lyon-part-dieu.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arnr0Z0GwAIB0gIkYTdkOGUwZTktOGMwNi00N2EyLWFiNjEtNTk1NmNlYTA5MDgw2AIG4AIB&sid=ab68f29191d30e69bd8b450a6cb43dca&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=525f82e3a5c70365&srepoch=1672771017&from=searchresults#hotelTmpl,"7,3",2 288 expériences vécues,"3e arr., Lyon","79 Boulevard Marius Vivier Merle, 3e arr., 69003 Lyon, France",45.75560696,4.85917568,"Le Residhotel Lyon Part Dieu est situé au cœur du quartier des affaires de Lyon, à seulement 700 mètres de la gare de La Part-Dieu et de l'arrêt de la navette aéroport. L’établissement propose des appartements dotés d’une connexion Wi-Fi gratuite.
Une kitchenette est disponible et équipée d'une machine à café Café Richard, d'un coin salon et d'une télévision par satellite dans tous les appartements du Residhotel Lyon Part Dieu. Les logements sont insonorisés et disposent de la climatisation. Tous les appartements sont desservis par un ascenseur.
La résidence sert un petit-déjeuner continental tous les jours. Cette résidence propose une réception ouverte 24h/24, ainsi que des services de blanchisserie et de nettoyage à sec, sur demande.
Le Residhotel Lyon Part Dieu est à 550 mètres de la rue Garibaldi. Le métro Garibaldi se trouve à 750 mètres de l'hôtel et peut vous emmener au centre-ville de Lyon, qui est à 1,6 km.
C'est le quartier préféré des voyageurs visitant Lyon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,3 pour un séjour à deux.
L'établissement Residhotel Lyon Part Dieu accueille des clients Booking.com depuis le 13 août 2008."
