name,link,review_score,review_count,area,address,coordinates_gps,description
Best Western Kemaris,https://www.booking.com/hotel/fr/best-western-kemaris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from=searchresults#hotelTmpl,"8,2",2 217 expériences vécues,Biarritz,"35 Avenue du Maréchal Joffre, 64200 Biarritz, France","-1.58725962541312,43.4585372882218,-1.5376533518055,43.494468121368","Alliant un environnement animé, de nombreux équipements et une ambiance chaleureuse, l'hôtel Best Western Kemaris présente une architecture typique du Pays basque.
Lumineuses et spacieuses, les chambres de l'établissement affichent un décor raffiné et bénéficient de tout le confort moderne avec une télévision à écran plat et une connexion Wi-Fi gratuite. Chacune affiche une décoration magnifique conjuguant design et touches naturelles, et certaines possèdent également une grande terrasse.
Un petit-déjeuner buffet composé de produits régionaux est servi tous les matins et vous pourrez prendre un verre au bar.
Le Kemaris Best Western jouit d'un emplacement privilégié pour partir à pied à la découverte de la ville de Biarritz. Vous trouverez en outre de nombreux restaurants et bars à quelques minutes de marche. Enfin, vous pourrez réserver un parking privé sur place.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Best Western Kemaris accueille des clients Booking.com depuis le 3 juin 2009.
Chaîne hôtelière/marque: Best Western"
Grand Tonic Hotel & SPA NUXE,https://www.booking.com/hotel/fr/tonic-hotel-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,5",1 458 expériences vécues,Biarritz,"58 Avenue Edouard VII, 64200 Biarritz, France","-1.58175095830325,43.4665080908594,-1.53213813986417,43.5024389240056","Situé dans la ville balnéaire de Biarritz, le Grand Tonic Hotel & SPA Biarritz se trouve à seulement 200 mètres de la Grande Plage. L’établissement propose une terrasse ombragée et des chambres élégantes avec connexion Wi-Fi gratuite.
Toutes les chambres climatisées sont équipées d'une baignoire spa dans la salle de bains. Chaque étage du Grand Tonic Hotel est décoré sur une thématique individuelle et doté d'une télévision par satellite.
Le restaurant LMB sert une cuisine raffinée et vous pourrez prendre un verre au bar du Grand Tonic Hotel & SPA Biarritz. Un petit-déjeuner buffet est servi tous les matins.
Le casino Barrière de Biarritz est accessible à seulement 300 mètres et le parcours de golf de Biarritz-Le Phare est à 1 km. Un parking public est présent sur place.
Pour un séjour parfait, vous pourrez vous détendre dans la piscine intérieure chauffée, le hammam ou le sauna du SPA de l’hôtel. Vous trouverez également une carte de soins pour votre moment de détente
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Grand Tonic Hotel & SPA NUXE accueille des clients Booking.com depuis le 1 août 2005."
"Hôtel Littéraire Jules Verne, BW Signature Collection",https://www.booking.com/hotel/fr/karitza-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",1 559 expériences vécues,"Centre de Biarritz, Biarritz","2, rue Guy Petit, 64200 Biarritz, France","-1.58020356959014,43.4605741224528,-1.53059562379212,43.496504955599","Biarritz - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Littéraire Jules Verne, BW Signature Collection ! Connectez-vous pour économiser.
Le Best Western Plus Hôtel Littéraire Jules Verne est situé dans le centre-ville de Biarritz, à proximité du Palais des Festivals, du casino et des plages locales. Vous pourrez profiter d’une piscine extérieure chauffée.
Affichant une décoration moderne, les chambres insonorisées du Best Western Plus Hôtel Littéraire Jules Verne comportent la climatisation et une télévision par satellite à écran plat. Vous bénéficierez gratuitement d’une connexion Wi-Fi et des chambres adjacentes sont disponibles sur demande.
Vous pourrez savourer votre petit-déjeuner tous les matins dans le confort de votre chambre, et une machine à café Nespresso est disponible dans certains logements.
Le personnel amical et attentif de l’hôtel se tient à votre disposition 24h/24 pour vous aider à organiser votre séjour à Biarritz. Vous pourrez bénéficier d’un parking couvert moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Hôtel Littéraire Jules Verne, BW Signature Collection accueille des clients Booking.com depuis le 1 oct. 2006.
Chaîne hôtelière/marque: BW Signature Collection by Best Western"
Le Gamaritz,https://www.booking.com/hotel/fr/le-gamaritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",341 expériences vécues,"Centre de Biarritz, Biarritz","5 Perspective de la Côte des Basques, 64200 Biarritz, France","-1.59134947601477,43.4638087816241,-1.54173887428125,43.4997396147703","Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Gamaritz ! Connectez-vous pour économiser.
L'établissement Le Gamaritz est situé dans le centre-ville de Biarritz, à seulement 2 minutes à pied de la plage du Port Vieux. Il propose des hébergements design pourvus de la climatisation, d'une douche à l'italienne, d'une télévision à écran plat et d'une connexion Wi-Fi gratuite.
Lors de votre séjour, vous pourrez prendre votre petit-déjeuner dans la salle à manger ou sur la terrasse de l'hôtel Le Gamaritz, moyennant des frais supplémentaires. Dans les environs, vous trouverez quelques restaurants ainsi que des bars à tapas.
Par ailleurs, l'établissement Le Gamaritz vous accueille à 6 km de l'autoroute A63 et à 700 mètres du casino Barrière de Biarritz. L'aéroport de Biarritz-Anglet-Bayonne ainsi que la gare de la ville sont accessibles en 10 minutes de route.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Le Gamaritz accueille des clients Booking.com depuis le 24 sept. 2010."
Hôtel Les Baigneuses de Biarritz,https://www.booking.com/hotel/fr/le-caritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",441 expériences vécues,"Centre de Biarritz, Biarritz","14 rue du Port Vieux, 64200 Biarritz, France","-1.59161657515662,43.4643430092106,-1.54200553473337,43.5002738423568","Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Agrémenté d’une terrasse, l’Hôtel Les Baigneuses de Biarritz vous accueille au cœur de Biarritz, face à l’océan Atlantique, à seulement 50 mètres de la plage du Port Vieux. Cet hôtel propose une connexion Wi-Fi gratuite et des hébergements offrant une vue sur la mer.
Les chambres disposent d’une télévision à écran plat et d’une salle de bains privative avec douche.
Le restaurant de l’établissement sert une cuisine de brasserie, et vous pourrez savourer un verre au bar sur place. Le petit-déjeuner continental comprend du pain frais, une viennoiserie française, une boisson chaude, du jus d’orange frais, du beurre et de la confiture. Le restaurant est fermé le dimanche soir.
L’établissement ne possède pas d’ascenseur. L'hôtel ne propose pas de parking. Le parking le plus proche est celui de Sainte Eugénie, qui est sous-terrain.
L'enregistrement le dimanche s'effectue entre 15h00 et 19h00.
L’hôtel se trouve à 4 km de la gare de Biarritz et à 5 km de l’aéroport de Biarritz-Pays basque. Vous séjournerez à 9 km du centre-ville de Bayonne et à 37 minutes de route de Hendaye.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hôtel Les Baigneuses de Biarritz accueille des clients Booking.com depuis le 19 mars 2013."
Hôtel Le Windsor Biarritz,https://www.booking.com/hotel/fr/inter-windsor.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",2 198 expériences vécues,"Centre de Biarritz, Biarritz","11 Avenue Edouard VII, 64200 Biarritz, France","-1.58344205033115,43.4664088393752,-1.53382931340405,43.5023396725214","Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Windsor Biarritz ! Connectez-vous pour économiser.
Entièrement rénové en 2021 et respectueux de l’environnement, l'Hôtel Le Windsor Biarritz est installé côté plage, au cœur de Biarritz. L’établissement dispose d’hébergements modernes offrant une vue sur la mer et pourvus d’une connexion Wi-Fi gratuite. Sur place, vous bénéficierez de services d’étage et de concierge.
Les hébergements sont insonorisés et climatisés. Donnant sur la mer, sur la ville ou sur la cour, tous les logements affichent une décoration élégante et possèdent une salle de bains privative ainsi qu’une télévision par satellite à écran plat.
L'Hôtel Le Windsor Biarritz sert 2 types de petits-déjeuners. Vous aurez le choix entre un petit-déjeuner continental en chambre ou un petit-déjeuner buffet. Le restaurant bistronomique Chez Eugénie Biarritz prépare des plats de fruits de mer et des repas cuits sur place, à base de produits frais et de saison.
Moyennant des frais supplémentaires, vous pourrez profiter d’un parking public, situé à 50 mètres. L'Hôtel Le Windsor Biarritz se trouve à proximité des nombreux magasins de la ville, du marché couvert, de l'aquarium, du rocher de la Vierge et du centre des congrès Casino Bellevue.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel Le Windsor Biarritz accueille des clients Booking.com depuis le 11 juin 2008."
STUDIO Grande Plage de BIARRITZ,https://www.booking.com/hotel/fr/studio-grand-plage-de-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",92 expériences vécues,Biarritz,"21 ter Avenue Edouard VII, 64200 Biarritz, France","-1.58277122176396,43.4660515834269,-1.53315877823598,43.5019824165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement STUDIO Grande Plage de BIARRITZ ! Connectez-vous pour économiser.
Le STUDIO Grande Plage de BIARRITZ est un hébergement situé à Biarritz, à 50 mètres de l'office de tourisme et à 1 km du rocher de la Vierge. Il propose une connexion Wi-Fi gratuite et une piscine extérieure saisonnière.
Ce studio dispose d'une chambre et d'une télévision à écran plat. Sa cuisine entièrement équipée comporte un micro-ondes et un réfrigérateur. La salle de bains est pourvue d'une baignoire.
La région se prête à la randonnée.
Le Bellevue de Biarritz se trouve à 80 mètres, tandis que la mairie de Biarritz est à 100 mètres. L'aéroport de Biarritz-Pays basque, le plus proche, est distant de 3 km.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement STUDIO Grande Plage de BIARRITZ accueille des clients Booking.com depuis le 27 juin 2017."
Hotel de La Plage - Nouvel Etablissement,https://www.booking.com/hotel/fr/de-la-plage-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from=searchresults#hotelTmpl,"9,3",209 expériences vécues,"Centre de Biarritz, Biarritz","3, esplanade du Port Vieux, 64200 Biarritz, France","-1.59233600580806,43.4641678531454,-1.54272510921841,43.5000986862916","Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'Hôtel de la Plage vous accueille à Biarritz, en face de l'océan et à seulement 50 mètres de la plage du vieux-port. Il propose des chambres dotées d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. La gare se trouve à 10 minutes en voiture.
Ses chambres disposent d'une salle de bains privative pourvue d'articles de toilette gratuits. Certaines d'entre elles donnent sur la mer. Une connexion Wi-Fi est accessible gratuitement dans tout l'établissement.
Un petit-déjeuner continental est servi chaque matin. Vous trouverez tous les types de restaurants à moins de 150 mètres.
L'hôtel se situe à 5 minutes de route du centre de Biarritz et à 15 km de Saint-Jean-de-Luz. Vous rejoindrez l'aéroport de Biarritz-Anglet-Bayonne en 10 minutes en voiture.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,9 pour un séjour à deux.
L'établissement Hotel de La Plage - Nouvel Etablissement accueille des clients Booking.com depuis le 26 avr. 2013."
Hôtel Cosmopolitain,https://www.booking.com/hotel/fr/palacito.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from=searchresults#hotelTmpl,"8,3",1 296 expériences vécues,"Centre de Biarritz, Biarritz","1, Rue Gambetta, 64200 Biarritz, France","-1.58664504760895,43.4642135883892,-1.53703411346283,43.5001444215354","Biarritz - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Cosmopolitain ! Connectez-vous pour économiser.
L'Hôtel Cosmopolitain est un établissement 3 étoiles qui vous propose des hébergements et des parties communes à la décoration élégante dans le centre de Biarritz, à seulement 200 mètres de la plage et à 700 mètres du rocher de la Vierge.
Dotées d'une connexion Wi-Fi gratuite, les chambres climatisées comprennent une télévision par satellite et une salle de bains privative.
Le déjeuner est servi sur place, et vous pourrez prendre un cocktail ou une coupe de champagne au bar.
L'Hôtel Cosmopolitain se trouve à proximité de nombreux bars et restaurants. Enfin, vous serez à 1 km des musées du Chocolat et de la Mer, ainsi qu'à 10 minutes en voiture de la gare SNCF et de l'aéroport de Biarritz-Pays basque.
C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel Cosmopolitain accueille des clients Booking.com depuis le 29 juil. 2010."
Sure Hotel by Best Western Biarritz Aeroport,https://www.booking.com/hotel/fr/amaryshotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Au7Zy50GwAIB0gIkZTEwNzA0NDItMzdhZS00M2M0LThjOGQtNDIyZDM2MmJjZTM32AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4824673ddaea0500&srepoch=1672670459&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",1 757 expériences vécues,Biarritz,"Rn 10 - Aéroport De Parme, 64200 Biarritz, France","-1.55970084731862,43.454242486321,-1.510098099062,43.4901733194671","Le Sure Hotel by Best Western Biarritz Aeroport vous accueille au cœur du Pays basque, à 3 km du centre de Biarritz et de ses plages. La connexion Wi-Fi et le stationnement sont gratuits.
Les chambres insonorisées disposent de portes doubles pour une intimité totale. Décorées dans un style contemporain, elles comprennent une télévision par satellite et un bureau. Cet établissement est entièrement climatisé.
Un petit-déjeuner buffet est servi tous les matins. Récompensé du titre de « Maître restaurateur », le restaurant prépare des plats traditionnels basques avec des produits frais locaux. Par beau temps, vous pourrez déjeuner ou dîner sur la terrasse.
Vous séjournerez à seulement 2 km de l'autoroute A63 et à 1 km de l'aéroport de Biarritz-Anglet-Bayonne.
L'établissement Sure Hotel by Best Western Biarritz Aeroport accueille des clients Booking.com depuis le 27 oct. 2006.
Chaîne hôtelière/marque: Sure Hotel by Best Western"
