name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
La Closerie Teranga,https://www.booking.com/hotel/fr/la-closerie-teranga.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1",72 expériences vécues,Bayeux,"18 rue des Bouchers, 14400 Bayeux, France",49.27804172,-0.70187662,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Closerie Teranga ! Connectez-vous pour économiser.
Dotée d'un jardin et d'un barbecue, La Closerie Teranga propose un hébergement à Bayeux avec une connexion Wi-Fi gratuite et une vue sur la ville. Il est situé à 8,2 km de la batterie allemande du jour J et dispose d'une bagagerie.
Cette maison de vacances comprend 4 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin.
Vous pourrez jouer au billard sur place ou faire du vélo ou de la randonnée dans les environs.
Vous séjournerez à proximité du musée Baron Gérard, de la cathédrale Notre-Dame de Bayeux et du musée de la Tapisserie de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 27 km.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
L'établissement La Closerie Teranga accueille des clients Booking.com depuis le 7 juin 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Clos de Bellefontaine B&B,https://www.booking.com/hotel/fr/chambres-d-ha-tes-clos-de-bellefontaine-bayeux.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from=searchresults#hotelTmpl,"9,7",122 expériences vécues,Bayeux,"6 rue Bellefontaine, 14400 Bayeux, France",49.27267164,-0.69486111,"Le Clos de Bellefontaine occupe une maison du XIXe siècle dans un parc de 2 000 m², située à seulement 200 mètres du musée de la Tapisserie de Bayeux et à 6 km d'Omaha Beach. Vous pourrez admirer la vue sur le jardin depuis votre élégante chambre.
Toutes les chambres du Clos de Bellefontaine comprennent un bureau, une armoire et une salle de bains privative. Vous disposerez aussi d'un plateau/bouilloire dans le salon commun.
Chaque matin, vous dégusterez un petit-déjeuner servi dans la salle à manger ou sur la terrasse orientée plein sud. De plus, vous profiterez gratuitement d'une connexion Wi-Fi dans les parties communes et d'un ordinateur portable dans le salon.
Sur place, vous bénéficierez d'un parking privé gratuit, tandis que vous trouverez un service de location de vélos à proximité. Enfin, vous rejoindrez le centre de Bayeux et la gare à 5 minutes à pied du Clos de Bellefontaine.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Clos de Bellefontaine B&B accueille des clients Booking.com depuis le 21 mars 2012."
L'AURE BLEUE,https://www.booking.com/hotel/fr/l-39-aure-bleue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from=searchresults#hotelTmpl,"9,0",54 expériences vécues,Bayeux,"25 Rue des Teinturiers, 14400 Bayeux, France",49.27725960,-0.69928400,"Situé à Bayeux, à 300 mètres du musée Baron Gérard et à 400 mètres de celui de la tapisserie, l'appartement L'AURE BLEUE se trouve dans un ancien manoir. Un parking public est accessible gratuitement à proximité.
Cet hébergement dispose d'une cuisine entièrement équipée avec un lave-vaisselle, un lave-linge et un four. Le salon est doté d'une télévision à écran plat.
Dans la région, vous pourrez pratiquer diverses activités, notamment la pêche ainsi que l'équitation. Par ailleurs, l'établissement L'AURE BLEUE vous accueille à 500 mètres de la cathédrale Notre-Dame de Bayeux et à 1 km du musée de la bataille de Normandie. L'aéroport le plus proche est celui de Caen-Carpiquet, situé à 23 km.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement L'AURE BLEUE accueille des clients Booking.com depuis le 27 août 2017."
Hotel Le Lion D'Or et Restaurant La Table Du Lion,https://www.booking.com/hotel/fr/le-lion-d-or-bayeux.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from=searchresults#hotelTmpl,"8,7",722 expériences vécues,Bayeux,"71 Rue Saint Jean, 14400 Bayeux, France",49.27627832,-0.69836944,"Occupant un ancien bureau de poste du XVIIIe siècle, l'Hotel Le Lion D'Or et Restaurant La Table Du Lion est désormais un établissement charmant situé dans l'un des plus anciens quartiers de Bayeux. Doté d'une réception ouverte 24h/24, il est installé à seulement 400 mètres du musée de la Tapisserie de Bayeux.
Claires et spacieuses, toutes les chambres insonorisées possèdent une connexion Wi-Fi gratuite et une salle de bains privative avec un sèche-cheveux.
Chaque matin, vous pourrez déguster un petit-déjeuner buffet. Le restaurant de l'établissement sert une cuisine française créative. Après le dîner, vous pourrez vous détendre dans le bar-salon avec un verre de calvados en écoutant de la musique près de la cheminée.
Le personnel du Lion D’or assure un service de concierge et organise des excursions locales. Sur demande, des soins de massages pourront être dispensés à proximité de l'établissement.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hotel Le Lion D'Or et Restaurant La Table Du Lion accueille des clients Booking.com depuis le 12 sept. 2008.
Chaîne hôtelière/marque: les Collectionneurs"
ibis budget Bayeux,https://www.booking.com/hotel/fr/etap-bayeux.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",1 942 expériences vécues,Bayeux,"Zone d'Activité de Nonant, rue des Longues Haies, 14400 Bayeux, France",49.25424209,-0.64648747,"L’ibis budget Bayeux vous accueille entre Caen et Cherbourg, à proximité de la sortie 36 de la route N13 et à seulement 13 km des plages du débarquement. Cet établissement possède une réception ouverte 24h/24 et des chambres climatisées dotées d’une connexion Wi-Fi gratuite.
Les hébergements sont insonorisés et équipés de la télévision par satellite. Toutes les chambres sont desservies par un ascenseur et possèdent leur propre salle de bains pourvue d’une douche.
Pour votre sécurité, le petit-déjeuner et le dîner sont servis en chambre. Vous trouverez des distributeurs automatiques de collations et de boissons sur place. Vous bénéficierez en outre d’un service gratuit de journaux et de magazines en ligne.
Cet hôtel doté d’un parking privé gratuit bénéficie d’un emplacement idéal pour partir à la découverte de la Normandie en voiture. Vous séjournerez à 30 km du cimetière américain et à 8 minutes de route du musée de la Tapisserie de Bayeux.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour à deux.
L'établissement ibis budget Bayeux accueille des clients Booking.com depuis le 5 janv. 2010.
Chaîne hôtelière/marque: ibis Budget"
Le Castel Guesthouse,https://www.booking.com/hotel/fr/le-castel-noble-guesthouse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from=searchresults#hotelTmpl,"8,4",616 expériences vécues,Bayeux,"1 Boulevard Sadi Carnot, 14400 Bayeux, France",49.27368314,-0.70322692,"La maison d'hôtes Le Castel Guesthouse est située au cœur de la ville médiévale de Bayeux, à mi-chemin entre la gare, la cathédrale et le musée de la Tapisserie.
Aménagés dans une villa Art déco datant de 1937, les hébergements confortables sont décorés sur un thème contemporain baroque. Le style des chambres et des meubles vous rappellera les années 1930.
Les chambres comprennent une télévision par satellite et une salle de bains privative. Une connexion Wi-Fi est à votre disposition gratuitement dans le salon.
Le Castel bénéficie d'un cadre paisible en plein cœur de la ville, à proximité des centres d'intérêt, des boutiques et de plusieurs restaurants de qualité.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Le Castel Guesthouse accueille des clients Booking.com depuis le 29 janv. 2010."
Le Chat Qui Veille,https://www.booking.com/hotel/fr/gite-6-47-9-personnes-bayeux.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,7",26 expériences vécues,Bayeux,"26 Rue de Port en Bessin, 14400 Bayeux, France",49.28464200,-0.71455100,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Chat Qui Veille ! Connectez-vous pour économiser.
Situé à 1 km de la cathédrale Notre-Dame de Bayeux, Situé à Bayeux, l'établissement Le Chat Qui Veille dispose d'un barbecue et d'un jardin. Offrant une vue sur le jardin, cette maison de vacances dispose d'une connexion Wi-Fi gratuite.
Cette maison de vacances comprend 3 chambres séparées, 2 salles de bains, une cuisine entièrement équipée avec un coin repas et un salon avec une télévision à écran plat.
Une aire de jeux pour enfants est présente. Une terrasse est disponible sur place et vous pourrez faire de la randonnée à proximité du Chat Qui Veille.
Le musée Baron Gérard se trouve à 1,4 km. L'aéroport de Caen-Carpiquet est situé à 27 km de l'établissement et est accessible par une navette gratuite.
L'établissement Le Chat Qui Veille accueille des clients Booking.com depuis le 7 sept. 2018."
"Hôtel particulier ""le clos de la croix""",https://www.booking.com/hotel/fr/particulier-quot-le-clos-de-la-croix-quot.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,8",118 expériences vécues,Bayeux,"16 Rue des Bouchers, 14400 Bayeux, France",49.27796400,-0.70167700,"Situé à Bayeux, l'Hôtel particulier ""le clos de la croix"" propose une connexion Wi-Fi gratuite, un jardin, un salon commun et une terrasse.
Leur salle de bains privative est pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits.
Ce Bed & Breakfast sert un petit-déjeuner continental tous les matins.
Vous séjournerez à proximité du musée Baron-Gérard, de la cathédrale Notre-Dame de Bayeux et du musée de la tapisserie de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 28 km.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement Hôtel particulier ""le clos de la croix"" accueille des clients Booking.com depuis le 21 mars 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hotel Reine Mathilde,https://www.booking.com/hotel/fr/reine-mathilde-bayeux.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from=searchresults#hotelTmpl,"8,4",839 expériences vécues,Bayeux,"23 Rue Larcher, 14400 Bayeux, France",49.27603159,-0.70172489,"L'hôtel Reine Mathilde se situe dans le quartier médiéval de Bayeux, à seulement 300 mètres du musée de la Tapisserie. Il propose une connexion Wi-Fi gratuite et des chambres modernes avec salle de bains privative.
Les chambres sont décorées dans des couleurs chaudes et neutres. Chacune comprend une télévision et un bureau. La salle de bains privative comporte un sèche-cheveux.
Un petit-déjeuner buffet est servi tous les jours. Le restaurant Le Garde Manger offre un service continu toute la journée. Vous pourrez savourer un grand choix de plats traditionnels dans la salle de restaurant ou sur la terrasse exposée au sud.
L'hôtel Reine Mathilde se trouve à respectivement 19 et 24 km du Musée américain et du Musée mémorial d'Omaha Beach.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hotel Reine Mathilde accueille des clients Booking.com depuis le 30 juin 2009."
Château de Bellefontaine,https://www.booking.com/hotel/fr/chateau-de-bellefontaine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Av6J0Z0GwAIB0gIkODAxNzQ4MDgtMTg4MS00OGNhLTk0NzItZThiMzY1YjUwYjZl2AIG4AIB&sid=aa3dddfecda61f3a37e0f977b1adfc6a&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=005c6a8520a30147&srepoch=1672758540&from=searchresults#hotelTmpl,"8,1",1 207 expériences vécues,Bayeux,"49, Rue de Bellefontaine, 14400 Bayeux, France",49.26974024,-0.68883955,"À 800 mètres du centre de Bayeux et de sa cathédrale, l'établissement Château de Bellefontaine est un manoir du XVIIIe siècle proposant des chambres et un restaurant traditionnel ouvert pour le dîner sur réservation. Comptant des arbres vieux de 200 ans, le parc comporte un court de tennis et un étang.
Chaque chambre décorée individuellement dispose d'un minibar, d'une connexion Wi-Fi gratuite et d'une télévision à écran plat. Les salles de bains comprennent un sèche-cheveux, des articles de toilette gratuits et une baignoire ou une douche. Certaines possèdent un coin salon.
Vous aurez l'occasion de savourer un petit-déjeuner buffet tous les matins. Un petit-déjeuner continental pourra également être servi dans votre chambre à un tarif réduit. Après le petit-déjeuner, vous aurez la possibilité d'utiliser l'ordinateur du salon, qui bénéficie d'une connexion Internet. Le salon comporte également une cheminée.
La gare de Bayeux se trouve à 1 km. Le parking sur place est gratuit.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Château de Bellefontaine accueille des clients Booking.com depuis le 16 avr. 2007.
Chaîne hôtelière/marque: les Collectionneurs"
