name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
UCPA SPORT STATION HOSTEL PARIS,https://www.booking.com/hotel/fr/ucpa-sport-station-hostel-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",2 041 expériences vécues,"19e arr., Paris","198 Rue d'Aubervilliers, 19e arr., 75019 Paris, France",48.89813300,2.37114200,"Idéalement situé dans le 19ème arrondissement. L'UCPA SPORT STATION HOSTEL PARIS est situé à Paris, à 3,1 km de la station de métro Gare du Nord, à 3,1 km de la gare du Nord et à 3,2 km de la station de métro Gare de l'Est. Il se trouve à environ 3,4 km de la gare de l'Est, à 3,6 km du stade de France et à 4,4 km de la salle de concert La Cigale. Offrant une vue sur la ville, cette auberge de jeunesse possède une terrasse, un restaurant et un bar.
Toutes les chambres de cette auberge de jeunesse comprennent une armoire. Le linge de lit est fourni.
L'UCPA SPORT STATION HOSTEL PARIS sert un petit-déjeuner buffet ou continental.
Le personnel de la réception ouverte 24h/24 parle allemand, anglais, espagnol et français.
Vous séjournerez à 4,6 km de la station de métro Pigalle et à 4,7 km du Sacré-Cœur. L'aéroport de Paris-Charles-de-Gaulle, le plus proche, est à 17 km.
L'établissement UCPA SPORT STATION HOSTEL PARIS accueille des clients Booking.com depuis le 3 mars 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hotel Louvre Montana,https://www.booking.com/hotel/fr/emeraude-louvre-montana.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from=searchresults#hotelTmpl,"8,9",392 expériences vécues,"1er arr., Paris","12, rue Saint Roch, 1er arr., 75001 Paris, France",48.86444921,2.33173750,"Paris - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Louvre Montana ! Connectez-vous pour économiser.
L’Hotel Louvre Montana vous accueille dans le 1er arrondissement de Paris, à seulement 5 minutes à pied du célèbre musée du Louvre et de la place Vendôme. Vous séjournerez à 2 minutes à pied du jardin des Tuileries et de la place de la Concorde.
Tous climatisés et insonorisés, les logements disposent de lits jumeaux ou d’un lit double, d’une connexion Wi-Fi gratuite et d’une télévision à écran LCD avec les chaînes internationales. Certains hébergements possèdent un balcon et offrent une vue sur le jardin des Tuileries.
Vous dégusterez chaque matin un petit-déjeuner buffet.
L’emplacement central de cet hôtel non-fumeurs vous permettra d’accéder facilement aux transports en commun. La plupart des lieux d’intérêt sont néanmoins accessibles à pied, tout comme de nombreux bistrots typiquement parisiens, bars, cafés, boutiques et magasins.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Hotel Louvre Montana accueille des clients Booking.com depuis le 21 juin 2008.
Chaîne hôtelière/marque: Emeraude France"
Hotel Lutetia,https://www.booking.com/hotel/fr/lutetia-paris12.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",318 expériences vécues,"6e arr., Paris","45 Boulevard Raspail, 6e arr., 75006 Paris, France",48.85124400,2.32723800,"Paris - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L’Hotel Lutetia est un établissement de luxe emblématique situé dans le quartier de Saint-Germain-des-Prés. Implanté sur la rive gauche de la Seine, il se trouve à 5 minutes à pied du grand magasin Le Bon Marché et à 2 km du Musée du Louvre.
Véritable lieu d’intérêt parisien, l’hôtel propose 184 chambres, dont 40 suites et 7 suites signature. Tous les hébergements disposent d'une connexion Wi-Fi gratuite, de systèmes multimédia et de salles de bains en marbre. Certaines chambres comprennent un balcon donnant sur la tour Eiffel, tandis que certaines suites sont pourvues d’un toit-terrasse jouissant d’une vue à 360 degrés sur Paris.
Après une journée bien remplie, vous pourrez vous détendre dans le centre holistique de bien-être Akasha doté d’une salle de sport, d’un sauna, d’un hammam et d’une piscine intérieure de 17 mètres baignée de lumière naturelle. Par ailleurs, une large gamme de soins de spa est dispensée moyennant des frais supplémentaires.
Plusieurs types de petits-déjeuners vous seront proposés chaque matin, y compris des formules sans gluten, halal, kasher et végétariennes. Pour le déjeuner et le dîner, vous pourrez vous rendre à la célèbre brasserie Lutetia ou au restaurant Saint-Germain. Vous aurez également accès à deux cours intérieures différentes, où vous aurez la possibilité de prendre un repas léger. L’hôtel dispose aussi d’un élégant salon à cigares et d’un bar de jazz conçu par Jean Michel Willmotte.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Hotel Lutetia accueille des clients Booking.com depuis le 5 janv. 2018."
Hôtel Korner Etoile,https://www.booking.com/hotel/fr/le-villiers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",612 expériences vécues,"17e arr., Paris","133 avenue de Villiers, 17e arr., 75017 Paris, France",48.88531807,2.29338080,"Installé à 1,5 km du palais des congrès de Paris, l’Hôtel Korner Etoile comprend des hébergements insonorisés et climatisés avec une connexion Wi-Fi gratuite. Vous séjournerez à 15 minutes à pied du parc Monceau et à moins de 20 minutes de marche de l’Arc de Triomphe.
Revêtues de parquet et meublées avec simplicité, toutes les chambres incluent une télévision par câble à écran plat et une salle de bains privative avec une douche.
Chaque matin, l’Hôtel Korner Etoile sert un petit-déjeuner buffet dans la salle prévue à cet effet.
L’établissement propose gratuitement une connexion Wi-Fi dans l’ensemble de ses locaux et des boissons chaudes à l’arrivée. La réception est ouverte 24h/24.
Située à moins de 1 minute à pied, la station de métro Porte de Champerret assure un accès direct à l’opéra Garnier et au Marais.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hôtel Korner Etoile accueille des clients Booking.com depuis le 4 juin 2007."
Hotel Elysees Opera,https://www.booking.com/hotel/fr/america.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",1 837 expériences vécues,"8e arr., Paris","17, rue de Turin, 8e arr., 75008 Paris, France",48.88141526,2.32455321,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Elysees Opera ! Connectez-vous pour économiser.
Situé dans le très chic 8ème arrondissement de Paris, cet hôtel propose des chambres modernes dotées d’un balcon. Il dispose d’une réception ouverte 24h/24, d’un bureau d'excursions et d’un service de billetterie.
Décorées avec simplicité, toutes les chambres insonorisées comprennent une télévision par câble à écran plat et une connexion Wi-Fi gratuite. Leur salle de bains privative est pourvue d’un sèche-cheveux.
L’Elysees Opera Hotel vous servira chaque matin un petit-déjeuner buffet dans une salle dédiée. Vous pourrez prendre un verre au bar tout en lisant les journaux mis à votre disposition. Un service d’étage est en outre assuré.
La station de métro Rome, à 350 mètres de l’Elysees Opera, permet de rejoindre le Moulin Rouge. Le parc Monceau se trouve à seulement 15 minutes à pied. Un service de navette aéroport pourra être organisé sur demande.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Hotel Elysees Opera accueille des clients Booking.com depuis le 21 mars 2001."
MEININGER Hotel Paris Porte de Vincennes,https://www.booking.com/hotel/fr/meininger-paris-porte-de-vincennes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9",7 005 expériences vécues,"12e arr., Paris","37 Boulevard Carnot, 12e arr., 75012 Paris, France",48.84410500,2.41306300,"Situé à Paris, le MEININGER Hotel Paris Porte de Vincennes propose un salon commun, une terrasse, un bar et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Il se trouve à environ 4,1 km de l'opéra Bastille, à 5,4 km de Paris-Gare-de-Lyon et à 6,1 km de la station de métro Gare de l'Est. Vous profiterez d'une cuisine commune et d'une réception ouverte 24h/24.
Les chambres comprennent un coin salon, une télévision par câble à écran plat ainsi qu'une salle de bains privative pourvue d'articles de toilette gratuits et d'une douche. Le linge de lit et les serviettes sont fournis.
Un petit-déjeuner buffet ou continental est servi sur place.
Le MEININGER Hotel Paris Porte de Vincennes se trouve à 6,2 km du centre Pompidou et à 6,4 km de la gare de l'Est. L'aéroport de Paris-Orly, le plus proche, est implanté à 15 km.
L'établissement MEININGER Hotel Paris Porte de Vincennes accueille des clients Booking.com depuis le 6 juin 2019.
Chaîne hôtelière/marque: Meininger Hotels
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Austin's Saint Lazare Hotel,https://www.booking.com/hotel/fr/austin-s-saint-lazare.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",1 530 expériences vécues,"9e arr., Paris","26 Rue d'Amsterdam, 9e arr., 75009 Paris, France",48.87693501,2.32698441,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Austin's Saint Lazare Hotel ! Connectez-vous pour économiser.
L'établissement Austin's Saint Lazare Hotel est situé dans le centre-ville de Paris, à proximité de la gare Saint-Lazare et à 800 mètres de l'opéra Garnier. Il propose des chambres insonorisées dotées de la climatisation, d'une télévision par satellite à écran plat et d'une connexion Wi-Fi gratuite.
Toutes les chambres sont accessibles par un ascenseur et disposent d'un plateau de courtoisie avec du thé et du café. Vous pourrez également savourer un petit-déjeuner buffet de style continental dans la salle à manger ou dans votre chambre.
La gare du Nord se trouve à quelques minutes en métro, tandis que la gare Saint-Lazare dispose de quatre lignes de métro desservant toute la ville de Paris.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,1 pour un séjour à deux.
L'établissement Austin's Saint Lazare Hotel accueille des clients Booking.com depuis le 21 mai 2010."
Cozy Select,https://www.booking.com/hotel/fr/cozy-glaciere-apartment.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from=searchresults#hotelTmpl,"9,1",63 expériences vécues,"13e arr., Paris","116 bis rue de la Glacière, 13e arr., 75013 Paris, France",48.82830084,2.34252568,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Cozy Select ! Connectez-vous pour économiser.
Situé à Paris, à 2,3 km du jardin du Luxembourg et à 3,2 km de la Sainte-Chapelle, le Cozy Select propose des hébergements avec une connexion Wi-Fi gratuite et une télévision à écran plat. Cet appartement se trouve à 4,3 km de l'opéra Bastille et à 4,5 km du musée d'Orsay.
Doté d'un lecteur Blu-ray, l'appartement comprend une cuisine avec un réfrigérateur, un four et un lave-vaisselle, un salon, un coin repas, 2 chambres et une salle de bains avec douche. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 3,4 km de Paris-Gare-de-Lyon et à 3,6 km de la cathédrale Notre-Dame. L'aéroport de Paris-Orly, le plus proche, est à 12 km.
L'établissement Cozy Select accueille des clients Booking.com depuis le 24 avr. 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel Rosalie,https://www.booking.com/hotel/fr/hotel-rosalie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",668 expériences vécues,"13e arr., Paris","8 bis Avenue de la Soeur Rosalie, 13e arr., 75013 Paris, France",48.83207392,2.35368535,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Rosalie ! Connectez-vous pour économiser.
Situé dans le quartier des Gobelins, récemment rénové en 2022 Cet hôtel design dispose d'une terrasse en duplex et d'un toit-terrasse privé ombragé. Une partie de leurs chambres offre une vue sur la Tour Eiffel et les paysages de la ville parisienne.
Toutes les chambres disposent d'une connexion Wi-Fi gratuite, de la climatisation à réglage automatique, d'une télévision par satellite à écran plat, d'un plateau/bouilloire, d'une salle de bains privative et d'une literie (très) confortable. Un parking privé est disponible sur place moyennant des frais supplémentaires.
Vous pourrez prendre votre petit-déjeuner sur la terrasse, dans votre chambre ou dans la salle prévue à cet effet.
L'établissement se trouve à 120 mètres de la station de métro Place d'Italie et à seulement 1 km de la rue animée Mouffetard, avec ses restaurants et ses étals de marché. Dans le 13ème arrondissement, vous trouverez le principal quartier asiatique de Paris, la Cité de la mode et du design, la bibliothèque nationale française, le quartier branché de la Butte-aux-Cailles et quelques superbes peintures murales du Street Art.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Hôtel Rosalie accueille des clients Booking.com depuis le 5 juil. 2008."
Grand Hôtel Amelot,https://www.booking.com/hotel/fr/grand-amelot-paris4.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asie0Z0GwAIB0gIkYWIyMGUxNGUtMDQyNC00MmEwLWI1MWEtNzEwNDI2NjQxZmM12AIG4AIB&sid=00d3c155eb6ac988654822937bfcbec9&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=be4c6faa57f201ec&srepoch=1672761175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",2 950 expériences vécues,"11e arr., Paris","54 rue Amelot, 11e arr., 75011 Paris, France",48.85925680,2.36840850,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Grand Hôtel Amelot ! Connectez-vous pour économiser.
Situé dans le 11ème arrondissement de Paris, à 5 minutes à pied du quartier du Marais et de la Place des Vosges, le Grand Hôtel Amelot propose une réception ouverte 24h/24, une bagagerie et un service de concierge.
Toutes ses chambres climatisées disposent d'une télévision à écran plat, d'un coffre-fort et d'une armoire. Leur salle de bains privative est pourvue d'une baignoire ou d'une douche.
Un petit-déjeuner vous servi chaque matin au Grand Hôtel Amelot. De nombreux restaurants vous accueilleront à quelques minutes à pied.
Vous profiterez d'une connexion Wi-Fi gratuite dans l'ensemble de l'établissement. Il vous sera possible de vous garer dans un parking privé à proximité. Enfin, vous rejoindrez directement la tour Eiffel et l'opéra Garnier depuis la station de métro Chemin Vert, située à 240 mètres de l'hôtel.
C'est le quartier préféré des voyageurs visitant Paris, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Grand Hôtel Amelot accueille des clients Booking.com depuis le 30 janv. 2015."
