name,link,review_score,review_count,area,address,coordinates_gps,description
Grand Hotel La Cloche Dijon - MGallery,https://www.booking.com/hotel/fr/gh-la-cloche-dijon-mgallery.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from=searchresults#hotelTmpl,"8,4",1 409 expériences vécues,"Centre-ville de Dijon, Dijon","14 Place Darcy, Centre-ville de Dijon, 21000 Dijon, France","5.00721763136034,47.3061724222268,5.06032247779723,47.342103255373","Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé au cœur de la Bourgogne, le GH La Cloche Dijon MGallery bénéficie d'un emplacement idéal à proximité des principales attractions dont les musées et le palais des Ducs. Il propose des chambres et suites de luxe, toutes dotées d'équipements modernes.
Vous découvrirez la cuisine gastronomique française au restaurant de l'hôtel.
Après une séance d'entraînement intense dans la salle de sport, vous pourrez vous détendre dans le sauna.
Un service de voiturier gratuit est assuré au GH La Cloche Dijon MGallery. Un parking privé est accessible moyennant un supplément. Enfin, des stations de recharge pour les véhicules électriques sont disponibles sur place.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Grand Hotel La Cloche Dijon - MGallery accueille des clients Booking.com depuis le 11 mai 2010.
Chaîne hôtelière/marque: MGallery"
Guillaum's,https://www.booking.com/hotel/fr/guillaum-39-s.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from=searchresults#hotelTmpl,"6,8",13 expériences vécues,"Centre-ville de Dijon, Dijon","10 Rue Quentin, Centre-ville de Dijon, 21000 Dijon, France","5.01374255105632,47.3054277834269,5.06684664894376,47.3413586165731","Dijon - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Doté d'une connexion Wi-Fi gratuite, le Guillaum's est situé à Dijon, à 1,1 km de la gare, à moins de 1 km de la station de tramway Foch-Gare et à 17 minutes à pied du parc des expositions Dijon Congrexpo. L'établissement se trouve à 4,2 km de la station de tramway Universite et à 4,6 km du Zénith de Dijon.
Cet appartement comprend une chambre, une télévision par satellite, un lave-linge et une salle de bains pourvue d'une douche. Sa kitchenette est équipée d'un micro-ondes et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 600 mètres de l'église Saint-Philibert et à 3,9 km de la station de tramway CHU-Hopitaux. L'aéroport le plus proche, celui de Dole-Jura, est situé à 51 km.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Guillaum's accueille des clients Booking.com depuis le 19 juil. 2017.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Benigne Malyon,https://www.booking.com/hotel/fr/benigne-malyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,7",23 expériences vécues,"Centre-ville de Dijon, Dijon","REZ DE CHAUSSE 1 Rue Chaudronnerie, Centre-ville de Dijon, 21000 Dijon, France","5.01675294854713,47.3051401844678,5.06985675733326,47.341071017614","Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Benigne Malyon ! Connectez-vous pour économiser.
Occupant un ancien hôtel de style Renaissance italienne du XVIe siècle, le Benigne Malyon propose un appartement à Dijon, à 400 mètres du palais des ducs et des États de Bourgogne.
Ce logement comprend une cuisine équipée d'un four, d'un lave-vaisselle, d'une bouilloire et d'une machine à café. Sa salle de bains est pourvue d'une douche et d'une baignoire. Le linge de lit et les serviettes de toilette sont fournis. Un lave-linge est également à votre disposition.
Vous trouverez de nombreux magasins et restaurants à proximité de l'établissement.
Le Benigne Malyon se trouve à 300 mètres du musée Magnin et du musée des beaux-arts de Dijon. L'aéroport de Dole-Jura est, quant à lui, situé à 43 km.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement Benigne Malyon accueille des clients Booking.com depuis le 14 nov. 2016."
Odalys City Dijon Les Cordeliers,https://www.booking.com/hotel/fr/appart-39-odalys-les-cordeliers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",4 509 expériences vécues,"Centre-ville de Dijon, Dijon","3/5, rue Turgot, Centre-ville de Dijon, 21000 Dijon, France","5.01356514900773,47.3003045979794,5.06666409761919,47.3362354311256","Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L’Odalys City Dijon Les Cordeliers vous accueille dans le centre historique de Dijon. Aménagé dans un ancien cloître, cet appart'hôtel propose des chambres dotées d’une salle de bains privative ainsi que des hébergements indépendants. Durant votre séjour, vous pourrez vous détendre dans le jardin ou le hammam.
Tous les hébergements de l'Odalys City Dijon Les Cordeliers possèdent une salle d'eau privative comportant des articles de toilette gratuits et un sèche-cheveux. Vous bénéficierez également d’une connexion Wi-Fi gratuite et d’une télévision par câble.
Les appartements comprennent une cuisine équipée d’un lave-vaisselle, d’un micro-ondes et d’une bouilloire électrique. Des restaurants et des bars vous attendent à quelques pas.
Vous séjournerez à 500 mètres du Palais des Ducs et du musée des Beaux-Arts, et à 1,5 km de la gare de Dijon-Ville. Le parc des expositions Congrexpo de Dijon se trouve à 1,5 km.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Odalys City Dijon Les Cordeliers accueille des clients Booking.com depuis le 19 sept. 2014.
Chaîne hôtelière/marque: Odalys City/Campus"
"Holiday Inn Dijon Toison D'or, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-dijon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from=searchresults#hotelTmpl,"7,9",3 050 expériences vécues,Dijon,"1 Place Marie de Bourgogne, 21000 Dijon, France","5.02543169898738,47.3377345834269,5.07856830101262,47.3736654165731","Doté d'un spa avec un sauna, un hammam et une salle de sport, le Holiday Inn Dijon Toison D'or vous accueille en périphérie du centre-ville historique de Dijon, en plein cœur du parc technologique de la Toison d'Or. Il propose des hébergements dotés de la climatisation et d'une connexion Wi-Fi gratuite.
Les chambres sont spacieuses et disposent d'une télévision par satellite à écran plat. Elles affichent une décoration contemporaine ponctuée de touches de couleur. Leur salle de bains privative est pourvue d'équipements du créateur Philippe Starck.
L'établissement sert tous les matins un petit-déjeuner buffet. Son restaurant, le Gallery 412, propose des spécialités françaises traditionnelles et modernes. Un grand choix de vins est disponible au bar Light.
Le Holiday Inn Dijon est à 5 minutes de marche du Zénith et à 15 minutes en tramway de la gare de la ville. Un parking est disponible gratuitement sur place et l'autoroute est accessible en 2 minutes en voiture. Le centre commercial de la Toison d'Or, regroupant 180 magasins, est à seulement 1 minute de marche.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour à deux.
L'établissement Holiday Inn Dijon Toison D'or, an IHG Hotel accueille des clients Booking.com depuis le 7 déc. 2006.
Chaîne hôtelière/marque: Holiday Inn Hotels & Resorts"
"Maison Philippe Le Bon, Les Collectionneurs",https://www.booking.com/hotel/fr/philippe-le-bon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0",661 expériences vécues,"Centre-ville de Dijon, Dijon","18 rue Sainte Anne, Centre-ville de Dijon, 21000 Dijon, France","5.01145171181224,47.3004104369844,5.06455076678731,47.3363412701306","Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison Philippe Le Bon, Les Collectionneurs ! Connectez-vous pour économiser.
La Maison Philippe Le Bon, Les Collectionneurs est située au cœur du centre historique de Dijon, à 300 mètres du palais des ducs de Bourgogne. Vous bénéficierez d'une connexion Wi-Fi gratuite dans toutes les chambres et les parties communes de l’hôtel.
Les chambres climatisées comprennent une télévision à écran plat et une salle de bains privative. Elles offrent une vue sur la ville de Dijon, le jardin intérieur, la cour gothique ou la rue Sainte-Anne.
Le restaurant La Closerie vous servira une cuisine inventive et gastronomique de saison accompagnée par une excellente carte des vins avec de nombreux vins locaux. Vous y dégusterez des repas raffinés dans un cadre datant du XVIIe siècle doté de carrelages d'origine, de poutres apparentes et de pierres rustiques avec des touches modernes.
En été, vous apprécierez votre déjeuner et votre dîner dans le jardin privé de l'établissement. Tous les matins, vous savourerez en outre un petit-déjeuner buffet complet. Des massages naturopathiques peuvent aussi être dispensés moyennant un supplément.
Lors de votre séjour à la Maison Philippe Le Bon, Les Collectionneurs, vous pourrez explorer le centre historique, ses rues pittoresques et ses places, tout en visitant le marché des Halles, ainsi qu'une grande variété de musées, de magasins et de boutiques originales.
Enfin, la gare de Dijon-Ville se trouve à 5 minutes en voiture ou à 15 minutes à pied de l'établissement.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Maison Philippe Le Bon, Les Collectionneurs accueille des clients Booking.com depuis le 19 déc. 2007."
Oceania Le Jura Dijon,https://www.booking.com/hotel/fr/tidijon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from=searchresults#hotelTmpl,"8,4",1 619 expériences vécues,"Centre-ville de Dijon, Dijon","14 Avenue Foch, Centre-ville de Dijon, 21000 Dijon, France","5.0036633004796,47.3056419785652,5.05676761368399,47.3415728117114","Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Oceania Le Jura Dijon ! Connectez-vous pour économiser.
L'Oceania Le Jura Dijon vous accueille dans le centre-ville, à 200 mètres de la gare et à 10 minutes de tramway du Palais des Congrès. Il propose des chambres dotées d'une connexion Wi-Fi gratuite et d'une vue sur le jardin.
La plupart des chambres sont spacieuses, insonorisées et pourvues d'une télévision par câble à écran plat.
Chaque matin, l'hôtel Le Jura propose un petit-déjeuner buffet qui peut être servi dans votre chambre. Vous pourrez savourer un verre au bar et trouverez des distributeurs automatiques sur place.
Enfin, vous profiterez d'une piscine intérieure chauffée, d'un hammam et d'une salle de sport.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.
L'établissement Oceania Le Jura Dijon accueille des clients Booking.com depuis le 5 mars 2010."
Kyriad Prestige Dijon Nord - Valmy,https://www.booking.com/hotel/fr/kyriad-prestige-dijon-nord-valmy-xml.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3",2 257 expériences vécues,Dijon,"Impasse aux Charmes D'asnières - Zac Valmy, 21000 Dijon, France","5.02278219478164,47.3427075834269,5.07592380521835,47.3786384165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Kyriad Prestige Dijon Nord - Valmy ! Connectez-vous pour économiser.
Disposant d'une réception ouverte 24h/24, le Kyriad Prestige Dijon Nord - Valmy est situé à 5 km de la gare de Dijon. Il propose une connexion Wi-Fi gratuite ainsi qu'un parking privé gratuit sur place et un bar. Un petit-déjeuner buffet est servi chaque jour.
Desservies par un ascenseur, toutes les chambres climatisées de l'hôtel Kyriad Prestige Dijon Nord - Valmy sont équipées d'une télévision à écran LCD, d'un coffre-fort et du téléphone. Certaines sont spécialement aménagées pour les personnes à mobilité réduite.
Vous pourrez lire les journaux gratuitement mis à disposition sur la terrasse de l'hôtel. Le restaurant le plus proche se trouve à 450 mètres et le centre commercial à 1 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,2 pour un séjour à deux.
L'établissement Kyriad Prestige Dijon Nord - Valmy accueille des clients Booking.com depuis le 25 juin 2013.
Chaîne hôtelière/marque: Kyriad Prestige Hotel"
Vertigo | a Member of Design Hotels™,https://www.booking.com/hotel/fr/vertigo.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,1",1 614 expériences vécues,"Centre-ville de Dijon, Dijon","3 rue Devosge, Centre-ville de Dijon, 21000 Dijon, France","5.00771977355164,47.3063241143553,5.06082477248099,47.3422549475015","Dijon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Vertigo | a Member of Design Hotels™ ! Connectez-vous pour économiser.
Proposant une piscine intérieure, un spa Nuxe et un centre de bien-être, le Vertigo - Design Hotels est un hôtel design situé à Dijon. Vous bénéficierez gratuitement d'une connexion Wi-Fi disponible dans l'ensemble de l'établissement, de vélos, d'un sauna et d'un hammam.
Décorées individuellement, les chambres climatisées possèdent des lits suspendus, une télévision par satellite à écran plat, une machine à café et offrent une vue sur la ville ainsi que sur le jardin. Leur salle de bains privative est pourvue d'une douche, de peignoirs et d'un sèche-cheveux.
Le petit-déjeuner est servi chaque matin dans le salon commun ou dans le confort de votre chambre, moyennant des frais supplémentaires. L'hôtel comporte également un bar préparant des boissons et des repas légers.
Vous séjournerez à 400 mètres de l'église Saint-Philibert et à 500 mètres de la gare ferroviaire de Dijon.
C'est le quartier préféré des voyageurs visitant Dijon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Vertigo | a Member of Design Hotels™ accueille des clients Booking.com depuis le 21 oct. 2014.
Chaîne hôtelière/marque: Design Hotels"
Mercure Dijon Centre Clemenceau,https://www.booking.com/hotel/fr/dijon-centre-clemenceau.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AvqgyJ0GwAIB0gIkMDFhMjRiODEtNzI1MS00MDU5LWJhYWUtYTFiOTVkZTFmZjI02AIG4AIB&sid=e93be1fd764f22b113767177d23c5cae&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=7610a1c3cc9501c2&srepoch=1672614040&from=searchresults#hotelTmpl,"8,0",1 510 expériences vécues,Dijon,"22 Boulevard De La Marne, 21071 Dijon, France","5.02487394057758,47.3101785316329,5.07798281467907,47.3461093647791","Le Mercure Dijon Centre Clémenceau est un établissement 4 étoiles non-fumeurs situé dans le centre de Dijon, en face de l'Auditorium et du centre de convention.
Spacieuses et fonctionnelles, les chambres sont dotées d'une salle de bains privative moderne, de la climatisation et d'une télévision satellite.
Le Mercure Dijon Centre Clémenceau possède un restaurant, Le Château Bourgogne, qui sert une cuisine gastronomique traditionnelle et régionale pour le déjeuner et le dîner. En été, vous pourrez dîner sur la terrasse paisible à côté de la piscine.
L'hôtel possède un parking sécurisé sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour à deux.
L'établissement Mercure Dijon Centre Clemenceau accueille des clients Booking.com depuis le 23 nov. 2009.
Chaîne hôtelière/marque: Mercure"
