name,link,review_score,review_count,area,address,coordinates_gps,description
"Maison tendance avec jardin, centre village, Alpilles, familles",https://www.booking.com/hotel/fr/les-mazets-de-jules-2.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,"8,7",12 expériences vécues,Eyragues,"9 Avenue de la République, 13630 Eyragues, France","4.81858249248091,43.8228958834269,4.86849070751909,43.8588267165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison tendance avec jardin, centre village, Alpilles, familles ! Connectez-vous pour économiser.
Située à Eyragues, à 13 km de la gare centrale d'Avignon et à 14 km de la gare TGV d'Avignon, la Maison tendance avec jardin, centre village, Alpilles, familles dispose d'un jardin et de la climatisation. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.
Cette maison de vacances dispose d'un lecteur DVD, d'une cuisine avec un lave-vaisselle, un micro-ondes et un réfrigérateur, d'un salon avec des coins salon et repas, de 2 chambres ainsi que d'une salle de bains avec une douche et une baignoire. Les serviettes et le linge de lit sont fournis.
Cette maison de vacances possède un barbecue et une terrasse bien exposée.
Vous séjournerez à 15 km du parc des expositions d'Avignon et à 16 km du palais des papes. L'aéroport d'Avignon-Provence, le plus proche, est à 14 km.
L'établissement Maison tendance avec jardin, centre village, Alpilles, familles accueille des clients Booking.com depuis le 29 juil. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Beautiful villa with air conditioning large private swimming pool and near St Remy de Provence,https://www.booking.com/hotel/fr/bastide-provencale-eyragues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,N/A,N/A,Eyragues,"13630 Eyragues, France","4.82368835168188,43.8146235834269,4.87358964831812,43.8505544165731","Située à Eyragues, la Beautiful villa with air conditioning large private swimming pool and near St Remy de Provence propose une piscine privée et une connexion Wi-Fi gratuite. Cet hébergement climatisé se trouve à 32 km d'Arles.
Cette villa comprend 8 chambres, une télévision, un lave-linge et 2 salles de bains pourvues d'une douche. Sa cuisine équipée comporte un lave-vaisselle et un micro-ondes. Les serviettes et le linge de lit sont fournis.
Lors de votre séjour, vous pourrez profiter d'une terrasse. Le Beautiful villa with air conditioning large private swimming pool and near St Remy de Provence possède un jardin, un barbecue et une piscine extérieure.
Vous séjournerez à 17 km d'Avignon et à 44 km de Nîmes. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 17 km.
L'établissement Beautiful villa with air conditioning large private swimming pool and near St Remy de Provence accueille des clients Booking.com depuis le 8 févr. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
La case d'Eyragues au coeur des Alpilles,https://www.booking.com/hotel/fr/la-case-d-eyragues-au-coeur-des-alpilles.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,N/A,N/A,Eyragues,"1290 Chemin des Prés, 13630 Eyragues, France","4.82484003031537,43.8333224834269,4.87475696968464,43.8692533165731","Situé à Eyragues, à moins de 13 km de la gare centrale et de la gare TGV d'Avignon, La case d'Eyragues au coeur des Alpilles propose un hébergement avec une connexion Wi-Fi gratuite, la climatisation et une terrasse. Cette villa dispose d'une piscine privée, d'un jardin et d'un parking privé gratuit.
La villa comprend 4 chambres, une télévision à écran plat, un lave-linge et 2 salles de bains pourvues d'une douche. Sa cuisine équipée comporte un lave-vaisselle et un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 13 km du parc des expositions d'Avignon et à 15 km du palais des papes. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 14 km.
L'établissement La case d'Eyragues au coeur des Alpilles accueille des clients Booking.com depuis le 2 sept. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Villa de prestige 10 personnes à Eyragues,https://www.booking.com/hotel/fr/villa-de-prestige-10-personnes-a-eyragues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,N/A,N/A,Eyragues,"chemin de la Gardy 231, 13630 Eyragues, France","4.81756506047357,43.8165159834269,4.86746793952643,43.8524468165731","Située à Eyragues, la Villa de prestige 10 personnes à Eyragues propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, un salon commun et l'accès à un jardin avec une piscine extérieure. Vous profiterez d'une piscine privée et d'un parking privé gratuit.
La villa comprend 5 chambres, 4 salles de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la piscine. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
La région est prisée pour pratiquer la randonnée.
Vous séjournerez à 14 km de la gare centrale d'Avignon et de la gare TGV d'Avignon. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 17 km.
L'établissement Villa de prestige 10 personnes à Eyragues accueille des clients Booking.com depuis le 22 nov. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Maison d'hôtes Le Pré Gourmand - Adults only,https://www.booking.com/hotel/fr/le-pre-gourmand-eyragues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,"9,1",82 expériences vécues,Eyragues,"175 avenue marx dormoy, 13630 Eyragues, France","4.81740848965353,43.8262495834269,4.86731951034647,43.8621804165731","Située à Eyragues, à 13 km de la gare centrale d'Avignon, la Maison d'hôtes Le Pré Gourmand - Adults only propose un restaurant, un parking privé gratuit, une piscine extérieure ouverte en saison et un jardin. Vous séjournerez à 13 km de la gare TGV d'Avignon, à 14 km du parc des expositions d'Avignon et à 16 km du palais des papes. Il propose une connexion Wi-Fi gratuite et un service d'étage.
Toutes les chambres disposent de la climatisation, d'un bureau, d'un balcon avec vue sur la piscine, d'une salle de bains privative, d'une télévision à écran plat, de linge de lit et de serviettes. Elles comprennent également un coffre-fort.
Un petit-déjeuner continental est servi tous les matins sur place.
Une terrasse est également à votre disposition.
Vous séjournerez à 31 km de l'amphithéâtre d'Arles et à 15 km du pont d'Avignon. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 15 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.

En voir plus"
Maison Beally,https://www.booking.com/hotel/fr/maison-beally.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,N/A,N/A,Eyragues,"Avenue des Dorthes 300, 13630 Eyragues, France","4.8276432545037,43.8122247834269,4.8775425454963,43.8481556165731","Située à Eyragues, la Maison Beally possède un jardin et une terrasse. Cet hébergement climatisé se trouve à 33 km d'Arles.
Cette villa comprend 4 chambres, une télévision, un lave-linge et 3 salles de bains pourvues d'une douche. Sa cuisine équipée comporte un lave-vaisselle et un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 16 km d'Avignon et à 46 km de Nîmes. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 17 km.
L'établissement Maison Beally accueille des clients Booking.com depuis le 2 mai 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Modern holiday cottage with swimming pool and close to beautiful Saint Remy de Provence,https://www.booking.com/hotel/fr/mazet-provencale.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,N/A,N/A,Eyragues,"13630 Eyragues, France","4.82368835168188,43.8146235834269,4.87358964831812,43.8505544165731","Situé à Eyragues, le Modern holiday cottage with swimming pool and close to beautiful Saint Remy de Provence propose un hébergement avec une terrasse et une connexion Wi-Fi gratuite. Arles est à 32 km.
Cette villa climatisée comprend 2 chambres, un salon, une cuisine entièrement équipée avec un lave-vaisselle et une machine à café ainsi qu'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
La villa possède un jardin, un barbecue et une piscine extérieure.
Vous séjournerez à 17 km d'Avignon et à 44 km de Nîmes. L'aéroport d'Avignon-Provence, le plus proche, est à 17 km.
L'établissement Modern holiday cottage with swimming pool and close to beautiful Saint Remy de Provence accueille des clients Booking.com depuis le 8 févr. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
"Maison tendance avec jardin, centre village, Alpilles, familles",https://www.booking.com/hotel/fr/maison-de-village-dans-les-alpilles-a-5-min-de-saint-remy-de-provence.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,"9,2",19 expériences vécues,Eyragues,"9 Avenue de la République, 13630 Eyragues, France","4.81858249248091,43.8228958834269,4.86849070751909,43.8588267165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison tendance avec jardin, centre village, Alpilles, familles ! Connectez-vous pour économiser.
Bénéficiant d'une terrasse et d'un service de concierge, la Maison tendance avec jardin, centre village, Alpilles, familles est idéalement située à Eyragues, à 13 km de la gare centrale d'Avignon et à 14 km de la gare TGV d'Avignon. Cette maison de vacances dispose d'un jardin, d'un barbecue, ainsi que d'une connexion Wi-Fi et d'un parking privé gratuits.
Cette maison de vacances climatisée comprend 2 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 15 km du parc des expositions d'Avignon et à 16 km du palais des papes. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 14 km.
L'établissement Maison tendance avec jardin, centre village, Alpilles, familles accueille des clients Booking.com depuis le 29 févr. 2020."
Holiday Home Siflora,https://www.booking.com/hotel/fr/holiday-home-siflora.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,"9,3",3 expériences vécues,Eyragues,"13630 Eyragues, France","4.8076077876083,43.8111886834269,4.8575062123916,43.8471195165731","Situé à Eyragues, le Holiday Home Siflora propose un hébergement climatisé avec une piscine privée. Il se trouve à 17 km du parc des expositions d'Avignon et du palais des papes.
Cette maison de vacances comprend 4 chambres, une télévision, un lave-linge et 2 salles de bains pourvues d'une douche. Sa cuisine équipée comporte un lave-vaisselle et un micro-ondes. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi dans l'ensemble des locaux.
Vous pourrez faire du vélo dans les environs.
Vous séjournerez à 15 km de la gare centrale et de la gare TGV d'Avignon. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 17 km.
L'établissement Holiday Home Siflora accueille des clients Booking.com depuis le 9 oct. 2017."
bel appartement 2 chambres au coeur du village,https://www.booking.com/hotel/fr/bel-appartement-2-chambres-au-coeur-du-village-eyragues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9leXJhZ3Vlc0gNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gC_ffGnQbAAgHSAiQ0MjIwNTliMS02ZjcyLTRhOTItODlhYi03YzkwMTFhOGM1NmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=70ec777e110c019f&srepoch=1672592403&from=searchresults#hotelTmpl,"9,8",13 expériences vécues,Eyragues,"9 Avenue Romain Rolland, 13630 Eyragues, France","4.81558261928355,43.8226661815949,4.86549064217445,43.8585970147411","Vous pouvez bénéficier d'une réduction Genius dans l'établissement bel appartement 2 chambres au coeur du village ! Connectez-vous pour économiser.
Situé à Eyragues, à 13 km de la gare centrale et de la gare TGV d'Avignon, le bel appartement 2 chambres au coeur du village Il dispose d'une connexion Wi-Fi gratuite et de la climatisation. Cet appartement se trouve à 30 km de l'amphithéâtre d'Arles et à 15 km du pont d'Avignon.
L'appartement comprend 2 chambres, une cuisine avec réfrigérateur et four, ainsi qu'une salle de bains avec douche, sèche-cheveux et lave-linge. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 15 km du parc des expositions d'Avignon et à 16 km du palais des papes. L'aéroport le plus proche, celui d'Avignon-Provence, est situé à 15 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement bel appartement 2 chambres au coeur du village accueille des clients Booking.com depuis le 9 mai 2022."
