name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Gîte L'Orée du Château - Appartement Potiron,https://www.booking.com/hotel/fr/gite-l-39-oree-du-chateau.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from=searchresults#hotelTmpl,"9,1",9 expériences vécues,Orschwiller,"Schaflager, 67600 Orschwiller, France",48.24834892,7.35484448,"Offrant une vue sur la montagne, le Gîte L'Orée du Château - Appartement Potiron propose un hébergement avec un restaurant, un bar et un jardin, à environ 3,2 km du château du Haut Koenigsbourg. Vous bénéficierez gratuitement d'un parking privé et d'un service de concierge.
Cet appartement comprend 3 chambres, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.
La région est prisée pour pratiquer la randonnée.
Vous séjournerez à 24 km du parc des expositions Colmar Expo et à 26 km de la Maison des Têtes. L'aéroport international de Strasbourg, le plus proche, est implanté à 52 km.
L'établissement Gîte L'Orée du Château - Appartement Potiron accueille des clients Booking.com depuis le 24 sept. 2020.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Gîte L orée du château Appartement Cerise,https://www.booking.com/hotel/fr/gite-l-oree-du-chateau-appartement-cerise.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from=searchresults#hotelTmpl,"9,4",8 expériences vécues,Orschwiller,"Schaflager, 67600 Orschwiller, France",48.24840250,7.35482570,"Doté d'une terrasse, le Gîte L orée du château Appartement Cerise est situé à Orschwiller, à 26 km de la Maison des Têtes, à 27 km de la collégiale Saint-Martin et à 28 km de la gare de Colmar. Doté d'un parking privé gratuit, il se trouve à 3,2 km du château du Haut Koenigsbourg et à 24 km du parc des expositions Colmar Expo.
Cet appartement comprend 3 chambres, une cuisine, une télévision à écran plat, un coin salon et une salle de bains.
Vous séjournerez à 35 km du musée Würth et à 45 km de l'entrée principale d'Europa-Park. L'aéroport international de Strasbourg, le plus proche, est implanté à 52 km.
L'établissement Gîte L orée du château Appartement Cerise accueille des clients Booking.com depuis le 21 juil. 2021.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Chalet Les Prés,https://www.booking.com/hotel/fr/chalet-les-pres.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from=searchresults#hotelTmpl,"9,5",40 expériences vécues,Neubois,"7 B rue des prés, 67220 Neubois, France",48.30668606,7.34107822,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Chalet Les Prés ! Connectez-vous pour économiser.
Le Chalet Les Prés est situé à Neubois, à 17 km du château du Haut Koenigsbourg, à 28 km du parc des expositions Colmar Expo et à 31 km de la Maison des Têtes. Cette maison de vacances dispose d'un jardin, d'un barbecue, ainsi que d'une connexion Wi-Fi et d'un parking privé gratuits.
Dotée d'un accès direct à un balcon avec vue sur le jardin, cette maison de vacances se compose de 3 chambres. Dotée d'une terrasse avec vue sur la montagne, cette maison de vacances dispose d'une télévision par câble à écran plat, d'une cuisine bien équipée avec un réfrigérateur, un four et un lave-vaisselle, ainsi que d'une salle de bains avec une douche et un sèche-cheveux.
Vous séjournerez à 31 km de la collégiale Saint-Martin et à 32 km de la gare de Colmar. L'aéroport international de Strasbourg, le plus proche, est implanté à 38 km.
L'établissement Chalet Les Prés accueille des clients Booking.com depuis le 11 juin 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
L'éclos des vignes - Appartements haut de gamme avec Spa,https://www.booking.com/hotel/fr/gite-les-amandiers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from=searchresults#hotelTmpl,"8,6",138 expériences vécues,Bergheim,"8 Faubourg Saint Pierre, 68750 Bergheim, France",48.20646645,7.35700397,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'éclos des vignes - Appartements haut de gamme avec Spa ! Connectez-vous pour économiser.
Situé à Bergheim, en Alsace, à 14 km de Colmar, le Gîte Les Amandiers dispose d'un barbecue et offre une vue sur le jardin. Fribourg-en-Brisgau se trouve à 43 km. Une connexion Wi-Fi est accessible gratuitement dans l'ensemble de ses locaux.
Les logements comprennent un coin salon et repas. Leur cuisine est équipée d'un four et d'un grille-pain. Vous disposerez également d'un réfrigérateur, d'une machine à café et d'une bouilloire. Leur salle de bains privative est pourvue d'une baignoire ou d'une douche.
Nous avons un Restaurant ouvert les lundis, vendredis et samedis soirs où vous pourrez profiter de Tartes Flambées.
Un panier petit-déjeuner à la carte est disponible sur demande et moyennant des frais supplémentaires.
Vous séjournerez à 38 km de Gérardmer et à 42 km de La Bresse. L'aéroport international de Strasbourg, le plus proche, est à 43 km. Un parking privé est disponible gratuitement sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement L'éclos des vignes - Appartements haut de gamme avec Spa accueille des clients Booking.com depuis le 12 févr. 2016."
La Maison 1603,https://www.booking.com/hotel/fr/la-maison-1603.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,5",65 expériences vécues,Hunawihr,"24 rue du Nord, 68150 Hunawihr, France",48.18003490,7.30920452,"Situé à Hunawihr, l'établissement 4 étoiles La Maison 1603 propose un jardin et une terrasse bien exposée. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble des locaux.
Offrant une vue sur la ville, l'appartement comprend une terrasse, un coin salon, une télévision par satellite à écran plat, une cuisine entièrement équipée avec un réfrigérateur et un four ainsi qu'une salle de bains privative avec une douche et des articles de toilette gratuits. Un lave-vaisselle, un micro-ondes, des plaques de cuisson, une machine à café et une bouilloire sont également fournis.
La Maison 1603 possède une aire de jeux pour enfants.
Vous pourrez jouer au ping-pong sur place ou faire de la randonnée ou du ski dans les environs.
Colmar Expo se trouve à 13 km de La Maison 1603, tandis que le château du Haut Koenigsbourg est à 16 km. L'aéroport international de Strasbourg, le plus proche, est à 55 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement La Maison 1603 accueille des clients Booking.com depuis le 7 juin 2018."
Gîte Binnert Bader,https://www.booking.com/hotel/fr/au-muenchberg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from=searchresults#hotelTmpl,"9,2",23 expériences vécues,Nothalten,"73a,route du vin, 67680 Nothalten, France",48.35583553,7.42061555,"Situé dans la région viticole du Bas-Rhin, le Gîte Binnert Bader propose une terrasse et des chambres insonorisées. Cette maison de vacances se trouve à 15 km de la gare de Sélestat.
Le gîte de deux chambres comprend un coin salon avec un canapé et une télévision à écran plat, un lave-linge, du matériel de repassage ainsi qu'une salle de bains privative pourvue d'un sauna.
La cuisine entièrement équipée comporte un coin repas, un barbecue, un réfrigérateur, un four et une cuisinière. Une bouilloire électrique et un grille-pain sont également fournis.
Doté d'une connexion Wi-Fi gratuite, le Gîte Binnert Bader se trouve à 84 km de l'aéroport de Bâle-Mulhouse. Vous rejoindrez la station de ski de La Bresse en 45 minutes de route et un parking privé est disponible gratuitement sur place.
L'établissement Gîte Binnert Bader accueille des clients Booking.com depuis le 4 nov. 2013."
Gîtes individuels à Kaysersberg,https://www.booking.com/hotel/fr/gite-muscat-a-kaysersberg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",70 expériences vécues,Kaysersberg,"102 B route de Lapoutroie, 68240 Kaysersberg, France",48.14958963,7.24729123,"Situé à Kaysersberg, le Gîte Muscat à Kaysersberg dispose d'un jardin avec mobilier de jardin, d'une terrasse privée et d'un barbecue. Colmar se trouve à 11 km. Un parking privé est disponible gratuitement sur place.
Les logements comprennent un coin salon. Les logements comprennent une télévision à écran plat et un lecteur DVD. La cuisine est équipée d'un lave-vaisselle. Un four, un micro-ondes, un grille-pain et une machine à café sont également fournis. La climatisation est disponible uniquement dans la maison Muscat.
Vous pourrez pratiquer diverses activités dans les environs, telles que le ski et le golf. Colmar se trouve à 20 minutes en voiture, tandis que Mulhouse est à 50 minutes de route. L'aéroport international de Strasbourg, le plus proche, est implanté à 52 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Gîtes individuels à Kaysersberg accueille des clients Booking.com depuis le 5 déc. 2014."
L'Appart' Sélestadien,https://www.booking.com/hotel/fr/l-39-appart-39-selestadien.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,5",30 expériences vécues,Sélestat,"21B Rue de la Redoute, 67600 Sélestat, France",48.25874644,7.45997232,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'Appart' Sélestadien ! Connectez-vous pour économiser.
Situé à Sélestat, l'établissement L'Appart' Sélestadien propose un service de prêt de vélos, une piscine extérieure ouverte en saison, un jardin, une connexion Wi-Fi gratuite et une vue sur le jardin. Offrant une vue sur la ville, il se trouve à 15 km du château du Haut Koenigsbourg et à 22 km du parc des expositions Colmar Expo.
Cet appartement comprend 2 chambres, une cuisine avec lave-vaisselle, une télévision à écran plat, un coin salon et 2 salles de bains avec douche. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'un barbecue et d'une terrasse.
Vous séjournerez à 25 km de la Maison des Têtes et de la collégiale Saint-Martin. Moyennant des frais supplémentaires, l'établissement assure un service de navette aéroport, le plus proche étant celui de Strasbourg-Entzheim, situé à 44 km.
L'établissement L'Appart' Sélestadien accueille des clients Booking.com depuis le 2 janv. 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
La Maison de Vacances,https://www.booking.com/hotel/fr/la-maison-de-vacances.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,5",17 expériences vécues,Nothalten,"9 rue de la Ferme, 67680 Nothalten, France",48.35602535,7.41966145,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Maison de Vacances ! Connectez-vous pour économiser.
La Maison de Vacances est un gîte indépendant situé sur les collines de Nothalten, au milieu des vignobles alsaciens. Il dispose d'une terrasse couverte avec vue sur le village et d'une connexion Wi-Fi gratuite. Selestat est à 13 km.
Le gîte dispose d'un salon avec poutres apparentes, d'une télévision et d'un lecteur DVD. La salle de bains est pourvue d'une douche et d'un sèche-cheveux. La Maison de Vacances comprend également une cuisine entièrement équipée avec grille-pain, four micro-ondes, bouilloire électrique et ustensiles de cuisine.
Si vous voyagez en voiture, un parking privé gratuit est disponible sur place et l'autoroute A35 se trouve à 5 km du gîte. Strasbourg se trouve à 40 km.
L'établissement La Maison de Vacances accueille des clients Booking.com depuis le 27 sept. 2013."
Villa Maeva - Logements,https://www.booking.com/hotel/fr/riquewihr-magnifique-appartement-de-120-m2.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aom60Z0GwAIB0gIkZmViN2E1M2MtYjk0Zi00M2E3LTg3NTAtN2Q2YTY1MTE0NGVk2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8ab0768a98a8007d&srepoch=1672764694&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,4",68 expériences vécues,Riquewihr,"13 Avenue Jacques Preiss, 68340 Riquewihr, France",48.16600400,7.30094200,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Villa Maeva - Logements ! Connectez-vous pour économiser.
Située au milieu des vignobles alsaciens et des sentiers de randonnée à Riquewihr, la Villa Maeva - Logements propose un hébergement indépendant avec une connexion Wi-Fi gratuite et un coin salon avec une télévision à écran plat.
L'établissement propose 2 appartements dans un bâtiment entièrement rénové datant de la fin du XIXe siècle, avec un parking privé et sécurisé.
Tous les logements comprennent un lave-vaisselle, un four, une machine à café, un micro-ondes et une bouilloire. La cuisine est équipée d'un grille-pain et d'un réfrigérateur.
L'aéroport international de Strasbourg, le plus proche, est implanté à 63 km.
L'établissement Villa Maeva - Logements accueille des clients Booking.com depuis le 22 sept. 2018."
