name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Logement de charme - Saint-Malo intramuros,https://www.booking.com/hotel/fr/logement-de-charme-saint-malo-intramuros.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from=searchresults#hotelTmpl,"8,2",8 expériences vécues,"Intra muros, Saint-Malo","Rue du point du jour, 7, Intra muros, 35400 Saint-Malo, France",48.64849290,-2.02695690,"Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Le Logement de charme - Saint-Malo intramuros propose un hébergement avec connexion Wi-Fi gratuite à Saint-Malo, à 100 mètres de la plage de Bon Secours, à 200 mètres de la plage de Mole et à 350 mètres de celle d'Eventail. Il se trouve à 700 mètres du palais du Grand Large et du terminal ferry du Naye.
Cet appartement comprend 3 chambres, une télévision, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un lave-vaisselle et d'un micro-ondes.
Vous séjournerez à proximité du ferry Cale de Dinan, du Grand Bé et du casino Barrière Saint-Malo. L'aéroport le plus proche, celui de Saint-Malo-Dinard-Pleurtuit, est situé à 8 km.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
L'établissement Logement de charme - Saint-Malo intramuros accueille des clients Booking.com depuis le 17 févr. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Résidence Neptunia,https://www.booking.com/hotel/fr/residence-neptunia.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from=searchresults#hotelTmpl,"8,8",96 expériences vécues,"Sillon, Saint-Malo","100 Bd Hebert - Grande Plage du Sillon, Sillon, 35400 Saint-Malo, France",48.65770146,-1.99967265,"La Résidence Neptunia propose des appartements équipés à Saint-Malo, à 50 mètres de la plage. Vous bénéficiez de l'accès direct aux Thermes Marins et vous serez à 1 km de la célèbre cité corsaire.
Les studios fonctionnels de la Résidence Neptunia sont équipées d'une salle de bains privative et d'une télévision. Vous aurez accès à la piscine d'eau de mer chauffée, au sauna et au hammam des Thermes Marins.
Le Neptunia possède 2 restaurants, dont un gastronomique et un autre qui sert une cuisine française traditionnelle. Vous pourrez vous détendre avec un verre au bar et prendre vos repas sur la terrasse par beau temps.
La Résidence Neptunia comporte une salle de sport, une réception ouverte 24h/24 et une connexion Wi-Fi gratuite dans les studios.
Le port de Saint-Malo est à 1 km, tandis que la vieille ville et la cathédrale sont situés à 2 km de l'hôtel.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Résidence Neptunia accueille des clients Booking.com depuis le 9 juil. 2010."
La Cordee by Cocoonr,https://www.booking.com/hotel/fr/la-cordee-saint-malo.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from=searchresults#hotelTmpl,"9,0",30 expériences vécues,"Intra muros, Saint-Malo","7 Rue de la Pie qui Boit, Intra muros, 35400 Saint-Malo, France",48.64795607,-2.02716374,"Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans le centre de Saint-Malo, à 200 mètres de la plage de Bon Secours et à 300 mètres de celle de Mole, l'établissement La Cordee by Cocoonr propose une connexion Wi-Fi gratuite. Cet appartement se trouve à moins de 1 km du casino Barrière Saint-Malo et à 16 minutes à pied du fort national.
Cet appartement comprend 2 chambres, un salon, une cuisine entièrement équipée avec un four et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité de la plage d'Eventail, du Grand Bé et du Palais du Grand Large. L'aéroport de Jersey, le plus proche, est implanté à 71 km.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
L'établissement La Cordee by Cocoonr accueille des clients Booking.com depuis le 31 oct. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hôtel de France et Chateaubriand,https://www.booking.com/hotel/fr/de-france-et-chateaubriand.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from=searchresults#hotelTmpl,"7,7",2 179 expériences vécues,"Intra muros, Saint-Malo","Place Chateaubriand Bp 77, Intra muros, 35400 Saint-Malo, France",48.65119340,-2.02379644,"Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel de France et Chateaubriand ! Connectez-vous pour économiser.
Situé au cœur de la ville historique de Saint-Malo, l’Hôtel de France et Chateaubriand offre une vue imprenable sur la mer et le sillon, à 210 mètres du port de plaisance de Saint-Malo.
Les chambres confortables de l’Hôtel de France et Chateaubriand présentent un décor raffiné.
Le restaurant sert des fruits de mer préparés de façon traditionnelle et des spécialités régionales.
Sa façade, unique dans la ville de Saint-Malo, et la présence du lieu de naissance de Chateaubriand, en font un bâtiment historique.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hôtel de France et Chateaubriand accueille des clients Booking.com depuis le 10 déc. 2009."
La Maison des Armateurs,https://www.booking.com/hotel/fr/la-maison-des-armateurs.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from=searchresults#hotelTmpl,"8,5",1 213 expériences vécues,"Intra muros, Saint-Malo","6, Grand Rue, Intra muros, 35400 Saint-Malo, France",48.64920520,-2.02463329,"Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans le centre historique de Saint-Malo, l’établissement La Maison des Armateurs vous accueille à 5 minutes à pied de la cathédrale et à 120 mètres du port de plaisance. Cet hôtel 4 étoiles propose une connexion Wi-Fi gratuite, un bar sur place et des journaux quotidiens.
Ses chambres disposent d'un minibar et d'une télévision par satellite à écran plat. Climatisées, elles comprennent également une armoire. Leur salle de bains privative est pourvue d'articles de toilette gratuits.
Un petit-déjeuner continental ou américain vous sera servi tous les matins dans la salle prévue à cet effet. Vous pourrez aussi le déguster dans le confort de votre chambre.
L'hôtel possède une réception ouverte 24h/24 avec une bagagerie. Un service de navette depuis et vers le Mont-Saint-Michel est disponible moyennant des frais supplémentaires. Vous séjournerez à 13 km de l'aéroport de Pleurtuit et à 800 mètres de la gare de Saint-Malo.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement La Maison des Armateurs accueille des clients Booking.com depuis le 14 févr. 2012."
Hotel De L'univers,https://www.booking.com/hotel/fr/de-l-univers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from=searchresults#hotelTmpl,"8,0",2 211 expériences vécues,"Intra muros, Saint-Malo","12 Place Chateaubriand, Intra muros, 35400 Saint-Malo, France",48.65104101,-2.02372670,"Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'Hotel De L'univers est installé dans la ville fortifiée de Saint-Malo, en Bretagne, à quelques pas du port ferry et de la gare. Pourvu d'une connexion Wi-Fi gratuite, l'établissement est à 400 mètres du port de plaisance de Saint-Malo.
Les chambres sont confortables et munies d'une télévision, d'un téléphone, ainsi que d'une salle de bains privative.
Le personnel serviable assurera des services personnalisés et vous fournira des conseils sur la région.
Donnant sur la place principale, l'Hotel De L'univers se trouve directement devant le château, à proximité de la mer. À partir de là, vous pourrez explorer facilement la ville historique, à pied.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Hotel De L'univers accueille des clients Booking.com depuis le 2 mars 2007."
Hôtel Cartier,https://www.booking.com/hotel/fr/cartier.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,4",1 686 expériences vécues,"Intra muros, Saint-Malo","1, Rue de la Corne de Cerf, Intra muros, 35400 Saint-Malo, France",48.65001325,-2.02483177,"Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Cartier ! Connectez-vous pour économiser.
Situé au sein des murs fortifiés de Saint-Malo, l'Hôtel Cartier vous accueille à seulement 280 mètres du port de plaisance ainsi qu'à 500 mètres de la plage et de la Manche. Affichant une décoration moderne, il propose des chambres équipées de la climatisation et d'une connexion Internet gratuite.
Toutes les chambres sont insonorisées et revêtues de moquette. Elles comprennent une salle de bains privative et une télévision par satellite à écran plat avec la chaîne Canal+.
Un petit-déjeuner buffet est servi tous les matins dans la salle prévu à cet effet. Vous pourrez également le déguster dans l'intimité de votre chambre.
La cathédrale est à 120 mètres de l'hôtel, tandis que la gare de Saint-Malo est à 5 minutes en voiture.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hôtel Cartier accueille des clients Booking.com depuis le 4 avr. 2007."
Residence Reine Marine,https://www.booking.com/hotel/fr/residence-reine-marine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from=searchresults#hotelTmpl,"8,3",946 expériences vécues,Saint-Malo,"65/67 Avenue John Fitzgerald Kennedy, 35400 Saint-Malo, France",48.66913503,-1.98354185,"Située sur la plage la résidence vous offre un panorama exceptionnel sur la baie de saint-malo. Cette résidence 4 étoiles propose 67 appartements de grand confort pouvant accueillir de 2 à 6 personnes, entièrement équipés et décorés avec raffinement.
Piscine couverte et chauffée, hammam, parking gratuit, accès direct à la plage, à quelques minutes du centre de thalasso & Spa des Thermes Marins, du golf, du Mont Saint Michel et de toutes activités nautiques à proximité.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Residence Reine Marine accueille des clients Booking.com depuis le 25 juin 2008."
Oceania Saint Malo,https://www.booking.com/hotel/fr/oceaniasaintmalo.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",1 807 expériences vécues,"Sillon, Saint-Malo","Chaussée du sillon, Sillon, 35400 Saint-Malo, France",48.65175689,-2.01843202,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Oceania Saint Malo ! Connectez-vous pour économiser.
Donnant sur la mer, l'Oceania Saint Malo se situe sur la Chaussée du Sillon, en face de la plage du même nom et à 450 mètres du port de plaisance de Saint-Malo. Il propose des chambres luxueuses et un accès gratuit au spa et à la piscine.
Les logements disposent de la climatisation et de parquet. Ils sont également dotés d'une télévision à écran plat, d'une connexion Wi-Fi gratuite et d'une salle de bains spacieuse.
Vous profiterez d'une terrasse offrant une vue panoramique sur la mer. Le jacuzzi à ciel ouvert vous attend sur la terrasse. La salle de sport est dotée d'équipements ultramodernes. Des massages sont dispensés moyennant des frais supplémentaires.
Le bar-salon de l'Oceania Saint Malo sert différents cocktails ou boissons et accueille des réceptions privées. Il prépare un menu pour le dîner. Tous les matins, vous pourrez déguster un petit-déjeuner sur place.
L'Oceania se trouve à 1,5 km de la gare de Saint-Malo et à 7 km de l'aéroport Dinard Bretagne. Un parking est disponible sur place. Le personnel de la réception parle français, anglais, espagnol et allemand.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Oceania Saint Malo accueille des clients Booking.com depuis le 14 déc. 2005."
Hôtel Le Nautilus,https://www.booking.com/hotel/fr/le-nautilus.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AoaD0Z0GwAIB0gIkMGYzYmRlOTctMDdhMC00M2RiLTgyODEtZmY5NGNlY2RmYzRi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=527168c993190094&srepoch=1672757653&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1",754 expériences vécues,"Intra muros, Saint-Malo","9, rue de la corne de cerf, Intra muros, 35400 Saint-Malo, France",48.65072706,-2.02494547,"Saint-Malo - séjournez au cœur de la ville – Excellent emplacement - voir la carte
L'Hôtel Le Nautilus occupe un bâtiment rénové du XVIIe siècle situé dans la ville fortifiée de Saint-Malo. Cet hôtel propose un bar, une bagagerie et un salon commun. L'établissement se trouve à 2 minutes à pied de la cathédrale Saint-Vincent et à 50 mètres de la plage. L'établissement propose gratuitement 4 vélos néerlandais, sous réserve de disponibilité.
Toutes les chambres insonorisées disposent d'un bureau et d'une télévision par satellite. La salle de bains privative est pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits. Le linge de lit a été surclassé pour un sommeil de qualité 5 étoiles.
L'Hôtel Le Nautilus se trouve à 300 mètres du port de plaisance de Saint-Malo et à 50 mètres de plusieurs restaurants. L'aéroport de Rennes est à 80 km et une connexion Wi-Fi est disponible gratuitement.
C'est le quartier préféré des voyageurs visitant Saint-Malo, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Hôtel Le Nautilus accueille des clients Booking.com depuis le 17 mars 2015."
