name,link,review_score,review_count,area,address,coordinates_gps,description
Villa Lara Hotel,https://www.booking.com/hotel/fr/villa-lara-ha-tel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from=searchresults#hotelTmpl,"9,6",103 expériences vécues,Bayeux,"6, Place du Québec, 14400 Bayeux, France","-0.728551766881322,49.2575534415141,-0.673377194395686,49.2934842746603","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Villa Lara Hotel
La Villa Lara Hotel est un petit boutique hôtel de luxe situé dans le centre historique de Bayeux, en face de la cathédrale du XIe siècle et à seulement 2 minutes à pied de la Tapisserie de Bayeux.
Luxueux, les hébergements sont pourvus d'un mobilier d'époque, d'une télévision à écran plat et d'un minibar. Ils sont décorés suivant une palette de couleurs neutres personnalisées, avec des étoffes imprimées. Chacun d'entre eux comporte une salle de bains privative avec un sol en marbre, des peignoirs et des chaussons.
Un petit-déjeuner buffet, composé de pâtisseries fraîches et de café, est servi chaque matin dans la salle à manger. Vous pourrez également vous détendre au bar de style empire avant de dîner dans les restaurants voisins.
Sur place, un parking privé est disponible gratuitement. La plage d'Omaha se trouve à 10 km de l'hôtel. Vous pourrez facilement accéder à l'établissement depuis la gare SNCF de Bayeux, installée à moins de 1 km. La connexion Wi-Fi est gratuite dans l'ensemble des locaux.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10,0 pour un séjour à deux.
L'établissement Villa Lara Hotel accueille des clients Booking.com depuis le 12 août 2011."
LE LAVOIR Classé 5***** BAYEUX Centre 9 Personnes,https://www.booking.com/hotel/fr/le-lavoir-classe-5-bayeux-centre-9-personnes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,10,1 expérience vécue,Bayeux,"13 Rue de l'Abreuvoir, 14400 Bayeux, France","-0.728593421099553,49.2552912834269,-0.673421378900447,49.2912221165731","Profitez des services haut de gamme de l'établissement LE LAVOIR Classé 5***** BAYEUX Centre 9 Personnes
Situé à Bayeux, à 200 mètres du musée de la Tapisserie de Bayeux et à 500 mètres du musée Baron Gérard, l'établissement LE LAVOIR Classé 5***** BAYEUX Centre 9 Personnes dispose d'un jardin et de la climatisation. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.
La villa comprend 4 chambres, 4 salles de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la rivière. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.
Cette villa 5 étoiles possède un jacuzzi. Vous pourrez faire de la randonnée dans les environs.
Vous séjournerez à moins de 1 km de la cathédrale Notre-Dame de Bayeux et à 8,9 km de la batterie allemande du débarquement. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 29 km.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
L'établissement LE LAVOIR Classé 5***** BAYEUX Centre 9 Personnes accueille des clients Booking.com depuis le 3 juil. 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Clos de Bellefontaine B&B,https://www.booking.com/hotel/fr/chambres-d-ha-tes-clos-de-bellefontaine-bayeux.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from=searchresults#hotelTmpl,"9,7",122 expériences vécues,Bayeux,"6 rue Bellefontaine, 14400 Bayeux, France","-0.722446807944879,49.2547062184913,-0.667275420105353,49.2906370516375","Le Clos de Bellefontaine occupe une maison du XIXe siècle dans un parc de 2 000 m², située à seulement 200 mètres du musée de la Tapisserie de Bayeux et à 6 km d'Omaha Beach. Vous pourrez admirer la vue sur le jardin depuis votre élégante chambre.
Toutes les chambres du Clos de Bellefontaine comprennent un bureau, une armoire et une salle de bains privative. Vous disposerez aussi d'un plateau/bouilloire dans le salon commun.
Chaque matin, vous dégusterez un petit-déjeuner servi dans la salle à manger ou sur la terrasse orientée plein sud. De plus, vous profiterez gratuitement d'une connexion Wi-Fi dans les parties communes et d'un ordinateur portable dans le salon.
Sur place, vous bénéficierez d'un parking privé gratuit, tandis que vous trouverez un service de location de vélos à proximité. Enfin, vous rejoindrez le centre de Bayeux et la gare à 5 minutes à pied du Clos de Bellefontaine.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Clos de Bellefontaine B&B accueille des clients Booking.com depuis le 21 mars 2012."
"Hôtel particulier ""le clos de la croix""",https://www.booking.com/hotel/fr/particulier-quot-le-clos-de-la-croix-quot.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,8",118 expériences vécues,Bayeux,"16 Rue des Bouchers, 14400 Bayeux, France","-0.729265653901201,49.2599985834269,-0.674088346098799,49.2959294165731","Situé à Bayeux, l'Hôtel particulier ""le clos de la croix"" propose une connexion Wi-Fi gratuite, un jardin, un salon commun et une terrasse.
Leur salle de bains privative est pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits.
Ce Bed & Breakfast sert un petit-déjeuner continental tous les matins.
Vous séjournerez à proximité du musée Baron-Gérard, de la cathédrale Notre-Dame de Bayeux et du musée de la tapisserie de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 28 km.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement Hôtel particulier ""le clos de la croix"" accueille des clients Booking.com depuis le 21 mars 2018."
Château de Bellefontaine,https://www.booking.com/hotel/fr/chateau-de-bellefontaine.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from=searchresults#hotelTmpl,"8,1",1 206 expériences vécues,Bayeux,"49, Rue de Bellefontaine, 14400 Bayeux, France","-0.716423609573616,49.2517748245738,-0.661255499999749,49.28770565772","À 800 mètres du centre de Bayeux et de sa cathédrale, l'établissement Château de Bellefontaine est un manoir du XVIIIe siècle proposant des chambres et un restaurant traditionnel ouvert pour le dîner sur réservation. Comptant des arbres vieux de 200 ans, le parc comporte un court de tennis et un étang.
Chaque chambre décorée individuellement dispose d'un minibar, d'une connexion Wi-Fi gratuite et d'une télévision à écran plat. Les salles de bains comprennent un sèche-cheveux, des articles de toilette gratuits et une baignoire ou une douche. Certaines possèdent un coin salon.
Vous aurez l'occasion de savourer un petit-déjeuner buffet tous les matins. Un petit-déjeuner continental pourra également être servi dans votre chambre à un tarif réduit. Après le petit-déjeuner, vous aurez la possibilité d'utiliser l'ordinateur du salon, qui bénéficie d'une connexion Internet. Le salon comporte également une cheminée.
La gare de Bayeux se trouve à 1 km. Le parking sur place est gratuit.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,6 pour un séjour à deux.
L'établissement Château de Bellefontaine accueille des clients Booking.com depuis le 16 avr. 2007.
Chaîne hôtelière/marque: les Collectionneurs"
L'AURE BLEUE,https://www.booking.com/hotel/fr/l-39-aure-bleue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from=searchresults#hotelTmpl,"9,0",54 expériences vécues,Bayeux,"25 Rue des Teinturiers, 14400 Bayeux, France","-0.726872259885182,49.2592941834269,-0.671695740114886,49.2952250165731","Situé à Bayeux, à 300 mètres du musée Baron Gérard et à 400 mètres de celui de la tapisserie, l'appartement L'AURE BLEUE se trouve dans un ancien manoir. Un parking public est accessible gratuitement à proximité.
Cet hébergement dispose d'une cuisine entièrement équipée avec un lave-vaisselle, un lave-linge et un four. Le salon est doté d'une télévision à écran plat.
Dans la région, vous pourrez pratiquer diverses activités, notamment la pêche ainsi que l'équitation. Par ailleurs, l'établissement L'AURE BLEUE vous accueille à 500 mètres de la cathédrale Notre-Dame de Bayeux et à 1 km du musée de la bataille de Normandie. L'aéroport le plus proche est celui de Caen-Carpiquet, situé à 23 km.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 10 pour un séjour à deux.
L'établissement L'AURE BLEUE accueille des clients Booking.com depuis le 27 août 2017."
Grand Hôtel du Luxembourg,https://www.booking.com/hotel/fr/hotelduluxembourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7",872 expériences vécues,Bayeux,"25 Rue Des Bouchers, 14400 Bayeux, France","-0.730885571425587,49.2604564947824,-0.675707751328319,49.2963873279286","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Grand Hôtel du Luxembourg ! Connectez-vous pour économiser.
Occupant une demeure de caractère du XVIIe siècle, le Grand Hôtel du Luxembourg a été converti en un charmant hôtel doté d’un restaurant gastronomique et d’une piscine extérieure chauffée ouverte toute l’année. L’établissement bénéficie d’un emplacement idéal dans le centre de Bayeux, à proximité du musée de la tapisserie.
Les chambres du Grand Hôtel Le Luxembourg et La Table du Grand Luxembourg sont confortables et bien équipées avec des installations modernes, dont une télévision par satellite.
Le restaurant gastronomique La Table du Grand Luxembourg sert une cuisine française traditionnelle.
Un nombre limité de places de stationnement payantes est disponible.
C'est le quartier préféré des voyageurs visitant Bayeux, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Grand Hôtel du Luxembourg accueille des clients Booking.com depuis le 2 juil. 2010."
Novotel Bayeux,https://www.booking.com/hotel/fr/novotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,6",621 expériences vécues,Bayeux,"117 Rue Saint Patrice, 14400 Bayeux, France","-0.746079475909947,49.2638038058172,-0.690897910564663,49.2997346389634","Le Novotel Bayeux est situé entre Caen et Cherbourg, en Normandie. Il est à 1 km seulement de la célèbre Tapisserie de Bayeux et du centre historique de la ville.
Modernes et confortables, les chambres sont équipées d'une salle de bains privative contemporaine, d'une connexion Wi-Fi et de la climatisation.
L'hôtel propose un restaurant, un bar, un parking, une piscine et un jardin. Les clients peuvent utiliser l'espace affaires dans le hall d'accueil, comprenant un accès Internet gratuit.
Deux enfants maximum (jusqu'à 15 ans) peuvent séjourner gratuitement en partageant 1 chambre avec leurs parents.
Le Novotel Bayeux est situé à proximité des plages du débarquement.
L'établissement Novotel Bayeux accueille des clients Booking.com depuis le 7 juil. 2009.
Chaîne hôtelière/marque: Novotel"
LOGIS DU GRAND PIN,https://www.booking.com/hotel/fr/logis-du-grand-pin.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from=searchresults#hotelTmpl,"9,5",312 expériences vécues,Bayeux,"14 Rue des Brunelles, 14400 Bayeux, France","-0.697421842770917,49.2340381834269,-0.642273557229083,49.2699690165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement LOGIS DU GRAND PIN ! Connectez-vous pour économiser.
Offrant une vue sur le jardin, le LOGIS DU GRAND PIN est situé à Bayeux, à 4,1 km du musée de la Tapisserie de Bayeux. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé.
Tous les logements comprennent un coin salon, une télévision à écran plat, un lave-linge ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Un micro-ondes, un réfrigérateur, un four, une bouilloire et une machine à café sont également fournis.
Vous pourrez profiter d'un jacuzzi et d'un sauna.
Vous pourrez également vous détendre dans le jardin.
Le LOGIS DU GRAND PIN se trouve à 5,7 km du musée Baron Gérard et à 5,9 km de la cathédrale Notre-Dame de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 26 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement LOGIS DU GRAND PIN accueille des clients Booking.com depuis le 1 juin 2019.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Le Chat Qui Veille,https://www.booking.com/hotel/fr/gite-6-47-9-personnes-bayeux.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aoqgx50GwAIB0gIkODAwZjNiMTItNWU4ZS00YjdhLWExY2MtYTg2YjZkY2NlNmZm2AIG4AIB&sid=4d2c13d467355e7322bd5b78b487d4a4&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class&srpvid=0e59818cbb25020a&srepoch=1672597544&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,7",26 expériences vécues,Bayeux,"26 Rue de Port en Bessin, 14400 Bayeux, France","-0.742143390100879,49.2666765834269,-0.686958609899121,49.3026074165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Chat Qui Veille ! Connectez-vous pour économiser.
Situé à 1 km de la cathédrale Notre-Dame de Bayeux, Situé à Bayeux, l'établissement Le Chat Qui Veille dispose d'un barbecue et d'un jardin. Offrant une vue sur le jardin, cette maison de vacances dispose d'une connexion Wi-Fi gratuite.
Cette maison de vacances comprend 3 chambres séparées, 2 salles de bains, une cuisine entièrement équipée avec un coin repas et un salon avec une télévision à écran plat.
Une aire de jeux pour enfants est présente. Une terrasse est disponible sur place et vous pourrez faire de la randonnée à proximité du Chat Qui Veille.
Le musée Baron Gérard se trouve à 1,4 km. L'aéroport de Caen-Carpiquet est situé à 27 km de l'établissement et est accessible par une navette gratuite.
L'établissement Le Chat Qui Veille accueille des clients Booking.com depuis le 7 sept. 2018."
