name,link,review_score,review_count,area,address,coordinates_gps,description
CLIMATISATION-Hypercentre-PARKING-COSY CARNOT-AVIGNONSMILE,https://www.booking.com/hotel/fr/hypercentre-cosy-carnot-avignonsmile.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from=searchresults#hotelTmpl,"8,6",55 expériences vécues,"Centre-ville d'Avignon, Avignon","46-48 Rue Carnot, 84000 Avignon, France","4.78583164669172,43.9312121497959,4.83583072387828,43.9671429829421","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement CLIMATISATION-Hypercentre-PARKING-COSY CARNOT-AVIGNONSMILE ! Connectez-vous pour économiser.
Situé dans le centre d'Avignon, à seulement 500 mètres du palais des Papes et à 1,1 km de la gare centrale, le CLIMATISATION-Hypercentre-PARKING-COSY CARNOT-AVIGNONSMILE propose un hébergement avec vue sur la ville et connexion Wi-Fi gratuite. Cet appartement se trouve à 5,8 km de la gare TGV d'Avignon et à 10 km du parc des expositions d'Avignon.
Cet appartement climatisé comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi qu'une salle de bains pourvue d'une douche et d'articles de toilette gratuits. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 39 km de l'amphithéâtre d'Arles et à 45 km du parc des expositions de Nîmes. L'aéroport le plus proche, celui d'Avignon-Provence, est situé à 10 km.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement CLIMATISATION-Hypercentre-PARKING-COSY CARNOT-AVIGNONSMILE accueille des clients Booking.com depuis le 16 oct. 2019."
Aux MARCHES DU PALAIS - SPACIEUX - LOGGIA,https://www.booking.com/hotel/fr/nouveau-aux-marches-du-palais-spacieux-loggia.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from=searchresults#hotelTmpl,"9,0",4 expériences vécues,"Centre-ville d'Avignon, Avignon","10 Rue Puits de la Reille, 84000 Avignon, France","4.78046215105038,43.9340895834269,4.83046364894962,43.9700204165731","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Aux MARCHES DU PALAIS - SPACIEUX - LOGGIA ! Connectez-vous pour économiser.
Idéalement situé dans le centre d'Avignon, l'établissement Aux MARCHES DU PALAIS - SPACIEUX - LOGGIA possède une terrasse. Vous séjournerez à 200 mètres du palais des Papes et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.
Cet appartement comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur la ville.
Vous pourrez profiter d'une terrasse sur place et faire de la randonnée dans les environs.
Vous séjournerez à 1,1 km de la gare centrale d'Avignon et à 4,6 km de la gare TGV d'Avignon. L'aéroport d'Avignon-Provence, le plus proche, est à 11 km.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
L'établissement Aux MARCHES DU PALAIS - SPACIEUX - LOGGIA accueille des clients Booking.com depuis le 18 juil. 2022."
Elegant 2br with 2 bathrooms and AC close to Les Halles dAvignon Welkeys,https://www.booking.com/hotel/fr/elegant-2br-with-2-bathrooms-and-ac-close-to-les-halles-davignon-welkeys.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from=searchresults#hotelTmpl,"8,4",9 expériences vécues,"Centre-ville d'Avignon, Avignon","19 Rue Florence, 84000 Avignon, France","4.78457289055969,43.9309050834269,4.83457170944031,43.9668359165731","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé au cœur d'Avignon, à proximité du palais des papes et de la gare centrale d'Avignon, l'Elegant 2br propose 2 salles de bains, la climatisation, une connexion Wi-Fi gratuite, des équipements ménagers tels qu'un lave-vaisselle et une machine à café. Offrant une vue sur la ville, il se trouve à 5,8 km de la gare TGV d'Avignon et à 11 km du parc des expositions d'Avignon.
L'appartement comprend 2 chambres, une cuisine avec réfrigérateur et four, ainsi que 2 salles de bains avec douche, articles de toilette gratuits et lave-linge. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 39 km de l'amphithéâtre d'Arles et à 45 km du parc des expositions de Nîmes. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 10 km de l'Elegant 2br with 2 bathrooms. La climatisation se trouve à proximité.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
L'établissement Elegant 2br with 2 bathrooms and AC close to Les Halles dAvignon Welkeys accueille des clients Booking.com depuis le 8 sept. 2020."
"Duplex climatisé-Hauteur sous plafond 1,9m-Parking privé gratuit-Netflix-Arrivée autonome !! Duplex-Ceiling height 1,9m-Free private parking-Netflix-Self check in",https://www.booking.com/hotel/fr/duplex-climatise-au-centre-ville-d-avignon-avec-parking-prive-gratuit.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,6",25 expériences vécues,"Centre-ville d'Avignon, Avignon","71 Rue Joseph Vernet, 84000 Avignon, France","4.77851338265116,43.9285461834269,4.82851021734884,43.9644770165731","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Duplex climatisé-Hauteur sous plafond 1,9m-Parking privé gratuit-Netflix-Arrivée autonome !! Duplex-Ceiling height 1,9m-Free private parking-Netflix-Self check in ! Connectez-vous pour économiser.
Doté d'un jacuzzi et offrant une vue sur la ville, le Duplex climatisé-Hauteur sous plafond 1,9m-Parking privé gratuit-Netflix-Arrivée autonome!! Duplex-Hauteur sous plafond 1,9m-Parking privé gratuit-Netflix-Self check in est situé dans le centre d'Avignon. Cet hébergement climatisé se trouve à 600 mètres de la gare centrale d'Avignon. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.
Cet appartement comprend une chambre, une télévision à écran plat, un coin salon et une salle de bains pourvue d'un bidet. Sa cuisine est équipée d'un réfrigérateur et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'un jacuzzi sur place.
Le palais des papes se trouve à 700 mètres du Duplex climatisé-Hauteur sous plafond 1,9m-Parking privé gratuit-Netflix-Arrivée autonome!! Duplex-Hauteur sous plafond 1,9m-Parking privé gratuit-Netflix-Self check in, tandis que la gare TGV d'Avignon est à 4,5 km. L'aéroport d'Avignon-Provence, le plus proche, est à 10 km.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,8 pour un séjour à deux.
L'établissement Duplex climatisé-Hauteur sous plafond 1,9m-Parking privé gratuit-Netflix-Arrivée autonome !! Duplex-Ceiling height 1,9m-Free private parking-Netflix-Self check in accueille des clients Booking.com depuis le 20 juil. 2022."
NOUVEAU - LE LIMAS - Quartier HISTORIQUE au COEUR d'AVIGNON,https://www.booking.com/hotel/fr/nouveau-le-limas-quartier-historique-au-coeur-d-avignon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from=searchresults#hotelTmpl,"8,8",4 expériences vécues,"Centre-ville d'Avignon, Avignon","58 Rue Limas, 84000 Avignon, France","4.77996687659717,43.9345042834269,4.82996872340283,43.9704351165731","Avignon - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement NOUVEAU - LE LIMAS - Quartier HISTORIQUE au COEUR d'AVIGNON ! Connectez-vous pour économiser.
Idéalement situé dans le centre d'Avignon, le NOUVEAU - LE LIMAS - Quartier HISTORIQUE au COEUR d'AVIGNON possède une terrasse. Doté d'une connexion Wi-Fi gratuite, cet appartement se trouve à 400 mètres du palais des Papes et à 1,2 km de la gare centrale d'Avignon.
Cet appartement comprend 2 chambres, une cuisine avec un réfrigérateur et un four, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 4,3 km de la gare TGV d'Avignon et à 11 km du parc des expositions d'Avignon. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 11 km. COEUR d'AVIGNON.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
L'établissement NOUVEAU - LE LIMAS - Quartier HISTORIQUE au COEUR d'AVIGNON accueille des clients Booking.com depuis le 25 mai 2022."
B&B Villa de Margot,https://www.booking.com/hotel/fr/villa-de-margot.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from=searchresults#hotelTmpl,"9,1",160 expériences vécues,"Centre-ville d'Avignon, Avignon","24 rue des Trois Colombes, 84000 Avignon, France","4.785141284539,43.9345307283262,4.83514315359424,43.9704615614724","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé à 300 mètres du pont d'Avignon, ce B&B se trouve à 6 minutes à pied du centre historique d'Avignon. Proposant un jardin et une terrasse, il dispose d'hébergements climatisés avec connexion Wi-Fi gratuite.
Toutes les chambres et suites sont décorées individuellement et dotées d'une salle de bains privative pourvue d'une douche. Toutes les chambres de la Villa de Margot comprennent une télévision à écran plat et certaines disposent d'un balcon.
Le matin, un petit-déjeuner continental est servi dans la salle du petit-déjeuner de la Villa de Margot. Des restaurants se trouvent à 4 minutes à pied.
La cathédrale d'Avignon, le palais des Papes et le petit palais sont à 5 minutes de marche du B&B. La gare TGV d'Avignon est à 7 km et la gare centrale est à 1,5 km.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement B&B Villa de Margot accueille des clients Booking.com depuis le 28 févr. 2012."
Charming 2br with AC a stone's throw from Les Halles d'Avignon Welkeys,https://www.booking.com/hotel/fr/charming-2br-with-ac-a-stone-39-s-throw-from-les-halles-d-39-avignon-welkeys.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from=searchresults#hotelTmpl,"8,5",4 expériences vécues,"Centre-ville d'Avignon, Avignon","24 Rue de la Bonneterie, 84000 Avignon, France","4.78353825652845,43.9297971834269,4.83353614347155,43.9657280165731","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé au cœur d'Avignon, à proximité du palais des papes et de la gare centrale d'Avignon, le Charming 2br with AC se trouve à quelques pas des Halles d'Avignon Welkeys. Il propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'un lave-vaisselle et une machine à café. Offrant une vue sur la ville, il se trouve à 5 km de la gare TGV d'Avignon et à 11 km du parc des expositions d'Avignon.
L'appartement comprend 2 chambres, une cuisine avec réfrigérateur et four, ainsi qu'une salle de bains avec douche, articles de toilette gratuits et lave-linge. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à 38 km de l'amphithéâtre d'Arles et à 44 km du parc des expositions de Nîmes. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 10 km.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
L'établissement Charming 2br with AC a stone's throw from Les Halles d'Avignon Welkeys accueille des clients Booking.com depuis le 27 août 2020."
Régina Boutique Hotel,https://www.booking.com/hotel/fr/hotelreginaavignon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4",1 533 expériences vécues,"Centre-ville d'Avignon, Avignon","6, Rue de la République, 84000 Avignon, France","4.78076574090471,43.9302003841932,4.83076396700392,43.9661312173394","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Régina Boutique Hotel ! Connectez-vous pour économiser.
Le Régina Boutique Hotel est situé dans la rue principale d'Avignon, à seulement 5 minutes à pied du Palais des Papes.
Décorées dans des tons chauds, les chambres sont pourvues d'une télévision par satellite à écran plat avec les chaînes du bouquet Canal+ et d'un téléphone. Une connexion Wi-Fi est disponible gratuitement. Certains hébergements comprennent un balcon. Leur salle de bains privative est dotée d'une baignoire ou d'une douche.
Un petit-déjeuner buffet est servi chaque matin dans la salle à manger.
Vous pourrez acheter des produits locaux sur place, comme des confitures, de l'huile d'olive et des biscuits.
En outre, l'hôtel propose une réception ouverte 24h/24 et un ascenseur desservant la plupart des chambres. La gare d'Avignon se trouve à 10 minutes à pied.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Régina Boutique Hotel accueille des clients Booking.com depuis le 20 mars 2005."
Hôtel Le Bristol,https://www.booking.com/hotel/fr/hotel-bristol-avignon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from=searchresults#hotelTmpl,"7,9",3 581 expériences vécues,"Centre-ville d'Avignon, Avignon","44 Cours Jean Jaurès, 84000 Avignon, France","4.78033430251998,43.9260667112416,4.83032905187684,43.9619975443878","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Bristol ! Connectez-vous pour économiser.
Idéalement situé à l’intérieur des remparts du centre d’Avignon, l’Hôtel Le Bristol vous propose des chambres climatisées, un bar, une connexion Wi-Fi gratuite et un salon commun. Il assure un service de concierge. La réception est ouverte 24h/24.
À seulement 15 minutes à pied du Palais des Papes, les chambres comprennent un bureau, une télévision à écran plat et une salle de bains privative.
Vous pourrez savourer un petit-déjeuner buffet sur place.
L’aéroport d'Avignon-Provence, le plus proche de l’Hôtel Le Bristol, se trouve à 9 km.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hôtel Le Bristol accueille des clients Booking.com depuis le 6 août 2005."
Magnifique duplex vue Palais des Papes près de Pont d'Avignon,https://www.booking.com/hotel/fr/magnifique-duplex-vue-palais-des-papes-pres-de-pont-d-39-avignon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4AqiUy50GwAIB0gIkMzQ2ZmFjMTQtMGU1Zi00MmE5LTliOTQtZGU5MGZjMjVlYjhi2AIG4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b42555d9abe3016f&srepoch=1672661556&from=searchresults#hotelTmpl,"9,0",43 expériences vécues,"Centre-ville d'Avignon, Avignon","22 RUE FERRUCE , 84000 Avignon, France","4.78036964812116,43.9348096834269,4.83037175187884,43.9707405165731","Avignon - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Magnifique duplex vue Palais des Papes près de Pont d'Avignon ! Connectez-vous pour économiser.
Idéalement situé dans le centre d'Avignon, le Magnifique duplex vue Palais des Papes près de Pont d'Avignon offre une vue sur la ville et dispose d'un salon commun ainsi que d'une terrasse. Situé à 300 mètres du palais des papes, il dispose d'une connexion Wi-Fi gratuite et d'une cuisine commune.
Cet appartement climatisé comprend 3 chambres, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café ainsi que 2 salles de bains pourvues d'une douche et d'un sèche-cheveux. Il dispose également d'une télévision par satellite à écran plat ainsi que de lecteurs Blu-ray, DVD et CD.
Vous séjournerez à 1,2 km de la gare centrale et à 4,6 km de la gare TGV d'Avignon. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 10 km. vue Palais des Papes près de Pont d'Avignon.
C'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.
L'établissement Magnifique duplex vue Palais des Papes près de Pont d'Avignon accueille des clients Booking.com depuis le 16 mai 2019."
