name,link,review_score,review_count,area,address,hotel_latitude,hotel_longitude,description
Moxy Lille City,https://www.booking.com/hotel/fr/moxy-lille-city-center-france.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6",3 579 expériences vécues,"Centre de Lille, Lille","3, Rue Jean Bart, Centre de Lille, 59000 Lille, France",50.62783100,3.06359200,"Lille - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Bénéficiant d’un emplacement idéal dans le centre de Lille, le Moxy Lille City propose des chambres climatisées, une salle de sport, une connexion Wi-Fi gratuite et une terrasse. Cet hôtel 3 étoiles possède une bagagerie et une réception ouverte 24h/24. Un parking privé est disponible sur place.
Tous les logements disposent d’une télévision à écran plat. Leur salle de bains privative est pourvue d’une douche, d’un sèche-cheveux et d’articles de toilette gratuits.
Un petit-déjeuner buffet est proposé tous les jours au Moxy Lille City.
L’établissement se trouve à proximité de sites d’intérêt tels que la maison Coilliot, le grand magasin Printemps et l’Hospice Gantois. L’aéroport le plus proche, celui de Lille-Lesquin, est situé à 7 km du Moxy Lille City.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Moxy Lille City accueille des clients Booking.com depuis le 24 janv. 2020.
Chaîne hôtelière/marque: Moxy Hotels
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Hotel Lille Europe,https://www.booking.com/hotel/fr/lille-europe.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from=searchresults#hotelTmpl,"7,9",4 832 expériences vécues,"Centre de Lille, Lille","avenue Le Corbusier, Centre de Lille, 59777 Lille, France",50.63788756,3.07268500,"Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Lille Europe ! Connectez-vous pour économiser.
L'Hotel Lille Europe est un établissement 3 étoiles situé au cœur du quartier des affaires international, à seulement 250 mètres de la gare de Lille-Flandres et à 17 minutes de route du stade Pierre-Mauroy. Il propose une réception ouverte 24h/24 et une connexion Internet gratuite.
Présentant une décoration colorée, les chambres sont insonorisées et disposent d'une télévision par câble. Leur salle de bains privative est pourvue d'un sèche-cheveux. Toutes les chambres sont desservies par un ascenseur.
Un petit-déjeuner buffet est servi tous les matins dans la salle prévue à cet effet. Cette dernière est dotée d'un micro-ondes et d'une vue panoramique sur les environs.
L'établissement est accessible par l'autoroute N356. Vous séjournerez à 750 mètres de l'Opéra de Lille, à 10 minutes de marche de la cathédrale Notre-Dame-de-la-Treille, à 1,1 km du centre de conventions Nouveau Siècle et à 1,3 km du Grand Palais. Un parking privé sur place est disponible uniquement sur demande.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.
L'établissement Hotel Lille Europe accueille des clients Booking.com depuis le 15 juil. 2008."
"Holiday Inn Express Lille Centre, an IHG Hotel",https://www.booking.com/hotel/fr/expressbyholidayinnlille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from=searchresults#hotelTmpl,"7,9",3 508 expériences vécues,"Centre de Lille, Lille","75 Bis Rue Leon Gambetta, Centre de Lille, 59000 Lille, France",50.63075938,3.05808842,"Lille - séjournez au cœur de la ville – Très bon emplacement - voir la carte
L'Holiday Inn Express Lille Centre est situé dans le centre de Lille, à 350 mètres du Palais des Beaux Arts et à 9 km du stade Pierre Mauroy. Vous séjournerez à 900 mètres du centre de conventions Le Nouveau Siècle et à 2 km de Lille Grand Palais.
Les chambres de l'Holiday Inn Express Lille Centre sont équipées d'une télévision à écran plat, d'un téléphone, d'un sèche-cheveux et d'un plateau/bouilloire. Elles sont toutes desservies par un ascenseur. Vous bénéficierez gratuitement d'une connexion Wi-Fi.
Un petit-déjeuner buffet est servi tous les matins.
L'Holiday Inn Express Lille Centre propose une réception ouverte 24h/24, un parking souterrain sécurisé (sous réserve de disponibilité), une salle de réunion et un service de nettoyage à sec.
La station de métro la plus proche est celle de République Beaux Arts, qui vous permettra d'accéder directement aux gares Lille Europe et Lille Flandres. L'hôtel se trouve à 800 mètres de la grand-place et à 1,5 km de la citadelle de Lille.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Holiday Inn Express Lille Centre, an IHG Hotel accueille des clients Booking.com depuis le 5 janv. 2010.
Chaîne hôtelière/marque: Holiday Inn Express"
Welkeys - Vauban Apartment,https://www.booking.com/hotel/fr/welkeys-vauban.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from=searchresults#hotelTmpl,"7,0",4 expériences vécues,"Vauban, Lille","59 boulevard Vauban, Vauban, 59800 Lille, France",50.63270100,3.04716200,"Le Welkeys - Vauban Apartment est installé à Lille, à seulement 600 mètres du zoo et à 800 mètres de la célèbre braderie de la ville. Il vous accueille également à 1 km du grand magasin Printemps et à environ la même distance de la maison Coilliot.
Cet appartement comporte une télévision à écran plat, un coin salon et une salle de bains munie d'une baignoire. Sa cuisine est pourvue d'un four et d'un lave-vaisselle.
Les lieux d'intérêt les plus prisés à proximité du Welkeys - Vauban Apartment incluent la Grand'Place, le quartier du Vieux-Lille et l'Opéra de Lille. Enfin, vous rejoindrez l'aéroport de Lille à 8 km.
L'établissement Welkeys - Vauban Apartment accueille des clients Booking.com depuis le 5 juin 2018."
NOCNOC - La Villa Cachee,https://www.booking.com/hotel/fr/la-villa-cachee-prox-gare-lille-flandre-metro.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from=searchresults#hotelTmpl,"6,7",6 expériences vécues,"Centre de Lille, Lille","7ter Rue Gauthier de Châtillon, Centre de Lille, 59000 Lille, France",50.62914624,3.06419907,"Lille - séjournez au cœur de la ville – Très bon emplacement - voir la carte
Vous pouvez bénéficier d'une réduction Genius dans l'établissement NOCNOC - La Villa Cachee ! Connectez-vous pour économiser.
Doté d'une connexion Wi-Fi et d'un parking privé gratuits, le NOCNOC - La Villa Cachee est situé à Lille, à seulement 400 mètres de la maison Coilliot. Vous séjournerez à 2,2 km du Zénith et du Grand Palais de Lille.
Cette villa comprend 6 chambres, une télévision à écran plat, un lave-linge et 6 salles de bains pourvues d'une douche. Sa cuisine est équipée d'un lave-vaisselle et d'un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous pourrez profiter d'une terrasse.
Vous séjournerez à proximité de la braderie de Lille, de l'hospice Gantois et du grand magasin Printemps. L'aéroport de Lille, le plus proche, est à 9 km.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
L'établissement NOCNOC - La Villa Cachee accueille des clients Booking.com depuis le 19 sept. 2018.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
Séjours & Affaires Lille Europe,https://www.booking.com/hotel/fr/residence-lille-europe.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from=searchresults#hotelTmpl,"7,1",2 261 expériences vécues,"Centre de Lille, Lille","271 Avenue Willy Brandt, Centre de Lille, 59777 Lille, France",50.63647023,3.07490923,"Lille - séjournez au cœur de la ville – Très bon emplacement - voir la carte
La résidence Séjours & Affaires Lille Europe est située dans le centre-ville de Lille, au cœur du quartier des affaires. Vous séjournerez entre les gares Lille-Flandres et Lille-Europe, à moins de 600 mètres de chacune. L'établissement propose des appartements avec connexion Internet gratuite à 8 km du stade Pierre Mauroy, à 1,2 km du centre de conventions Nouveau Siècle et à 850 mètres du Grand Palais de Lille.
Tous les studios et appartements comprennent une télévision par câble à écran plat. Chacun dispose d'un bureau, d'un canapé-lit et d'une salle de bains privative avec baignoire ou douche.
Un petit-déjeuner buffet est servi chaque matin. Vous pourrez préparer les autres repas dans votre kitchenette entièrement équipée pourvue d'un coin repas et de plaques de cuisson.
La résidence Séjours & Affaires Lille Europe est facilement accessible depuis l'autoroute N356, à 12 minutes de route. Enfin, vous rejoindrez la citadelle de Lille en 30 minutes de marche et l'aéroport de Lille-Lesquin se trouve à 10,8 km.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour à deux.
L'établissement Séjours & Affaires Lille Europe accueille des clients Booking.com depuis le 31 août 2006.
Chaîne hôtelière/marque: Séjours & Affaires Apparthotel"
Old Lille - Beautiful house 3 bdrms 7pers,https://www.booking.com/hotel/fr/heart-of-lille-beautiful-house-3-rooms-7pers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from=searchresults#hotelTmpl,"7,7",9 expériences vécues,"Vieux-Lille, Lille","12 Rue du Palais de Justice, Vieux-Lille, 59800 Lille, France",50.64155200,3.06272900,"Le Old Lille - Beautiful house 3 bdrms 7pers est situé à Lille, à 600 mètres de l'opéra et de la Grand-Place, dans une région propice au vélo. Vous séjournerez à 1 km de la gare de Lille-Flandres et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.
L'appartement comprend 3 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la ville.
Vous séjournerez à proximité de la Tour de Lille, de la gare de Lille-Europe et de l'Hospice Gantois. L'aéroport de Lille, le plus proche, est implanté à 10 km.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
L'établissement Old Lille - Beautiful house 3 bdrms 7pers accueille des clients Booking.com depuis le 29 avr. 2020."
Lille Centre - 2BR in the heart of Lille!,https://www.booking.com/hotel/fr/lille-centre-2br-in-the-heart-of-lille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from=searchresults#hotelTmpl,"7,4",10 expériences vécues,"Centre de Lille, Lille","61 Rue Saint-Etienne, Centre de Lille, 59800 Lille, France",50.63613360,3.05962420,"Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Lille Centre - 2BR au cœur de Lille ! Situé à Lille, à 400 mètres du grand magasin Printemps, à 1 km de l'Hospice Gantois et à 1,3 km du zoo de Lille, l'hébergement Lille dispose d'une connexion Wi-Fi gratuite. L'établissement se trouve à 1 km de la gare de Lille-Flandres et à 1,6 km du Zénith de Lille.
Cet appartement comprend 2 chambres, une télévision, un lave-linge et 3 salles de bains pourvues d'une douche. Sa cuisine est équipée d'un lave-vaisselle et d'un micro-ondes. Les serviettes et le linge de lit sont fournis.
Vous séjournerez à proximité de la Coilliot House, de l'opéra de Lille et de la Grand-Place. L'aéroport de Lille, le plus proche, est implanté à 12 km.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
L'établissement Lille Centre - 2BR in the heart of Lille! accueille des clients Booking.com depuis le 9 mai 2022.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
OKKO Hotels Lille Centre,https://www.booking.com/hotel/fr/okko-hotels-lille-centre.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,8",1 697 expériences vécues,"Centre de Lille, Lille","13 Rue d'Amiens, Centre de Lille, 59800 Lille, France",50.63407400,3.06422900,"Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé à Lille, l’OKKO Hotels Lille Centre est doté d'une salle de sport, d'un salon commun, d'une terrasse et d'un restaurant. Cet hôtel 4 étoiles dispose d’une réception ouverte 24h/24, d’un service d’étage et d’une connexion Wi-Fi gratuite. L'établissement se trouve à 400 mètres du centre-ville et à 600 mètres de l'Hospice Gantois.
Les chambres climatisées de l’hôtel comprennent un bureau, une machine à café, un coffre-fort, une télévision à écran plat et une salle de bains privative pourvue d’une douche. Chaque logement de l’OKKO Hotels Lille Centre est doté de linge de lit et de serviettes de toilette.
Le matin, vous pourrez prendre un petit-déjeuner continental ou végétarien sur place.
Cet établissement 4 étoiles possède un sauna.
Vous pourrez profiter du centre d’affaires ou d’un moment de détente au bar.
À proximité de l'OKKO Hotels Lille Centre, vous trouverez des lieux d’intérêt tels que la gare Lille Flandres, le grand magasin Printemps et la Grand Place. L’aéroport Lille-Lesquin, le plus proche, est situé à 9 km de l’hôtel.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement OKKO Hotels Lille Centre accueille des clients Booking.com depuis le 1 avr. 2021.
Chaîne hôtelière/marque: Okko Hotels"
Lille Grand Place - cozy and equipped studio!,https://www.booking.com/hotel/fr/lille-grand-place-cozy-and-equipped-studio.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4ArWs0Z0GwAIB0gIkZjU2M2IxYjQtNjdmOC00YmVlLTk1M2EtYWNiMzBiOGQ1YjFi2AIG4AIB&sid=1b3f6b5d0c5bdd9123775c4f7674f913&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=710573203b950041&srepoch=1672762945&from=searchresults#hotelTmpl,"8,1",45 expériences vécues,"Centre de Lille, Lille","102 Rue Pierre Mauroy, Centre de Lille, 59800 Lille, France",50.63491980,3.06719570,"Lille - séjournez au cœur de la ville – Excellent emplacement - voir la carte
Situé dans le centre de Lille, Lille Grand Place - studio confortable et équipé ! Il propose des hébergements bien équipés avec connexion Wi-Fi gratuite, à 400 mètres de la Grand-Place et de l'opéra de Lille.
Plusieurs possèdent une cuisine équipée d'un réfrigérateur, d'un four et d'un micro-ondes.
Vous pourrez faire du vélo dans les environs.
Vous séjournerez à proximité de la gare de Lille-Flandres, de l'Hospice Gantois et du grand magasin Printemps. L'aéroport de Lille, le plus proche, est implanté à 9 km.
C'est le quartier préféré des voyageurs visitant Lille, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,6 pour un séjour à deux.
L'établissement Lille Grand Place - cozy and equipped studio! accueille des clients Booking.com depuis le 28 avr. 2022."
